"McLean 1990, Spec. Con3"	
12.497	39.749
13.208	40.608
13.792	41.097
14.402	41.609
14.326	37.223
13.792	33.313
13.208	30.808
12.573	28.464
12.014	26.325
11.405	24.181
10.82	22.161
10.135	19.937
9.6266	18.207
9.0424	16.414
8.4328	14.581
7.5692	12.059
7.1882	11.107
6.604	9.4258
5.969	7.7844
5.0546	5.3868
4.6482	4.5639
4.0894	3.0782
3.4798	1.588
2.794	-0.20017
2.2098	-1.5969
1.6002	-3.1671
0.9906	-4.7107
0.4318	-6.1741
-0.381	-8.287
-0.9144	-9.8751
-1.4986	-11.57
-2.1082	-13.389
-2.8956	-15.627
-3.3274	-17.17
-3.9624	-19.252
-4.572	-21.187
-5.461	-23.838
-5.8674	-25.172
-6.477	-27.17
-7.0612	-28.887
-8.0772	-31.582
-8.4582	-32.37
-9.017	-33.798
-9.6012	-35.061
-10.465	-37.036
-10.998	-37.601
-11.481	-38.49
-12.09	-39.42
-12.776	-40.336
-13.513	-40.857
-14.173	-41.404
-14.757	-41.742
-14.63	-37.187
-14.072	-32.721
-13.513	-30.008
-12.751	-26.952
-12.243	-24.91
-11.659	-22.646
-11.049	-20.311
-10.211	-17.504
-9.779	-15.96
-9.1694	-13.865
-8.4328	-11.552
-7.8486	-9.8617
-7.2644	-8.1936
-6.6548	-6.6012
-6.0198	-4.9642
-5.3848	-3.3139
-4.7498	-1.8949
-4.1402	-0.50265
-3.5306	0.84071
-2.921	2.2597
-2.2606	3.6876
-1.6256	5.1644
-1.1176	6.054
-0.4826	7.5397
0.3048	9.1945
0.8128	10.44
1.4224	11.69
2.0066	12.909
2.794	14.448
3.3274	15.636
3.937	16.894
4.5212	18.184
5.207	19.688
5.8166	21.009
6.4516	22.392
7.0612	23.767
7.8232	25.502
8.3566	26.725
8.9662	28.099
9.5504	29.452
10.414	31.315
10.77	32.072
11.405	33.451
11.989	34.674
12.675	36.133
13.31	37.267
13.868	38.006
14.58	39.14
14.376	33.922
13.818	30.47
13.233	28.308
12.573	26.022
12.014	23.949
11.405	21.916
10.795	20.004
10.058	17.82
9.4996	16.183
8.9662	14.675
8.382	13.047
7.4676	10.64
7.0866	9.8573
6.5024	8.3671
5.9182	7.0504
5.08	5.0621
4.5974	4.1858
4.0386	2.9581
3.4544	1.7748
2.6416	-0.080068
1.9812	-1.0809
1.4986	-2.0907
0.9144	-3.3718
0.3048	-4.6306
-0.508	-6.3298
-0.9906	-7.4508
-1.5748	-8.6963
-2.1844	-10.071
-3.048	-11.832
-3.429	-12.958
-3.9878	-14.261
-4.6228	-15.693
-5.3848	-17.597
-5.9182	-18.981
-6.5278	-20.462
-7.0866	-21.881
-8.0264	-23.989
-8.4328	-25.199
-9.0424	-26.765
-9.652	-28.282
-10.389	-30.199
-10.897	-31.409
-11.532	-32.988
-12.09	-34.309
-12.903	-36.551
-13.462	-37.218
-13.995	-38.375
-14.605	-39.554
-14.478	-35.492
-13.97	-31.08
-13.411	-28.286
-12.776	-25.884
-12.167	-23.415
-11.608	-21.347
-10.973	-19.047
-10.16	-16.441
-9.7282	-14.959
-9.0932	-12.9
-8.4582	-11.04
-7.6708	-9.0254
-7.1882	-7.4641
-6.604	-5.9117
-5.9944	-4.4927
-5.08	-2.4376
-4.699	-1.6725
-4.0894	-0.34251
-3.4544	1.0631
-2.8448	2.6245
-2.1844	3.6209
-1.6764	4.8174
-1.0414	6.0941
-0.4064	7.4152
-0.1524	7.6154
-0.127	7.5042
-0.1016	7.433
-0.0508	7.2506
0.3556	9.0254
0.889	9.8884
1.4732	11.218
2.0574	12.464
2.6924	13.683
3.3528	15.066
3.937	16.316
4.4958	17.539
5.1308	18.607
5.8674	20.146
6.4516	21.494
7.0612	22.842
7.874	24.447
8.2804	25.359
8.8646	26.609
9.4742	27.908
10.135	29.354
10.719	30.577
11.354	31.929
11.963	33.233
12.624	34.692
13.208	35.879
13.818	36.978
14.503	38.166
15.138	39.162
15.85	39.99
16.383	40.359
16.993	40.955
17.704	41.364
18.39	41.707
19.177	41.92
19.787	42.022
20.371	41.933
20.93	42.116
21.692	42.307
22.073	41.311
21.895	37.241
21.336	33.259
20.472	30.146
20.142	29.065
19.482	26.756
18.872	24.87
18.288	23.028
17.678	21.138
17.069	19.448
16.485	17.846
15.926	16.387
15.138	14.346
14.58	12.98
13.995	11.668
13.411	10.387
12.573	8.7052
12.141	7.6865
11.532	6.4366
10.947	5.2889
10.185	3.8966
9.6774	2.9581
9.0932	1.9928
8.4582	0.93857
7.5692	-0.59606
7.0612	-1.2055
6.5786	-2.1174
5.9944	-3.0515
5.2832	-4.1947
4.699	-5.1021
4.064	-6.1119
3.4036	-7.1839
2.7178	-8.5183
2.032	-9.3146
1.5748	-10.057
0.9652	-11.085
0.3556	-12.059
-0.508	-13.389
-0.9398	-14.141
-1.5494	-15.204
-2.1844	-16.28
-3.048	-17.659
-3.4544	-18.389
-4.064	-19.505
-4.6736	-20.613
-5.5372	-22.108
-5.9944	-23.024
-6.5532	-24.087
-7.1628	-25.23
-8.0264	-27.027
-8.4836	-27.686
-9.0678	-28.905
-9.6774	-30.079
-10.541	-31.876
-11.049	-32.539
-11.582	-33.664
-12.192	-34.816
-13.005	-36.725
-13.589	-37.076
-14.097	-37.992
-14.681	-38.931
-15.291	-39.727
-16.231	-40.683
-16.739	-41.062
-17.297	-41.506
-17.882	-41.92
-18.669	-42.414
-19.38	-42.543
-20.041	-42.685
-20.676	-42.752
-21.361	-42.948
-21.946	-42.832
-22.606	-43.001
-22.25	-36.084
-21.692	-32.428
-20.879	-29.011
-20.472	-27.374
-19.837	-25.079
-19.279	-23.122
-18.517	-20.208
-17.958	-18.714
-17.399	-16.823
-16.789	-14.95
-16.154	-13.096
-15.418	-11.027
-14.91	-9.5147
-14.3	-8.0246
-13.64	-6.4544
-12.827	-4.555
-12.395	-3.5096
-11.811	-2.3353
-11.151	-1.1076
-10.439	0.04893
-9.8806	1.1743
-9.2202	2.3042
-8.509	3.5452
-8.001	4.3504
-7.366	5.3156
-6.6802	6.4544
-6.0452	7.6287
