"Saatcioglu, 1999, Specimen RC-1"	
22.23 	41.07 
21.87 	39.40 
20.96 	37.56 
20.46 	35.96 
20.31 	35.22 
19.72 	34.50 
19.70 	34.22 
19.05 	32.50 
18.81 	32.26 
18.77 	31.76 
18.72 	31.48 
18.27 	30.37 
17.82 	29.10 
17.22 	27.93 
16.76 	25.65 
15.46 	23.62 
14.93 	21.85 
14.84 	20.56 
13.93 	20.00 
13.29 	18.34 
12.13 	15.92 
11.21 	14.05 
10.26 	11.94 
8.92 	8.48 
8.85 	7.85 
8.16 	7.50 
7.45 	5.63 
7.20 	4.24 
6.33 	2.55 
6.23 	1.84 
5.14 	0.39 
4.70 	-1.27 
4.61 	-1.48 
4.20 	-2.31 
3.94 	-2.80 
3.77 	-3.14 
3.61 	-3.50 
3.42 	-3.74 
3.09 	-5.27 
2.47 	-6.13 
1.98 	-7.38 
1.60 	-8.85 
0.92 	-10.07 
0.25 	-12.14 
-0.44 	-13.11 
-1.40 	-16.57 
-2.38 	-18.69 
-3.31 	-20.63 
-4.33 	-22.52 
-4.71 	-24.21 
-5.59 	-26.03 
-6.16 	-26.61 
-6.95 	-28.77 
-8.05 	-31.25 
-8.24 	-31.90 
-9.34 	-33.28 
-9.53 	-34.49 
-10.69 	-36.36 
-11.63 	-38.55 
-12.50 	-39.96 
-12.81 	-41.15 
-13.98 	-42.81 
-15.32 	-45.65 
-16.27 	-47.73 
-16.73 	-49.31 
-18.37 	-51.07 
-19.89 	-53.92 
-20.78 	-55.72 
-21.16 	-57.24 
-22.42 	-58.54 
-23.23 	-60.22 
-23.40 	-60.86 
-24.52 	-61.83 
-24.68 	-62.00 
-24.90 	-62.44 
-25.05 	-62.33 
-25.05 	-62.09 
-25.07 	-61.92 
-25.07 	-61.71 
-23.40 	-45.46 
-21.49 	-39.68 
-21.02 	-37.46 
-20.13 	-35.50 
-18.15 	-29.97 
-16.51 	-25.20 
-15.58 	-22.09 
-14.29 	-19.12 
-13.32 	-16.15 
-13.24 	-15.85 
-12.60 	-14.68 
-12.53 	-15.77 
-12.51 	-14.71 
-12.19 	-14.14 
-11.74 	-12.72 
-11.34 	-11.55 
-10.65 	-9.55 
-10.38 	-8.82 
-9.72 	-7.68 
-9.38 	-6.76 
-9.07 	-6.02 
-8.41 	-4.47 
-8.10 	-3.83 
-7.98 	-4.16 
-7.69 	-3.52 
-7.50 	-2.70 
-7.31 	-1.94 
-7.21 	-1.69 
-7.02 	-1.39 
-6.78 	-0.76 
-6.09 	1.52 
-5.04 	4.62 
-3.35 	8.54 
-2.07 	11.85 
-0.59 	14.61 
1.04 	18.35 
2.18 	20.25 
3.51 	23.25 
4.25 	25.44 
4.87 	25.67 
5.30 	26.74 
5.35 	26.99 
6.11 	29.35 
6.64 	30.41 
7.59 	31.42 
8.59 	33.13 
9.23 	34.44 
9.43 	34.98 
9.59 	35.32 
9.85 	35.85 
10.11 	36.20 
10.36 	37.51 
10.67 	37.80 
11.12 	38.11 
11.73 	39.25 
12.28 	40.34 
12.62 	41.40 
12.95 	42.20 
14.12 	43.98 
14.76 	45.39 
15.77 	46.41 
17.07 	48.45 
18.20 	50.49 
19.00 	52.27 
19.34 	52.94 
20.51 	53.92 
21.67 	55.97 
22.73 	58.28 
23.18 	58.76 
23.82 	59.00 
25.03 	60.82 
26.15 	62.86 
26.90 	64.03 
29.40 	67.33 
30.80 	68.94 
34.14 	70.20 
38.67 	71.03 
38.95 	69.70 
39.82 	69.63 
42.94 	69.72 
42.94 	69.34 
48.52 	69.68 
49.82 	69.48 
50.28 	69.10 
50.30 	68.89 
50.32 	68.49 
50.33 	68.11 
50.37 	67.88 
50.35 	67.76 
50.61 	67.63 
50.61 	67.32 
50.61 	67.15 
50.63 	66.71 
50.52 	58.77 
50.14 	53.95 
48.61 	50.22 
47.87 	48.63 
47.11 	46.88 
46.23 	45.12 
44.82 	42.08 
43.53 	39.45 
43.23 	38.06 
41.70 	36.10 
41.27 	35.44 
41.22 	35.05 
41.06 	34.95 
40.12 	33.22 
38.08 	29.11 
37.10 	26.57 
34.38 	24.55 
32.02 	20.59 
31.66 	18.85 
28.71 	16.48 
26.44 	12.80 
25.35 	10.57 
23.11 	8.90 
22.37 	7.67 
21.05 	4.64 
18.72 	2.74 
17.36 	0.60 
16.86 	-0.24 
16.55 	-0.66 
16.17 	-0.87 
15.71 	-1.46 
14.60 	-3.74 
13.35 	-4.63 
12.41 	-6.23 
11.52 	-7.57 
11.02 	-8.89 
9.76 	-9.95 
8.59 	-12.01 
7.92 	-13.02 
6.37 	-15.05 
5.25 	-17.27 
4.61 	-18.15 
3.15 	-20.18 
2.32 	-21.90 
2.20 	-22.68 
1.25 	-23.25 
0.32 	-25.05 
-0.11 	-26.64 
-1.11 	-27.38 
-1.76 	-28.72 
-2.71 	-29.97 
-3.50 	-32.45 
-4.76 	-33.54 
-5.54 	-34.95 
-6.64 	-37.99 
-8.02 	-39.31 
-9.62 	-42.70 
-10.82 	-44.24 
-10.93 	-44.39 
-11.76 	-46.25 
-12.98 	-48.40 
-14.48 	-51.19 
-15.96 	-52.78 
-17.54 	-55.10 
-18.85 	-56.89 
-20.68 	-59.43 
-20.80 	-59.73 
-21.92 	-61.04 
-22.28 	-62.06 
-22.97 	-62.35 
-23.23 	-62.87 
-24.30 	-64.45 
-25.62 	-65.77 
-27.04 	-67.44 
-27.48 	-67.79 
-27.93 	-68.45 
-29.88 	-70.58 
-30.12 	-68.73 
-31.43 	-67.59 
-32.17 	-67.47 
-35.36 	-68.53 
-40.25 	-69.60 
-46.88 	-70.73 
-46.88 	-70.38 
-46.88 	-69.97 
-49.45 	-71.03 
-49.62 	-70.93 
-49.66 	-70.24 
-50.34 	-70.04 
-50.36 	-69.83 
-50.36 	-69.73 
-50.38 	-69.56 
-50.36 	-69.31 
-50.40 	-68.91 
-50.36 	-68.73 
-50.41 	-68.63 
-50.45 	-68.44 
-50.45 	-68.16 
-50.45 	-67.27 
-50.45 	-66.96 
-50.47 	-66.89 
-50.43 	-66.64 
-50.29 	-58.73 
-49.41 	-53.73 
-48.38 	-51.84 
-46.97 	-48.41 
-46.83 	-47.32 
-45.35 	-45.29 
-43.75 	-41.35 
-43.66 	-40.99 
-42.51 	-39.19 
-40.13 	-33.81 
-39.58 	-31.83 
-37.92 	-30.15 
-36.46 	-27.23 
-35.12 	-24.84 
-34.25 	-23.18 
-33.62 	-22.32 
-32.58 	-21.85 
-30.91 	-19.34 
-30.14 	-17.81 
-29.43 	-17.35 
-28.17 	-15.39 
-26.76 	-12.58 
-26.21 	-12.07 
-25.07 	-11.17 
-24.16 	-9.58 
-23.07 	-7.82 
-22.66 	-6.93 
-22.13 	-6.63 
-21.42 	-5.83 
-20.83 	-4.73 
-20.21 	-3.91 
-19.97 	-3.53 
-19.71 	-3.31 
-19.32 	-3.12 
-18.53 	-1.68 
-18.20 	-1.01 
-17.23 	-0.12 
-16.84 	1.11 
-15.44 	2.95 
-14.15 	4.29 
-13.55 	4.77 
-11.62 	7.53 
-11.19 	8.69 
-10.15 	9.41 
-8.22 	12.14 
-6.91 	14.76 
-5.23 	16.03 
-3.95 	18.41 
-3.90 	18.89 
-2.04 	20.22 
-1.85 	21.22 
-0.66 	22.65 
0.68 	23.73 
0.70 	22.35 
0.73 	21.71 
0.73 	21.60 
0.72 	21.60 
0.72 	21.60 
0.73 	21.43 
0.75 	21.53 
0.73 	21.67 
0.75 	21.84 
0.75 	21.53 
0.75 	21.71 
0.75 	21.81 
0.75 	21.67 
0.77 	21.81 
0.73 	21.43 
0.75 	21.60 
0.73 	21.81 
0.73 	21.22 
0.75 	21.67 
0.73 	21.26 
0.73 	21.40 
0.73 	21.57 
0.75 	21.43 
0.73 	21.64 
0.73 	21.74 
0.77 	21.40 
0.75 	21.57 
0.75 	21.26 
0.75 	21.40 
0.79 	21.61 
0.77 	21.22 
0.73 	21.67 
0.75 	21.19 
0.77 	21.50 
0.77 	21.71 
0.79 	22.04 
0.79 	21.13 
0.80 	21.27 
0.80 	21.54 
0.80 	21.65 
0.79 	21.23 
0.80 	21.41 
0.99 	21.09 
0.92 	21.29 
0.92 	21.08 
0.94 	21.25 
0.99 	21.40 
0.98 	21.54 
0.96 	21.19 
0.98 	21.30 
0.96 	21.50 
0.96 	21.19 
0.98 	21.40 
0.98 	21.51 
0.98 	21.20 
0.98 	21.37 
0.96 	21.53 
0.94 	22.96 
0.98 	24.37 
0.94 	23.16 
0.92 	23.36 
0.99 	23.17 
0.98 	23.67 
1.82 	24.60 
2.97 	26.44 
4.04 	29.09 
4.46 	29.51 
7.35 	32.86 
8.52 	34.67 
9.18 	35.49 
9.81 	35.49 
9.92 	35.75 
10.23 	36.15 
11.64 	38.44 
12.24 	39.95 
13.22 	40.62 
14.79 	41.46 
15.65 	42.81 
16.12 	43.10 
17.65 	44.75 
18.69 	45.47 
18.91 	45.74 
19.17 	46.03 
19.60 	46.78 
20.13 	46.97 
20.72 	47.82 
20.96 	48.00 
21.96 	48.81 
22.67 	49.72 
23.10 	49.90 
24.15 	50.99 
25.34 	51.81 
26.21 	52.63 
27.09 	53.60 
27.87 	54.34 
29.45 	55.11 
29.71 	55.61 
31.45 	57.34 
33.69 	58.58 
34.78 	59.31 
35.93 	60.22 
37.81 	61.41 
39.48 	61.92 
40.74 	62.57 
40.96 	63.03 
42.86 	64.01 
43.82 	64.35 
44.29 	64.83 
45.30 	65.13 
45.85 	65.98 
48.08 	66.20 
49.33 	66.09 
49.94 	66.98 
50.07 	66.10 
50.09 	65.83 
50.09 	65.59 
50.09 	65.48 
50.06 	65.35 
49.99 	58.06 
48.95 	51.87 
47.28 	47.60 
46.08 	44.55 
45.41 	43.44 
44.82 	42.90 
44.56 	41.52 
43.49 	40.03 
42.99 	38.57 
42.30 	36.98 
41.06 	35.16 
40.87 	34.79 
40.53 	34.46 
39.77 	32.31 
38.69 	31.55 
37.60 	29.34 
35.67 	25.27 
33.04 	23.06 
31.18 	19.25 
28.90 	17.41 
27.14 	13.98 
25.06 	12.31 
23.08 	9.37 
21.72 	6.43 
18.12 	2.82 
17.74 	1.32 
16.17 	0.71 
15.26 	-0.63 
14.91 	-1.31 
14.09 	-2.44 
13.72 	-3.54 
12.71 	-4.04 
11.36 	-6.53 
10.85 	-7.41 
9.31 	-8.28 
7.35 	-11.38 
6.13 	-13.31 
3.70 	-16.62 
1.68 	-18.77 
0.10 	-21.15 
0.03 	-21.38 
-2.35 	-24.03 
-3.26 	-26.76 
-7.09 	-30.20 
-7.48 	-32.30 
-10.05 	-33.98 
-12.96 	-37.72 
-14.89 	-39.58 
-16.70 	-41.80 
-18.16 	-44.58 
-21.51 	-47.43 
-23.54 	-50.62 
-25.88 	-51.65 
-26.38 	-53.04 
-29.00 	-54.76 
-30.46 	-56.90 
-33.48 	-59.41 
-35.65 	-61.04 
-37.25 	-62.22 
-40.89 	-63.77 
-42.51 	-65.62 
-44.81 	-67.08 
-46.99 	-68.22 
-49.48 	-68.73 
-50.90 	-70.16 
-51.36 	-68.41 
-51.36 	-67.96 
-52.74 	-69.32 
-52.74 	-68.97 
-53.50 	-69.27 
-53.43 	-63.33 
-53.43 	-63.22 
-53.39 	-62.09 
-53.15 	-58.26 
-53.10 	-58.00 
-52.81 	-55.62 
-52.08 	-53.40 
-51.88 	-52.85 
-51.33 	-51.18 
-50.40 	-49.17 
