"Saatcioglu, 1999, Specimen RC-1"	
2978	
-0.01 	7.84 
0.15 	13.41 
0.92 	18.67 
1.79 	22.01 
2.18 	24.49 
2.89 	26.66 
3.28 	28.70 
3.30 	28.32 
3.34 	28.23 
3.32 	28.01 
3.34 	27.92 
3.34 	27.50 
3.37 	27.57 
3.44 	27.48 
3.42 	27.44 
3.46 	27.42 
3.46 	27.18 
3.44 	25.58 
3.09 	18.99 
1.94 	9.49 
1.17 	4.55 
1.10 	4.26 
1.06 	3.67 
-0.45 	-3.39 
-0.49 	-3.68 
-0.57 	-3.83 
-0.94 	-5.89 
-1.07 	-6.22 
-1.26 	-7.25 
-1.52 	-8.49 
-1.59 	-8.61 
-1.57 	-8.74 
-1.64 	-9.03 
-1.90 	-10.21 
-1.99 	-10.36 
-2.37 	-11.84 
-2.47 	-12.51 
-2.71 	-14.23 
-3.19 	-15.86 
-3.21 	-16.66 
-3.28 	-17.09 
-3.55 	-17.81 
-3.61 	-18.10 
-3.76 	-18.91 
-3.85 	-19.04 
-3.97 	-19.61 
-4.07 	-19.93 
-4.09 	-20.14 
-4.21 	-21.40 
-4.50 	-22.17 
-4.85 	-23.54 
-4.88 	-23.02 
-4.92 	-22.72 
-4.92 	-22.48 
-4.80 	-13.12 
-4.47 	-9.14 
-4.12 	-5.88 
-3.86 	-3.67 
-3.71 	-3.24 
-3.23 	-1.09 
-2.83 	1.08 
-1.47 	8.43 
-0.85 	11.94 
-0.23 	14.55 
1.25 	20.86 
1.51 	23.10 
1.91 	23.55 
2.80 	27.38 
3.54 	30.53 
3.84 	31.65 
4.63 	33.49 
4.90 	34.23 
4.96 	34.48 
5.09 	34.64 
5.18 	34.99 
5.28 	35.29 
6.11 	38.66 
7.54 	42.50 
8.56 	44.77 
9.45 	46.50 
10.16 	48.95 
11.42 	50.19 
11.47 	49.58 
11.45 	49.44 
10.59 	34.48 
9.85 	30.88 
9.74 	30.69 
9.50 	30.41 
9.35 	28.39 
8.37 	26.17 
7.11 	20.97 
7.04 	20.37 
6.32 	17.39 
5.06 	12.51 
3.35 	5.38 
2.01 	-0.21 
1.77 	-2.36 
0.98 	-3.30 
0.48 	-5.52 
-0.01 	-7.49 
-0.56 	-9.51 
-1.33 	-11.73 
-1.88 	-14.44 
-2.31 	-15.93 
-2.62 	-16.36 
-2.66 	-17.36 
-3.21 	-18.56 
-3.33 	-19.08 
-3.71 	-19.91 
-4.26 	-22.37 
-4.66 	-23.75 
-4.69 	-24.06 
-5.28 	-25.88 
-5.54 	-26.61 
-5.69 	-27.11 
-6.10 	-27.98 
-6.48 	-29.14 
-6.91 	-30.14 
-7.29 	-32.02 
-7.93 	-32.99 
-8.09 	-33.29 
-8.10 	-33.57 
-8.12 	-33.33 
-8.14 	-33.13 
-7.88 	-23.33 
-7.19 	-16.53 
-6.54 	-12.82 
-5.52 	-7.52 
-5.19 	-6.77 
-4.90 	-5.66 
-4.26 	-1.42 
-3.92 	-0.75 
-2.73 	5.57 
-0.59 	15.19 
-0.02 	16.80 
1.49 	22.24 
2.16 	24.28 
2.84 	26.32 
3.04 	26.83 
3.54 	29.29 
3.99 	29.57 
5.20 	34.06 
5.54 	34.57 
5.58 	35.17 
5.78 	35.30 
5.87 	35.86 
6.80 	39.53 
8.09 	42.32 
8.61 	42.61 
9.76 	45.48 
10.04 	46.80 
11.31 	49.10 
11.92 	50.96 
12.29 	51.40 
12.88 	52.15 
13.19 	52.41 
13.69 	54.14 
14.28 	55.37 
15.45 	56.25 
15.86 	57.34 
16.88 	58.20 
17.29 	58.71 
18.01 	59.72 
18.24 	60.18 
18.93 	61.49 
19.05 	60.51 
19.06 	60.20 
19.05 	60.00 
19.06 	59.76 
19.05 	59.69 
19.08 	59.55 
18.69 	50.26 
18.29 	46.40 
18.12 	45.45 
17.39 	42.29 
16.67 	41.04 
15.91 	38.68 
14.90 	35.35 
13.69 	31.57 
13.62 	31.46 
13.57 	31.11 
13.50 	30.85 
13.47 	30.09 
12.98 	29.63 
11.93 	25.70 
11.36 	23.13 
10.83 	22.67 
9.64 	18.59 
8.45 	14.30 
7.45 	12.42 
6.75 	9.71 
6.68 	9.39 
5.94 	7.96 
5.94 	7.79 
5.02 	5.20 
4.59 	3.10 
3.51 	-0.28 
3.20 	-1.37 
2.75 	-2.47 
2.54 	-2.67 
2.49 	-2.79 
2.44 	-3.59 
2.18 	-4.01 
2.08 	-5.06 
1.48 	-6.46 
1.41 	-5.89 
1.42 	-5.85 
0.94 	-8.24 
0.73 	-9.34 
-0.47 	-12.78 
-1.50 	-16.11 
-2.62 	-20.49 
-2.90 	-22.40 
-3.83 	-23.71 
-5.02 	-27.22 
-5.83 	-30.59 
-5.92 	-31.01 
-6.79 	-32.67 
-7.76 	-35.31 
-8.84 	-37.86 
-9.08 	-38.24 
-9.79 	-39.80 
-10.39 	-41.14 
-10.74 	-42.60 
-11.26 	-43.14 
-11.94 	-44.80 
-11.98 	-44.25 
-11.96 	-43.83 
-12.01 	-43.64 
-12.00 	-43.40 
-12.00 	-43.12 
-12.00 	-43.05 
-11.94 	-37.70 
-11.84 	-34.82 
-11.45 	-30.45 
-11.01 	-27.01 
-10.14 	-23.70 
-9.46 	-20.59 
-9.36 	-20.16 
-8.76 	-17.90 
-8.15 	-15.45 
-7.78 	-13.74 
-7.47 	-13.21 
-7.00 	-10.92 
-6.35 	-8.34 
-6.02 	-6.64 
-5.73 	-4.93 
-5.23 	-3.68 
-4.83 	-2.07 
-4.62 	-1.10 
-4.49 	-0.91 
-4.42 	-0.73 
-3.97 	1.69 
-3.66 	3.49 
-2.68 	6.17 
-1.42 	11.16 
-0.94 	13.68 
0.29 	17.05 
1.27 	19.03 
2.65 	23.05 
3.73 	27.73 
4.40 	28.33 
6.40 	33.33 
6.82 	34.53 
7.18 	34.90 
7.21 	35.05 
7.37 	35.52 
7.61 	36.24 
7.88 	37.83 
8.52 	38.39 
8.66 	37.90 
8.99 	39.74 
9.80 	41.00 
10.36 	42.71 
11.04 	44.55 
11.66 	45.51 
12.23 	46.53 
12.67 	47.15 
12.93 	47.78 
13.16 	49.09 
13.55 	49.36 
13.97 	49.56 
14.15 	50.46 
14.34 	50.73 
14.62 	51.23 
14.96 	52.31 
15.60 	53.44 
15.84 	54.21 
16.64 	54.82 
17.51 	56.89 
18.62 	59.86 
18.96 	60.05 
20.25 	61.32 
20.56 	62.58 
22.18 	64.18 
23.11 	63.58 
23.44 	64.35 
24.22 	65.20 
24.77 	65.39 
24.78 	64.95 
24.80 	64.67 
25.03 	64.44 
25.03 	64.13 
25.15 	63.55 
25.18 	63.35 
25.16 	63.25 
25.20 	63.04 
25.34 	60.08 
25.03 	54.89 
24.15 	49.40 
23.80 	47.73 
23.42 	46.26 
22.54 	44.23 
22.22 	43.14 
21.67 	41.23 
21.63 	41.11 
20.72 	39.07 
19.77 	36.54 
19.06 	34.54 
18.86 	33.68 
18.36 	32.22 
18.05 	32.00 
17.94 	31.74 
17.94 	31.46 
16.58 	27.52 
15.88 	24.38 
15.21 	23.58 
12.93 	18.38 
10.74 	13.04 
9.88 	11.43 
8.37 	6.49 
7.21 	4.28 
6.06 	0.26 
5.21 	-1.45 
4.78 	-2.28 
4.68 	-2.71 
4.39 	-3.21 
4.39 	-3.73 
4.20 	-4.27 
3.61 	-5.67 
3.03 	-7.55 
2.70 	-8.30 
1.65 	-11.71 
1.39 	-12.30 
0.61 	-13.91 
0.25 	-16.48 
-0.49 	-17.01 
-0.51 	-17.26 
-1.71 	-20.68 
-2.56 	-23.20 
-2.83 	-23.76 
-3.61 	-25.71 
-3.86 	-26.37 
-4.42 	-28.02 
-4.86 	-29.53 
-5.47 	-31.29 
-6.12 	-32.08 
-6.72 	-34.17 
-8.21 	-37.31 
-8.79 	-40.12 
-10.36 	-43.71 
-10.93 	-44.46 
-12.31 	-46.96 
-13.13 	-48.30 
-13.68 	-50.39 
-15.24 	-52.46 
-15.75 	-54.19 
-17.56 	-56.24 
-18.59 	-58.44 
-19.56 	-59.39 
-20.66 	-61.21 
-20.85 	-61.84 
-23.23 	-64.04 
-23.78 	-64.99 
-24.66 	-65.38 
-24.99 	-65.12 
-24.99 	-64.84 
-25.00 	-64.60 
-25.00 	-64.39 
-25.00 	-64.19 
-25.00 	-64.08 
-25.00 	-63.81 
-24.99 	-63.15 
-25.02 	-63.05 
-25.00 	-62.95 
-25.00 	-62.46 
-25.02 	-62.39 
-25.02 	-62.26 
-25.02 	-62.19 
-25.02 	-62.08 
-25.02 	-61.98 
-25.04 	-62.09 
-25.02 	-62.08 
-25.04 	-61.78 
-25.02 	-61.70 
-25.04 	-61.54 
-25.02 	-61.60 
-25.02 	-61.46 
-25.02 	-61.70 
-25.04 	-61.47 
-25.02 	-61.39 
-25.04 	-61.68 
-25.02 	-61.53 
-25.04 	-61.40 
-25.02 	-61.43 
-25.04 	-61.47 
-25.30 	-61.44 
-25.30 	-61.34 
-25.30 	-61.55 
-25.28 	-61.27 
-25.28 	-61.51 
-25.30 	-61.27 
-25.28 	-61.41 
-25.30 	-61.20 
-25.28 	-61.07 
-25.30 	-61.41 
-25.31 	-61.24 
-25.30 	-61.10 
-25.28 	-60.96 
-25.30 	-61.51 
-25.30 	-61.24 
-25.30 	-61.07 
-25.31 	-61.55 
-25.28 	-61.38 
-25.28 	-61.20 
-25.31 	-61.48 
-25.30 	-61.34 
-25.30 	-61.00 
-25.28 	-61.48 
-25.30 	-61.34 
-25.26 	-61.06 
-25.31 	-61.20 
-25.30 	-61.31 
-25.28 	-61.07 
-25.28 	-60.96 
-25.28 	-60.93 
-25.31 	-61.20 
-25.28 	-61.10 
-25.26 	-61.43 
-25.30 	-61.31 
-25.28 	-61.17 
-25.28 	-60.82 
-25.26 	-61.23 
-25.28 	-61.10 
-25.30 	-60.96 
-25.30 	-60.82 
-25.28 	-60.76 
-25.28 	-60.65 
-25.30 	-61.20 
-25.26 	-60.88 
-25.18 	-56.53 
-24.88 	-51.28 
-24.66 	-49.35 
-23.75 	-44.76 
-22.88 	-42.04 
-22.32 	-40.29 
-22.18 	-40.03 
-20.97 	-36.04 
-20.49 	-34.18 
-19.59 	-32.10 
-18.51 	-28.59 
-17.13 	-23.78 
-16.15 	-21.66 
-14.98 	-17.47 
-14.01 	-15.12 
-13.43 	-12.86 
-12.79 	-11.44 
-12.03 	-9.87 
-11.84 	-10.19 
-11.29 	-8.27 
-10.74 	-6.70 
-10.19 	-5.45 
-9.98 	-4.61 
-9.69 	-4.32 
-9.48 	-3.98 
-9.21 	-3.22 
-8.84 	-2.23 
-8.53 	-1.32 
-7.91 	0.61 
-6.67 	3.08 
-6.19 	4.26 
-5.02 	7.13 
-3.80 	10.12 
-3.26 	11.83 
-1.81 	15.51 
-0.28 	18.51 
0.29 	20.88 
1.32 	21.97 
2.13 	25.23 
3.08 	25.80 
3.53 	27.81 
4.15 	28.18 
5.61 	32.03 
6.94 	34.48 
7.40 	34.94 
7.66 	35.08 
7.83 	35.60 
8.21 	36.90 
9.78 	39.63 
11.59 	42.71 
12.98 	45.13 
13.84 	48.24 
15.41 	49.04 
16.05 	51.14 
17.19 	53.08 
18.96 	55.95 
20.13 	57.65 
21.10 	58.09 
22.39 	60.22 
22.51 	60.58 
23.60 	62.00 
23.99 	62.34 
24.58 	62.70 
24.58 	63.01 
25.28 	64.31 
25.42 	63.77 
25.44 	63.39 
25.42 	63.15 
25.42 	62.95 
25.47 	62.85 
25.49 	62.61 
25.49 	62.47 
25.51 	62.37 
25.49 	62.23 
25.54 	62.14 
25.73 	61.89 
25.71 	61.85 
25.70 	61.88 
25.71 	61.61 
25.70 	61.68 
25.71 	61.71 
25.71 	61.57 
25.71 	61.71 
25.73 	61.55 
25.70 	61.57 
25.73 	61.76 
25.73 	61.58 
25.73 	61.52 
25.73 	61.21 
25.73 	61.55 
25.73 	61.38 
25.73 	61.27 
25.77 	61.27 
25.73 	61.41 
25.71 	61.40 
25.73 	61.24 
25.75 	61.14 
25.75 	61.41 
25.73 	61.21 
25.75 	61.10 
25.75 	61.27 
25.75 	61.14 
25.77 	61.31 
25.73 	61.14 
25.77 	61.00 
25.77 	61.27 
25.75 	61.21 
25.77 	60.96 
25.77 	61.17 
25.77 	60.86 
25.77 	61.27 
25.75 	61.17 
25.75 	61.03 
25.75 	60.93 
25.77 	61.07 
25.78 	60.97 
25.77 	60.83 
25.77 	61.14 
25.78 	60.91 
25.75 	61.07 
25.77 	60.79 
25.77 	61.03 
25.75 	60.72 
25.73 	60.86 
25.73 	57.76 
25.49 	54.07 
24.51 	45.64 
23.72 	44.11 
23.72 	43.49 
22.65 	40.79 
22.29 	40.60 
21.27 	37.81 
21.20 	36.67 
20.18 	34.96 
19.50 	32.40 
19.22 	32.21 
19.05 	31.88 
18.12 	29.35 
17.22 	26.93 
16.77 	25.28 
15.88 	23.76 
14.84 	21.18 
13.93 	18.59 
13.62 	17.13 
12.41 	16.00 
11.86 	13.56 
9.09 	8.47 
8.50 	6.44 
7.04 	2.87 
5.90 	0.93 
4.83 	-2.03 
4.49 	-2.36 
4.27 	-2.60 
4.21 	-3.09 
3.92 	-3.97 
3.65 	-4.32 
3.39 	-5.27 
3.03 	-5.59 
2.77 	-6.78 
2.30 	-7.30 
2.27 	-7.48 
2.25 	-7.62 
2.01 	-7.14 
1.70 	-9.26 
0.70 	-11.17 
-0.57 	-14.54 
-1.13 	-17.42 
-2.19 	-18.42 
-3.24 	-20.49 
-3.68 	-21.31 
-3.73 	-21.91 
-4.14 	-22.45 
-4.38 	-23.46 
-5.69 	-26.56 
-6.86 	-29.54 
-7.31 	-30.06 
-7.60 	-31.21 
-8.07 	-32.60 
-8.46 	-32.83 
-9.07 	-33.45 
-9.46 	-34.44 
-9.98 	-35.38 
-10.00 	-35.62 
-10.51 	-36.99 
-11.24 	-38.34 
-11.88 	-40.62 
-13.39 	-42.41 
-14.48 	-44.23 
-15.18 	-46.01 
-15.75 	-48.06 
-17.23 	-49.60 
-17.61 	-50.22 
-17.80 	-50.67 
-18.39 	-51.38 
-18.40 	-51.76 
-19.54 	-53.70 
-20.64 	-56.01 
-21.71 	-58.52 
-22.64 	-59.09 
-24.02 	-61.72 
-24.09 	-61.22 
-24.25 	-61.89 
-24.45 	-61.92 
-24.56 	-62.46 
-24.76 	-63.15 
-25.05 	-62.78 
-24.54 	-49.88 
-23.52 	-45.65 
-22.90 	-43.38 
-21.61 	-39.18 
-20.70 	-37.55 
-19.70 	-34.70 
-18.73 	-31.62 
-17.75 	-28.67 
-16.77 	-25.62 
-15.98 	-23.22 
-15.80 	-22.20 
-15.11 	-21.39 
-15.05 	-21.10 
-14.70 	-19.60 
-14.63 	-19.25 
-14.46 	-18.98 
-14.15 	-18.41 
-13.70 	-17.41 
-13.63 	-16.85 
-13.32 	-16.49 
-12.56 	-14.20 
-11.89 	-12.75 
-11.62 	-11.39 
-10.81 	-10.43 
-10.14 	-8.81 
-9.86 	-7.94 
-9.52 	-6.40 
-8.48 	-4.89 
-7.95 	-3.33 
-7.55 	-2.92 
-7.26 	-2.05 
-7.22 	-1.52 
-6.81 	-1.11 
-6.76 	-0.37 
-6.28 	0.08 
-5.04 	3.38 
-3.92 	7.00 
-2.85 	8.58 
-2.02 	10.69 
-1.54 	11.90 
-0.71 	14.72 
0.67 	16.53 
1.49 	18.69 
2.75 	22.20 
3.66 	23.31 
4.47 	25.72 
4.94 	27.06 
5.61 	27.76 
5.99 	27.96 
6.04 	29.00 
6.57 	29.18 
7.21 	30.53 
7.76 	31.79 
7.95 	32.14 
8.14 	33.03 
9.12 	34.28 
9.45 	34.68 
9.52 	35.00 
9.59 	35.25 
9.81 	35.46 
9.90 	35.61 
10.00 	35.76 
10.02 	36.08 
10.14 	36.41 
10.21 	37.39 
10.93 	37.84 
11.98 	40.63 
12.95 	41.62 
13.91 	43.28 
14.14 	43.81 
15.31 	45.55 
16.26 	47.70 
17.19 	48.64 
17.63 	50.40 
19.03 	51.72 
19.65 	53.33 
19.77 	53.80 
20.62 	54.25 
21.36 	55.54 
21.77 	56.53 
22.58 	57.35 
23.29 	58.54 
23.84 	59.59 
23.99 	60.00 
24.77 	60.84 
25.21 	61.12 
25.54 	61.76 
25.56 	61.42 
25.54 	61.21 
25.56 	60.18 
25.13 	51.73 
24.84 	48.94 
24.56 	47.44 
24.11 	45.68 
23.35 	43.94 
22.77 	42.09 
