"Petrovski and Ristic 1984, Spec. M1E2"	
513	
0	0
0	0
0	0.098097
0	1.4714
0.10008	0.99182
0	0.19619
0.4003	4.3669
1.2009	10.256
1.301	10.661
1.1008	6.0251
0.80061	2.8481
0.4003	-0.34167
0.10008	-2.9302
-0.10008	-5.0154
-0.30023	-6.316
-0.50038	-7.0282
-0.70053	-7.8382
-0.80061	-8.5375
-1.2009	-10.452
-1.4011	-10.576
-0.60046	-0.76274
0.30023	6.9045
1.2009	10.943
0.10008	-3.4207
-0.4003	-6.623
0	-0.098097
0.20015	0.71203
0.20015	0.61394
0.60046	5.2751
1.301	10.759
0.4003	0.050714
-0.90068	-9.2372
-0.60046	-3.0189
-0.20015	-0.025348
0.20015	4.6359
1.2009	10.452
1.7013	12.576
1.1008	3.9652
0.70053	0.088751
-0.90068	-9.2372
-1.5011	-11.863
-1.9014	-13.484
-1.5011	-6.7626
-0.70053	0.6961
0.10008	6.0945
1.2009	10.55
1.7013	12.576
1.0008	2.5791
-0.80061	-8.7341
-1.8014	-13.275
-0.50038	2.3891
1.5011	12.06
1.7013	12.477
1.7013	12.379
0.30023	-3.6896
-1.8014	-13.079
-0.50038	1.8985
1.8014	12.882
3.2024	17.376
3.6027	18.408
2.9022	8.4116
2.2017	1.0638
0.80061	-3.8223
-0.20015	-7.5789
-1.6012	-13.74
-3.1024	-18.345
-3.1024	-18.345
-3.3025	-18.763
-3.4026	-19.462
-3.1024	-12.851
-2.4018	-5.5033
-1.6012	-0.30088
-0.20015	5.0759
1.9014	12.209
3.4026	17.598
2.7021	7.5033
1.9014	0.33918
0.50038	-4.9393
-1.4011	-11.361
-3.5027	-18.886
-2.5019	-6.9877
-1.6012	-0.20286
1.7013	11.496
3.5027	17.709
2.2017	2.4373
1.8014	-0.065892
1.7013	-0.078578
-0.10008	-6.7813
-3.5027	-18.788
-1.8014	-0.42432
0	5.7876
1.9014	12.012
3.4026	17.598
5.6043	22.291
5.0038	13.19
4.3033	6.0389
2.8021	0.55149
0	-7.4552
-1.6012	-12.661
-3.4026	-19.462
-4.9037	-23.086
-5.204	-23.32
-5.304	-23.725
-5.4041	-23.64
-5.5042	-24.045
-5.5042	-23.947
-4.8036	-13.753
-2.3017	-0.58579
-0.4003	4.9522
2.602	13.671
3.7028	16.753
5.6043	21.8
4.3033	6.1372
2.9022	0.56403
0.50038	-5.9206
-0.80061	-9.5188
-3.1024	-16.481
-5.4041	-23.345
-5.0038	-16.526
-3.8029	-5.7787
-2.0015	-0.25338
-0.20015	5.1737
1.7013	10.516
3.4026	15.341
4.003	16.693
5.6043	21.31
4.4033	7.5228
2.8021	0.64944
0.50038	-5.5283
-1.2009	-10.649
-3.5027	-17.12
-5.4041	-23.051
-4.7036	-12.662
-3.8029	-5.1902
-2.3017	-0.78186
-0.20015	5.272
0.80061	8.2434
2.7021	13.291
5.5042	21.003
6.9052	24.025
6.9052	22.75
6.605	17.611
5.8044	10.349
3.1024	0.39335
3.1024	0.39335
0.4003	-6.5215
-1.1008	-10.734
-3.3025	-16.703
-5.304	-22.842
-6.5049	-25.152
-6.605	-25.558
-6.8052	-25.975
-5.7043	-12.887
-3.8029	-4.2091
-2.2017	0.47489
0	5.9837
3.4026	14.557
6.9052	23.731
5.304	6.5585
3.2024	0.60224
0.50038	-5.9206
-3.6027	-17.133
-6.7051	-25.374
-4.6035	-6.6648
-2.2017	-0.082528
0	5.9837
3.5027	14.668
6.9052	23.142
5.4041	6.8654
3.1024	0.49144
0	-7.0629
-3.4026	-16.323
-6.8052	-25.289
-5.204	-8.2123
-1.7013	1.2561
0.70053	7.642
4.5034	16.756
4.5034	16.756
8.5065	25.797
7.2055	9.5459
3.7028	0.66568
-0.20015	-8.5597
-3.4026	-16.617
-6.605	-24.969
-8.4064	-28.14
-6.5049	-10.143
-2.602	-0.2313
0	6.3761
5.304	17.937
8.4064	24.804
6.9052	8.5272
3.8029	0.97247
-0.10008	-7.9583
-5.4041	-20.305
-8.3063	-26.853
-6.605	-10.351
-2.5019	-0.61101
0	5.7876
5.5042	18.06
8.5065	24.718
6.7051	7.8151
3.7028	0.6655
-0.30023	-8.082
-6.1046	-21.767
-8.5065	-27.172
-6.7051	-10.266
-2.3017	0.101
0.4003	6.7213
7.0053	21.291
11.209	28.494
9.6073	12.402
4.7036	1.3811
0	-8.3382
-7.2055	-24.359
-10.808	-30.604
-9.207	-13.919
-3.1024	-0.49082
0.80061	8.1451
7.1054	20.225
11.209	27.612
9.4071	10.513
4.5034	0.76718
0.10008	-8.1291
-6.9052	-22.556
-10.908	-30.126
-9.207	-13.723
-2.602	0.16095
0.20015	6.4014
7.3055	20.055
11.108	26.716
9.207	10.193
4.1031	0.029556
0	-8.142
-6.9052	-22.262
-10.908	-30.028
-9.207	-13.723
-3.1024	-0.88337
0.10008	5.9966
8.8067	22.5
14.511	31.071
13.11	13.828
6.2047	1.0813
-0.10008	-10.018
-8.5065	-25.506
-14.511	-34.603
-12.81	-17.615
-4.2032	-1.1209
-0.90068	4.8886
6.9052	18.337
11.108	24.656
13.51	28.491
15.812	31.138
18.014	32.398
19.014	32.623
19.915	32.541
21.216	32.314
22.517	32.478
24.318	32.312
25.819	32.21
27.221	31.895
28.522	31.569
29.621	31.316
32.024	30.738
32.624	30.425
32.926	30.168
32.926	25.761
31.824	16.303
30.424	10.926
29.322	8.8244
26.319	4.2251
12.109	-11.215
0.90068	-18.23
-7.2055	-25.635
-11.909	-31.332
-18.014	-36.129
-23.218	-36.978
-28.722	-36.397
-32.824	-34.961
-33.426	-26.414
-30.823	-14.803
-28.821	-11.506
-23.118	-3.0337
-13.01	8.2577
-7.1054	12.245
0.80061	14.227
6.5049	17.01
12.509	20.321
21.616	24.806
32.926	27.129
33.226	23.938
31.623	12.254
30.724	9.2999
27.32	3.8658
17.113	-7.2448
1.1008	-16.226
-6.5049	-19.562
-14.411	-25.37
-33.525	-33.874
-33.927	-31.772
-32.426	-18.636
-22.617	-3.5588
-15.312	4.5323
-8.1062	10.254
-0.70053	13.253
7.906	16.599
21.716	23.935
34.826	26.781
35.227	26.049
34.427	18.79
33.525	12.596
31.824	7.6723
29.723	4.559
18.014	-7.8164
7.1054	-14.794
0.90068	-16.464
-7.6058	-19.603
-13.51	-23.785
-19.515	-27.584
-28.423	-31.951
-33.426	-33.078
-33.525	-31.719
-32.123	-18.694
-30.122	-14.422
-21.716	-3.0509
-15.111	4.0664
-1.2009	12.502
11.209	17.998
19.215	22.248
28.021	25.322
34.026	26.482
34.026	19.326
32.624	11.4
32.426	9.8057
31.824	8.2577
29.723	5.0527
26.619	1.5192
22.417	-3.1372
17.013	-8.1407
11.108	-12.422
-0.20015	-16.211
-8.8067	-20.05
-19.014	-26.933
-34.326	-33.191
-35.027	-32.3
-35.027	-31.126
-34.427	-25.361
-33.927	-20.493
-33.325	-17.179
-30.424	-12.302
-23.218	-3.0465
-17.213	3.3084
-10.608	8.759
-5.6043	11.454
1.7013	13.262
10.308	17.296
17.013	20.89
33.825	25.968
34.226	25.53
32.624	12.578
32.024	9.5583
32.024	9.5583
28.923	4.4602
24.619	-0.40038
17.513	-7.1923
5.7043	-14.579
-1.2009	-15.749
-23.017	-28.517
-33.927	-32.553
-34.226	-30.831
-32.926	-18.896
-28.821	-11.219
-19.515	-0.024769
-0.70053	12.271
7.2055	15.235
25.519	24.023
33.825	26.251
