"Arakawa et al. 1988, Spec. 20"	
821	
0	0
0	10.366
0.046511	17.459
0.13953	27.279
0.27907	35.463
0.32558	44.736
0.4186	52.921
0.51162	62.742
0.55814	70.38
0.65115	78.564
0.69766	84.018
0.8372	90.566
0.93022	96.566
0.97673	100.39
0.93022	93.293
0.88372	84.565
0.79069	76.928
0.69766	67.653
0.55814	54.557
0.46511	41.464
0.32558	30.007
0.23255	20.186
0.13953	8.7292
0	1.0911
-0.046511	-7.638
-0.093022	-20.186
-0.13953	-28.37
-0.23255	-39.282
-0.37208	-50.194
-0.46511	-60.015
-0.55814	-69.29
-0.65115	-78.564
-0.79069	-85.655
-0.88372	-93.293
-1.0698	-98.751
-0.93022	-91.113
-0.93022	-82.928
-0.79069	-71.47
-0.69766	-62.742
-0.60465	-54.557
-0.51162	-44.192
-0.37208	-32.735
-0.27907	-21.278
-0.18604	-11.457
-0.13953	-2.7279
0	6.0015
0.046511	15.822
0.23255	27.279
0.4186	39.282
0.4186	51.284
0.55814	62.742
0.69766	74.743
0.88372	85.655
0.97673	96.024
1.1163	106.39
1.2558	112.94
1.4418	122.21
1.7208	130.94
1.9069	136.94
2	140.21
1.9535	133.67
1.8604	123.3
1.7208	112.39
1.5814	102.02
1.4418	92.203
1.2558	81.291
1.0698	70.927
0.88372	60.015
0.60465	44.736
0.55814	33.826
0.46511	22.915
0.27907	13.64
0.23255	3.8191
0	-5.4557
0	-5.4557
-0.093022	-16.913
-0.32558	-34.917
-0.4186	-46.92
-0.55814	-58.378
-0.69766	-68.743
-0.8372	-77.475
-0.93022	-87.839
-1.0698	-97.661
-1.2558	-108.57
-1.4418	-117.85
-1.7208	-125.48
-1.9069	-132.03
-2.1396	-136.94
-2.093	-128.21
-1.8139	-116.75
-1.6744	-107.48
-1.4418	-95.477
-1.2558	-84.565
-1.1163	-73.107
-0.93022	-59.468
-0.79069	-47.467
-0.60465	-35.463
-0.4186	-21.823
-0.32558	-11.457
-0.23255	-2.7279
0.046511	13.094
0.27907	27.279
0.55814	46.373
0.8372	63.289
1.0232	79.654
1.3023	94.93
1.5349	110.21
1.8139	124.94
2	136.4
2.2325	148.4
2.5116	159.31
2.8372	169.13
2.9768	172.95
2.8837	166.4
2.6511	151.13
2.4651	134.76
2.279	121.12
2	104.2
1.7208	85.655
1.3023	70.38
0.97673	51.831
0.8372	36.008
0.55814	20.186
0.32558	7.638
0.046511	-3.8191
-0.046511	-14.731
-0.23255	-31.098
-0.55814	-46.92
-0.8372	-62.742
-1.1628	-82.928
-1.3953	-98.203
-1.6279	-114.57
-1.9535	-128.21
-2.2325	-139.12
-2.6046	-150.03
-2.9301	-160.4
-3.1628	-164.22
-3.1162	-152.76
-2.9301	-141.85
-2.7442	-130.4
-2.4651	-118.39
-2.1861	-104.75
-1.7675	-84.018
-1.5814	-68.743
-1.3023	-54.015
-1.0232	-40.373
-0.79069	-26.733
-0.60465	-15.822
-0.4186	-3.2735
0.093022	13.64
0.4186	30.553
0.8372	47.467
1.0232	66.016
1.2558	84.018
1.7208	103.11
2.093	122.21
2.3721	142.4
2.7907	160.95
3.2093	175.13
3.4418	184.95
3.7208	190.95
3.9534	196.95
3.8604	186.59
3.7208	174.04
3.4418	155.49
3.1628	136.4
2.6976	116.75
2.3721	95.477
1.8139	74.201
1.4418	54.015
1.0698	36.554
0.65115	17.459
0.4186	4.9104
0.23255	-3.2735
0	-16.913
-0.23255	-29.461
-0.4186	-41.464
-0.79069	-55.105
-1.2093	-71.47
-1.5814	-87.839
-1.8604	-101.48
-2.279	-118.39
-2.5582	-130.94
-2.7907	-145.67
-3.1162	-158.22
-3.3953	-168.58
-3.6744	-177.86
-3.9069	-183.86
-4.1394	-187.68
-4.0465	-177.32
-3.8604	-163.13
-3.5814	-147.85
-3.3489	-134.76
-3.1162	-120.57
-2.7442	-103.66
-2.3721	-88.386
-2.0465	-73.654
-1.6279	-55.647
-1.3023	-44.192
-1.0698	-32.189
-0.69766	-15.822
-0.37208	0
-0.046511	14.185
0.27907	32.735
0.60465	49.104
1.3023	71.47
1.8139	93.84
2.1861	114.03
2.6976	132.03
3.2093	156.03
3.5814	175.68
