SPECIMEN A2	
DISP(mm)	SHEAR(kN)
-2.997303962	-3.300952754
-2.731452957	-2.331587757
-2.488919914	-1.347297359
-2.232394875	-0.380387529
-1.999190845	0.643368372
-1.728676832	1.61394093
-1.462822779	2.625144139
-1.210963745	3.590861304
-0.949775723	4.600902046
-0.697916714	5.461899756
-0.441391675	6.428825572
-0.525343653	4.102948824
-0.702579697	2.507102118
-0.70724268	2.484957728
-0.70724268	2.464004183
-0.70724268	2.464016784
-0.70724268	2.422115859
-0.711908711	2.462812644
-0.711908711	2.462793616
-0.702579697	2.402390661
-0.70724268	2.422122158
-0.721234676	2.376610244
-0.716571694	2.419727426
-0.725900707	2.354458813
-0.623290676	3.281707071
-0.63261969	3.279288725
-0.618624671	3.303858254
-0.623290676	3.302643229
-0.613961688	3.326003262
-0.637282673	3.068618172
-0.641945681	2.857936264
-0.655937677	2.791483904
-0.646611686	2.814831861
-0.651274694	2.855534815
0.60802647	10.42822805
1.871990617	14.92290897
3.13595479	19.20812843
4.432565913	23.60652965
5.668546067	27.98930776
6.965160238	32.76461686
8.219795397	37.5289724
9.507080554	42.44856835
10.7710447	47.2367467
12.05832986	52.0096284
12.04900084	49.05354209
12.04900084	48.92775474
12.04900084	48.80228462
12.04433786	48.7592911
12.04433786	48.69634362
10.96227274	41.27431055
9.670324576	34.27934525
8.406360429	28.36044652
7.119075272	23.02200787
5.859774107	18.08853181
4.563159936	13.18744731
3.294532806	8.440330849
2.011913655	3.731334037
0.738620494	-1.352321415
-0.516017688	-6.368294692
-1.803299822	-11.16230082
-3.06726397	-15.55233905
-4.354549127	-19.9901423
-5.618513274	-24.42205741
-6.915127445	-29.11366322
-8.165099596	-33.75145889
-9.457047761	-38.63035882
-10.70701991	-43.54029344
-11.99430507	-48.5018304
-13.46348925	-53.59385205
-13.44949423	-52.68938688
-13.45416326	-52.4389873
-13.45416326	-52.25069781
-13.44016824	-52.20507365
-13.44949423	-52.08179533
-13.44949423	-52.03978237
-13.44483123	-51.93396098
-12.50268912	-43.96132766
-11.23872497	-37.01555798
-9.951439813	-30.79699375
-8.696804679	-25.61372032
-7.428174501	-20.6572084
-6.145555349	-15.73871547
-4.890917193	-11.09984256
-3.589643062	-6.428075425
-2.33500488	-1.789263689
-1.04305674	3.131522277
-0.70724268	1.605209047
-0.716571694	1.560900829
-0.702579697	1.585445925
-0.716571694	1.602789206
-0.697916714	1.56573303
-0.716571694	1.498052706
-0.721234676	1.51779672
-0.721234676	1.454954713
-0.68392167	1.757857362
-0.68392167	1.736916209
-0.674595704	1.718381197
-0.651274694	2.038549594
-0.646611686	2.060729128
0.622018466	9.405420428
1.923295645	14.03543162
3.163938783	18.29364047
4.465215936	22.6722479
5.729180083	27.1459633
7.011799235	31.83396156
8.2711004	36.51579313
9.530401564	41.44911336
10.79902869	46.34304089
12.06765887	51.42561796
12.06299287	48.76378251
12.07232185	48.7034566
12.07232185	48.61934732
12.06765887	48.53446071
12.05832986	48.51121462
12.06765887	48.49288957
11.91840685	47.05101294
10.64045068	39.26373652
9.362494534	32.46137864
8.103193369	26.75299495
6.843895253	21.73575006
5.547281082	16.83470136
4.297308906	12.17614314
2.99136877	7.461224831
1.722738592	2.923488357
0.449448453	-2.160107616
-0.800523697	-6.923491566
-2.101800851	-11.7001421
-3.375094012	-16.00884171
-4.657716186	-20.29876023
-5.931006324	-24.77491579
-7.190307489	-29.26853181
-8.482255629	-33.97971378
-9.727564797	-38.67913626
-11.02417595	-43.72677592
-12.2741481	-48.74118418
-13.44016824	-52.56069766
-13.42617322	-51.99187207
-13.43084225	-51.84644547
-13.43084225	-51.69993355
-13.43550526	-51.61686706
-13.43550526	-51.51213348
-13.43550526	-51.44952845
-13.44016824	-51.42978476
-13.44016824	-51.32528612
-13.10435418	-47.97004901
-11.84039004	-39.74666582
-10.55777091	-33.21562079
-9.284477748	-27.65058898
-8.001855574	-22.60647612
-6.747220415	-17.80008324
-5.464601288	-13.13314948
-4.19597111	-8.637264693
-2.932006963	-4.121784934
-1.654050819	0.523064304
-0.385423664	5.249282727
-0.697916714	1.377201062
-0.702579697	1.375991691
-0.711908711	1.289795616
-0.697916714	1.314353104
-0.702579697	1.334097198
-0.70724268	1.291005855
-0.408741651	4.384444917
0.8738775	9.910288738
2.123849651	14.3384755
3.425126805	18.80090024
4.675098956	22.99880356
5.976376135	27.54490461
5.659220101	23.83898178
5.668546067	23.79949445
5.659220101	23.81798464
5.673212098	23.73790656
5.654554071	23.6912485
5.654554071	23.75403933
5.663883084	23.7564463
5.663883084	23.73544913
5.649891088	23.71089247
5.668546067	23.71575597
5.659220101	23.75529363
5.668546067	23.71575597
5.654554071	23.69119812
5.342061046	21.24347972
4.068767885	14.67267298
2.800140729	8.64767332
1.517521603	3.624664209
0.248891425	-1.62533034
-1.01973573	-6.728684792
-2.31168387	-11.52384429
-3.561656021	-15.82644629
-4.848941178	-20.30617182
-6.117571356	-24.71848684
-7.087697458	-27.54487785
-7.092363489	-27.16896707
-7.083034475	-27.08270803
-6.229507353	-20.28477028
-4.942222196	-13.87794623
-3.67359504	-8.23015704
-2.42362289	-3.445995313
-1.127008719	1.538844994
-0.711908711	0.472850881
-0.711908711	0.472844555
-0.721234676	0.491398249
-0.716571694	0.450706864
-0.721234676	0.470457425
-0.716571694	0.429772121
-0.721234676	0.386668176
-0.716571694	0.408818491
-0.702579697	0.349574222
-0.711908711	0.389061632
-0.716571694	0.429772121
-0.711908711	0.389080656
-0.721234676	0.407621846
-0.721234676	0.386668176
-0.721234676	0.365727352
-0.721234676	0.386661749
-0.70724268	0.369305728
-0.716571694	0.366923998
-0.240834621	4.909556928
1.00913753	9.924239107
2.315077691	14.63914145
