"Saatcioglu, 1999, Specimen RC-2"	
3661	
-0.28	8.3351
0.11	12.8077
0.49	14.1786
0.92	15.5276
1.41	18.5963
1.77	19.894
2.22	21.8363
2.96	25.565
3.59	28.1461
3.77	28.555
3.92	28.6891
4.06	29.0215
4.21	29.2456
4.25	29.602
4.58	31.305
4.7	31.8042
5.09	33.4168
5.14	33.0848
5.14	25.6048
5.09	25.2568
4.73	20.169
4.16	15.2176
3.39	11.614
2.3	7.1991
1.08	1.2533
-0.66	-6.4059
-1.13	-7.9613
-1.21	-8.3142
-1.45	-8.5227
-1.5	-10.5307
-2.13	-11.0118
-2.4	-13.5751
-2.95	-14.6634
-3.09	-14.8859
-3.54	-16.9281
-3.97	-18.0271
-4.21	-19.6156
-4.26	-19.4836
-4.49	-14.4905
-4.23	-9.4188
-4	-7.1119
-3.85	-6.1878
-3.71	-5.0254
-2.64	1.2063
-1.76	6.3476
-1.06	10.3499
-0.64	12.3473
-0.47	12.5146
0.34	16.2546
0.8	18.3984
1.3	20.8886
2.13	24.3318
2.84	27.0957
3.35	28.3576
3.58	28.8745
3.63	29.0825
3.94	29.5123
3.92	29.8191
3.92	29.8891
3.92	29.7191
4.08	26.4347
4.27	25.6452
4.25	23.912
3.63	16.0325
3.49	15.2101
3.13	13.5023
2.22	8.8063
1.46	3.9343
1.13	3.2913
0.1	-2.074
0.08	-2.4972
-0.87	-6.6796
-1.3	-8.0186
-1.35	-8.3066
-1.37	-8.4399
-1.57	-9.1319
-2	-11.161
-2.64	-13.7437
-2.87	-13.1306
-2.93	-13.0002
-3.06	-12.8211
-3	-12.7714
-3.06	-12.5111
-3.09	-12.5759
-3.09	-12.4059
-3.08	-9.9943
-3.01	-7.713
-2.9	-6.2054
-2.88	-5.8322
-2.75	-4.0513
-2.19	2.0386
-2.06	2.9894
-1.47	6.3241
-1.32	7.3782
-0.63	10.4189
-0.54	9.3333
-0.56	9.4301
-0.56	9.5701
-0.51	9.3682
-0.54	9.4633
-0.52	9.3666
-0.51	9.4682
-0.52	9.2666
-0.49	9.3414
-0.52	9.4366
-0.47	9.3046
