"Davey 1975, Spec. 2"	
415	
0	0
0.33581	15.36
1.0075	38.4
1.3433	54.722
2.0149	76.799
2.8545	93.119
3.6939	112.32
4.7015	129.6
5.7089	146.88
6.5484	159.36
7.2202	172.8
8.2276	187.2
8.3955	177.6
8.2276	159.36
7.8918	137.28
7.3881	120
6.8842	108.48
5.8768	86.398
4.8694	64.317
3.526	41.279
2.8545	26.88
1.6791	5.76
1.5112	-0.96002
0	-28.799
-0.83955	-48.962
-2.0149	-69.121
-2.6866	-87.359
-3.526	-103.68
-3.8618	-115.2
-4.7015	-134.4
-5.7089	-146.88
-6.3805	-158.4
-7.556	-172.8
-8.2276	-184.32
-8.8991	-188.16
-9.4028	-189.12
-8.8991	-173.76
-8.0597	-153.6
-6.8842	-134.4
-6.2126	-113.28
-4.5336	-87.359
-3.8618	-69.121
-2.1828	-40.319
-0.83955	-16.32
0.16791	7.6799
1.0075	29.76
2.1828	58.561
2.6866	74.881
3.6939	89.28
4.5336	107.52
5.2052	121.92
6.0447	140.16
7.2202	156.48
7.8918	169.92
8.2276	178.56
8.2276	168
7.8918	148.8
7.3881	130.56
6.5484	111.36
5.7089	96.002
5.0373	81.603
4.5336	71.999
3.526	52.8
2.5186	28.799
1.3433	4.8001
0	-24.96
-1.0075	-45.118
-2.0149	-59.522
-2.1828	-69.121
-3.3581	-89.28
-4.1979	-107.52
-4.7015	-120
-5.541	-134.4
-6.5484	-150.72
-7.3881	-163.2
-8.2276	-172.8
-9.067	-179.52
-9.2349	-179.52
-8.7312	-168
-7.8918	-150.72
-7.0523	-134.4
-6.2126	-120
-4.8694	-100.8
-4.3658	-78.72
-2.6866	-55.678
-1.6791	-34.559
0	-0.96002
1.0075	21.12
2.1828	53.761
3.3581	77.759
5.541	124.8
6.7163	145.92
8.3955	173.76
10.075	204.48
11.586	227.52
12.929	247.68
14.944	269.77
17.462	286.08
20.653	299.53
22.5	307.21
26.025	311.98
24.179	271.67
22.164	227.52
19.813	187.2
18.974	173.76
17.295	149.76
15.616	125.76
14.272	105.6
13.097	89.28
11.418	64.317
10.075	41.279
6.7163	-0.96002
2.5186	-47.04
0.16791	-71.999
-1.847	-96.002
-3.6939	-117.12
-5.3731	-137.28
-8.2276	-172.8
-10.075	-197.76
-12.593	-223.68
-14.44	-240
-15.951	-251.52
-17.63	-270.71
-20.485	-288.96
-22.668	-300.47
-25.186	-310.08
-23.843	-271.67
-22.5	-242.88
-21.157	-212.16
-19.31	-188.16
-17.63	-161.28
-15.616	-132.48
-13.433	-102.72
-11.082	-77.759
-7.556	-33.601
-4.7015	-4.8001
-3.0223	18.24
-0.50373	38.4
1.1754	62.4
5.2052	103.68
8.5634	142.08
10.243	166.08
12.593	193.92
14.608	218.88
16.455	237.12
17.63	249.6
19.31	266.87
22.164	287.99
25.186	307.21
27.536	321.59
29.047	327.36
32.238	334.07
36.269	336.95
42.481	340.81
47.183	342.72
51.379	341.75
56.586	341.75
60.112	342.72
61.455	341.75
60.447	320.63
58.6	284.15
55.578	234.24
53.228	199.68
51.379	175.68
48.189	135.36
45.839	107.52
43.487	81.603
40.803	50.879
36.939	14.4
35.093	-0.96002
31.064	-27.841
28.209	-47.04
24.683	-68.16
20.317	-92.158
15.448	-110.4
10.243	-125.76
7.556	-134.4
1.5112	-153.6
-2.1828	-168.96
-8.2276	-190.08
-17.63	-231.36
-21.157	-242.88
-25.69	-261.12
-28.712	-270.71
-35.766	-290.89
-43.487	-308.15
-49.197	-315.85
-56.754	-320.63
-61.791	-320.63
-60.447	-293.76
-58.6	-260.16
-56.081	-223.68
-49.868	-147.84
-47.518	-122.88
-44.16	-86.398
-40.297	-52.8
-36.269	-16.32
-30.726	24.96
-24.515	57.6
-17.63	87.359
-10.746	114.24
-3.526	139.2
4.0297	165.12
11.586	187.2
17.798	201.6
25.018	221.76
28.209	228.48
34.422	251.52
41.808	269.77
46.007	280.31
49.7	288.96
55.745	298.56
60.279	305.28
62.461	308.15
61.12	289.92
59.609	263.03
58.936	250.56
55.075	203.52
53.061	175.68
50.709	147.84
47.854	118.08
45.672	94.08
43.487	73.921
40.297	45.118
33.078	-1.92
28.377	-28.799
24.683	-47.04
19.477	-72.96
14.776	-92.158
8.7312	-114.24
2.1828	-136.32
-3.3581	-153.6
-12.425	-177.6
-17.63	-188.16
-25.186	-204.48
-29.385	-217.92
-33.246	-231.36
-38.786	-251.52
-43.152	-266.87
-46.848	-280.31
-54.74	-299.53
-62.126	-314.89
-61.12	-296.63
-59.776	-274.57
-58.097	-242.88
-55.745	-210.24
-54.234	-193.92
-51.717	-161.28
-49.533	-138.24
-44.999	-93.119
-39.794	-48.001
-33.749	-4.8001
-28.377	28.799
-21.66	61.439
-14.608	88.319
-8.7312	110.4
-2.6866	131.52
4.0297	155.52
11.921	178.56
19.477	196.8
25.354	212.16
30.897	225.6
36.269	240
42.481	255.35
47.183	270.71
52.723	285.12
57.76	294.73
62.294	301.44
61.288	286.08
58.936	239.04
56.921	213.12
55.242	190.08
52.723	160.32
50.373	132.48
47.686	103.68
44.496	72.96
39.124	33.601
34.59	7.6799
28.209	-21.12
21.996	-47.04
16.791	-68.16
12.089	-88.319
6.2126	-114.24
0.83955	-133.44
-3.8618	-146.88
-12.761	-169.92
-17.462	-180.48
-21.325	-190.08
-27.033	-203.52
-33.917	-223.68
-35.093	-227.52
-38.618	-240
-41.979	-250.56
-45.504	-260.16
-49.197	-269.77
-55.075	-285.12
-58.433	-295.67
-60.615	-300.47
-61.791	-304.31
-60.279	-264.96
-58.936	-245.76
-56.921	-212.16
-54.907	-186.24
-50.876	-140.16
-45.839	-90.241
-41.808	-62.4
-38.283	-36.48
-34.087	-11.52
-29.047	15.36
-23.171	47.04
-17.966	68.16
-12.425	90.241
-5.8768	114.24
0	132.48
5.3731	148.8
13.097	169.92
20.821	190.08
27.536	207.36
33.078	223.68
34.925	228.48
32.07	175.68
30.223	153.6
28.712	135.36
26.195	111.36
25.018	98.88
23.675	86.398
21.996	72.96
17.295	36.48
15.112	20.16
12.089	-0.96002
15.951	29.76
19.981	63.36
22.668	91.197
26.195	121.92
30.223	165.12
32.238	187.2
34.925	206.4
37.612	222.72
41.305	236.16
45.504	250.56
49.197	262.09
52.052	270.71
56.586	281.28
61.288	291.83
66.492	300.47
72.202	305.28
76.566	310.08
81.605	311.05
86.642	314.89
91.006	319.69
89.665	285.12
88.153	261.12
85.801	228.48
82.779	192.96
80.764	170.88
78.415	147.84
75.895	127.68
73.376	102.72
69.012	70.077
66.324	47.04
62.126	18.24
59.103	0
52.89	-24
45.839	-46.079
40.297	-67.199
33.749	-91.197
26.195	-114.24
18.638	-134.4
9.9068	-155.52
2.5186	-172.8
-3.8618	-185.28
-10.41	-199.68
-18.134	-214.08
-26.698	-227.52
-25.186	-192.96
-23.675	-169.92
-21.492	-148.8
-18.806	-121.92
-15.112	-92.158
-12.257	-70.077
-9.5707	-52.8
-6.2126	-29.76
-1.3433	-1.92
-5.3731	-30.721
-8.5634	-53.761
-11.25	-76.799
-14.776	-102.72
-17.63	-132.48
-18.974	-146.88
-21.492	-169.92
-23.004	-184.32
-26.025	-201.6
-29.047	-216.96
-39.962	-252.48
-44.328	-262.09
-51.211	-277.44
-56.921	-288.96
-62.799	-299.53
-68.003	-309.11
-79.924	-319.69
-87.48	-323.52
-92.349	-324.47
-100.07	-323.52
-99.235	-296.63
-97.892	-266.87
-96.213	-246.72
-94.196	-224.64
-91.679	-195.84
-89.832	-175.68
-86.81	-144.96
-82.108	-107.52
-77.742	-73.921
-72.705	-37.439
-68.506	-12.48
-66.492	0
