"Wong et al. 1990, Spec. 1"	
10.168	-102.82
6.3866	-124.23
3.0251	-135.66
0.33614	-145.66
-1.5966	-157.08
-4.1176	-171.36
-6.8067	-179.93
-8.7394	-187.07
-12.101	-195.64
-15.294	-204.2
-17.815	-208.49
-22.101	-208.49
-25.883	-207.06
-28.74	-199.92
-31.427	-187.07
-33.531	-164.22
-34.369	-138.52
-34.958	-124.23
-35.547	-109.96
-34.958	-99.96
-33.193	-65.687
-31.514	-38.556
-29.916	-18.564
-27.816	0
-25.461	21.42
-23.109	39.984
-18.151	65.687
-14.622	79.97
-11.513	94.249
-8.9916	107.1
-6.1344	122.81
-3.1092	142.8
-1.0924	149.94
0.084033	151.37
