"Wong et al. 1990, Spec. 1"	
-3.0251	-172.79
-3.6134	-201.35
-4.1176	-235.62
-4.7899	-268.46
-5.3782	-304.16
-5.8824	-331.29
-6.3866	-352.72
-6.8908	-371.28
-7.479	-371.28
-7.2268	-354.15
-6.8908	-332.72
-6.3025	-295.6
-5.4623	-259.9
-4.874	-228.48
-4.3698	-194.21
-4.1176	-158.51
-3.5293	-124.23
-2.6891	-81.398
-2.1008	-54.264
-1.6807	-24.276
-1.0084	-1.428
-0.58824	24.276
0	55.692
0.67226	85.682
1.5126	125.66
2.521	161.36
3.1933	189.93
3.6134	215.63
4.2017	245.62
4.874	278.46
5.4623	307.02
6.1344	329.87
6.8067	351.29
7.2268	367
6.9748	345.58
6.5547	302.74
5.8824	267.04
5.2941	238.48
4.7059	207.06
4.1176	178.5
3.5293	144.23
2.7732	108.53
1.9328	74.254
1.4286	42.84
0.67226	7.1398
0.50419	-15.708
-0.2521	-57.12
-1.0924	-87.11
-1.9328	-124.23
-2.8572	-168.5
-3.6134	-197.07
-4.1176	-225.62
-4.5377	-254.18
-5.2941	-292.74
-5.7142	-315.59
-6.0505	-335.58
-6.4707	-351.29
-6.7226	-361.28
-7.1427	-372.71
-7.1427	-357
-6.7226	-317.02
-6.1344	-282.74
-5.4623	-247.05
-4.7899	-208.49
-4.2017	-167.08
-3.6134	-131.38
-3.0251	-97.105
-2.521	-68.543
-1.5966	-35.7
-0.84033	0
-0.2521	31.416
0.084033	67.115
0.67226	92.821
1.5126	129.95
2.6891	171.36
3.5293	207.06
4.2017	245.62
4.9581	279.89
5.7142	317.02
6.4707	349.86
7.2268	367
6.8067	345.58
6.5547	311.3
5.9665	274.18
5.21	237.05
4.7899	208.49
4.1176	174.21
3.6134	131.38
2.521	92.821
1.6807	54.264
1.0084	18.564
0.2521	-18.564
-0.16807	-54.264
-0.92438	-81.398
-1.9328	-118.52
-2.6891	-154.22
-3.3614	-194.21
-4.0335	-228.48
-4.7899	-268.46
-5.3782	-292.74
-5.7983	-321.3
-6.6385	-349.86
-6.9748	-367
-7.395	-365.57
-7.0589	-344.15
-6.3866	-307.02
-5.9665	-278.46
-5.21	-245.62
-4.7059	-201.35
-3.7816	-159.94
-3.3614	-109.96
-2.6891	-75.682
-1.9328	-44.268
-1.1765	-8.5682
-0.33614	24.276
0.50419	59.975
1.2605	97.105
1.9328	135.66
2.3529	172.79
3.0251	195.64
3.9497	235.62
5.0419	275.6
5.7142	314.16
6.4707	344.15
6.9748	371.28
7.8991	399.84
9.2438	422.69
9.6639	415.55
9.5799	381.27
8.9916	351.29
8.2352	295.6
7.5631	257.04
6.7226	217.06
5.8824	178.5
4.7899	135.66
4.7059	124.23
3.9497	94.249
2.8572	59.975
1.6807	18.564
0.75631	-24.276
-0.50419	-68.543
-1.0924	-95.677
-1.5966	-122.81
-2.437	-154.22
-3.1933	-189.93
-4.1176	-232.76
-4.874	-272.75
-5.4623	-301.31
-6.5547	-345.58
-7.5631	-379.85
-8.4033	-406.98
-9.3276	-421.26
-9.6639	-416.98
-9.5799	-388.41
-9.4117	-347.01
-8.9916	-315.59
-8.0673	-271.32
-7.1427	-224.19
-5.7983	-167.08
-4.7059	-117.1
-3.8656	-71.398
-2.605	-22.848
-1.2605	18.564
-0.42017	54.264
0.67226	95.677
1.7647	142.8
3.6134	199.92
4.6218	235.62
6.1344	279.89
6.8908	314.16
7.731	351.29
8.5715	378.42
9.3276	396.99
9.748	402.7
9.3276	382.7
8.8235	344.15
8.4033	314.16
7.6472	274.18
6.9748	239.91
6.3025	197.07
5.5463	158.51
4.3698	111.38
3.1092	71.398
2.2689	34.272
1.2605	1.428
0.2521	-31.416
-0.67226	-67.115
-1.5966	-104.24
-2.437	-144.23
-3.5293	-185.64
-4.5377	-238.48
-5.5463	-282.74
-6.7226	-325.58
-7.9832	-364.14
-9.0757	-399.84
-9.5799	-406.98
-9.4958	-375.56
-9.2438	-345.58
-8.7394	-308.45
-8.0673	-258.47
