"Saatcioglu, 1999, Specimen RC-9"	
2628	
0.01	5.5529704
0.08	5.573763203
0.49	15.33554961
0.58	15.8122832
1.22	19.66238865
1.53	20.95447086
1.91	23.4673457
2.1	24.94378305
2.15	24.73863498
2.56	27.36042062
2.56	27.87042062
2.78	28.5957689
3.06	30.74893931
3.37	32.56102064
3.47	33.59072425
3.73	34.04795352
3.85	34.94359774
3.97	34.73924193
4.25	36.88241154
4.58	37.88043258
4.8	39.59577976
4.99	41.41221583
5.4	42.3639985
5.66	43.92122623
5.9	45.02251313
5.97	45.8033051
6.32	47.04726465
6.52	48.17666987
6.68	48.88419392
6.92	49.70547978
6.99	49.79627144
7.11	50.10191423
7.07	49.96003331
7.14	47.77082492
6.18	32.01568089
5.8	29.04281028
5.44	26.01587971
5.13	23.52380022
4.51	19.80964027
4.39	19.35399626
3.58	14.26339819
2.73	9.320917029
1.68	1.87902674
0.82	-2.926427226
0.2	-7.140591992
-0.13	-8.638615205
-0.92	-12.68327675
-2.49	-20.20962797
-2.85	-21.24656152
-3.28	-23.44428737
-3.66	-25.08716104
-4.09	-26.57488607
-4.36	-27.75508526
-4.76	-29.46389846
-5.28	-31.57835485
-5.83	-34.43172114
-6.5	-37.01072936
-6.86	-37.31765834
-7.05	-38.89409284
-7.4	-39.61805069
-7.41	-39.1710209
-7.4	-38.99805069
-7.4	-38.51805069
-7.36	-37.36616982
-7.29	-34.79537829
-6.91	-25.69250954
-6.79	-24.34686664
-6.54	-22.03261038
-6.12	-18.25785925
-5.4	-13.5239985
-4.71	-8.839046839
-4.26	-6.33538188
-3.9	-4.228449491
-3.31	-0.093198461
-2.59	4.230668243
-2.07	6.855128108
-1.38	10.72008504
-1.04	12.26107848
-0.26	16.63276959
0.29	20.65614161
0.99	24.58406953
1.39	27.39288536
1.63	29.11417478
2.01	30.91704957
2.58	32.97636138
3.22	37.13646518
3.8	41.09874599
4.28	43.54132256
4.39	44.23399626
4.56	44.38449192
4.83	46.81469072
5.16	47.66271115
5.47	49.79479061
5.73	51.66201826
6.11	53.21488898
6.71	54.95310467
7.09	56.05597377
7.14	55.73082492
7.2	55.40864628
7.18	50.78270583
7.01	47.77221191
6.82	43.02577737
6.76	41.1079559
6.26	36.82944305
5.37	31.7750876
4.8	27.78577976
4.13	23.85676745
3.73	20.39795352
3.42	20.10587245
2.72	15.41794665
2.04	11.38596073
1.75	9.059819473
0.92	4.713276753
0.58	1.652283204
-1.06	-6.274862313
-2.85	-17.10656152
-3.06	-18.34893931
-3.59	-21.05636855
-4.02	-22.52409366
-4.33	-24.09617425
-4.81	-27.37875008
-4.97	-27.69627519
-5.38	-29.5080579
-5.76	-31.34092913
-6.09	-33.88894843
-6.62	-35.59637242
-6.86	-36.83765834
-7.29	-38.34537829
-7.22	-38.01458673
-7.22	-37.84458673
-7.29	-37.62537829
-6.21	-20.2145917
-4.28	-6.371322558
-3.61	-3.62230926
-2.92	0.712645876
-2.09	5.339187336
-1.26	9.99572977
-0.64	13.3498944
1.13	23.69565509
1.58	27.68932283
1.94	28.10625686
2.3	30.83319073
2.63	32.51121327
2.61	32.91527251
2.8	33.63170965
3.15	36.49567262
3.42	37.91587245
3.85	39.18359774
4.47	43.11775894
4.97	46.29627519
5.39	49.0410282
5.56	49.30152329
5.97	51.0733051
6.23	52.46053224
6.4	53.82102676
6.87	54.62062858
7.11	55.62191423
7.11	55.41191423
7.2	54.09864628
6.7	42.27013442
6.3	38.53132411
5.66	34.17122623
5.63	33.88231535
5.59	32.98043417
4.85	28.42063136
4.51	26.20964027
4.18	24.12161916
2.65	14.70715402
2.42	12.80883531
1.79	10.35170103
1.34	7.358033388
-2.02	-12.39001996
