"henry et al. 1998,No.415s"	
-36.7792	-220.7785827
-34.8488	-201.455508
-32.8676	-183.9606525
-31.1912	-169.8153078
-29.21	-151.7421834
-27.1526	-134.0916401
-25.1968	-118.2782123
-23.5458	-105.0892353
-21.5392	-89.60942413
-19.5326	-74.16075052
-17.5514	-59.66844454
-15.9512	-47.07108097
-13.8938	-32.26739949
-11.8872	-18.13984768
-9.9822	-5.996202717
-8.2804	0.938574758
-6.2992	10.25315079
-4.2672	19.6878288
-2.3368	27.95707276
-0.6096	35.18543286
-0.254	36.43538313
0.127	35.30553484
0.889	40.9191905
2.2606	46.51505327
3.429	51.13675551
4.8768	56.75041117
5.9436	61.12746123
7.366	66.91459753
8.509	72.00336304
9.906	78.36431993
11.0236	84.2893511
12.4714	92.33618397
12.6746	93.32368917
12.9032	93.11907097
11.9888	82.48337313
10.8966	72.07453458
9.4742	60.39795288
8.3312	51.76395476
6.9088	41.43963243
5.8166	34.19347944
4.4196	25.31482913
3.302	18.13984768
1.8796	9.225611598
0.762	2.206317914
0.4572	0.658336797
0.127	-0.520441927
-0.6604	-3.856608127
-2.032	-12.07692164
-3.175	-19.37645329
-4.5974	-28.56647912
-5.6896	-35.53239414
-7.112	-44.9359346
-8.2296	-52.91159593
-9.6012	-62.92009453
-10.7442	-71.22492426
-12.192	-82.03410275
-12.446	-83.55984276
-12.6746	-84.32493687
-11.9634	-76.19358779
-10.5156	-62.81333721
-9.4234	-54.00585845
-7.9756	-42.84971867
-6.8834	-34.54488895
-5.4864	-24.39404725
-4.3688	-16.96106896
-2.921	-7.36625497
-1.8288	-1.24995027
-0.381	5.836066739
-0.0254	8.042384653
0.127	8.077970426
1.0668	14.97716213
3.048	27.52114704
4.6482	37.94777847
6.1976	48.28544547
8.1788	61.23421855
9.7028	71.86546817
11.2776	82.83033441
13.2588	96.78440557
14.8336	107.1220726
16.4084	117.0949854
18.3388	129.4832826
19.9136	140.0656017
21.463	149.9006197
23.4188	162.4801904
25.019	172.5598605
26.5684	181.7676792
28.5242	192.923819
30.099	201.7179531
31.6484	210.4542603
33.655	221.1611297
35.179	229.1367911
36.703	236.7476982
38.6334	245.7464505
40.259	251.4624153
42.2402	254.5895151
43.7896	256.5734219
45.3898	259.1267011
47.2694	260.4967533
48.895	262.0625273
50.4698	262.8810001
50.8508	261.3863977
51.0286	248.8557574
50.2158	239.4922509
48.2854	221.2990246
46.736	206.6688238
45.1612	192.1943107
43.2054	174.4548029
41.6052	159.9980827
40.0558	146.3553871
38.1	132.4369017
36.5252	119.3013033
34.9504	106.8106971
32.9946	92.74986858
31.4198	81.02435644
29.845	69.5034625
27.8892	55.13125851
26.289	43.99735985
24.765	33.29049045
22.8346	21.11125971
21.2344	12.8909462
19.7104	4.4482216
17.7038	-3.442923518
16.1036	-11.32962042
14.1986	-19.34086752
12.5984	-25.8041335
10.9728	-31.53789114
9.0678	-37.8098836
7.4676	-43.25005862
5.8928	-48.1475506
3.937	-53.81458492
2.3876	-58.36511561
0.7874	-63.26705582
0.3302	-64.03214993
0.127	-63.7163262
-0.889	-68.21792646
-2.8194	-73.89830544
-4.4196	-79.02710495
-5.9436	-84.09807757
-7.9248	-90.89496017
-9.4234	-97.06019531
-10.9982	-104.0305586
-13.0302	-113.7098888
-14.6304	-121.1962457
-16.1544	-129.572247
-18.0594	-140.1011875
-19.685	-149.104388
-21.2598	-157.6850075
-23.1902	-167.8847796
-24.8158	-176.3141596
-26.3398	-183.99179
-28.2956	-193.4264681
-29.8704	-200.5881048
-31.4706	-208.0922547
-33.4264	-217.131041
-35.0012	-223.3674476
-36.5252	-229.0300337
-38.481	-233.8608024
-40.0812	-237.5305852
-41.6306	-240.2751379
-43.6372	-243.4022377
-45.212	-246.0088956
-46.7614	-247.4857052
-48.7172	-248.1262491
-50.292	-248.0417329
-50.673	-246.5649233
-50.8	-234.3678997
-49.784	-223.6432374
-48.2346	-208.8573488
-46.3042	-191.117841
-44.704	-177.5996956
-43.1546	-165.5939455
-41.1988	-149.4691422
-39.5986	-136.2267865
-38.0746	-124.4123099
-36.0934	-109.6442142
-34.544	-97.6340159
-32.9692	-86.04639863
-30.988	-72.39035832
-29.3878	-62.93788742
-27.8892	-52.33777535
-25.908	-39.68703312
-24.3332	-29.34936612
-22.7838	-19.94582565
-20.828	-9.714915974
-19.2532	-2.535486312
-17.6784	2.673381182
-15.7226	10.6668354
-14.1478	16.43617881
-12.5984	21.97866293
-10.6172	28.53089334
-9.0424	33.29049045
-7.0866	38.921939
-5.5118	43.56143413
-3.937	48.44558145
-2.0574	53.53434696
-0.4064	58.3829085
-0.1524	58.76545556
0.1016	58.29394407
1.3716	63.44053646
2.9464	67.78200074
4.4958	72.19463657
6.4516	77.53250249
8.0518	82.41220158
9.6012	87.22517735
11.5316	93.68844334
13.1572	99.68464606
14.7066	105.8365365
16.6878	114.3326398
18.2372	121.6499643
19.7866	129.4654897
21.7932	139.2827147
23.3426	146.8446915
24.892	154.00188
26.8224	163.4187651
28.4226	171.1008438
29.972	178.2758253
31.9024	187.1366827
33.528	194.489593
35.0774	200.8461017
37.0332	208.7550397
38.5826	214.9024819
40.513	222.1486349
42.1386	228.1982163
43.7134	233.6028055
45.6692	239.6301458
47.1932	244.149539
48.7934	248.3353155
50.6476	251.8093766
50.8508	251.4446224
51.0286	248.0906633
49.9872	235.9292254
48.4378	220.4983447
46.5328	202.878939
44.9072	188.3732883
43.3578	174.9040733
41.4274	158.7303396
39.7764	145.2967103
38.2524	132.7705183
36.322	116.6590597
34.7726	104.2040392
33.147	91.8468796
31.1912	76.90530324
29.6164	65.45558084
28.067	54.22826953
26.1366	41.35511622
24.5364	32.78784141
22.9616	23.70012468
21.0312	12.28598806
19.4056	3.509646842
17.8308	-1.997251498
15.875	-10.60011207
14.3002	-16.94327607
12.7508	-22.88610013
10.7442	-29.71412029
9.2202	-34.97636644
7.62	-40.17188927
5.715	-45.97681846
4.1148	-51.03444642
2.54	-55.58497711
0.6096	-61.14525411
0.381	-61.47442251
0.1778	-60.90505015
-0.8382	-65.26430732
-2.8194	-70.63331079
-4.3942	-75.23722014
-5.969	-79.54754687
-7.9248	-85.0722381
-9.4742	-89.83183521
-11.0236	-95.09852959
-13.0302	-102.2245806
-14.5796	-108.5632964
-16.1798	-115.4446952
-18.0848	-124.1854506
-19.685	-131.4671894
-21.2852	-138.5220688
-23.241	-147.3295476
-24.8158	-154.6824579
-26.3652	-161.5460638
-28.3464	-169.899824
-29.8958	-176.4342615
-31.4706	-182.986492
-33.4518	-190.7886726
-35.0266	-196.6247394
-36.576	-202.2739808
-38.481	-208.6660753
-40.0812	-214.0884574
-41.656	-218.9726047
-43.6372	-224.9643592
-45.212	-229.9196781
-47.0916	-234.6258965
-48.7172	-238.9362232
-50.292	-241.943221
-50.673	-241.3160218
-50.8	-239.212013
-49.8856	-228.7364511
-47.9298	-210.6143963
-46.4058	-197.9458612
-44.8056	-184.8280557
-42.9006	-168.8233544
-41.275	-155.0294192
-39.7002	-141.9605441
-37.7698	-126.5163187
-36.1442	-113.8121979
-34.5948	-101.6996904
-32.6644	-87.34972756
-31.0388	-76.03790003
-29.5148	-67.29714459
-27.559	-55.06453519
-26.0096	-45.19393146
-24.4094	-34.71836959
-22.5298	-23.05958077
-20.8788	-13.70941897
-19.3294	-5.560277
-17.399	1.214364497
-15.7734	7.975661329
-14.1986	13.97186405
-12.2936	20.74650554
-10.6934	26.235611
-9.144	31.27544607
-7.1374	36.99141083
-5.588	41.56418263
-4.0386	46.32377974
-2.1082	51.65719744
-0.4572	56.54134476
-0.0254	57.11516534
0.127	56.85272027
1.1938	61.30094187
3.0734	66.41194849
4.699	71.08258117
6.2738	75.48187233
8.2042	80.93539201
9.779	85.64605869
11.3284	90.89051195
13.3096	97.49612103
14.8844	103.2476716
16.4592	109.6575589
18.3642	117.4775325
19.9644	125.1418183
21.5646	132.7527254
23.4696	141.9249584
25.0952	149.6559675
26.6446	157.0266707
28.575	165.6428759
30.1498	173.0980953
31.7246	180.6200381
33.7058	189.8500979
35.2806	196.7804271
36.8554	203.3993809
38.735	210.1072991
40.3606	215.8099191
41.91	221.7349503
43.8658	228.7720369
45.466	234.3456586
47.0154	239.5411814
48.9712	245.3283177
50.5206	249.4473709
50.9016	248.7890341
51.0286	246.2001691
49.8856	233.2024656
48.2854	217.1621785
46.7106	203.8886853
44.7802	186.8964787
43.2308	173.4984353
41.656	159.9980827
39.6748	143.8199008
38.1508	131.3604321
36.5506	118.2604195
34.6456	103.1409142
33.02	90.52575778
31.4452	78.7290741
29.5402	64.79279583
27.9146	53.44983075
26.3398	43.42353926
24.4094	32.38750147
22.86	23.49105827
21.2344	13.97186405
19.2786	3.438475297
17.7038	-2.015044385
16.1544	-9.052130956
14.224	-16.5785219
12.573	-22.43238153
11.0236	-27.95707276
9.0678	-34.3714083
7.493	-39.72261889
5.9182	-44.55338755
3.9878	-50.38945428
2.413	-54.96222609
0.8382	-59.70403032
0.3048	-60.58922641
0.127	-60.29564379
-0.8382	-64.32573256
-2.8194	-69.67694314
-4.3942	-74.16075052
-6.2992	-79.04489783
-7.8994	-83.78670206
-9.4742	-88.37281853
-11.3792	-94.31564258
-12.9794	-100.1917433
-14.5542	-106.1657049
-16.51	-113.6209243
-18.0594	-120.2932567
-19.6596	-127.5216168
-21.6408	-136.2445794
-23.1902	-143.2994588
-24.7904	-150.5634047
-26.67	-158.6769609
-28.2956	-165.8875281
-29.845	-172.4753443
-31.8008	-180.397627
-33.401	-187.0699594
-35.0012	-193.0127834
-36.9316	-199.9253198
-38.4556	-205.2631857
-40.0812	-210.7167054
-42.0624	-216.9219745
-43.6118	-221.7171574
-45.1866	-226.565719
-47.0916	-231.5521754
-48.6918	-236.0537756
-50.2666	-239.5634225
-50.673	-239.3365632
-50.8508	-237.2503473
-49.8348	-226.1475861
-48.2854	-211.290526
-46.3296	-193.586604
-44.7294	-179.9617013
-43.1546	-168.494186
-41.2242	-152.8231013
-39.624	-139.8076049
-38.0746	-127.4860311
-36.1188	-112.0729432
-34.5694	-100.1739504
-32.9692	-88.79095136
-30.988	-76.47382575
-29.4386	-66.89680464
-27.8892	-56.54134476
-25.9588	-43.78829343
-24.3586	-33.37945489
-22.5044	-22.06762736
-20.828	-12.87760153
-19.2532	-4.86635443
-17.3482	1.512395344
-15.748	8.149141971
-14.1986	13.69162608
-12.2428	19.99920431
-10.6426	25.64844575
-9.0932	30.70162548
-7.1374	36.78234441
-5.5372	41.63090595
-3.937	46.51505327
-2.0828	51.74616187
-0.4572	56.64365385
0.2032	49.1572969
0.4572	51.31023616
1.0922	56.33227834
2.1082	62.5019617
3.5052	68.02665293
4.5466	71.74536619
5.6134	75.25501303
6.7056	78.59117923
8.1026	83.00381506
9.2202	86.26880971
10.2616	89.48487393
11.303	92.70093814
12.6746	96.99347199
13.7668	100.6054279
14.8082	104.4620361
15.875	108.4609873
16.9164	112.7001425
17.3736	114.1947449
17.5768	113.8967141
17.0434	107.2777603
16.002	97.32264039
14.605	85.45478516
13.5382	77.16774832
12.446	69.41449807
11.43	62.20393085
10.0584	53.22297144
9.017	46.44388173
7.874	39.59806868
6.7818	33.48176398
5.4102	25.52389554
4.3434	19.54548571
3.302	13.84731384
2.2606	8.304829727
0.889	1.459016685
0.6858	0.69392257
0.508	0.13789487
-0.0508	-1.58356689
-1.397	-7.748802027
-2.4638	-12.97991063
-3.5306	-18.1220548
-4.5974	-23.19747564
-5.9182	-29.7986365
-7.0612	-35.72366767
-8.1534	-41.44408065
-9.1948	-47.10666674
-10.2362	-52.8226315
-11.6332	-60.76270706
-12.6746	-66.84342598
-13.7414	-73.22217576
-14.7828	-79.44078955
-16.1544	-87.64331018
-16.3322	-88.67084937
-16.5354	-88.91105334
-15.875	-81.52700548
-14.7828	-72.21242945
-13.7414	-63.7163262
-12.3952	-53.8323778
-11.3284	-46.81308412
-10.2616	-39.8071351
-9.1948	-33.45062643
-8.1534	-27.19197864
-6.6802	-19.14959399
-5.6388	-13.32687191
-4.572	-7.819973573
-3.556	-2.606657858
-2.1336	2.660036517
-1.0668	8.029039988
0	13.6738332
0.4064	15.74225624
0.5588	16.16038907
2.3622	26.53364184
4.9022	40.79908852
7.4168	55.34032493
9.9568	69.92159533
12.5222	84.96548078
15.0876	100.205088
18.0594	117.2862589
20.574	130.2305838
23.0886	142.0628532
25.654	154.5401148
28.194	166.3723843
30.6832	177.6842118
33.2994	189.4675508
35.8394	199.8408036
38.4048	210.387537
40.9194	219.942317
43.434	228.2827325
46.0248	237.5617228
48.5394	245.8354149
51.0286	252.2453023
53.6448	256.7113168
56.1594	260.9682648
58.7502	264.6335994
61.2902	266.3016825
63.7794	268.2811411
66.3956	269.9180867
68.9102	271.3593105
71.4248	271.3593105
74.041	273.5478355
76.5556	274.1928276
76.962	272.2622995
77.216	255.9284298
75.3872	237.3704492
72.8472	214.9024819
70.3072	192.9416119
67.7672	172.8890289
65.2272	152.5250704
62.6872	133.1486172
60.1218	114.6128777
57.5818	96.38406563
55.0418	79.66764886
52.5018	63.3871578
49.9364	48.18313637
47.4218	33.82872527
44.8818	20.43513003
42.3164	8.411587046
39.8018	-0.400339944
37.2618	-10.31987411
34.6964	-18.62915206
32.1564	-26.04878569
29.5656	-33.01470072
27.051	-39.11321253
24.5364	-45.00265793
21.9964	-50.51400449
19.431	-55.58497711
16.891	-60.76270706
14.351	-65.49116662
11.3538	-70.86017009
8.8138	-75.32618457
6.3246	-79.61871842
3.7338	-84.24042066
1.1938	-88.49736873
0.9906	-88.44399007
0.762	-86.44673857
-1.3208	-92.96338322
-3.937	-97.93204675
-6.5024	-102.8117458
-9.017	-108.0428544
-11.6078	-114.2659165
-14.1224	-120.8314915
-16.7132	-128.669258
-19.2278	-136.8006071
-21.7424	-145.6258787
-24.3332	-155.0472121
-26.8478	-163.5922458
-29.3624	-171.9326613
-31.9532	-180.4332128
-34.5186	-189.5342742
-37.0586	-198.1193418
-39.5986	-205.6590775
-42.0878	-212.9408162
-44.704	-220.3248641
-47.1932	-226.285481
-49.7332	-231.1874212
-52.3494	-235.8625021
-54.864	-239.5100438
-57.4548	-243.0908622
-59.9694	-245.8710007
-62.484	-248.0773186
-65.0748	-250.6483907
-67.6148	-251.0309378
-70.1294	-252.2453023
-72.7202	-253.1660841
-75.2348	-254.4694131
-75.5142	-253.3751506
-75.7174	-238.7093639
-73.7616	-220.1513834
-71.1454	-198.9378146
-68.6054	-179.0053336
-66.1162	-159.6333286
-63.5508	-140.4481488
-61.0108	-121.8768236
-58.4708	-105.3160946
-55.9054	-87.90575526
-53.3908	-72.82183581
-50.8	-57.46212663
-48.2854	-43.49026258
-45.7454	-30.46142152
-43.18	-17.70837019
-40.64	-7.126051003
-38.1	0.41813283
-35.5346	8.932028973
-33.02	16.24490528
-30.4546	22.81492859
-27.8892	28.94902617
-25.3746	34.85626446
-22.7838	40.85246717
-20.2692	46.30598686
-17.7546	51.44813103
-15.1638	56.67923963
-12.6238	61.59897272
-10.0584	66.3941556
-7.5438	71.20713137
-4.9784	75.69093875
-2.4384	80.37936431
0.1016	84.95213612
0.635	84.95213612
0.8382	83.76890917
2.921	89.57383836
5.5372	94.40460702
8.0518	98.93734483
10.541	103.6302186
13.1572	108.9992221
15.6972	114.3326398
18.288	120.4667374
20.8026	126.8276943
23.3172	133.5845429
25.8826	141.19545
28.4226	148.6862552
30.9372	156.0880959
33.5534	164.3929257
36.068	171.6390787
38.608	180.1529748
41.148	187.5192298
43.688	194.2627337
46.2534	201.5088867
48.7934	208.1278404
51.308	214.4176258
53.8734	220.8986847
56.4134	226.6502352
59.0042	232.5040948
61.5188	237.7529963
64.0588	242.6549365
66.6242	247.5524285
69.1388	252.018443
71.6534	255.9462226
74.2696	259.5448339
76.7842	262.5162459
77.2414	261.5064996
77.4192	252.1563378
75.4634	232.6953683
72.898	210.3519512
70.358	189.1027967
67.8688	168.7877686
65.2526	149.344592
62.7126	129.8168992
60.2234	111.7615677
57.6072	94.08878328
55.0926	77.37236651
52.5272	61.4922154
50.0126	46.82642878
47.498	32.96132206
44.9072	19.75455213
42.3926	7.993454215
39.8526	-0.627199246
37.2618	-9.488056673
34.7472	-17.60161287
32.1818	-25.00345361
29.591	-31.41778916
27.1018	-37.68978162
24.511	-43.54364124
21.9964	-49.08612536
19.4564	-54.41954305
16.891	-59.8241323
14.351	-64.48142031
11.7602	-69.22767276
9.2456	-73.849375
6.7056	-78.2975966
4.1656	-82.77695575
1.6002	-86.77590697
1.2954	-86.89600896
0.9906	-85.8551251
-1.0922	-91.03285504
-3.7084	-95.34318177
-6.223	-99.47557964
-8.7376	-103.6835973
-11.3538	-108.5810893
-13.9192	-113.2383773
-16.4846	-118.6429665
-18.9992	-124.2566222
-21.5138	-130.1816533
-24.1046	-137.1119826
-26.6446	-143.8554865
-29.1338	-151.0126751
-31.6992	-158.5212732
-34.2646	-165.6606688
-36.83	-172.8223056
-39.3446	-179.4234665
-41.8846	-185.4018763
-44.4754	-191.9852443
-46.99	-198.1727205
-49.4792	-203.8886853
-52.0954	-209.4489623
-54.61	-214.5911064
-57.2008	-219.7199059
-59.7154	-224.7730857
-62.2808	-229.5193381
-64.8208	-234.1232475
-67.3608	-238.0510271
-69.8754	-241.9610139
-72.4916	-245.1726299
-75.0062	-247.4679123
-75.2602	-247.0497794
-75.6158	-242.0455301
-73.66	-223.4208263
-71.0692	-202.4830472
-68.5292	-182.3592927
-66.0146	-163.1429754
-63.4492	-144.2914123
-60.9346	-126.7031441
-58.42	-108.9992221
-55.8292	-92.64755948
-53.2892	-76.33148266
-50.6984	-61.26980432
-48.1838	-47.31573316
-45.6438	-33.5885213
-43.053	-21.79183762
-40.5384	-10.60011207
-38.0238	-1.356707588
-35.433	5.925031171
-32.9184	13.25570037
-30.353	20.29278694
-27.813	26.80943158
-25.273	32.97911494
-22.733	39.0242481
-20.2184	44.67348953
-17.653	50.1448021
-15.0876	55.77625064
-12.5476	60.66039796
-9.9822	65.62906149
-7.4422	70.40645148
-4.9276	75.08153239
-2.3876	79.68544174
0.2032	84.22262777
0.762	84.42724597
0.9652	83.12391704
2.7686	88.80874424
5.3086	93.37706783
7.874	97.8608752
10.3886	102.2379253
12.9794	106.9485919
15.5194	111.8994626
18.0594	117.2506732
20.5994	123.0911881
23.1394	129.4476968
25.6794	136.2267865
28.2194	143.4195608
31.1404	151.4841866
33.7312	159.5087784
36.2458	166.9639978
38.8366	174.957452
41.3512	181.8210579
43.8658	188.4578045
46.482	195.6505789
48.9712	202.1494306
51.4858	208.3724926
54.102	215.1115484
56.5912	220.8986847
59.182	226.5790636
61.722	231.9480671
64.2366	237.4594137
66.8274	242.7928314
69.342	247.2944316
71.882	251.498001
74.4728	255.892844
76.9874	259.4914553
77.2414	259.1934244
77.4954	256.6401452
75.7682	238.4647118
73.2282	215.0092393
70.6374	192.9594048
68.1482	173.9477057
65.5828	154.0374658
63.0428	134.9768362
60.5282	116.7302312
57.9628	98.71048553
55.3974	82.32768537
52.8828	66.44308604
50.3174	51.39920059
47.7774	37.56523141
45.2374	24.18498084
42.6974	12.16143785
40.132	1.823770856
37.6174	-6.289785342
34.6964	-15.55098271
32.0802	-22.97061634
29.5402	-29.39829655
27.0764	-35.51460125
24.4348	-41.75545616
21.9456	-47.4892138
19.431	-52.75145995
16.8148	-58.2805994
14.3002	-63.12916095
11.7094	-68.13341025
9.1948	-72.71952672
6.6548	-76.99426767
4.0894	-81.42469639
1.5494	-85.50816382
1.2954	-85.49037093
1.0668	-84.72527682
-1.0668	-89.72952612
-3.683	-93.98647419
-6.1976	-97.98097718
-8.6868	-102.0822375
-11.303	-106.7573184
-13.843	-111.1032309
-16.4084	-116.2453751
-18.9484	-121.4586908
-21.463	-127.103484
-24.0538	-133.7758164
-26.5938	-139.0780965
-29.083	-145.9061167
-31.6738	-153.5348167
-34.2138	-160.6742124
-36.8046	-168.2183962
-39.3192	-174.7127998
-41.8592	-180.8468974
-44.4246	-187.3991278
-46.9392	-193.5154325
-49.4792	-199.1646739
-52.07	-205.3477019
-54.5846	-210.267435
-57.1754	-215.7921263
-59.7154	-220.2581407
-62.2046	-224.4617102
-64.7954	-229.6928188
-67.3608	-233.7940791
-69.85	-236.9567646
-72.4662	-241.1425412
-74.9808	-244.8434615
-75.2348	-244.5676718
-75.4888	-242.583765
-73.66	-223.9946469
-71.0692	-203.141384
-68.5038	-182.6039449
-65.9892	-164.1349288
-63.4492	-145.2121941
-60.9092	-126.9300034
-58.3692	-110.0401059
-55.8038	-92.87441879
-53.2638	-77.1855412
-50.6984	-62.32848106
-48.1584	-48.39220279
-45.6438	-35.23881152
-43.053	-22.67703372
-40.5384	-11.31182753
-37.9984	-2.188525027
-35.4584	4.848561544
-32.893	12.04133587
-30.353	19.02504378
-27.813	25.61285997
-25.273	31.795888
-22.733	37.96557136
-20.2184	43.68153611
-17.653	49.259606
-15.113	54.87326166
-12.573	59.99761294
-10.0076	65.07303379
-7.4422	70.0594902
-4.8768	74.57888335
-2.3622	78.99151917
0.2032	83.6310143
0.8128	84.04469891
1.0414	80.55284495
2.3368	87.00276627
3.8862	90.11207317
5.4356	92.89221167
7.3914	95.93034703
8.9916	99.0752397
10.5664	101.8553782
12.5222	105.1915444
14.1478	108.3898157
15.6972	111.3078491
17.653	115.1689054
19.2278	118.4161072
20.7772	122.1170276
22.7838	126.7031441
24.3078	130.6487166
25.8826	134.1049848
26.4414	134.852286
26.6446	133.6557144
25.3238	120.5868394
23.7744	107.9049596
22.1742	96.1927921
20.2184	83.11057237
18.669	73.41344929
17.0688	64.1700448
15.1638	54.31723396
13.5382	45.90564691
11.9634	37.70312628
10.0584	28.14834628
8.4328	20.48406047
6.858	13.22456282
4.9276	4.692873788
3.3528	-0.627199246
1.7526	-6.516644644
1.27	-8.322622614
1.1176	-8.776341217
-0.1524	-13.86510673
-1.6764	-19.38979795
-3.6322	-26.32457543
-5.1816	-32.2496066
-6.7818	-38.57497772
-8.6868	-45.99461134
-10.287	-52.57797931
-11.8872	-59.01010775
-13.7668	-66.3941556
-15.4178	-72.95973068
-16.9418	-79.04489783
-18.8722	-86.82928563
-20.4978	-93.43044649
-22.0726	-99.56454407
-24.003	-107.1576583
-24.2316	-107.7670647
-24.4856	-107.7670647
-23.241	-96.24617076
-21.6916	-84.48062463
-19.7866	-71.64305709
-18.1356	-61.79024625
-16.5862	-52.97831926
-14.6558	-42.37820718
-13.081	-34.28244387
-11.4808	-26.44467741
-9.525	-17.49930377
-7.9756	-11.0182449
-6.4262	-4.848561544
-4.4958	1.094262514
-2.8702	7.486356953
-1.3208	14.03858737
0.635	22.53469063
0.8382	23.42433495
1.1176	23.73571046
3.6322	36.07062895
6.7056	50.3716614
10.1854	66.41194849
13.2842	80.27705522
16.3576	93.741822
19.431	107.1220726
22.9616	122.2549225
26.035	134.5231176
29.1084	145.470191
32.1818	155.3052089
35.6616	165.5405668
38.7858	174.9040733
41.8592	183.6804145
44.9326	191.9318656
48.4124	200.8638946
51.4858	208.6482824
54.5846	216.1035018
58.0644	223.0516239
61.1632	229.3592021
64.2366	236.2761867
67.3608	242.1478392
70.8406	248.1796277
73.914	253.4596668
77.0128	258.3438141
80.0608	262.5295906
83.6168	267.0667766
86.6902	270.0026029
89.7636	271.9687168
92.8624	274.6065123
96.3422	276.207872
99.4664	278.1517449
102.5144	279.299386
105.6132	281.7503561
109.0676	282.671138
112.2172	283.7476076
115.316	284.6328037
118.3894	285.6914805
121.8438	285.4690694
124.9934	287.448528
128.0922	288.2492079
128.4224	287.5019067
128.8796	269.8825009
126.2126	245.3816963
123.1138	218.5722648
120.015	193.8801867
116.586	171.5857
113.4618	148.8241501
110.3376	128.006473
107.2896	107.331139
103.8098	87.6255173
100.711	69.92159533
97.6122	53.13400701
94.5388	38.0367429
91.0336	23.21526853
87.9602	11.20507021
84.8614	0.765094115
81.7372	-8.620653461
78.2574	-17.93078127
75.1586	-25.99540703
72.0852	-32.11171173
69.0118	-38.07232867
65.4812	-44.23756381
62.3824	-49.53984396
59.309	-54.33502684
56.2356	-58.57418203
52.7304	-63.63180999
49.6316	-68.09782447
46.5582	-71.81653773
43.5102	-75.81104073
40.0304	-79.58313265
36.8808	-83.03940083
33.8074	-86.75811409
30.734	-90.04090163
27.2796	-93.29255162
24.1808	-96.71323403
21.0312	-99.63571562
17.9832	-102.6204723
14.5034	-105.9744314
11.4046	-109.3639763
8.2804	-112.6823496
5.207	-115.7605189
1.7018	-119.1278227
1.4478	-118.83424
1.2192	-117.5842898
-1.4732	-122.6730553
-4.572	-126.3072523
-7.6962	-130.0259656
-11.1506	-134.0738472
-14.2494	-138.2596238
-17.3228	-142.6900525
-20.4216	-147.4674425
-23.9268	-152.7697226
-27.0256	-157.9474526
-30.099	-163.3876276
-33.1724	-169.0146279
-36.6522	-175.2688275
-39.7764	-181.0070333
-42.8752	-186.7052052
-45.9486	-192.0030371
-49.3776	-196.6247394
-52.5526	-202.3940828
-55.626	-207.6251914
-58.6994	-212.6828194
-62.1792	-217.7715849
-65.3034	-222.9671077
-68.3768	-227.468708
-71.4756	-231.5877612
-74.93	-235.6356428
-78.0288	-239.0207395
-81.1276	-242.4102843
-84.1756	-245.1236995
-87.7062	-246.8940917
-90.805	-249.0470309
-93.9038	-250.7329069
-96.9772	-252.9748106
-100.457	-254.3848969
-103.5558	-255.8439135
-106.6546	-256.9559689
-109.728	-258.3260212
-113.2586	-259.7716932
-116.3574	-261.2974332
-119.4562	-262.3249724
-122.4788	-263.1923756
-126.0602	-263.3658563
-126.3142	-262.4628673
-126.5682	-246.9652632
-124.1044	-226.4100312
-120.5992	-199.6317372
-117.5004	-177.4929383
-114.427	-158.659168
-111.3282	-138.6955495
-107.7976	-116.2453751
-104.7242	-98.85282862
-101.6254	-82.63906088
-98.5774	-66.51425758
-95.123	-50.89655155
-91.948	-36.73341397
-88.9	-24.02929308
-85.8012	-13.45142212
-82.3468	-2.989204915
-79.1718	4.639495129
-76.1238	11.92123389
-73.0758	18.66028961
-69.5706	24.96786784
-66.5226	30.49255907
-63.373	35.98611274
-60.2996	41.21722135
-56.8452	46.20367776
-53.7464	50.87431044
-50.5968	55.81183642
-47.5742	60.20667936
-44.069	64.48142031
-40.9702	68.47592331
-37.8714	72.49266742
-34.8234	76.34927554
-31.3182	80.57063784
-28.194	83.88901115
-25.1206	87.66110307
-21.6916	90.97947638
-18.5166	94.80049874
-15.4178	98.17225071
-12.3698	101.4416936
-8.9154	104.6533096
-5.7404	108.114026
-2.667	111.5525013
0.4064	114.7997031
0.762	114.7151868
1.1938	112.8202444
3.8354	118.2960052
6.9342	121.4764837
10.0076	124.9994752
13.4874	128.669258
16.5862	132.3167997
19.7104	136.0888916
22.7838	140.0478089
26.2636	144.3403427
29.3624	148.6862552
32.4358	153.2901646
35.5346	158.0497617
39.0398	163.2986632
42.1386	168.2495338
45.212	173.271576
48.2854	178.4493059
51.7144	183.7471379
54.864	189.2762773
57.9374	194.2449408
61.0362	199.1290881
64.4652	204.2534394
67.6402	209.6758216
70.7136	214.2441451
73.787	218.8302616
77.2414	223.4030334
80.3402	227.2596415
83.4898	231.845758
86.5124	235.3731977
90.0176	239.091911
93.1164	241.2092645
96.2152	245.2260086
99.2886	248.2152135
102.7684	250.2969812
105.8672	253.6865261
108.966	256.7469025
112.014	259.0911153
115.5446	261.3508119
118.6434	263.401442
121.7422	265.3097291
124.8156	267.0667766
128.3462	268.0409372
128.6256	267.2046715
128.9304	252.018443
126.4158	230.0887105
123.317	206.8067186
119.8372	180.9358618
116.7638	159.9802898
113.6396	138.7088942
110.5916	118.6785523
107.0864	98.17225071
103.9876	81.1800442
100.9142	64.77500294
97.8408	49.34857043
94.3356	33.27269757
91.2368	20.59081779
