"henry et al. 1998,No.415s"	
-2.2606	-39.23331451
-2.3622	-41.18163557
-2.413	-41.06153359
-2.159	-36.08842184
-1.9558	-33.0324936
-1.7018	-28.14834628
-1.524	-25.21252003
-1.1938	-20.59081779
-1.016	-16.96106896
-0.6096	-9.937327054
-0.4318	-6.6723324
-0.127	-2.068423044
-0.0254	-1.183226946
0.1016	-0.502649041
0.2794	0.293582626
0.7874	6.601160854
1.3208	16.64524523
1.778	26.51584896
2.2352	36.57772622
2.7686	48.00965573
3.302	58.01815433
3.7592	66.13171053
4.2164	72.92414491
4.7752	79.56533976
5.3086	85.68164446
5.7912	90.00531585
6.2992	95.21863157
6.858	100.5209117
7.3406	105.1604068
7.5946	106.9485919
7.6708	103.0030194
7.5946	100.7967015
7.1628	92.5274575
6.6802	84.16924912
6.096	75.0637395
5.6134	67.36386791
5.1562	59.85971807
4.572	50.96327487
4.0894	43.26340328
3.6322	35.84821787
3.1496	28.51310046
2.5654	19.4609695
1.8796	8.740755444
1.4478	2.032837271
0.8636	-1.356707588
0.3302	-7.748802027
0.2286	-9.488056673
0.0508	-11.20951843
-0.1016	-14.09196603
-0.5588	-20.91998618
-1.0922	-28.70437398
-1.6002	-35.27439729
-2.0828	-41.54638974
-2.5654	-47.87176086
-3.1242	-54.85546877
-3.6068	-60.57143353
-4.064	-65.92264411
-4.5466	-71.76315907
-5.1308	-78.32873415
-5.588	-84.06694002
-6.0706	-89.55604547
-6.6548	-96.24617076
-7.112	-101.8242406
-7.4422	-105.4184037
-7.5692	-104.2040392
-7.4676	-102.2067877
-7.0358	-95.4099051
-6.5532	-88.67084937
-5.969	-81.12666554
-5.4864	-74.7345711
-5.0038	-68.56488774
-4.4704	-61.18083989
-3.937	-54.92664032
-3.5306	-49.08612536
-2.7686	-39.23331451
-2.2606	-32.35636392
-1.7526	-25.82192639
-1.2954	-19.21631731
-0.7366	-10.8936947
-0.2286	-3.180478444
-0.0762	-1.859356629
0.0762	-0.836265661
0.2286	-0.071171546
0.6604	3.665334598
1.1938	11.43192951
1.6764	18.81597737
2.159	25.9064426
2.667	33.06363115
3.2258	41.30173756
3.7338	48.16534348
4.191	54.78429723
4.6482	61.58117983
5.461	72.54604607
5.9182	79.2851018
6.4516	87.33193467
6.985	94.7515683
7.4422	101.2993505
7.5946	102.7272296
7.7216	103.1275696
7.5946	100.5342564
7.1628	92.37176975
6.6294	84.13366334
6.096	75.32618457
5.6134	67.81758651
5.1054	60.36236711
4.5466	51.78174765
4.064	44.34432113
3.5814	37.27164879
3.1242	30.18118356
2.5654	21.70287319
2.0574	14.30103244
1.6002	7.019293685
1.0922	0.658336797
0.5334	-2.468762988
0.2032	-6.271992456
0.0508	-7.766594914
-0.1778	-11.76554613
-0.6858	-19.21631731
-1.2192	-26.5870205
-1.7018	-32.97911494
-2.159	-39.02869632
-2.667	-45.80333782
-3.2512	-52.28439669
-3.683	-57.96477567
-4.1656	-63.31598625
-4.6736	-69.8326309
-5.207	-76.29589688
-5.715	-82.08303318
-6.223	-88.47957585
-6.731	-95.11632247
-7.2136	-100.9701821
-7.4422	-103.7681135
-7.5692	-104.8134456
-7.493	-103.3855664
-7.0612	-96.5219605
-6.3246	-86.32218837
-5.8166	-79.54754687
-5.334	-73.34227774
-4.7752	-66.13171053
-4.2672	-59.47717101
-3.7846	-53.48541652
-3.3528	-48.00965573
-2.794	-40.74570986
-2.286	-33.77979483
-1.778	-27.20977153
-1.3208	-20.67978222
-0.7874	-12.51284736
-0.2286	-4.4482216
-0.1016	-2.815724273
0.0762	-1.547981117
0.1778	-0.591613473
0.6096	1.979458612
1.1684	9.625951542
1.651	16.94327607
2.3368	26.60036517
2.8702	34.7005767
3.4036	42.10241744
3.8608	48.61906209
4.3434	55.08232807
4.9022	62.9334392
5.4356	70.35307283
5.8928	77.060991
6.4262	84.96548078
6.9596	92.57638794
7.4422	99.49337253
7.5692	101.1258699
7.6708	102.4825774
7.5438	99.68464606
7.112	91.55329697
6.604	83.09277949
6.0452	74.52550469
5.5626	67.08807817
5.08	59.42379235
4.5212	51.13675551
4.0386	44.01070451
3.5814	37.08037526
3.0734	29.90539382
2.5146	21.70287319
2.0066	14.47451309
1.5494	7.210567214
1.0668	0.711715456
0.4826	-2.36200567
0.1778	-5.840514961
0.0762	-7.348462083
-0.2032	-11.53868683
-0.7112	-19.2341102
-1.27	-26.55143473
-1.7272	-32.91239162
-2.2098	-38.95752477
-2.7432	-45.87450936
-3.2512	-52.23101803
-3.7338	-57.89805235
-4.1656	-63.26705582
-4.7244	-69.90380244
-5.2578	-76.28255222
-5.715	-82.0652403
-6.2484	-88.67084937
-6.7818	-95.27201023
-7.239	-101.1614556
-7.366	-102.793953
-7.5438	-104.5154147
-7.366	-100.9523892
-6.9088	-94.36902124
-6.35	-86.84707852
-5.842	-79.91230104
-5.3848	-73.7248248
-4.826	-66.74111689
-4.2926	-59.93088962
-3.81	-53.97027267
-3.3528	-48.25430792
-2.8194	-41.28394467
-2.286	-34.2468581
-1.8288	-27.68128302
-1.3462	-21.16463837
-0.8382	-13.38025057
-0.2794	-5.284487261
-0.1016	-3.264994654
0.0762	-2.259696573
0.6858	2.571072085
2.1082	23.07292544
3.2004	38.80183702
4.6736	59.28589748
5.7658	74.68119244
7.1882	95.44549087
8.255	110.7340285
9.7028	126.200495
11.1252	139.0914412
12.2936	149.0332165
13.7414	160.6030409
14.8336	168.4586002
16.256	177.8754853
17.3736	186.2514866
18.796	195.4415124
18.923	196.3978801
19.1262	188.9426607
18.415	178.3292039
17.272	164.4774419
15.8242	147.0848954
14.732	135.132524
13.335	120.0841903
12.192	107.9405453
10.6934	91.79794916
9.652	80.15250501
8.2296	64.79279583
7.1374	53.09842124
5.6896	37.51630097
4.6228	24.81218008
3.1496	7.09046523
2.032	-1.040883854
0.635	-16.75200255
0.3556	-19.47876239
0.0508	-21.85856094
-0.6096	-30.87510613
-2.0066	-46.01240423
-3.1242	-58.10711876
-4.572	-74.19633629
-5.6134	-86.35777414
-7.0612	-102.6382652
-8.1534	-115.2890074
-9.6012	-130.6843024
-10.7188	-141.5112738
-12.1666	-154.5401148
-13.2588	-163.436558
-14.6812	-174.4548029
-15.7734	-182.3414998
-17.272	-192.6658222
-18.6436	-201.3176132
-18.796	-201.8202622
-18.9992	-192.6124435
-18.2372	-182.986492
-17.145	-170.05996
-15.6972	-154.6958026
-14.605	-143.0725995
-13.1826	-128.6158793
-12.065	-117.3752234
-10.6172	-102.4647846
-9.525	-91.53550408
-8.0772	-77.20333409
-7.0104	-66.723324
-5.588	-52.18208759
-4.4958	-41.07487825
-3.0226	-25.0212465
-1.6256	-9.625951542
-0.4572	-0.382547058
-0.1778	1.387845139
0.1016	3.3361662
0.8128	11.74775325
2.159	26.49805607
3.2766	38.00115713
4.7244	51.88405674
5.8166	62.6042708
7.2898	76.10462335
8.382	86.79369986
9.779	100.4497402
10.8966	111.3078491
12.3444	125.6266744
13.462	136.2801652
14.9098	150.5278189
15.9766	161.1946543
17.4498	175.6691674
18.5166	185.8333538
18.9738	189.7789263
19.177	190.5440205
18.542	181.5941986
17.145	164.2372379
16.002	151.533117
14.605	136.7472284
13.4874	124.8082017
12.0142	109.7109375
10.922	98.0877345
9.4996	83.19508858
8.4074	71.78095196
6.9342	57.21747444
5.842	46.55063904
4.4196	31.52009826
3.3528	19.19852443
1.905	3.109306898
0.7874	-4.221362298
0.3048	-9.488056673
0.0762	-11.32962042
-0.8636	-22.58806928
-1.9558	-34.00665413
-3.3782	-47.95627707
-4.4958	-58.8366271
-5.8674	-71.41619779
-7.0104	-82.13641184
-8.4582	-95.65455729
-9.525	-105.8543294
-10.922	-119.5281626
-12.065	-130.5819933
-13.5382	-144.7584755
-14.6304	-155.0472121
-16.0528	-168.614288
-17.1704	-179.334502
-18.5674	-192.3677913
-18.7706	-193.9157724
-18.9992	-194.0536673
-18.3134	-185.1216383
-16.9418	-168.876733
-15.7988	-156.2437837
-14.4018	-142.5699505
-13.2588	-131.4316036
-11.811	-117.1305712
-10.7188	-105.9388456
-9.271	-91.81574205
-8.1788	-81.05994222
