"Sritharan 1996_Specimen_No._IC2"	
-0.0921	-13.09
-2.1132	-29.42
-4.1542	-45.94
-6.1942	-61.79
-8.2172	-81.66
-10.3122	-101.64
-12.2522	-122.84
-14.1222	-143.74
-15.9322	-164.24
-17.7322	-184.84
-19.5922	-205.64
-21.5622	-223.84
-21.9222	-227.84
-22.6422	-233.94
-22.7022	-233.24
-21.9522	-211.54
-20.9322	-190.74
-19.9322	-171.14
-18.7922	-150.44
-17.6322	-130.04
-16.2922	-108.74
-15.0022	-88.34
-13.5422	-67.17
-11.9422	-46.37
-9.7822	-25.59
-7.7942	-6.14
-5.8042	7.863
-4.6452	20.042
-4.6432	18.724
-4.6422	19.919
-3.8812	18.004
-2.5542	38.24
-0.7482	58.28
1.2938	77.96
3.3038	97.88
5.4468	118.66
7.4388	139.56
9.1778	159.06
10.8178	180.46
12.2278	200.66
13.7678	221.76
15.1878	242.26
16.6378	262.76
18.1178	283.16
19.6278	303.56
21.1778	323.96
22.8078	343.76
24.8378	360.16
26.8678	370.46
28.8478	372.86
29.7278	373.76
29.7278	352.66
28.8378	331.86
27.8678	311.96
26.8178	291.36
25.7478	270.86
24.6278	250.36
23.4778	228.96
22.3278	208.36
21.0978	188.16
19.9478	167.96
18.6178	147.16
17.2878	125.66
15.8778	104.91
14.5378	84.4
12.9778	64.19
11.1878	43.48
9.3648	23.136
7.4328	2.87
5.4118	-11.53
3.4128	-24.49
1.3828	-38.08
-0.6779	-51.3
-2.7382	-66.3
-4.8082	-82.55
-6.7322	-96.24
-8.7492	-111.64
-10.8422	-129.44
-12.9422	-147.94
-14.9322	-166.94
-16.9122	-188.24
-18.8722	-207.04
-20.7422	-227.44
-22.7222	-245.94
-24.7722	-264.64
-26.7622	-279.34
-28.7622	-291.84
-29.7022	-298.04
-30.1522	-298.94
-30.1622	-297.54
-29.6222	-277.24
-28.6722	-256.44
-27.7022	-236.24
-26.6522	-215.84
-25.5222	-195.44
-24.2922	-175.24
-23.0922	-154.14
-21.7922	-133.64
-20.4722	-113.44
-19.0722	-92.54
-17.6022	-72.52
-15.9322	-51.68
-13.8422	-31.11
-11.7322	-12.97
-9.6852	1.92
-7.6452	15.829
-5.6102	32.7
-3.6302	48.26
-1.5792	64.64
0.4334	79.6
2.4808	94.88
4.5098	110.37
6.5948	126.16
8.6158	143.16
