"Sritharan 1996_Specimen_No._IC2"	
-22.5022	-217.94
-23.0022	-220.24
-23.5222	-222.74
-24.0122	-225.04
-24.7222	-226.94
-25.0422	-229.04
-25.4622	-231.04
-25.8622	-233.64
-26.1622	-235.74
-26.4922	-237.74
-26.9722	-240.44
-27.4022	-242.74
-27.9722	-244.74
-28.3222	-247.44
-28.7122	-249.54
-29.0922	-251.94
-29.5422	-254.54
-29.9122	-256.64
-30.5022	-259.14
-30.8122	-261.84
-31.1922	-264.14
-31.5922	-266.24
-31.9222	-268.44
-32.2622	-270.74
-32.6522	-273.14
-33.1422	-275.74
-33.5922	-277.94
-33.9122	-279.94
-34.2522	-281.94
-34.7522	-284.94
-35.2222	-287.24
-35.9522	-289.54
-36.2322	-291.84
-36.5622	-294.44
-36.9022	-296.84
-37.2922	-299.34
-37.8122	-301.94
-38.2522	-304.04
-38.6922	-306.24
-39.0522	-308.14
-39.5622	-310.44
-40.0122	-312.44
-40.4722	-314.94
-40.7622	-317.04
-41.4822	-319.04
-41.7522	-321.24
-42.0522	-323.64
-42.4122	-326.04
-42.7822	-328.14
-43.1522	-330.44
-43.5522	-332.34
-44.3022	-334.34
-44.6422	-336.54
-45.0122	-338.94
-45.4222	-341.14
-46.0322	-343.24
-46.7722	-345.54
-47.1922	-347.84
-47.6422	-350.24
-48.3322	-352.54
-48.8522	-354.74
-49.6622	-356.84
-50.0022	-359.04
-50.4022	-361.34
-50.8522	-363.44
-51.4322	-365.54
-52.3922	-367.64
-53.1722	-369.94
-53.8422	-371.94
-54.3422	-373.94
-54.8322	-376.14
-55.4622	-378.04
-56.7522	-380.34
-57.5222	-382.24
-58.5422	-384.64
-58.8422	-386.64
-59.4822	-388.64
-60.2022	-386.44
-60.2222	-385.74
-60.2422	-383.64
-60.3322	-381.74
-60.4922	-382.64
-60.5722	-380.64
-60.5822	-378.44
-60.5922	-376.44
-60.6022	-381.54
-60.6022	-377.24
-60.6022	-376.04
-60.6022	-379.94
-60.6022	-375.84
-60.6122	-373.94
-60.6122	-371.94
-60.6122	-369.84
-60.6322	-371.94
-60.6422	-369.84
-60.6222	-367.64
-60.6222	-365.64
-60.6222	-370.04
-60.4722	-367.84
-60.3722	-365.04
-60.2222	-362.04
-60.0922	-359.64
-60.0122	-357.54
-59.8822	-354.74
-59.7622	-352.14
-59.6622	-349.94
-59.4922	-347.34
-59.3722	-344.64
-59.2322	-341.84
-59.1122	-339.34
-58.9722	-336.44
-58.8622	-334.04
-58.7422	-331.14
-58.5922	-328.24
-58.4622	-325.54
-58.3322	-322.54
-58.1622	-319.14
-58.0522	-316.94
-57.9322	-314.74
-57.7722	-311.74
-57.5922	-308.94
-57.4622	-306.34
-57.2722	-303.14
-57.0822	-299.94
-56.9022	-297.14
-56.7822	-294.94
-56.5822	-292.14
-56.4722	-290.04
-56.2922	-287.54
-56.1322	-284.74
-55.9822	-282.24
-55.8222	-279.34
-55.6822	-277.04
-55.5122	-274.54
-55.3722	-272.24
-55.2322	-269.84
-55.1022	-267.44
-54.9922	-265.74
-54.8222	-263.34
-54.6722	-260.84
-54.5522	-258.84
-54.4122	-256.84
-54.2922	-254.84
-54.1622	-252.84
-54.0122	-250.24
-53.8222	-247.14
-53.6822	-245.04
-53.4922	-242.24
-53.3522	-240.04
-53.1922	-237.64
-53.0222	-234.94
-52.8622	-232.14
-52.6922	-229.44
-52.5022	-227.14
-52.3622	-224.64
-52.1822	-222.04
-52.0522	-219.74
-51.8822	-217.54
-51.7022	-214.64
-51.5422	-212.34
-51.4022	-209.94
-51.2322	-207.54
-51.1022	-205.14
-50.8522	-202.24
-50.6822	-199.04
-50.5722	-197.34
-50.3622	-194.44
-50.2022	-192.04
-49.9122	-187.94
-49.7622	-185.74
-49.6322	-183.54
-49.3922	-180.04
-49.2722	-177.44
-49.1922	-175.74
-48.9422	-173.14
-48.7522	-170.44
-48.5722	-167.54
-48.4022	-165.24
-48.2122	-162.04
-48.0722	-160.24
-47.9322	-158.14
-47.7322	-155.24
-47.5722	-153.14
-47.4122	-151.14
-47.2622	-148.84
-47.0622	-146.14
-46.8522	-143.34
-46.6922	-141.34
-46.5022	-139.14
-46.2922	-136.54
-46.0922	-134.24
-45.9422	-131.74
-45.7522	-129.54
-45.6222	-127.54
-45.3822	-124.74
-45.2122	-122.74
-45.0222	-120.74
-44.8422	-117.94
-44.6222	-115.34
-44.4522	-113.24
-44.2522	-111.04
-44.0722	-108.74
-43.8722	-106.14
-43.6922	-104.04
-43.5022	-101.84
-43.3222	-99.64
-43.0622	-96.64
-42.9022	-94.74
-42.6722	-92.04
-42.5322	-89.94
-42.3022	-87.74
-42.0922	-85.75
-41.9322	-83.72
-41.7322	-81.51
-41.5622	-79.32
-41.4122	-77.24
-41.2222	-74.59
-40.8822	-72.49
-40.6622	-70.16
-40.4222	-67.08
-40.1822	-64.57
-39.9622	-62.35
-39.7422	-60.11
-39.5122	-57.44
-39.3122	-55.27
-39.0622	-52.89
-38.8222	-50.78
-38.5522	-48.5
-38.3322	-46.14
-38.0722	-43.79
-37.6022	-40.81
-37.3722	-38.46
-37.0322	-35.58
-36.8122	-33.61
-36.5222	-31.54
-36.2922	-29.2
-35.7522	-27.1
-35.5222	-24.94
-35.2122	-22.91
-34.9322	-20.62
-34.6922	-18.59
-34.2422	-16.39
-33.8822	-14.09
-33.5522	-11.82
-33.1322	-9.59
-32.7722	-7.23
-32.4522	-5.16
-32.1122	-2.98
-31.7022	-0.72
-31.3222	1.7
-30.8522	4.002
-30.4822	6.04
-30.0922	8.154
-29.4822	10.712
-28.9022	12.872
-28.4222	15.216
-28.0622	17.269
-27.6222	19.368
-27.1422	21.972
-26.8422	24.24
-25.9822	26.28
-25.5022	28.42
-25.0322	30.66
-24.5322	32.67
-24.1422	34.99
-23.6622	37.2
-23.2622	39.36
-22.8222	41.63
-22.3722	43.63
-21.9322	45.66
-21.4822	47.79
-20.9522	50.33
-20.4022	52.37
-19.9122	54.71
-19.4822	56.9
-18.9522	59.26
-18.4722	61.56
-17.9922	63.73
-17.5622	66.09
-17.0422	68.34
-16.5922	70.34
-16.0522	72.27
-15.5222	74.52
-14.9922	76.89
-14.5222	79.1
-14.1122	81.21
-13.5022	83.34
-13.1122	85.53
-12.6622	87.63
-11.9222	89.94
-11.5122	92.21
-10.9822	94.26
-10.4122	96.88
-9.9422	98.98
-9.3122	101.91
-8.5522	104.27
-7.9672	106.63
-7.5002	108.85
-6.7002	111.36
-6.2282	113.46
-5.6572	115.76
-5.1902	117.86
-4.6382	119.86
-3.9992	122.36
-3.4182	124.46
-2.8422	126.86
-2.2902	129.46
-1.7662	131.76
-1.2422	134.06
-0.6182	136.36
0.0298	138.36
0.5248	140.56
1.0963	142.96
1.7059	144.96
2.3155	147.06
2.9818	149.16
3.5108	151.26
4.0588	153.56
4.5448	155.56
5.3538	157.56
5.9108	159.96
6.5968	162.16
7.2308	164.56
7.8778	166.56
8.4498	168.86
9.0258	170.96
9.9358	172.96
10.4448	175.36
11.1978	177.86
11.6578	179.86
12.1978	181.96
12.7278	184.26
13.4178	186.46
13.8978	188.46
14.4278	190.56
15.1378	193.06
15.5878	195.06
16.1878	197.16
16.9878	199.86
17.4878	202.56
18.0078	204.56
18.8878	206.86
19.3578	209.36
20.0278	211.96
20.6378	214.16
21.0178	215.86
21.4678	217.96
21.9578	220.26
22.4978	222.36
22.9878	224.66
23.5778	227.16
24.1478	229.36
24.5678	231.86
24.9878	233.86
25.4878	235.96
26.0278	238.16
26.4678	240.66
26.9178	242.76
27.2478	244.96
27.6478	246.96
28.2478	249.56
28.6978	252.16
29.1278	254.56
29.9678	256.56
30.2878	259.46
30.5878	261.66
31.1478	264.46
31.5578	266.76
32.0178	268.76
32.5078	271.26
33.0378	273.46
33.4178	275.86
33.7078	277.76
34.1778	280.16
34.5578	282.46
35.1078	285.06
35.7178	287.86
36.1078	289.86
36.5278	292.16
37.0578	294.56
37.4478	297.16
38.0278	299.36
38.3478	301.66
38.7678	304.46
39.2678	306.06
39.6978	308.96
40.0378	310.96
40.5178	313.06
40.9378	314.76
41.6378	318.56
42.0778	321.26
42.6078	323.16
42.9778	325.56
43.3678	327.46
43.7878	329.56
44.4078	331.96
44.8978	334.86
45.2778	336.56
45.9178	338.86
46.3278	341.06
46.6678	343.06
47.1578	345.06
47.6878	347.66
48.0878	349.36
48.5878	352.36
49.0478	354.56
49.4978	356.56
50.0778	359.16
50.6978	361.66
51.0378	363.56
51.7678	365.46
52.1978	368.16
52.6778	370.16
53.2678	372.36
53.7378	374.46
54.2478	376.56
55.1078	378.96
55.4078	381.26
56.1278	383.56
56.8278	386.16
57.6278	388.26
58.1978	390.36
58.8578	390.16
58.9678	387.86
59.3178	389.96
59.4178	389.46
59.4778	388.76
59.3278	385.56
59.1778	382.76
59.0378	379.86
58.8878	376.86
58.7278	374.56
58.6678	372.36
58.4978	369.96
58.4078	368.06
58.2678	365.46
58.1778	363.86
58.0378	361.36
57.9278	359.56
57.7978	357.46
57.7078	355.36
57.5378	352.86
57.3978	350.46
57.2678	348.26
57.1578	346.16
57.0178	344.16
56.8478	341.36
56.6778	338.66
56.5478	336.56
56.4278	334.36
56.2378	331.76
56.0678	329.06
55.9178	326.96
55.7878	324.86
55.6578	322.86
55.5078	320.16
55.3778	318.16
55.2378	315.96
55.1178	313.86
54.9078	311.06
54.7578	308.96
54.6578	306.86
54.4778	304.76
54.3578	302.76
54.2178	300.66
54.0178	297.76
53.8478	294.96
53.7078	292.66
53.5478	290.46
53.4078	288.06
53.1978	285.36
52.9678	282.46
52.8278	279.86
52.6278	277.46
52.4378	272.96
52.2278	270.46
52.0278	267.66
51.8578	264.66
51.5378	260.46
51.2778	256.86
51.0478	253.66
50.8278	250.36
50.5878	247.16
50.3578	244.36
50.1178	241.36
49.9978	239.26
49.8278	237.06
49.6678	234.76
49.4278	231.96
49.2478	229.36
49.0378	226.86
48.8678	225.06
48.6978	222.66
48.5378	220.46
48.3278	217.36
48.1478	214.86
47.9678	212.26
47.7678	209.96
47.6178	207.66
47.4478	205.06
47.1978	202.06
46.9878	199.56
46.7878	197.26
46.6178	194.96
46.4478	192.56
46.2478	189.66
46.0678	187.06
45.8878	184.86
45.6578	182.26
45.4778	180.16
45.3078	178.06
45.1178	175.46
44.9578	173.36
44.7778	171.06
44.5978	168.86
44.4378	166.86
44.2778	164.76
44.0478	162.06
43.8578	159.36
43.6378	156.76
43.4878	154.56
43.2678	151.86
43.0378	149.36
42.8578	146.76
42.6278	144.16
42.4178	142.26
42.2678	139.96
42.0378	137.16
41.8278	134.56
41.6178	132.36
41.4178	130.06
41.1978	127.26
41.0178	125.46
40.8278	123.36
40.6178	120.96
40.4378	118.96
40.2278	116.56
40.0178	114.16
39.7778	111.82
39.5678	109.34
39.4078	107.1
39.2578	104.96
39.0778	102.57
38.8378	100.44
38.6378	98.13
38.4278	95.84
38.2178	93.68
38.0078	91.51
37.7578	89.19
37.4578	87.14
37.2578	85.13
37.0378	82.94
36.7878	79.9
36.5978	77.75
36.3678	75.71
36.1878	73.35
35.9778	71.16
35.7378	68.87
35.4878	66.84
35.2478	64.71
34.9678	62.63
34.7478	60.62
34.4778	58.59
34.1578	56.41
33.8978	53.85
33.6578	51.62
33.3978	49.3
33.1078	46.76
32.8278	44.4
32.5378	42.09
32.1978	39.77
32.0178	38.03
31.7678	35.82
31.4978	33.89
31.1678	31.45
30.8478	29.08
30.5878	26.72
30.2578	24.44
29.9378	21.941
29.6578	19.996
29.3478	17.928
29.0378	15.63
28.6878	13.1327
28.4278	10.835
28.0578	8.935
27.7278	6.484
27.3278	4.493
27.0078	2.38
26.6078	0.14
26.2178	-2.05
25.8278	-4.19
25.3278	-6.32
24.8378	-8.45
24.4278	-10.55
23.9778	-12.94
23.5278	-15.06
23.0978	-17.11
22.6478	-19.27
22.1878	-21.29
21.7478	-23.39
21.1778	-25.59
20.6978	-27.68
20.2078	-29.69
19.6678	-31.74
18.9878	-33.87
18.3478	-36.2
17.8778	-38.82
17.4278	-40.87
17.0678	-42.88
16.6878	-45.07
16.2578	-47.35
15.6478	-49.59
15.3078	-51.38
15.1078	-53.69
14.6578	-57.21
14.2478	-59.33
12.9378	-61.46
12.5578	-63.8
12.0878	-66.02
11.6178	-68.23
11.1408	-70.42
10.6498	-72.35
10.0598	-74.46
9.6118	-76.65
9.0448	-78.62
8.6208	-80.94
8.1638	-83.12
7.7158	-85.1
7.0588	-87.14
6.7068	-89.24
6.3208	-91.24
5.7778	-93.74
5.3258	-95.74
4.8968	-97.84
4.3158	-100.24
3.8298	-102.44
3.3298	-104.64
2.7918	-107.14
2.4584	-109.34
1.7631	-111.14
0.982	-113.44
0.4538	-115.84
-0.1512	-118.24
-0.7472	-120.34
-1.4852	-122.34
-1.9232	-124.84
-2.3992	-127.14
-2.9852	-129.14
-3.4472	-131.04
-4.0042	-133.24
-4.6712	-135.34
-5.2712	-137.94
-5.8422	-139.94
-6.3952	-142.54
-6.9712	-144.54
-7.8902	-146.94
-8.5922	-149.24
-9.0022	-151.44
-9.5722	-153.74
-10.2022	-155.94
-10.8222	-158.14
-11.4922	-160.54
-11.9122	-162.74
-12.6622	-165.14
-13.0322	-167.14
-13.5722	-169.54
-14.1522	-171.74
-14.9022	-174.24
-15.9522	-176.54
-16.4022	-178.64
-17.2622	-180.84
-17.7422	-183.34
-18.3222	-185.44
-18.9222	-187.84
-19.5222	-189.84
-20.1422	-192.34
-20.6222	-194.74
-21.3922	-196.94
-21.8422	-199.14
-22.3522	-201.44
-22.7922	-203.64
-23.4422	-205.74
-24.0422	-207.74
-24.4022	-210.14
-24.8222	-212.34
-25.2922	-214.44
-25.8422	-216.64
-26.5822	-219.34
-27.1522	-222.14
-27.6722	-224.24
-28.1222	-226.64
-28.5322	-228.74
-29.0622	-230.84
-29.5622	-233.14
-29.9322	-236.24
-30.4422	-238.34
-30.9522	-240.44
-31.4822	-242.54
-32.1822	-245.34
-32.6322	-247.74
-32.9722	-250.14
-33.5122	-252.54
-33.8622	-254.54
-34.2522	-256.74
-34.6922	-259.14
-35.2822	-261.54
-35.6522	-263.84
-36.0722	-266.04
-36.6122	-268.04
-36.9622	-270.54
-37.3522	-272.54
-37.8922	-274.74
-38.2622	-276.94
-38.8722	-279.64
-39.2722	-282.24
-39.6022	-284.34
-40.0322	-286.44
-40.4722	-288.44
-41.1722	-290.84
-41.5522	-293.64
-41.9622	-296.74
-42.2922	-299.04
-42.6822	-300.84
-43.3022	-302.84
-43.7222	-305.34
-44.1622	-307.34
-44.9222	-309.64
-45.2522	-311.64
-45.8422	-313.74
-46.3022	-316.14
-46.7422	-318.54
-47.1522	-321.04
-47.6322	-323.64
-48.2122	-326.04
-48.5622	-328.54
-48.8922	-330.34
-49.4022	-332.34
-49.9322	-335.14
-50.4722	-337.14
-50.8722	-339.64
-51.3522	-341.54
-51.7722	-344.14
-52.4722	-346.44
-52.8622	-348.84
-53.4322	-350.94
-53.8522	-353.44
-54.6522	-355.74
-55.2422	-357.84
-55.6522	-360.34
-56.0222	-362.64
-56.6622	-364.64
-57.2422	-366.84
-57.6922	-368.94
-58.3622	-370.94
-59.2822	-373.24
-59.5822	-374.94
-60.6622	-376.04
-60.6922	-378.24
-60.5222	-374.94
-60.3822	-371.74
-60.2522	-369.24
-60.1222	-366.84
-60.0322	-364.84
-59.8722	-361.84
-59.7922	-360.24
-59.6522	-357.14
-59.5922	-355.54
-59.4422	-352.54
-59.3022	-349.94
-59.2122	-348.14
-59.0422	-344.64
-58.8922	-341.74
-58.7922	-339.44
-58.6522	-336.64
-58.4922	-333.64
-58.4222	-332.24
-58.2622	-328.64
-58.1822	-326.74
-58.0522	-324.34
-57.9222	-322.04
-57.7622	-319.34
-57.6422	-317.14
-57.4422	-313.54
-57.3122	-311.54
-57.1022	-308.54
-56.9922	-306.94
-56.8222	-304.14
-56.6822	-301.84
-56.5222	-299.44
-56.3922	-297.14
-56.2522	-294.84
-56.1322	-292.74
-55.9422	-289.84
-55.7822	-287.24
-55.6122	-284.54
-55.4422	-281.74
-55.3022	-279.34
-55.1122	-276.24
-54.9722	-273.94
-54.8522	-271.74
-54.6822	-269.54
-54.4822	-266.34
-54.3922	-264.64
-54.2122	-261.94
-54.0222	-258.74
-53.8922	-256.74
-53.7622	-254.44
-53.6022	-252.14
-53.4422	-249.64
-53.3022	-247.14
-53.1622	-245.04
-52.9822	-242.74
-52.8222	-239.84
-52.6522	-237.14
-52.5122	-235.04
-52.3622	-232.64
-52.2122	-230.54
-52.0822	-228.54
-51.8922	-225.84
-51.7122	-222.84
-51.4922	-219.94
-51.2722	-216.74
-51.1322	-214.14
-50.9622	-212.04
-50.7922	-209.14
-50.6322	-206.84
-50.4122	-203.74
-50.2822	-201.44
-50.1322	-199.34
-49.9422	-196.64
-49.7322	-193.74
-49.5922	-191.54
-49.4622	-189.24
-49.2722	-187.04
-49.1222	-184.94
-48.9822	-182.74
-48.8222	-180.54
-48.5922	-177.24
-48.3422	-173.54
-48.1722	-170.94
-48.0222	-168.34
-47.8522	-166.04
-47.6422	-163.14
-47.4822	-160.94
-47.2822	-158.64
-47.0922	-156.04
-46.9122	-153.54
-46.7122	-151.34
-46.4622	-148.04
-46.3422	-146.24
-46.2322	-144.44
-46.0222	-141.84
-45.8522	-139.64
-45.6522	-137.64
-45.5022	-135.34
-45.2622	-132.74
-45.1122	-130.14
-44.9422	-128.04
-44.6522	-125.24
-44.4622	-122.64
-44.3222	-120.54
-44.1222	-118.24
-43.8922	-116.14
-43.7022	-113.74
-43.5422	-111.54
-43.3222	-109.14
-43.1422	-106.94
-42.9422	-104.34
-42.7222	-101.94
-42.5322	-99.64
-42.3422	-97.44
-42.1522	-95.34
-42.0022	-93.24
-41.7422	-90.34
-41.4922	-87.34
-41.1922	-84.07
-40.9922	-81.77
-40.8022	-79.47
-40.6022	-77.21
-40.3622	-74.97
-40.1722	-72.61
-39.9722	-70.5
-39.7422	-68
-39.5322	-65.78
-39.2822	-63.43
-38.9722	-61.03
-38.8322	-59.13
-38.5122	-56.56
-38.0922	-52.68
-37.8522	-50.47
-37.5722	-48.22
-37.3522	-45.95
-37.1322	-43.83
-36.8422	-41.71
-36.6022	-39.64
-36.3622	-37.42
-36.0022	-35.2
-35.7322	-33.19
-35.4522	-31.05
-35.0522	-27.98
-34.7622	-25.52
-34.4522	-23.48
-34.1622	-21.4
-33.7222	-19.24
-33.3022	-17.02
-33.0322	-14.87
-32.6022	-12.22
-32.3922	-10.14
-31.8922	-7.64
-31.6422	-5.53
-31.2422	-3.27
-30.8422	-1.27
-30.4722	0.82
-30.1022	3.24
-29.6222	5.55
-29.2322	7.74
-28.8322	9.854
-28.4122	12.137
-27.7322	14.343
-27.2422	16.426
-26.8122	18.663
-26.4022	20.685
-25.8522	22.845
-25.2322	25.24
-24.8222	27.49
-24.2322	30.03
-23.8722	31.67
-23.3522	34.29
-22.9422	36.36
-22.3622	39.02
-22.0022	41.08
-21.5322	43.01
-20.9922	45.35
-20.5522	47.45
-20.1422	49.76
-19.6822	52.24
-19.0822	54.69
-18.7422	56.73
-18.0722	59
-17.6722	61.08
-17.1722	63.15
-16.6822	65.37
-16.2522	67.41
-15.6322	70.11
-14.9722	72.5
-14.5322	74.95
-13.8822	77.37
-13.4322	79.7
-12.9722	81.98
-12.4522	84.09
-11.8622	86.77
-11.2922	89.1
-10.8422	90.77
-10.2922	93.19
-9.8122	95.51
-9.2522	97.85
-8.7722	99.61
-8.1762	102.02
-7.6952	104.38
-7.2092	106.03
-6.5852	108.37
-6.2192	110.38
-5.6042	112.48
-4.8952	114.86
-4.3852	117.06
-3.8902	119.56
-3.2562	121.66
-2.6802	124.06
-2.0942	126.06
-1.4992	128.46
-0.8562	130.66
-0.2082	132.76
0.3108	135.26
1.2011	137.46
1.5392	139.46
2.1155	141.66
2.7538	143.96
3.2778	146.06
3.5248	144.06
3.6538	146.26
4.0488	148.46
4.3968	150.56
5.0448	152.96
5.1588	150.96
5.4298	153.36
5.9298	155.46
6.4108	157.76
7.2728	160.36
7.7968	162.36
8.3548	164.86
8.8778	167.16
9.4638	169.06
10.1118	171.06
10.6788	173.56
11.1878	175.36
11.9878	177.76
12.5178	180.16
13.1978	182.06
13.8278	184.46
14.4778	186.66
15.3478	189.26
15.7278	191.06
16.4178	193.96
17.2278	196.66
17.5578	197.96
18.2178	199.96
19.0178	202.66
19.4778	204.46
20.0178	207.16
20.5578	209.36
21.2578	211.86
21.7878	214.36
22.4078	216.76
23.2678	218.86
23.6878	220.86
24.2278	223.46
24.9178	226.26
25.3078	228.46
25.7778	230.56
26.1778	232.86
26.7578	235.46
27.5978	238.06
27.9078	239.96
28.2578	242.36
28.9078	244.86
29.3578	246.96
29.7978	249.56
30.1678	251.56
30.5878	253.56
31.0978	256.06
31.6878	259.26
32.3178	262.16
32.9578	264.86
33.4478	267.06
33.8778	269.26
34.4478	271.86
34.7778	273.96
35.4478	276.16
36.0078	278.86
36.4578	281.36
36.7478	283.46
37.1378	286.36
37.6678	287.96
38.3478	290.06
38.6778	292.26
38.9678	294.46
39.3378	297.06
39.7378	299.26
40.2478	301.26
40.7478	303.36
41.3178	306.66
41.6478	308.66
42.0278	311.16
42.7478	313.36
43.3478	315.56
43.6978	317.66
44.1078	319.66
44.6078	322.56
44.9378	324.76
45.0778	322.46
45.3278	324.56
45.5878	327.06
46.5378	329.36
46.7878	331.36
47.1178	333.46
47.6578	335.96
48.0378	338.26
48.6078	340.36
49.1978	342.56
49.7478	344.76
50.0478	346.76
50.3978	348.96
50.8178	351.16
51.3778	353.36
51.7278	355.96
52.4378	358.26
53.2678	360.76
53.7178	363.26
53.9578	364.96
54.8178	367.26
55.4678	369.46
55.8078	371.26
56.1078	369.16
56.2978	371.56
56.6878	373.56
56.9778	375.96
57.3378	378.06
57.9078	380.26
58.2478	380.26
59.1378	381.86
59.2078	379.76
59.2178	379.86
59.2878	377.66
59.3178	374.36
59.3178	375.56
59.3178	372.86
59.3178	371.86
59.3178	374.46
59.3178	372.06
59.3178	371.56
59.3278	372.56
59.3178	370.86
59.3178	368.46
59.3178	366.36
59.3178	367.56
59.3178	366.46
59.3278	364.26
59.3178	364.96
59.3178	363.96
7.7878	38.46
59.3278	364.46
59.3178	365.66
59.3178	365.46
59.3178	366.56
59.3178	364.46
59.3178	362.26
59.3178	364.56
59.3178	362.46
59.3278	364.56
59.3178	362.06
59.3178	364.06
59.3178	362.06
59.3178	364.16
59.3178	362.16
59.3178	364.16
59.3278	366.26
59.3178	364.56
59.3178	366.76
59.3178	364.36
59.1078	361.66
59.0078	359.06
58.8678	356.66
58.7178	354.26
58.5878	351.76
58.4778	349.66
58.3778	347.36
58.2378	344.86
58.0978	342.66
57.9778	340.16
57.8078	337.36
57.6778	335.16
57.4578	332.26
57.3178	329.56
57.1578	326.86
56.9778	324.16
56.8478	322.06
56.6778	319.96
56.5378	317.76
56.3678	315.26
56.2078	312.76
56.0778	310.86
55.9478	308.76
55.8178	306.36
55.6278	303.86
55.4578	301.46
55.3078	298.96
55.1378	296.16
54.9578	293.56
54.7878	291.46
54.6878	289.06
54.5078	286.66
54.3278	283.86
54.1878	281.76
54.0478	279.46
53.8978	277.36
53.7878	275.36
53.6178	273.26
53.4178	270.36
53.2678	268.16
53.0778	265.66
52.9178	263.66
52.7778	261.06
52.5478	258.06
52.3978	255.96
52.2478	253.66
52.0778	251.36
51.9278	248.86
51.7478	246.66
51.5178	243.66
51.3678	241.26
51.1978	239.16
51.0178	236.56
50.7778	233.76
50.5378	230.96
50.3178	227.86
50.1478	225.66
49.9478	222.86
49.7678	220.86
49.6178	218.56
49.4178	216.06
49.2578	213.36
49.0978	211.66
48.9378	209.26
48.7878	207.26
48.6678	205.06
48.4478	202.56
48.2878	200.26
48.0878	197.66
47.8978	195.66
47.7478	193.46
47.5678	191.36
47.3878	188.86
47.1178	185.66
46.9678	183.46
46.7878	181.46
46.5778	179.26
46.3578	176.66
46.1878	174.16
46.0578	172.16
45.8078	169.36
45.6278	167.06
45.3978	164.46
45.2178	161.96
45.0178	159.36
44.8078	156.66
44.5678	153.66
44.3378	150.76
44.0678	147.66
43.8778	145.66
43.6678	143.66
43.4778	140.96
43.2778	138.26
43.0278	135.26
42.7778	131.96
42.4678	128.66
42.1878	125.46
41.9678	123.26
41.7478	120.56
41.4578	117.36
41.2378	114.96
41.0278	112.8
40.8378	110.64
40.5578	107.76
40.2978	105.02
40.1078	102.92
39.9078	100.67
39.7078	98.58
39.4478	96.36
39.1878	93.62
38.9878	91.17
38.7278	88.63
38.4778	85.82
38.1978	82.93
37.8678	79.83
37.5778	77.08
37.2978	74.49
37.0178	71.99
36.7378	69.4
36.4678	67.16
36.2378	64.99
35.8978	62.17
35.6378	59.78
35.3578	57.33
35.0778	55.06
34.8178	52.84
34.5178	50.53
34.2278	47.63
33.8678	44.78
33.5278	42.44
33.2178	40
33.0078	37.69
32.6578	34.98
32.3078	32.89
31.7978	30.46
31.4578	28.19
31.1478	26.03
30.8378	23.78
30.4578	20.946
30.1878	18.74
29.8578	16.411
29.5978	12.949
29.0678	10.911
28.6478	8.537
28.2578	5.856
27.7978	3.53
27.2978	1.23
25.9478	-4.79
25.5378	-6.97
25.1478	-9.39
24.6878	-11.96
24.2378	-14.06
23.7278	-16.36
23.2778	-18.36
22.7078	-20.57
22.1778	-22.78
21.6678	-25.01
21.1378	-27.03
20.5378	-29.07
19.8378	-31.42
19.2378	-33.44
18.6078	-35.55
18.1778	-38.02
17.7378	-40.45
17.2478	-43.11
16.6978	-45.77
16.2078	-48.02
15.6878	-50.2
15.0678	-52.24
14.6078	-54.92
14.2778	-56.98
13.8678	-59.05
13.4278	-61.21
12.9978	-63.23
12.4878	-65.84
11.9678	-68.29
11.4168	-70.93
10.6498	-73.42
10.1878	-75.83
9.6978	-78.49
9.1118	-80.53
8.4778	-82.94
7.9778	-85.13
7.3878	-87.24
6.8538	-89.44
6.3208	-91.84
5.7398	-94.24
5.2398	-96.34
4.8068	-99.24
4.2918	-101.54
3.7398	-103.74
3.1588	-106.24
2.6208	-108.24
1.9774	-110.84
1.3678	-113.04
0.5296	-115.14
0.1348	-117.34
-0.3752	-119.34
-1.0322	-121.44
-1.6902	-123.54
-2.1712	-125.54
-2.5612	-127.64
-3.0472	-129.84
-3.5852	-131.94
-4.3572	-134.04
-4.8042	-136.04
-5.4522	-138.44
-5.8662	-140.54
-6.3952	-142.84
-6.9472	-145.14
-7.9382	-147.34
-8.3382	-149.34
-8.8422	-151.84
-9.7922	-153.84
-10.1322	-156.24
-10.7322	-158.44
-11.3222	-160.74
-11.8322	-162.84
-12.7222	-164.94
-13.3222	-167.24
-13.9622	-169.44
-14.7022	-172.04
-15.0822	-174.04
-15.5522	-176.24
-16.3822	-178.74
-16.8522	-180.74
-17.4722	-182.84
-17.9622	-184.84
-19.1422	-187.24
-19.5322	-189.94
-19.9922	-191.94
-20.7622	-193.94
-21.2122	-196.14
-21.7922	-198.74
-22.4522	-200.94
-23.0922	-203.14
-23.9322	-205.34
-24.3122	-207.74
-24.7722	-210.24
-25.3422	-212.54
-25.8522	-214.84
-26.4922	-216.84
-27.0522	-219.44
-27.5422	-222.24
-28.1622	-224.24
-28.5322	-226.34
-28.9422	-228.44
-29.3922	-230.64
-30.1522	-233.04
-30.5522	-235.44
-31.1322	-237.54
-31.4122	-239.84
-31.7722	-242.04
-32.1822	-244.44
-32.6022	-246.64
-33.0322	-248.94
-33.8522	-251.44
-34.2422	-253.84
-34.6122	-256.34
-35.0422	-258.54
-35.8722	-260.84
-36.1422	-263.04
-36.5422	-266.54
-36.9122	-268.64
-37.2922	-271.04
-37.9422	-273.84
-38.4522	-275.84
-39.1022	-277.94
