"Ng 1978, Spec. 2"	
-5.6601	-17.46
-7.5471	-18.437
-9.0564	-19.415
-10.943	-20.393
-12.453	-21.231
-13.962	-22.209
-15.283	-23.047
-16.792	-23.746
-18.113	-24.584
-19.056	-25.003
-20.188	-25.841
-20.943	-26.12
-21.886	-26.818
-22.83	-27.237
-23.962	-27.936
-25.282	-28.634
-26.226	-29.332
-27.17	-29.751
-28.113	-30.171
-28.867	-30.45
-29.434	-30.869
-30.188	-31.148
-30.376	-31.428
-31.13	-31.847
-30.754	-31.288
-30.376	-30.45
-30.188	-29.472
-30	-28.774
-30	-28.075
-29.809	-27.237
-29.621	-26.26
-29.434	-25.142
-29.055	-24.165
-29.055	-23.466
-28.679	-22.349
-28.301	-21.091
-27.925	-20.114
-27.358	-19.275
-26.98	-18.018
-26.413	-17.32
-26.038	-16.063
-25.282	-14.946
-24.905	-13.828
-24.339	-12.571
-23.773	-11.454
-23.018	-9.9173
-22.452	-8.9396
-21.697	-7.6825
-21.32	-6.425
-20.377	-5.1679
-19.811	-4.1904
-19.056	-3.0729
-18.113	-1.9555
-16.981	-0.83809
-16.226	-0.27936
-15.849	0.41904
-14.905	1.8158
-13.773	2.6539
-12.641	3.7713
-11.321	5.1679
-9.811	6.7044
-8.113	8.1015
-6.9809	9.2189
-5.4717	10.197
-3.7734	11.454
-1.8867	12.85
-0.18867	14.108
1.3207	14.806
2.8301	15.644
4.5283	16.622
6.2263	17.46
7.5471	18.158
9.0564	18.856
11.509	19.695
13.207	20.253
15.471	21.091
17.169	21.65
19.622	22.209
20.754	22.907
22.641	23.606
23.962	24.304
25.471	25.142
27.358	25.841
28.867	26.679
30.188	27.656
30.754	27.936
31.321	28.355
31.13	27.656
30.942	26.958
30.754	25.98
30.566	25.282
30.376	24.444
30	23.047
29.621	21.79
29.246	20.114
28.489	18.717
28.113	17.46
27.358	16.063
26.792	14.806
25.85	12.85
24.716	11.733
24.15	10.336
23.018	8.6602
22.264	7.5429
21.132	6.006
19.999	4.4696
18.867	3.0729
18.113	1.8158
16.792	0.5587
15.094	-0.83809
13.585	-2.0952
11.698	-3.6317
10.566	-5.0283
8.4905	-6.425
6.9809	-7.4032
5.2829	-8.7999
3.7734	-9.9173
1.6981	-11.174
0	-12.152
-1.3207	-13.269
-2.8301	-14.108
-4.1509	-15.365
-5.4717	-15.923
-6.7922	-16.761
-8.4905	-17.739
-9.4338	-18.158
-10.377	-18.717
-12.075	-19.695
-13.396	-20.253
-14.905	-21.091
-16.792	-21.93
-18.679	-22.907
-19.811	-23.746
-21.509	-24.584
-22.83	-25.422
-24.339	-26.12
-25.659	-26.818
-27.358	-27.796
-28.867	-28.634
-29.621	-29.053
-30.188	-29.332
-30.942	-29.751
-30.754	-28.774
-30.376	-27.656
-30	-26.26
-29.809	-24.863
-29.621	-24.165
-29.434	-22.768
-29.246	-21.65
-28.679	-20.393
-28.301	-19.275
-27.734	-17.879
-26.98	-16.622
-26.226	-15.225
-26.038	-13.828
-24.905	-12.431
-24.339	-11.174
-23.584	-9.9173
-22.83	-8.6602
-22.075	-7.6825
-21.32	-6.2853
-20.566	-5.0283
-19.622	-3.6317
-18.867	-2.3745
-18.113	-1.2571
-16.981	-0.13968
-15.471	0.5587
-14.339	1.9555
-13.585	3.0729
-12.075	4.0507
-10.754	5.1679
-9.2451	6.2853
-8.113	7.1234
-6.9809	8.1015
-5.4717	9.3586
-4.1509	10.197
-2.6413	11.314
-0.94338	12.152
0.37734	13.13
2.4528	14.247
4.3396	15.504
5.6601	16.342
6.9809	17.041
8.6789	18.018
10.566	18.856
13.207	19.695
15.094	20.393
16.415	20.952
20.566	23.187
23.018	24.444
26.038	25.701
27.925	26.399
29.434	27.237
30.566	27.796
31.887	28.634
33.208	29.193
34.717	30.031
36.413	30.729
38.679	31.567
41.13	32.266
43.205	32.685
44.905	33.243
46.225	33.383
46.792	33.523
46.98	33.383
46.98	32.824
46.792	32.126
46.413	31.148
46.413	30.171
46.413	29.193
46.225	28.494
45.847	27.098
45.471	25.841
45.283	24.584
44.717	23.606
44.15	22.209
43.396	20.672
42.451	18.996
42.075	17.599
41.885	16.622
41.13	15.784
40.564	14.527
39.621	12.711
38.489	11.314
37.546	9.638
36.604	8.1015
35.659	6.425
34.338	5.0283
33.208	3.6317
31.887	2.2349
30.754	0.69837
29.434	-0.83809
27.734	-2.3745
26.413	-3.6317
24.528	-5.1679
23.018	-6.006
21.886	-7.1234
20.566	-8.3809
19.245	-9.2189
17.735	-10.197
16.226	-11.314
13.962	-12.571
12.83	-13.409
11.132	-14.108
9.2451	-14.946
6.9809	-16.203
5.2829	-16.901
3.9621	-17.599
2.4528	-18.298
1.5094	-18.856
0.18867	-19.136
-0.75471	-19.695
-2.8301	-20.253
-4.5283	-20.812
-6.2263	-21.231
-8.113	-22.209
-9.811	-22.488
-11.698	-23.047
-13.585	-23.326
-15.849	-23.606
-17.547	-23.885
-19.245	-24.444
-21.509	-25.142
-22.83	-25.701
-25.282	-26.399
-26.038	-26.818
-27.734	-27.237
-29.055	-27.656
-30.376	-28.075
-32.263	-29.053
-34.338	-30.031
-36.038	-30.729
-37.546	-31.428
-39.055	-31.986
-40.188	-32.126
-41.697	-32.685
-43.205	-33.383
-44.15	-33.523
-44.905	-33.942
-45.471	-34.221
-46.037	-34.221
-46.225	-33.523
-46.225	-32.685
-46.037	-31.428
-45.659	-30.171
-45.093	-28.774
-44.526	-27.098
-44.15	-25.841
-43.584	-24.165
-43.205	-22.768
-42.451	-21.091
-41.509	-19.555
-41.13	-18.018
-40.376	-16.622
-39.621	-14.666
-38.679	-13.269
-38.113	-11.733
-37.358	-10.197
-36.413	-8.9396
-35.659	-7.6825
-34.905	-6.1457
-33.962	-5.0283
-33.208	-3.911
-32.075	-2.5142
-31.321	-1.3968
-30.188	0
-29.434	0.41904
-27.925	1.8158
-26.226	2.7936
-25.282	3.7713
-23.962	4.8886
-22.83	5.8663
-21.509	6.7044
-19.999	7.9619
-18.679	9.0793
-16.792	10.476
-15.283	11.314
-13.585	12.152
-11.886	13.269
-9.9997	14.247
-8.6789	14.946
-6.2263	16.063
-4.3396	16.761
-3.2075	17.18
-0.94338	17.879
0.18867	18.158
1.6981	18.717
3.0188	19.136
4.5283	19.555
6.415	19.695
8.113	20.253
10.754	20.812
12.83	21.231
14.905	21.65
17.169	22.209
18.867	22.488
23.207	24.025
27.925	25.142
31.13	25.841
33.584	26.539
35.283	26.958
36.604	27.377
38.301	27.936
40.188	28.494
41.697	28.774
43.205	29.472
44.905	30.171
46.037	30.729
46.98	31.148
47.358	30.59
47.168	29.891
47.168	29.332
47.168	28.494
46.98	27.796
46.792	26.958
46.413	25.841
46.225	24.863
45.847	23.746
45.659	23.047
45.093	21.79
44.717	20.672
44.15	19.415
43.584	18.158
42.642	16.482
41.885	14.806
41.321	13.828
40.754	12.571
40	11.593
38.679	9.7776
37.925	8.7999
36.604	7.4032
35.847	6.2853
34.717	4.8886
32.829	3.2126
31.697	1.5365
30.376	0.27936
29.246	-0.83809
27.925	-1.8158
26.413	-2.5142
24.15	-4.1904
22.452	-5.1679
20.566	-6.425
18.301	-7.8222
16.037	-9.0793
13.207	-10.197
12.264	-10.755
11.132	-11.454
9.2451	-12.292
7.5471	-12.99
5.6601	-13.689
4.5283	-14.247
3.0188	-14.946
1.1321	-15.365
-0.56601	-15.504
-2.2641	-16.342
-4.5283	-17.041
-6.9809	-17.46
-9.0564	-18.158
-11.321	-18.856
-12.641	-19.136
-14.717	-19.555
-16.415	-19.834
-18.49	-20.393
-20.188	-20.812
-22.264	-21.231
-23.773	-21.65
-25.471	-22.209
-27.17	-22.349
-28.867	-22.768
-30.942	-23.047
-32.451	-23.466
-33.772	-23.746
-36.225	-24.584
-38.301	-25.142
-40	-25.841
-40.942	-26.539
-42.451	-27.377
-43.584	-27.936
-44.338	-28.634
-45.093	-29.332
-45.659	-30.031
-46.037	-30.729
-45.847	-29.472
-46.225	-28.774
-46.225	-27.656
-46.413	-26.679
-46.225	-25.701
-45.847	-24.444
-45.283	-23.466
-45.093	-22.209
-44.717	-21.091
-44.338	-20.114
-43.772	-18.996
-43.205	-18.298
-42.263	-16.761
-41.885	-15.504
-41.321	-14.666
-40.754	-13.689
-40	-12.431
-39.246	-11.314
-38.867	-10.336
-37.925	-9.0793
-37.168	-8.1015
-36.413	-6.9837
-35.659	-6.1457
-34.905	-5.0283
-34.15	-4.1904
-33.017	-2.9332
-32.451	-2.2349
-31.697	-1.5365
-30.942	-0.69837
-30.188	-0.13968
-28.867	1.1174
-27.925	2.2349
-26.226	3.7713
-25.282	4.6092
-23.396	6.006
-22.075	6.9837
-20.188	8.3809
-18.867	9.3586
-17.358	10.476
-16.226	10.895
-14.717	12.012
-13.773	12.571
-12.264	13.549
-10.754	14.387
-8.6789	15.504
-6.2263	16.342
-4.3396	17.18
-2.2641	17.879
-0.56601	18.577
0.18867	18.856
3.0188	19.555
6.2263	20.114
7.9243	20.812
9.9997	21.091
11.509	21.511
14.151	21.93
16.226	22.488
18.679	22.907
20.377	23.187
22.83	23.746
24.905	24.304
27.17	25.003
28.867	25.701
30.376	26.399
32.263	27.237
33.962	27.936
36.038	28.774
37.734	29.751
39.621	30.45
41.509	31.148
43.584	32.126
46.037	32.824
48.489	33.523
51.321	34.361
53.396	34.78
56.037	35.338
58.113	35.618
59.621	35.898
62.075	36.317
63.584	36.596
64.338	36.596
64.338	35.898
64.15	34.919
63.772	34.081
63.772	33.104
63.584	31.986
62.829	30.59
62.829	29.332
62.263	28.215
62.263	27.098
61.697	25.701
61.13	24.444
60.564	23.047
59.809	21.231
59.055	19.974
58.489	18.577
57.922	17.18
56.792	15.784
56.037	14.666
55.471	13.269
54.717	12.152
53.396	10.057
52.829	8.9396
51.697	7.5429
50.564	5.7266
49.433	4.33
48.679	2.7936
47.922	1.1174
46.225	-0.13968
45.471	-1.2571
44.526	-2.2349
42.642	-4.0507
41.13	-5.7266
39.809	-6.7044
37.925	-7.8222
36.225	-9.2189
34.717	-10.197
32.642	-11.454
31.13	-12.292
28.489	-13.549
26.413	-14.387
24.716	-14.946
21.886	-16.063
19.999	-16.761
18.113	-17.18
16.037	-17.879
13.962	-18.437
12.83	-18.856
10.377	-19.275
8.6789	-19.834
6.6035	-20.393
5.0942	-20.672
3.2075	-20.952
1.8867	-21.231
0.56601	-21.371
0	-21.371
-1.1321	-21.231
-3.3962	-21.65
-5.8489	-22.209
-7.5471	-22.488
-10.188	-22.488
-12.453	-23.187
-14.339	-23.606
-16.226	-23.746
-18.49	-24.025
-20.188	-24.444
-22.83	-24.723
-24.905	-24.723
-27.17	-25.003
-29.621	-25.561
-31.13	-25.701
-32.829	-25.841
-34.905	-25.98
-36.604	-25.98
-38.301	-26.26
-40.942	-26.679
-42.263	-26.679
-44.905	-27.237
-46.413	-27.796
-48.113	-28.075
-49.433	-28.634
-50.564	-29.193
-51.885	-29.751
-53.205	-30.59
-54.526	-31.288
-55.659	-31.847
-57.168	-32.824
-58.677	-33.942
-59.621	-34.64
-60.564	-35.199
-61.318	-35.618
-61.697	-36.037
-61.697	-35.618
-61.697	-34.78
-61.697	-34.081
-61.509	-33.243
-61.509	-32.126
-61.13	-30.729
-61.13	-29.891
-60.754	-28.494
-60.564	-27.098
-60.376	-26.12
-59.809	-24.723
-59.243	-23.326
-58.677	-21.93
-58.113	-20.672
-57.546	-19.555
-56.601	-18.158
-56.037	-16.761
-55.281	-15.644
-54.526	-14.387
-53.772	-13.13
-53.017	-12.012
-52.075	-11.035
-51.697	-9.7776
-50.564	-8.2412
-49.433	-6.844
-48.301	-5.587
-46.601	-3.911
-45.847	-2.7936
-44.526	-1.2571
-43.396	0
-42.263	0.5587
-40.754	1.8158
-39.621	2.5142
-38.113	3.6317
-36.792	4.33
-35.471	5.3076
-33.772	6.2853
-32.263	7.2635
-30.376	8.2412
-29.055	8.9396
-27.546	9.9173
-26.038	10.476
-24.15	11.314
-22.264	12.152
-19.999	13.269
-17.924	14.247
-16.603	14.806
-14.339	15.644
-12.641	16.203
-10.188	17.041
-8.113	17.599
-5.8489	18.298
-3.7734	18.856
-2.0754	19.136
-0.75471	19.555
0.37734	19.555
2.4528	19.834
4.3396	20.393
6.6035	20.812
8.113	21.091
10.188	21.511
11.886	21.65
14.151	21.93
16.037	22.349
17.924	22.907
20.188	23.187
21.509	23.326
23.773	23.885
26.038	24.304
28.113	24.444
30.754	25.003
33.017	25.561
35.283	25.98
37.734	26.539
40.376	27.377
