"Graff, 2001, C5"	
5014	
0.385805909	3.579942196
0.320386659	1.432514633
0.177806198	0.482940256
-0.00838708	0.127867912
-0.041935425	-1.097157204
-0.157677206	-2.994843691
-0.281806066	-5.170703837
-0.375741413	-7.169193637
-0.56193469	-9.349556596
-0.597160452	-11.30632712
-0.714579648	-13.4407725
-0.885676181	-15.56105088
-0.942708351	-17.7570359
-1.03999853	-19.79878424
-1.105417804	-21.84417868
-1.301675578	-23.86240063
-1.407352862	-25.84006476
-1.479481801	-27.91900683
-1.600255804	-29.89346131
-1.714320168	-31.88029856
-1.8250297	-34.15716013
-1.778062001	-35.14809801
-1.741158849	-32.20091311
-1.563352626	-29.85359778
-1.509675289	-27.58082567
-1.410707694	-25.34585363
-1.214449895	-23.12346001
-1.140643566	-20.78006062
-1.036643698	-18.61704986
-0.969547032	-16.31584936
-0.779998897	-14.31441447
-0.758192489	-12.01155893
-0.61896686	-9.989314851
-0.53677345	-7.874095499
-0.441160662	-5.673919113
-0.202967463	-3.752586243
-0.224773871	-1.712806485
-0.12412886	0.327358946
0.120774028	1.173667123
0.251612552	2.455867479
0.343870483	4.195959817
0.479741255	6.095752257
0.578708876	8.090504717
0.667611974	10.37227688
0.72632156	12.27440746
0.865547164	14.42051412
0.97457928	16.4573932
1.016514706	18.22964625
1.259740153	20.48894395
1.247998241	22.48594067
1.425804438	24.39996184
1.481159217	26.68244556
1.643868645	28.63705969
1.692513735	30.78881985
1.880384454	32.74134741
1.947481119	34.66709087
1.999481066	35.65981063
1.949158535	34.22880005
1.796513603	32.22511143
1.752900761	30.08292342
1.581804228	27.7513378
1.455997952	25.5639103
1.362062605	23.31727663
1.264772426	20.90218276
1.237933745	18.90866659
1.041675946	16.6397203
0.956127679	14.41306494
0.862192332	12.337031
0.684386134	10.1759068
0.657547453	7.987723364
0.582063708	5.947325582
0.350580147	4.079128585
0.370709165	2.132191665
0.135870772	0.58115443
-0.080516019	-0.707283266
-0.17277395	-2.334786967
-0.224773871	-4.475785113
-0.367354333	-6.50674459
-0.531741177	-8.506663372
-0.546837946	-10.52919793
-0.73470864	-12.82332777
-0.721289312	-14.74667506
-0.880643933	-16.9952423
-1.075224291	-18.99433544
-1.093675892	-21.01395137
-1.241288577	-23.0113712
-1.308385267	-25.29073805
-1.370449685	-27.09972088
-1.549933298	-29.30782898
-1.667352495	-31.19145303
-1.724384664	-33.21772121
-1.853545772	-35.33411643
-1.920642463	-37.32130543
-2.001158482	-39.35341989
-2.177287263	-41.03417768
-2.252771034	-43.01536329
-2.397028886	-44.86832321
-2.433932064	-46.68935444
-2.608383429	-48.44161952
-2.653673687	-50.327374
-2.797931539	-52.12302468
-2.861673398	-53.73635923
-2.979092569	-55.42627501
-3.111608534	-56.78203671
-3.126705278	-58.42657085
-3.322963052	-59.70985544
-3.385027495	-61.07096818
-3.457156433	-62.60560709
-3.603091702	-63.88798786
-3.718833482	-65.48557881
-3.933542857	-67.8579711
-4.183477968	-70.08488673
-4.260639155	-71.44864683
-4.334445509	-72.75269305
-4.641412815	-74.6517371
-4.882960872	-76.82727203
-4.819219013	-75.20421582
-4.768896507	-73.8408407
-4.72360625	-72.51179402
-4.641412815	-70.70384676
-4.5508323	-69.40161368
-4.562574212	-67.65826912
-4.299219748	-66.02405048
-4.297542332	-64.26436489
-4.118058718	-62.68388123
-4.067736213	-61.15468335
-3.886575183	-59.84512949
-3.772510819	-58.25736436
-3.68360772	-56.76388943
-3.623220694	-55.24171822
-3.485672505	-53.66090099
-3.338059821	-52.26167927
-3.331350157	-50.59857403
-3.165285872	-49.07003923
-3.061286003	-47.49493571
-2.975737737	-45.96947381
-2.838189548	-44.38906123
-2.818060556	-42.90983264
-2.514448083	-41.20759681
-2.549673819	-39.55823995
-2.371867621	-37.99322358
-2.366835373	-36.04813241
-2.140384086	-34.63495302
-2.095093829	-32.79477027
-2.021287474	-31.25690584
-1.892126366	-29.32999986
-1.865287684	-27.27190281
-1.613675157	-25.45941368
-1.652255751	-23.77233989
-1.445933456	-21.7694513
-1.398965782	-20.02299757
-1.281546586	-17.80647144
-1.162449974	-16.00073452
-1.051740467	-14.14481581
-0.892385845	-12.20991019
-0.887353597	-10.23911474
-0.672644222	-8.285939051
-0.67767647	-6.016818392
-0.427741334	-4.214765114
-0.427741334	-2.511578077
-0.363999501	-0.58980732
-0.149290126	0.868395071
0.087225683	3.196446079
0.315354386	4.930394737
0.30528989	6.851753698
0.451225183	8.75825809
0.540128282	10.79208883
0.600515284	12.79405117
0.798450499	14.88118393
0.833676235	16.72489107
1.001417936	18.57551388
1.070192043	20.35840647
1.15574031	22.6781597
1.311740099	24.30531998
1.330191675	26.39822437
1.591868724	28.24346143
1.516384953	30.30766512
1.736126576	32.12131549
1.819997427	34.13791108
1.866965126	36.02308782
2.004513314	38.05905375
2.152125998	39.96578893
2.230964601	41.65015439
2.341674133	43.40339637
2.449028808	45.12886133
2.502706145	47.06027026
2.702318776	48.44640046
2.787867043	50.17258019
2.806318619	51.87642105
2.975737737	53.30873411
3.114963366	54.96820579
3.205543881	56.54575954
3.267608298	57.98928613
3.354833981	59.50619574
3.541027284	60.81239301
3.611478782	62.53188167
