SPECIMEN A7			
DISP(mm)	SHEAR(kN)		
3.673786404	24.00923122		
2.41696207	15.81533093		
1.173949595	8.044440061		
-0.087478692	-0.758157125		
-1.335094358	-9.535860782		
-2.624144028	-17.78080993		
-1.947392702	-8.873083246		
-0.70898418	1.305403226		
0.552442583	10.69455085		
1.809266917	18.90934929		
3.070693681	25.88953847		
4.304499773	32.56866093		
3.715218884	24.29333019		
2.472206409	16.06153039		
1.201571765	8.261803262		
-0.027628901	-0.384935253		
-1.293660354	-9.377389212		
-2.555087879	-17.61435247		
-3.784289282	-25.90504424		
-4.078928977	-27.07850941		
-4.074325024	-26.17657266		
-4.069721833	-26.1333244		
-5.059527879	-33.1616795		
-5.786920354	-33.26493436		
-4.50247385	-20.95740447		
-3.259461375	-12.68373849		
-2.011845684	-4.82774321		
-0.736607087	3.182751094		
0.520216486	11.71174466		
1.26602396	14.52252306		
0.00920115	1.929802959		
-1.238415278	-7.539148231		
-2.504446731	-15.52615331		
-3.752063159	-22.85846715		
-4.985867778	-30.20779868		
-6.261106375	-37.21299067		
-7.508722803	-41.52893314		
-8.328190405	-41.38614955		
-7.075970405	-30.19800288		
-5.814542498	-22.65239088		
-4.553114998	-15.83971714		
-3.287084282	-9.214449774		
-2.034863901	-2.278775861		
-0.764229256	5.164870932		
0.469576099	12.95409183		
1.703380693	19.84263252		
2.969411409	26.23758807		
4.22163179	32.67059829		
5.496870388	39.40319292		
6.730674982	45.39118508		
8.005913579	49.98735596		
9.248926054	53.84114818		
10.51956222	57.36768297		
11.75336682	60.69514815		
13.03320937	63.97281614		
14.28542822	67.13795338		
15.51462889	69.75201429		
16.80367932	72.19421142		
18.02827753	73.88544279		
19.31272251	75.21605523		
20.56033894	76.2641522		
21.82637116	77.02465402		
23.0647797	77.69306979		
22.12561404	67.47406815		
20.87799761	61.23027449		
19.62577873	56.26358475		
18.35514409	51.56412722		
17.12133797	46.95930555		
15.85070333	42.34330404		
14.61229478	37.96725487		
13.34166013	33.47736809		
12.09404371	29.09854948		
10.82801299	24.86121323		
11.21012388	31.71615642		
12.47155215	38.86368657		
13.72837648	43.70590198		
14.98519777	48.23390374		
16.24662755	52.76336504		
17.48043065	57.11736336		
17.21801631	51.63677449		
15.97500534	44.87203235		
14.718181	39.98766796		
13.46135667	35.39660738		
12.1861196	30.65392163		
10.92929526	25.74912101		
9.67707488	20.92919474		
8.429459976	16.55031675		
7.154219855	12.12188857		
5.920415261	7.914591616		
4.672798833	3.787308932		
3.388353853	-0.455205424		
2.163755642	-4.576038883		
0.888517044	-8.857915735		
-0.354495456	-13.10965172		
-1.6251301	-17.59973333		
-2.877350481	-22.33585564		
-4.1295701	-27.30250671		
-5.390997625	-32.46031122		
-6.643218006	-37.61543899		
-5.579751858	-26.64885182		
-4.341342549	-19.19351466		
-3.066103952	-12.67024094		
-1.832299358	-6.640644238		
-0.570871833	-0.728847781		
0.699762812	5.143746521		
1.956587146	10.84485333		
3.199599621	16.43719963		
4.456422431	21.38424767		
5.722454646	26.01960575		
6.983881409	30.23467536		
8.23610179	34.36344832		
9.474510337	38.21588804		
10.74974893	42.22559054		
11.97434715	46.05313653		
13.24037936	49.9549981		
14.50180612	53.64640166		
15.77244079	57.36152716		
17.02465965	61.008403		
18.28608641	64.46920516		
19.5475162	67.78352877		
20.79513263	70.8423343		
22.04735149	73.69356791		
23.28576003	75.95415088		
24.57941289	77.45434248		
25.80401113	77.97183423		
27.07464577	78.37778824		
28.34067799	78.5928961		
29.60210475	78.63962817		
30.8405133	78.7833692		
32.10654552	78.83139284		
33.35876437	78.97959086		
34.62019114	78.83712124		
35.88622335	78.96857761		
35.10819128	69.27932453		
33.82834873	63.0481953		
32.58993716	58.50529518		
31.31470006	54.18163724		
30.08089397	49.93208938		
28.81025932	45.81948896		
27.56724835	41.81845755		
26.28280034	37.76472368		
25.0443918	33.95430808		
23.77375713	30.15539189		
22.5261407	26.48854227		
21.27852427	22.98990815		
20.0032872	19.44144792		
18.77868896	16.20052425		
17.49424401	12.79568304		
16.26504032	9.720864902		
14.98519777	6.799161363		
13.74678922	4.078106264		
12.47155215	1.367437653		
11.2331436	-1.102727459		
9.953301074	-3.416630978		
8.705684621	-5.658772737		
7.467276099	-7.688578497		
6.187433548	-9.939930806		
4.944421048	-11.92931562		
3.664578523	-14.01306002		
2.439980286	-16.12278544		
1.169345642	-18.58094883		
-0.073666833	-21.13592889		
-1.335094358	-24.07319953		
-2.59191793	-27.40722669		
-3.853345456	-30.93098672		
-5.100961883	-34.89082887		
-6.334766477	-38.67913186		
-7.614609028	-42.50149915		
-8.843810049	-45.78585963		
-10.1328601	-48.94065643		
-11.3850801	-51.81241297		
-12.64650763	-54.30972131		
-13.8895201	-56.65523284		
-15.17856997	-58.61590546		
-16.4077712	-60.18225163		
-17.67380265	-61.15196024		
-18.93062622	-62.03473336		
-20.17824227	-62.70590921		
-21.4488777	-63.2990895		
-22.69189018	-63.73787745		
-23.97633592	-64.0636633		
-25.20093337	-64.24622238		
-26.46236165	-64.37621443		
-27.71918447	-64.56769491		
-28.98981911	-64.303062		
-30.24664344	-64.41128281		
-31.51267413	-64.45871637		
-32.7418763	-64.53747978		
-31.64618403	-54.61212629		
-30.37094393	-48.40175694		
-29.12793143	-43.68987078		
-27.8480904	-39.05014266		
-26.58666214	-34.68852882		
-25.31602747	-30.42853142		
-24.08222214	-26.30591414		
-22.80698355	-22.29577016		
-21.55936709	-18.37838339		
-20.30254352	-14.6462653		
-19.04111602	-10.93414831		
-17.82572607	-7.54937598		
-16.54127995	-4.060724712		
-15.29826747	-0.982081619		
-14.0138213	2.171653169		
-12.76620513	5.125786373		
-11.50938135	7.810374554		
-10.24795403	10.37050409		
-8.977318799	12.70295949		
-7.738910278	14.90051804		
-6.477482752	16.87436342		
-5.225263133	18.71965177		
-3.982250633	20.31102603		
-2.720823133	22.15910922		
-1.47320668	23.85654943		
-0.193364891	25.60515582		
1.054251536	27.13504418		
2.311075845	28.75135683		
2.214397527	23.3192603		
0.939158929	16.75414282		
-0.308457498	12.50112834		
-1.569885786	8.725936316		
-2.822105405	4.806803649		
-4.046702854	1.062969438		
-5.335752549	-2.866521308		
-6.551142854	-6.838282582		
-7.84940043	-10.77057877		
-9.101620049	-14.58502772		
-10.36765153	-18.27774076		
-11.61066382	-21.85934539		
-12.87209138	-25.21535945		
-14.13812255	-28.61466089		
-15.39955013	-31.78234231		
-16.65177013	-34.92628157		
-17.87176365	-37.78949403		
-19.15160617	-40.66830054		
-20.40382582	-43.43568049		
-21.66525332	-45.99524291		
-22.92668084	-48.47201119		
-24.18810834	-50.75961394		
-25.4357248	-52.98110362		
-26.68794441	-55.09846314		
-27.9401648	-57.02752119		
-29.20619549	-58.75077171		
-30.45841587	-60.32397647		
-31.70603232	-61.62385781		
-32.98127092	-62.76193083		
-34.22888735	-63.43369915		
-35.49031411	-63.79326978		
-36.74713842	-64.02747481		
-38.01316913	-64.15818574		
-39.26078556	-64.40888507		
-40.52221233	-64.45624742		
-41.76982875	-64.51949149		
-43.03125552	-64.5226167		
-44.28347742	-64.52592001		
-45.50807563	-64.39487307		
-46.80633092	-64.53495674		
-48.03092913	-64.44492637		
-49.31997959	-64.51945897		
-50.54918023	-64.42880086		
-51.83362521	-64.46339331		
-53.07663921	-64.43891241		
-54.34727386	-64.38486645		
-55.59489028	-64.46626361		
-56.85171462	-64.27943097		
-58.10853895	-64.26337138		
-59.35615236	-64.09644946		
-60.63139245	-64.08234974		
-61.86519857	-63.97371571		
-63.12662533	-63.89388776		
-64.37424176	-63.89328061		
-65.63567155	-63.68893331		
-66.89709529	-63.58558687		
-68.1631275	-63.36348574		
-69.41074393	-63.27830725		
-70.66296281	-63.11124001		
-71.9243926	-62.92512559		
-73.16740053	-62.90536749		
-74.44264367	-62.70146521		
-75.6810492	-62.50932015		
-76.95168384	-62.32775279		
-78.19469784	-62.22062782		
-79.46993494	-61.95728416		
-78.88986495	-54.45045314		
-77.63304367	-48.54159036		
-76.37161388	-44.39021731		
-75.11018409	-40.55372473		
-73.87177857	-36.76357193		
-72.62416214	-33.24312154		
-71.33511171	-29.52700858		
-70.09670014	-26.17737186		
-68.82606547	-22.69284797		
-67.58765997	-19.40857595		
-66.32162776	-16.23703747		
-65.06480645	-13.34601186		
-63.80337666	-10.30214368		
-62.55115476	-7.284845498		
-61.28052011	-4.554928007		
-60.03750913	-1.854945423		
-58.80830849	0.549000814		
-57.51465259	3.09921894		
-56.28545195	5.334007702		
-55.01021487	7.542206453		
-53.77180632	9.550851752		
-52.48735832	11.42604396		
-51.24434735	13.24800268		
-49.9737127	14.97358299		
-48.73069868	16.56419376		
-47.46006403	17.97421506		
-46.20323972	19.38076564		
-44.98784939	20.73359744		
-43.69419651	21.90057087		
-42.45578799	23.09081555		
-41.18054786	24.16909833		
-39.95595268	25.25116053		
-38.68992046	26.15843706		
-37.43309765	27.20863123		
-36.15785753	28.03472377		
-34.91944898	28.84862158		
-33.63500403	29.67734052		
-32.40119791	30.4490487		
-31.16278936	31.09611003		
-29.88294681	31.88129399		
-28.63072643	32.46951314		
-27.35548783	33.10701081		
-26.10787293	33.73608532		
-24.84644464	34.28486462		
-23.59422502	34.91574159		
-22.33740145	35.44316057		
-21.08978502	36.05110325		
-19.82375357	36.53922068		
-18.5761375	37.12642337		
-17.34233252	37.60445501		
-16.05788622	38.16064847		
-14.82408135	38.63905318		
-13.54423885	39.15160561		
-12.2920189	39.65674699		
-11.03519515	40.20483087		
-9.782975329	40.70940677		
-8.516943875	41.1341131		
-7.269327803	41.76357799		
-5.989485659	42.27620353		
-4.741869206	42.84247795		
-3.503460684	43.38526272		
-2.237429206	43.97778208		
-0.994416731	44.58467901		
0.280821867	45.3474611		
1.519230413	45.99493662		
2.785262629	46.77602855		
4.032877558	47.61452624		
5.308116155	48.41928242		
6.546526201	49.33901273		
7.812556917	50.16209813		
9.064777298	51.19057906		
10.31699616	52.11412927		
11.56921654	53.18468872		
12.81683147	54.25397755		
14.09207156	55.41446894		
15.33048011	56.50167668		
16.61492509	57.6235898		
17.84873121	58.85626618		
19.11476342	59.90872876		
20.37158776	61.10583048		
21.63761692	62.24349784		
22.87602547	63.45626328		
24.1328498	64.54902425		
25.40808993	65.73014746		
26.641893	66.69013871		
27.926341	67.81277481		
29.16935197	68.58577836		
30.43077874	69.51226229		
31.67839516	70.28817777		
32.93982495	70.98364481		
34.19664626	71.57302363		
35.45807605	72.07989169		
36.71029491	72.60537863		
37.94870345	73.02252025		
39.22394053	73.53325398		
40.46695452	73.86753902		
41.73758919	74.25120335		
42.98980805	74.54698414		
44.25584027	74.84508171		
45.49425184	75.11513096		
46.75567558	75.28699443		
48.00789443	75.5618488		
49.27392665	75.6288968		
50.53075401	75.84127354		
51.77376196	75.88258915		
53.03519175	76.09525848		
54.27360331	76.1551613		
55.55344282	76.16504858		
56.79185439	76.28772339		
58.06709149	76.23397087		
59.32391277	76.29900859		
60.58074013	76.23887719		
61.83295901	76.24024544		
63.09438273	76.26457631		
64.35121008	76.16306575		
65.60803139	76.10283413		
66.88787694	76.0897833		
68.11247518	75.93648765		
69.39231468	75.8002213		
70.63993111	75.7568767		
71.9013609	75.67684526		
73.12135063	75.4019098		
71.91056578	65.59094477		
70.6583469	60.1872538		
69.39231468	56.32767087		
68.14469825	52.43078723		
66.90168426	48.78845508		
65.62184473	45.09302999		
64.39264409	41.5993312		
63.12661187	38.05203956		
61.86518209	34.59394652		
60.60375835	31.27782988		
59.36074435	28.05471673		
58.0901097	24.98848094		
56.8470957	22.01447803		
55.55804525	19.17707517		
54.31503125	16.51568838		
53.08583061	13.88224551		
51.81519596	11.31777796		
50.5859953	8.957530696		
49.30615579	6.60041649		
48.04932844	4.523143925		
46.77869379	2.379086174		
45.53568584	0.391689248		
44.26965362	-1.416360022		
43.03584448	-3.151926877		
41.75600496	-4.669832724		
40.5037861	-6.158536202		
39.26537453	-7.602170555		
37.99934231	-8.886115903		
36.76093679	-10.09862747		
35.48109427	-11.13482709		
34.23808027	-12.18178194		
32.95363529	-13.17804065		
31.71982917	-14.03261711		
30.44919452	-14.77355032		
29.21078598	-15.71361446		
27.95396164	-16.30420717		
26.66951666	-17.15325542		
25.45872879	-17.83438588		
24.16968138	-18.58004837		
22.94047769	-19.20408495		
21.64682483	-19.78288618		
20.40841628	-20.40938371		
19.14698952	-21.00165271		
17.89016521	-21.59129969		
16.62873845	-22.01502518		
15.37651654	-22.66652376		
14.12429768	-23.08679138		
12.85826547	-23.5541098		
11.60144266	-24.01805589		
10.35382621	-24.45866572		
9.106209778	-24.98306874		
7.830971181	-25.34801755		
6.583356252	-25.83043712		
5.32192799	-26.19104913		
4.074311562	-26.69468137		
2.794469011	-27.12351521		
1.551456536	-27.56283495		
0.294633701	-27.94319985		
-0.948379536	-28.40344776		
-2.205203108	-28.88859399		
-3.471233799	-29.14591986		
-4.705039155	-29.72916058		
-5.989485659	-30.18022713		
-7.21868668	-30.65742986		
-8.50773635	-31.10985129		
-9.741541325	-31.65129987		
-11.01678013	-32.20451177		
-12.25518885	-32.70552256		
-13.51661635	-33.25442141		
-14.76883627	-33.86428057		
-16.02565992	-34.45412404		
-17.2916914	-35.17211666		
-17.48044487	-31.01682897		
-16.19599875	-24.42794415		
-14.9714013	-20.43228952		
-13.6777476	-17.02482943		
-12.42552768	-13.94367981		
-11.17791143	-11.09434198		
-9.916484104	-8.282433993		
-9.805993926	-9.402843653		
-9.3870526	-7.356056243		
-8.130229053	-4.545836722		
-6.873405481	-2.049542919		
-5.6211851	0.465998532		
-4.3781726	2.644026682		
-3.102934002	5.061646618		
-1.882940481	7.21193108		
-0.598494002	9.401749925		
0.658328808	11.58365671		
1.896738853	13.61361708		
3.148957736	15.56378562		
4.410385998	17.45364426		
5.66260488	19.34103228		
6.937844976	21.23479081		
8.190063859	23.05922528		
9.419266023	24.75156793		
10.69910855	26.60476568		
11.9375171	28.29956824		
13.2219636	30.00728272		
14.46497455	31.76661634		
15.72640131	33.44690118		
16.9878311	35.0017925		
18.23544755	36.57352594		
19.50147672	38.1920456		
20.75830105	39.72467413		
22.01051994	41.21410301		
23.24432603	42.55099891		
24.53337646	44.03023737		
25.76718258	45.30446567		
25.40808993	39.23157529		
24.14666014	33.36199355		
22.88063095	29.64777966		
21.63301449	26.31675378		
20.36698228	23.16895409		
19.1239713	20.21658829		
17.85333666	17.27635732		
16.61492509	14.57595617		
15.35349833	11.91102845		
14.09207156	9.413672847		
12.85366304	6.94384129		
11.56461258	4.584989415		
10.32620406	2.26170538		
9.050965464	0.095741359		
7.807952964	-2.019162737		
6.541922273	-4.015138588		
5.298909773	-5.96263989		
4.037481511	-7.894575937		
2.766846841	-9.975552365		
1.551456536	-11.7266752		
0.262407603	-13.51973469		
-0.948379536	-15.31135863		
-2.242033159	-17.06386226		
-3.46202668	-18.711499		
-4.741869206	-20.31340815		
-5.989485659	-21.90621116		
-7.264723875	-23.44391258		
-8.521547803	-24.93434785		
-9.773767829	-26.38170552		
-11.02598763	-27.93379271		
-12.26900013	-29.37862379		
-13.5396351	-30.74732783		
-14.77804377	-32.16976817		
-16.06249	-33.52127738		
-16.85433505	-32.24058451		
-15.58830377	-24.6721992		
-14.31766885	-20.16140564		
-13.05163763	-16.78305127		
-11.81322893	-13.66393685		
-10.5425939	-10.70276059		
-9.290373901	-7.893634927		
-8.051965354	-5.256456955		
-6.785934282	-2.632062069		
-5.538317854	-0.1595104		
-4.258475303	2.196472947		
-3.015462803	4.500081725		
-1.74943135	6.810258736		
-0.511023565	8.903086616		
0.759612603	11.13081086		
2.016435413	13.22890524		
3.264051841	15.24050907		
4.534686486	17.23791174		
5.754680769	19.13694699		
7.04833363	21.16191689		
8.282139748	23.06468893		
9.552774392	24.99895535		
10.79578689	26.86283528		
12.05721515	28.71040072		
13.31864192	30.60038308		
14.57546625	32.38405658		
15.82308268	34.22835669		
17.09371732	35.97470152		
18.3367283	37.71269528		
19.57053442	39.32200037		
20.86879273	41.07594862		
22.09338792	42.64106286		
23.36862804	44.24159645		
24.62545237	45.75260483		
25.89148157	47.11955787		
27.12989009	48.43742163		
28.40513021	49.68204048		
29.65734907	50.919812		
30.93719162	52.01854281		
32.16178983	53.10175104		
33.39559595	54.06220684		
34.68464336	55.1634977		
35.92765735	56.12624488		
37.198292	56.9914379		
38.44130298	57.9548502		
39.71654612	58.77864444		
40.94574676	59.61242306		
42.21638143	60.39443208		
43.2015805	59.6317945		
41.93554826	51.07878708		
40.67872697	46.13251335		
39.4449239	42.42830264		
38.16507833	38.7947046		
36.92666978	35.40266451		
35.65143268	32.16971105		
34.41302416	28.90270431		
33.13778404	25.77312077		
31.88556518	22.69170136		
30.62874085	19.86148883		
29.37191652	16.98765015		
28.12430009	14.26444965		
26.8582709	11.66060359		
25.63367268	9.195762178		
24.35383013	6.671073753		
23.11542159	4.327214965		
21.82176873	2.05070427		
20.59256504	-0.080887129		
19.32653587	-2.01377064		
18.07431397	-3.838677323		
16.79447141	-5.419265614		
15.55146044	-6.90587761		
14.29463613	-8.37549834		
13.03320937	-9.909283423		
11.79019687	-11.08181423		
10.51035434	-12.43224027		
9.290360058	-13.5773991		
8.005913579	-14.80346467		
6.767505032	-15.93279478		
5.487662482	-17.05277255		
4.240047552	-18.10082274		
2.97861929	-19.04808929		
1.731002863	-20.03330059		
0.487990363	-20.8705714		
-0.778040329	-21.92387286		
-2.011845684	-22.73757165		
-3.277876401	-23.62328241		
-4.525492829	-24.54568057		
-5.809939307	-25.41573856		
-7.052951426	-26.37861453		
-8.309775379	-27.2404428		
-9.566598952	-28.29150618		
-10.83263023	-29.30281486		
-12.08945388	-30.41619842		
-13.3554851	-31.532311		
-14.59849755	-32.70481271		
-15.85071755	-33.92141766		
-17.12135257	-34.99740164		
-18.3413461	-36.03681977		
-19.64881117	-36.91409022		
-20.87340865	-37.74524112		
-22.13483615	-38.58847924		
-23.39165972	-39.40844249		
-24.65769117	-40.14721437		
-25.90530686	-40.94353169		
-27.17133908	-41.59921094		
-28.42816189	-42.35649937		
-29.67117439	-43.02548215		
-30.95101691	-43.66332432		
-32.18021758	-44.35040859		
-32.63138615	-40.94140577		
-31.36535391	-33.89667949		
-30.11313505	-29.45368469		
-28.84710283	-25.8653191		
-27.58107212	-22.44585956		
-26.32424781	-19.2381759		
-25.06282105	-16.17481177		
-23.8244125	-13.20185573		
-24.81421855	-20.56457627		
-26.07564607	-25.55406721		
-27.31405535	-29.15541907		
-28.60310429	-32.60290518		
-29.85072072	-36.10107189		
-31.11675141	-39.33329438		
-32.35516148	-42.45200933		
-33.64421038	-44.74727062		
-34.88261893	-45.7083402		
-36.13944327	-46.3813733		
-37.39166365	-46.92806662		
-38.63467612	-47.49308445		
-39.90991322	-48.04599758		
-41.13911688	-48.6280239		
-42.42816429	-49.20541055		
-43.65736798	-49.72417359		
-44.95102084	-50.17754439		
-46.18482394	-50.65612451		
-47.43704582	-51.09807334		
-48.68466224	-51.62067855		
-49.95989934	-52.0268048		
-51.20751577	-52.44644353		
-52.44592432	-52.84250839		
-53.73037232	-53.29311837		
-54.95496751	-53.70412069		
-56.23481006	-54.11144068		
-57.47782406	-54.42281416		
-57.16476781	-48.05941769		
-55.92175684	-41.9626908		
-54.65572462	-37.82952692		
-53.4081082	-34.14404109		
-52.142079	-30.61687572		
-50.87604679	-27.1983521		
-49.64224067	-23.95466542		
-48.35319024	-20.67560789		
-47.1239896	-17.60210996		
-45.86256283	-14.62278638		
-44.61955186	-11.64914769		
-43.33510386	-8.872309738		
-42.10130079	-6.131710163		
-40.83066309	-3.485685221		
-39.58304667	-0.99208893		
-38.3216199	1.358456812		
-37.06940105	3.686132567		
-35.8309925	5.903081575		
-34.56496028	8.003970062		
-33.30813747	9.954649532		
-32.04670919	11.86661098		
-30.80369671	13.64610368		
-29.52845811	15.30971339		
-28.28084166	16.86067944		
-27.00099913	18.25225625		
-25.73496842	19.5783303		
-24.49195594	20.79236151		
-23.2397363	21.94621597		
-22.0105349	22.98940491		
-20.72148523	24.02833111		
-19.49228382	24.98676421		
-18.21244127	25.9187179		
-16.96022127	26.8847841		
-15.68958625	27.66679135		
-14.4419701	28.44227163		
-13.17593888	29.24438627		
-11.93292643	30.01928951		
-10.67610268	30.60892768		
-9.414675151	31.40975985		
-8.185474129	31.97068328		
-6.901027625	32.69399759		
-5.671826223	33.33877421		
-4.391984434	33.91443625		
-3.14897196	34.50035456		
-1.882940481	35.09280466		
-0.61690979	35.7272545		
0.630706638	36.29353923		
1.878323091	36.8807822		
3.144353782	37.43133269		
3.544880464	34.11045162		
2.329490134	27.73011762		
1.063459417	23.974567		
-0.18415701	21.12507391		
-1.459395608	18.5818756		
-2.707011274	16.02567838		
-3.973042752	13.63161924		
-5.211451299	11.32954699		
-6.486690633	8.97478004		
-7.729702752	6.818071911		
-9.000337778	4.611223679		
-10.24335028	2.265791384		
-11.49096632	0.023676028		
-12.76620513	-2.24694616		
-13.99540632	-4.505007414		
-15.29366372	-6.865954738		
-15.19238125	-3.067191472		
-13.9171426	2.262012128		
-12.65571513	5.806869867		
-11.4080989	8.551762399		
-10.13746405	11.28208211		
-8.8806401	13.82003666		
-8.917470151	10.37439712		
-10.15587908	5.327972295		
-11.4403252	1.902787907		
-12.65571513	-0.83306862		
-13.94016135	-3.588084751		
-15.196985	-6.397849059		
