"Potangaroa 1979, Spec. 5b"	
-9.0825	-81.211
-8.5827	-56.221
-8.3327	-35.4
-7.8326	-12.494
-7.4994	2.0823
-6.9995	20.823
-6.416	43.729
-5.8329	66.634
-5.1664	87.456
-4.6662	112.45
-4.083	135.35
-3.5832	156.18
-3.0831	177
-2.7498	191.58
-2.4165	210.32
-2.0832	237.39
-1.8332	249.88
-1.4999	268.62
-1.0833	291.53
-0.99992	306.1
-0.58329	324.84
-0.3333	347.75
0	374.82
0.16665	389.4
0.49997	410.22
0.83327	431.05
1.0833	451.85
1.4166	481.03
1.8332	503.94
2.1665	524.76
2.6665	543.48
3.0831	568.48
3.4996	589.3
3.7498	603.89
3.9997	616.39
4.4163	637.21
4.9997	658.03
5.333	680.93
5.7495	701.75
6.1661	722.57
6.5829	741.3
7.1661	757.98
7.666	778.79
8.4993	797.52
9.0825	814.2
9.5827	828.79
10.166	845.43
10.833	860.02
11.832	876.66
12.749	889.16
13.582	899.56
14.332	905.84
15.082	914.15
15.915	920.38
16.582	922.47
17.165	926.65
17.832	930.79
18.499	932.88
19.082	932.88
19.748	937.06
20.165	934.97
20.582	934.97
20.998	937.06
21.415	934.97
21.415	924.56
21.415	912.06
21.415	891.25
21.332	874.56
21.248	855.84
21.248	832.93
21.248	814.2
21.165	793.38
20.998	772.57
20.915	755.89
20.998	730.89
20.748	707.98
20.748	685.07
20.748	666.34
20.748	643.44
20.665	616.39
20.415	599.71
20.332	578.89
20.248	549.76
20.082	526.85
19.915	501.85
19.665	483.12
19.499	458.12
19.332	426.88
19.165	406.06
18.998	389.4
18.832	370.66
18.499	351.92
18.249	326.93
17.999	301.94
17.665	279.03
17.332	258.21
16.999	235.3
16.749	216.56
16.332	193.66
15.999	172.84
15.665	149.93
15.166	124.94
14.915	108.28
14.582	91.624
14.416	68.716
13.999	47.894
13.666	35.4
13.499	20.823
13.082	2.0823
12.749	-12.494
12.416	-43.729
12.082	-64.553
11.582	-89.543
11.166	-110.36
10.833	-131.19
10.332	-154.09
9.9159	-177
9.3327	-204.07
8.8326	-226.97
8.416	-247.8
7.8326	-270.71
7.416	-293.61
6.9162	-314.43
6.5829	-335.26
6.0828	-356.08
5.4996	-385.23
4.7495	-414.39
4.083	-439.37
3.4996	-460.21
2.9164	-483.12
2.4998	-508.08
1.9165	-528.89
1.4166	-549.76
0.83327	-570.57
0.083327	-585.12
-0.24998	-605.98
-0.99992	-628.85
-1.7499	-649.71
-2.4165	-670.53
-3.0831	-689.25
-3.5832	-701.75
-4.083	-712.16
-4.5829	-724.66
-4.9997	-735.07
-5.5829	-753.8
-6.1661	-770.48
-6.9995	-789.2
-7.7493	-807.93
-8.416	-820.43
-9.0825	-837.11
-9.8326	-847.52
-10.582	-862.11
-11.499	-878.75
-12.499	-893.34
-13.332	-903.75
-14.249	-912.06
-15.416	-916.24
-16.249	-920.38
-17.082	-922.47
-18.082	-924.56
-18.832	-926.65
-19.748	-928.74
-20.498	-926.65
-21.248	-926.65
-21.748	-926.65
-22.248	-926.65
-22.248	-907.88
-22.165	-891.25
-22.165	-872.52
-22.165	-853.75
-22.165	-841.25
-22.165	-822.52
-22.081	-803.79
-21.998	-787.11
-21.998	-772.57
-21.915	-737.16
-21.832	-720.48
-21.748	-697.57
-21.665	-678.84
-21.582	-662.16
-21.498	-641.34
-21.415	-622.62
-21.248	-603.89
-21.165	-580.98
-20.998	-564.3
-20.832	-543.48
-20.665	-522.67
-20.582	-497.67
-20.332	-476.85
-20.165	-460.21
-19.998	-439.37
-19.748	-420.63
-19.499	-401.89
-19.332	-385.23
-19.082	-368.58
-18.832	-341.5
-18.665	-329.01
-18.332	-308.19
-17.832	-281.11
-17.665	-260.29
-17.165	-233.22
-16.832	-208.23
-16.499	-187.41
-16.165	-172.84
-15.915	-154.09
-15.499	-129.11
-15.166	-110.36
-14.665	-87.456
-14.416	-72.88
-14.082	-58.307
-13.666	-35.4
-13.332	-16.659
-13.082	-6.2471
-12.916	10.412
-12.582	31.235
-11.999	49.976
-11.582	68.716
-11.332	83.293
-11.083	99.952
-10.666	116.61
-10.249	135.35
-9.9159	152.01
-9.5827	168.67
-8.9992	193.66
-8.666	210.32
-8.1661	226.97
-7.9995	241.55
-7.4994	260.29
-6.9995	276.95
-6.5829	295.69
-6.1661	312.35
-5.6662	331.09
-5.333	343.59
-4.8329	364.41
-4.4163	378.98
-3.8331	397.72
-3.5832	403.97
-2.9997	420.63
-2.2498	441.45
-1.4999	462.26
-1.0833	478.94
-0.24998	510.17
0.49997	537.26
1.2499	564.3
1.8332	585.12
2.5832	605.98
3.1664	626.8
3.8331	645.53
4.4996	666.34
5.2497	687.16
5.7495	710.07
6.4996	735.07
7.3327	755.89
8.5827	782.98
9.416	797.52
10.249	816.29
11.166	830.84
12.082	847.52
12.999	860.02
13.832	870.43
14.832	882.93
15.749	891.25
17.082	901.65
18.082	909.97
18.998	912.06
19.748	916.24
20.582	918.29
21.165	918.29
21.998	918.29
22.665	918.29
22.998	916.24
23.415	916.24
23.582	916.24
23.582	907.88
23.498	901.65
23.582	887.06
23.582	874.56
23.498	860.02
23.498	845.43
23.415	828.79
23.415	810.02
23.331	793.38
23.248	770.48
23.165	747.57
23.081	720.48
22.998	714.25
22.915	687.16
22.915	672.62
22.832	643.44
22.748	614.3
22.498	580.98
22.415	560.16
22.248	537.26
21.998	512.26
21.832	485.17
21.415	456.03
21.248	435.21
20.998	414.39
20.832	395.64
20.498	374.82
20.332	354
20.165	331.09
19.998	310.27
19.582	285.28
19.332	260.29
18.915	233.22
18.499	212.4
18.165	191.58
17.749	166.59
17.415	149.93
16.915	122.86
16.499	102.03
16.165	81.211
15.665	60.389
15.416	41.647
14.999	20.823
14.582	0
14.416	-6.2471
14.082	-27.071
13.582	-52.058
13.082	-74.966
12.499	-106.2
12.082	-127.02
11.582	-152.01
11.166	-177
10.916	-193.66
10.582	-210.32
10.332	-224.89
9.9159	-241.55
9.4993	-262.37
8.9992	-281.11
8.416	-301.94
7.8326	-320.68
7.416	-335.26
6.8329	-356.08
6.3327	-374.82
5.9162	-387.32
5.333	-399.81
4.6662	-420.63
3.7498	-451.85
3.2497	-462.26
2.6665	-483.12
2.0832	-499.76
1.2499	-524.76
0.83327	-539.35
-0.083327	-562.21
-0.49997	-578.89
-1.0833	-595.53
-1.7499	-614.3
-2.3331	-626.8
-2.9164	-641.34
-3.4996	-658.03
-4.2497	-678.84
-5.083	-699.66
-5.9995	-718.39
-6.9162	-737.16
-7.7493	-753.8
-8.7493	-772.57
-9.5827	-787.11
-10.499	-803.79
-11.332	-816.29
-12.166	-826.7
-12.916	-839.2
-13.916	-857.93
-14.832	-860.02
-15.665	-868.34
-16.499	-870.43
-17.415	-872.52
-18.249	-874.56
-19.165	-878.75
-19.915	-880.84
-20.582	-884.97
-21.332	-882.93
-21.998	-884.97
-22.332	-882.93
-22.832	-880.84
-22.998	-866.25
-22.832	-851.66
-22.915	-835.02
-22.915	-822.52
-22.915	-801.7
-22.832	-789.2
-22.748	-770.48
-22.665	-747.57
-22.582	-718.39
-22.332	-699.66
-22.332	-678.84
-22.332	-655.93
-22.248	-635.12
-21.998	-616.39
-21.832	-599.71
-21.665	-574.71
-21.415	-551.8
-21.332	-533.07
-21.165	-512.26
-20.998	-491.44
-20.915	-476.85
-20.582	-460.21
-20.415	-439.37
-20.248	-426.88
-20.082	-406.06
-19.915	-393.56
-19.748	-378.98
-19.582	-362.33
-19.499	-341.5
-19.332	-320.68
-18.998	-299.85
-18.749	-281.11
-18.499	-264.46
-18.165	-237.39
-17.832	-222.81
-17.499	-195.74
-17.082	-174.92
-16.749	-152.01
-16.415	-133.27
-16.082	-112.45
-15.665	-97.87
-15.249	-79.129
-14.999	-60.389
-14.499	-39.564
-14.082	-18.741
-13.666	-2.0823
-13.332	14.576
-12.916	39.564
-12.332	60.389
-11.832	83.293
-11.249	104.12
-10.749	131.19
-10.332	145.76
-9.7493	168.67
-9.1658	189.49
-8.4993	218.64
-7.8326	245.72
-7.0828	272.79
-6.416	295.69
