"Potangaroa 1979, Spec. 3"	
-7.0409	-630.09
-7.3469	-638.36
-7.4831	-643.3
-7.5849	-646.59
-7.7551	-646.59
-7.8232	-648.24
-7.7892	-631.74
-7.7892	-618.57
-7.6871	-598.78
-7.5509	-574
-7.5509	-555.89
-7.4491	-536.1
-7.415	-512.97
-7.415	-489.88
-7.2108	-466.8
-7.0068	-448.65
-6.8367	-423.92
-6.5987	-397.52
-6.2926	-367.83
-6.1905	-348.04
-6.0543	-329.9
-5.8504	-308.45
-5.4762	-288.66
-5.238	-258.97
-5	-242.47
-4.728	-219.38
-4.5237	-201.24
-4.3198	-184.74
-4.1836	-171.55
-3.9456	-150.1
-3.6733	-131.96
-3.3673	-112.17
-3.1633	-95.668
-2.9931	-79.174
-2.7551	-61.03
-2.3809	-41.237
-2.1769	-24.742
-1.9048	-8.2474
-1.6327	8.2474
-1.3946	28.041
-1.1565	46.186
-0.81633	67.631
-0.57823	87.421
-0.20408	110.52
0	127.01
0.23809	145.15
0.37414	161.65
0.64625	181.44
0.85034	201.24
1.2245	219.38
1.4626	242.47
1.8027	260.62
2.0068	282.06
2.3129	298.56
2.483	316.7
2.7211	333.19
2.9931	349.69
3.1974	366.19
3.4353	381.03
3.7074	404.12
3.9116	415.67
4.1496	432.16
4.4897	455.28
4.8638	475.07
5.1702	489.88
5.6121	514.66
5.9525	536.1
6.3607	560.83
6.6327	578.98
6.9728	593.79
7.1427	602.07
7.5171	615.28
7.8232	630.09
8.2314	648.24
8.7414	663.1
9.2517	677.95
9.8301	692.77
10.238	701.04
10.578	704.33
11.02	709.27
11.394	717.54
11.837	720.83
12.279	722.48
12.653	725.77
13.027	725.77
13.299	727.42
13.571	729.06
13.775	727.42
13.741	717.54
13.674	705.98
13.674	694.41
13.606	684.54
13.64	666.39
13.571	649.89
13.435	635.07
13.469	618.57
13.401	605.36
13.401	590.5
13.367	570.71
13.299	549.27
13.095	521.24
12.993	494.86
12.891	481.65
12.789	461.86
12.653	447
12.483	422.27
12.279	399.17
12.041	379.38
11.939	361.24
11.599	341.44
11.327	321.65
11.156	301.86
10.85	282.06
10.612	263.92
10.442	245.77
10.17	229.28
10	212.79
9.762	192.99
9.4557	173.2
9.1156	156.7
8.8435	140.21
8.6736	125.36
8.4013	110.52
8.0272	94.022
7.7892	75.878
7.4831	59.379
7.2789	46.186
6.9388	26.392
6.6327	9.8968
6.2245	-6.598
5.8504	-29.691
5.6121	-46.186
5.1702	-64.33
4.8298	-80.824
4.4897	-102.27
4.1496	-120.41
3.8435	-140.21
3.4013	-164.95
3.1633	-176.5
2.619	-204.53
2.449	-216.08
2.2109	-229.28
1.9388	-247.42
1.7687	-257.32
1.4286	-273.81
1.2585	-285.36
0.91836	-300.21
0.51021	-316.7
0.27211	-329.9
-0.10204	-348.04
-0.37414	-364.54
-0.71427	-379.38
-1.0884	-397.52
-1.3606	-414.02
-1.7007	-428.87
-2.0408	-445.36
-2.3129	-461.86
-2.653	-475.07
-2.9931	-489.88
-3.4353	-506.39
-3.6733	-522.89
-4.0815	-536.1
-4.3878	-549.27
-4.796	-564.12
-5.1702	-582.27
-5.5103	-597.13
-5.8504	-613.59
-6.2926	-623.51
-6.8026	-640.01
-7.2448	-653.18
-7.619	-664.74
-8.0952	-672.97
-8.4694	-684.54
-8.8776	-692.77
-9.2857	-697.75
-9.7279	-704.33
-10.136	-710.91
-10.544	-714.21
-10.952	-717.54
-11.259	-720.83
-11.769	-722.48
-12.143	-724.13
-12.551	-725.77
-12.993	-729.06
-13.435	-729.06
-13.912	-730.71
-14.49	-734
-15	-732.36
-15.34	-734
-15.782	-732.36
-16.088	-730.71
-16.361	-730.71
-16.361	-717.54
-16.361	-710.91
-16.395	-694.41
-16.293	-676.31
-16.19	-656.51
-16.19	-638.36
-16.156	-621.86
-16.088	-607
-16.088	-588.86
-16.02	-570.71
-15.987	-549.27
-15.918	-536.1
-15.85	-516.31
-15.85	-501.45
-15.748	-481.65
-15.646	-465.15
-15.612	-445.36
