"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH6"	
-0.237	-75.87
-0.29775	-85.64
-0.38975	-95.87
-0.46845	-106.2
-0.545625	-116.2
-0.643725	-127.4
-0.7269	-137.6
-0.825275	-148.1
-0.905225	-158.9
-0.9884	-168.8
-1.07905	-178.9
-1.174225	-189.7
-1.242375	-200
-1.339	-210.1
-1.42825	-220.6
-1.51725	-230.6
-1.6005	-241.4
-1.69725	-251.6
-1.78475	-261.6
-1.883225	-272.6
-1.967625	-283
-2.0813	-294.3
-2.15825	-305.1
-2.283675	-315.2
-2.37435	-325.9
-2.4998	-336.3
-2.613225	-346
-2.715925	-356.2
-2.8431	-366.1
-2.9425	-355.8
-2.9455	-345.5
-2.9455	-335.7
-2.95	-345.6
-2.99875	-336
-3.00325	-326.1
-2.99725	-315.6
-2.956	-305.8
-2.938	-294.4
-2.86575	-282.4
-2.796075	-271.6
-2.712925	-261.3
-2.616275	-251.6
-2.528375	-241.7
-2.446725	-231
-2.366825	-220.3
-2.2912	-210.2
-2.21255	-199.5
-2.13265	-188.7
-2.019225	-177.7
-1.9526	-166.8
-1.86795	-155.9
-1.78475	-144.7
-1.69575	-134.1
-1.61125	-123.1
-1.5295	-113
-1.43575	-101.8
-1.3435	-90.04
-1.263575	-80.41
-1.17125	-69.95
-0.918775	-38.67
-0.835825	-28.12
-0.7586	-17.98
-0.666325	-7.293
-0.583325	2.798
-0.4986	12.57
-0.426175	22.75
-0.31125	32.98
-0.24475	44.31
-0.142	57.2
-0.06325	66.6
0.05475	77.34
0.1255	87.7
0.21775	97.61
0.3085	108.9
0.41875	120.1
0.5035	131
0.60475	142.4
0.7015	152.6
0.78925	163.5
0.86175	173.3
0.98275	184.2
1.0735	194.9
1.1625	205.3
1.2775	216
1.3605	226.8
1.48	237.4
1.5735	248
1.69325	258.8
1.78525	269.6
1.8955	280.5
2.0045	291.2
2.0995	301.6
2.201	312.1
2.293	322.4
2.405	333
2.50475	344.8
2.62125	354.9
2.74675	366.1
2.87175	376.9
2.99175	387
3.12575	397.6
3.2595	408.2
3.40675	418.7
3.55825	429.5
3.71	440.3
3.874	450.6
4.0505	461.9
4.20775	471.9
4.25275	473.4
4.42025	462.6
4.42275	452.4
4.42275	442.6
4.42025	432.5
4.39525	422.4
4.32775	412.4
4.25025	402.3
4.25525	412.4
4.25275	394.9
4.24275	386.4
4.18025	376.2
4.08025	365.3
3.9655	354.3
3.8655	343.2
3.7615	332.1
3.65725	321.4
3.54725	310.7
3.46425	300.5
3.347	289.8
3.25	279
3.14125	268.6
3.05075	257.9
2.95175	247.8
2.845	237.5
2.74675	227.3
2.63775	216.4
2.52575	204.9
2.42475	194.7
2.32025	184.2
2.2175	173.8
2.098	162.9
1.99075	152.6
1.8835	142.2
1.78825	131.2
1.678	121.1
1.59025	110.4
1.48	99.58
1.377	89.17
1.276	78.67
1.17	68.48
1.07025	57.06
0.97075	45.32
0.87075	35.55
0.78325	25.96
0.685	15.64
0.57775	4.908
0.496	-5.137
0.4055	-15.73
0.2875	-25.78
0.20725	-36.6
0.12875	-47.15
0.00925	-57.8
-0.08	-68.81
-0.1885	-79.91
-0.284	-90.5
-0.376	-101.4
-0.496925	-112.2
-0.5786	-122.9
-0.678375	-133.3
-0.793375	-143.8
-0.8748	-154
-0.988275	-164.4
-1.08505	-174.7
-1.170975	-185.6
-1.301075	-196.7
-1.4085	-207.9
-1.51875	-219.2
-1.6335	-229.9
-1.74375	-240.7
-1.846725	-251
-1.95265	-261.5
-2.040075	-271.8
-2.168775	-282.7
-2.281975	-293.5
-2.3864	-304.9
-2.478575	-314.8
-2.5905	-324.9
-2.6947	-336
-2.8051	-346.2
-2.88825	-356.6
-3.01975	-367.1
-3.1225	-378
-3.24175	-388.3
-3.3825	-400.2
-3.529	-411.3
-3.653	-420.9
-3.7905	-430.8
-3.94925	-441.6
-4.09725	-452.1
-4.25	-462.5
-4.3995	-472.8
-4.58575	-483.3
-4.62175	-486.4
-4.81225	-475.7
-4.80775	-465.2
-4.81525	-455.4
-4.80775	-445.5
-4.7595	-435.2
-4.67625	-425
-4.66275	-434.9
-4.67475	-425
-4.67475	-415.2
-4.67625	-403.4
-4.62475	-391.4
-4.54625	-379.5
