"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH3"	
4600	
0	0.0306
0.0025	5.718
0.03	10.76
0.06	15.96
0.08	21.19
0.1125	26.21
0.1475	31.38
0.2	36.79
0.215	42.05
0.27	46.97
0.29	52.17
0.3375	57.31
0.375	62.38
0.42	67.4
0.44	70
0.455	64.83
0.45	59.69
0.445	54.68
0.41	49.66
0.38	44.62
0.345	39.57
0.315	34.31
0.2975	29.27
0.245	24.13
0.2325	19.05
0.1975	13.98
0.1675	8.96
0.13	3.792
0.0975	-1.437
0.07	-6.33
0.0325	-11.47
0.015	-16.73
-0.0375	-21.9
-0.05	-26.97
-0.105	-31.65
-0.135	-36.79
-0.1725	-41.83
-0.2025	-47.18
-0.255	-51.37
-0.27	-56.45
-0.315	-61.68
-0.3425	-66.76
-0.355	-70
-0.4	-64.83
-0.3625	-59.72
-0.36	-54.31
-0.35	-49.05
-0.3275	-43.97
-0.29	-38.96
-0.28	-34.04
-0.23	-28.81
-0.22	-23.73
-0.19	-18.62
-0.155	-13.46
-0.1175	-7.828
-0.0675	-2.232
-0.0325	2.844
0.0025	7.92
0.035	14.1
0.075	19.72
0.11	25.35
0.1475	30.95
0.1825	36.57
0.2175	42.17
0.2525	47.64
0.29	53.15
0.3225	58.56
0.3775	63.97
0.425	69.39
0.4625	74.71
0.505	79.91
0.5425	85.1
0.585	90.24
0.63	95.29
0.6675	101.2
0.7225	106.1
0.7775	111.8
0.82	117.5
0.87	123.1
0.925	127.6
0.9925	133.8
1.035	139.2
1.0675	140.1
1.0825	135.1
1.0875	129.4
1.0875	123.6
1.0425	117.9
1.015	112.2
0.9725	106.7
0.93	101.3
0.885	95.93
0.8325	90.73
0.81	85.41
0.7575	80.09
0.7375	74.71
0.6825	69.51
0.6425	64.22
0.6125	58.99
0.5775	53.67
0.5325	48.44
0.4975	42.05
0.455	36.76
0.4125	31.41
0.3625	26.08
0.3125	19.72
0.27	14.37
0.235	7.92
0.195	2.599
0.165	-2.752
0.12	-8.043
0.0925	-13.36
0.0575	-18.71
0.0225	-24.1
-0.0175	-29.42
-0.045	-34.77
-0.11	-40.12
-0.1375	-45.47
-0.19	-50.76
-0.22	-55.99
-0.265	-61.13
-0.2925	-66.3
-0.3275	-71.53
-0.355	-76.69
-0.4	-81.77
-0.4425	-86.82
-0.505	-92.78
-0.5625	-97.67
-0.6225	-103.6
-0.6675	-109.4
-0.71	-115.2
-0.7725	-119.8
-0.8325	-125.5
-0.865	-131
-0.9125	-136.4
-0.965	-140.1
-0.98	-135.1
-0.9875	-129.9
-0.9875	-123.8
-0.96	-118
-0.9375	-112.2
-0.8975	-106.4
-0.885	-100.9
-0.8275	-95.59
-0.8075	-90.09
-0.75	-84.68
-0.715	-79.26
-0.6725	-74.06
-0.625	-68.74
-0.59	-63.42
-0.5425	-58.13
-0.505	-52.9
-0.4425	-47.58
-0.4225	-42.29
-0.37	-38.01
-0.35	-32.69
-0.305	-27.34
-0.2775	-22.02
-0.2225	-16.76
-0.2075	-11.47
-0.16	-6.238
-0.125	-0.9786
-0.075	4.312
-0.01	10.67
0.005	15.99
0.0625	22.42
0.1025	28.75
0.1475	35.04
0.1875	40.34
0.23	46.54
0.275	51.59
0.31	56.66
0.3525	61.8
0.395	66.85
0.4375	71.92
0.4925	76.91
0.53	82.81
0.575	87.73
0.6375	93.54
0.68	99.42
0.7225	105.1
0.78	109.9
0.8225	115.5
0.8725	121.1
0.925	124.7
0.9625	129.3
1.015	134.7
1.07	139.2
1.1175	144.6
1.18	150.7
1.24	154
1.2975	159.1
1.35	162.4
1.3975	167.4
