"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH3"	
1.45	172.4
1.5025	177.3
1.565	182.3
1.6175	187.1
1.68	191.2
1.7325	196
1.7875	199.2
1.8425	203.2
1.895	207.9
1.9375	210.1
1.955	205.1
2.0025	201.9
2.0625	199.9
2.1125	199.4
2.135	193.1
2.115	187.6
2.0875	182.3
2.0325	177
1.9825	171.9
1.93	166.8
1.885	160.9
1.825	156
1.7825	150.1
1.7225	144.6
1.67	139
1.615	134.5
1.56	130.8
1.5375	125.2
1.48	120.6
1.43	115.1
1.38	109.6
1.325	104.9
1.27	99.35
1.225	93.76
1.17	88.07
1.1125	84.28
1.0725	78.65
1.03	72.81
0.9725	68.93
0.9325	63.12
0.89	58.25
0.8275	52.44
0.8075	46.6
0.75	41.68
0.7	35.75
0.6675	29.82
0.615	25.75
0.5825	19.88
0.535	14.92
0.4975	9.847
0.4575	4.893
0.41	-0.1223
0.355	-6.147
0.31	-12.05
0.2675	-17.06
0.24	-23.06
0.19	-28.1
0.17	-33.09
0.105	-38.07
0.0675	-43.06
0.0225	-49.02
-0.0225	-54.03
-0.065	-59.94
-0.1175	-64.83
-0.1675	-70.76
-0.1875	-76.6
-0.2425	-81.47
-0.2975	-87.31
-0.3175	-93.05
-0.3775	-97.83
-0.4225	-103.6
-0.47	-108.4
-0.5325	-113.1
-0.575	-118.9
-0.6225	-124.5
-0.695	-130.1
-0.73	-135.7
-0.785	-141.3
-0.84	-145.8
-0.8875	-151.2
-0.935	-155.5
-0.985	-160.7
-1.055	-165.9
-1.1025	-170.9
-1.1675	-175.8
-1.22	-178.3
-1.28	-183.9
-1.3275	-188.6
-1.3825	-193.3
-1.4475	-197.9
-1.4925	-201.6
-1.5475	-205.3
-1.6	-209.6
-1.62	-210.1
-1.6375	-205
-1.6475	-200.1
-1.655	-193.6
-1.635	-188
-1.6	-182.7
-1.5525	-177.2
-1.525	-172.1
-1.4725	-166.8
-1.45	-161.8
-1.4	-158.7
-1.3825	-154
-1.3325	-150.1
-1.285	-144.5
-1.2525	-138.9
-1.2	-135.2
-1.18	-130.4
-1.125	-127.6
-1.085	-122.8
-1.03	-118.3
-0.9725	-113.7
-0.935	-108
-0.8775	-102.4
-0.82	-97.83
-0.785	-92.14
-0.73	-87.43
-0.6775	-83.7
-0.645	-77.89
-0.5925	-74.1
-0.565	-68.25
-0.5075	-63.45
-0.4425	-58.65
-0.4125	-52.84
-0.36	-48.99
-0.33	-43.18
-0.28	-39.3
-0.255	-33.42
-0.2125	-28.56
-0.1575	-23.61
-0.1325	-17.83
-0.09	-12.84
-0.04	-7.064
0.015	-1.223
0.07	4.709
0.13	10.52
0.17	16.48
0.21	21.34
0.25	27.19
0.3075	33.09
0.35	39.02
0.4125	44.8
0.4525	50.64
0.5125	56.33
0.5675	62.05
0.62	67.7
0.67	73.33
0.725	78.93
0.7775	84.46
0.825	89.94
0.875	95.35
0.9225	100.8
0.98	106.1
1.05	111.4
1.1125	117.5
1.1625	121
1.2175	127.1
1.2725	131.2
1.34	136.3
1.3875	141.4
1.4375	145.6
1.5	150.6
1.56	155.6
1.6275	160.7
1.6875	166.5
1.7375	171.6
1.785	174.8
1.845	179.1
1.88	184.2
1.9275	186.7
1.9925	191.8
2.0475	196.9
2.1025	201.9
2.15	204.4
2.2075	209.4
2.26	215.1
2.3125	219.9
2.3625	224.6
2.42	229.2
2.49	232.2
2.54	236.8
2.61	240.4
2.675	244.7
2.7225	247.5
2.775	251
2.84	255.1
2.9	259.1
2.9425	261.2
2.9925	264.5
3.0525	268.3
3.11	271.6
3.165	275.3
3.2375	279.7
3.245	279.9
3.29	274.9
3.3	269.9
3.2725	264.9
3.2425	259
3.22	253.6
3.1775	248.6
3.135	243.4
3.08	237.5
3.025	232.7
2.9625	227
2.9125	221.5
2.8575	215.9
2.805	211.3
2.755	206.1
2.7025	200.8
2.6425	197.3
2.5875	192.1
2.5275	187.1
2.47	181.9
2.415	178.5
2.365	174.4
2.31	170.2
2.27	165.1
2.2175	160.9
2.165	155.8
2.1125	151.8
2.0575	147.6
1.98	141.8
1.9325	136
1.8725	132.7
1.8175	127.8
1.7525	122.9
1.69	117.2
1.645	113.9
1.595	110.6
1.545	105.6
1.505	100.6
1.445	96.36
1.3825	91.37
1.3225	86.21
1.285	81.04
1.2275	76.73
1.165	73.27
1.14	68.04
1.095	65.41
1.06	60.15
1	55.75
0.9525	51.28
0.895	45.93
0.8475	40.49
0.8	35.17
0.7425	30.61
0.715	25.2
0.6625	19.75
0.6025	15.2
0.5625	9.724
0.515	4.281
0.45	-1.162
0.39	-6.666
0.365	-11.99
0.3125	-15.63
0.2925	-20.24
0.24	-23.85
0.21	-29.33
0.1575	-34.86
0.105	-39.48
0.06	-44.95
0.0125	-50.43
-0.04	-54.98
-0.0975	-60.43
-0.1475	-65.93
-0.205	-70.46
-0.2375	-75.84
-0.3	-81.22
-0.35	-86.51
-0.395	-91.83
-0.45	-96.3
-0.5125	-101.5
-0.5625	-105.9
-0.615	-111
-0.6675	-114.5
-0.715	-119.5
-0.765	-124.7
-0.8175	-128.1
-0.865	-133.2
-0.9175	-138.3
-0.9675	-142.4
-1.0275	-147.6
-1.0825	-152.6
-1.15	-157.6
-1.205	-162.6
-1.27	-166.8
-1.33	-172.6
-1.3825	-177.7
-1.4425	-182.7
-1.4975	-188.4
-1.5475	-191.7
-1.6025	-197.5
-1.66	-202.3
-1.7275	-207.1
-1.795	-212.5
-1.87	-217.8
-1.925	-222.6
-1.99	-226.2
-2.05	-229.5
-2.1025	-232.9
-2.1625	-237
-2.2325	-241.6
-2.285	-245.4
-2.3425	-248.6
-2.41	-252.4
-2.4625	-254.9
-2.5175	-258
-2.58	-261.6
-2.6425	-265.3
-2.6975	-268.1
-2.75	-271.6
-2.8225	-273.9
-2.88	-277.4
-2.925	-280
-2.9675	-275
-3.0025	-270
-3.0075	-265
-2.9925	-259.9
-2.985	-253.8
-2.9375	-248.9
-2.8725	-243
-2.82	-237.3
-2.78	-233.6
-2.7225	-229.1
-2.6975	-223.8
-2.6475	-221
-2.585	-215.9
-2.5425	-210.4
-2.495	-207.1
-2.435	-202.8
-2.38	-197.3
-2.3325	-191.4
-2.275	-188.2
-2.215	-184.2
-2.17	-178.8
-2.1125	-173.1
-2.0575	-169
-2	-165.1
-1.93	-160.2
-1.8775	-154.5
-1.835	-151.2
-1.78	-147.3
-1.715	-141.6
-1.67	-136.8
-1.61	-132.7
-1.555	-129.5
-1.49	-124
-1.45	-118.3
-1.3975	-114.2
-1.34	-110.2
-1.2825	-105.2
-1.2375	-99.48
-1.195	-96.17
-1.13	-92.02
-1.0825	-87.09
-1.0275	-82.75
-0.975	-79.32
-0.9325	-74.25
-0.885	-69.14
-0.835	-63.97
-0.7775	-59.75
-0.725	-54.52
-0.66	-49.29
-0.605	-44.04
-0.5475	-39.72
-0.5	-34.4
-0.4425	-29.11
-0.3875	-25.56
-0.33	-19.45
-0.29	-14.13
-0.2375	-8.776
-0.19	-3.578
-0.1325	1.651
-0.0775	6.972
-0.0275	12.42
0.03	16.79
0.075	22.11
0.13	27.37
0.18	31.8
0.2275	37.12
0.28	41.56
0.33	46.82
0.385	52.08
0.435	57.28
0.505	62.44
0.5475	67.61
0.615	72.75
0.66	77.86
0.725	82.87
0.77	87.89
0.8275	92.87
0.8925	98.62
0.9475	103.5
1.0075	107.5
1.0525	111.6
1.115	116.3
1.185	121.9
1.235	124.2
1.29	128.9
1.35	133.5
1.3975	135.8
1.465	141.2
1.5225	145.7
1.5775	150.9
1.6375	154.8
1.6825	157.1
1.7475	161.6
1.8025	166.1
1.855	170.7
1.9025	172.9
1.955	176.8
2.0175	181.3
2.075	186
2.125	189
2.19	193.4
2.2475	198.1
2.305	202.8
2.3625	208.1
2.4175	211.8
2.4675	215
2.52	218.7
2.58	222.6
2.645	227.2
2.7	231.1
2.7625	235.6
2.8125	239.6
2.875	244.1
2.94	249.6
2.9925	253.4
3.0475	256.5
3.105	261.8
3.16	265.4
3.2175	270.6
3.2675	274.3
3.3275	277.8
3.3925	281.2
3.45	284.6
3.4975	288
3.5525	290.6
3.62	294.3
3.6875	298.1
3.7475	301.7
3.7975	304.7
3.85	306.5
3.9225	310
3.995	313.4
4.065	316.8
4.14	320.3
4.1925	322.9
4.2325	324.6
4.2825	327.2
4.355	329.8
4.4275	332.9
4.505	336
4.5725	338.9
4.6325	341.8
4.69	344.1
4.745	345.9
4.805	348.2
4.855	349.8
4.9	344.8
4.9075	339.7
4.945	334.8
4.9875	329.8
4.99	323.6
4.9275	317.6
4.9075	312
4.8425	307.4
4.785	302
4.7175	296.6
4.6575	291.3
4.615	287.9
4.5525	282.8
4.485	276.9
4.4275	272.1
4.3525	266.5
4.2925	261.8
4.2475	258
4.1875	254.2
4.13	250.2
4.0725	245.7
4.025	241.8
3.9725	238.8
3.8975	233.4
3.8375	228.9
3.7975	225.9
3.7375	222.1
3.675	217.5
3.6025	212.3
3.5325	207
3.46	201.9
3.39	197.5
3.35	193.6
3.2975	190.8
3.2375	186.9
3.1725	181.7
3.105	176.6
3.05	172.1
2.995	167.7
2.9475	165.5
2.8825	161.1
2.82	156.8
2.7775	153.1
2.7275	148.8
2.67	145.8
2.605	142.2
2.555	137.8
2.5	134.2
2.445	131.3
2.3925	127.7
2.335	123.2
2.285	118.8
2.2325	115.9
2.175	111.6
2.1125	107.1
2.055	102.7
2	98.25
1.9475	94.49
1.885	90.73
1.825	86.3
1.755	80.98
1.6825	75.65
1.6275	71.1
1.5875	68.71
1.525	63.33
1.4725	58.65
1.3925	53.18
1.3275	47.67
1.29	42.87
1.225	39.75
1.18	35.75
1.115	30.09
1.07	26.15
1.005	21.31
0.9475	17.37
0.89	11.71
0.8475	7.706
0.785	2.875
0.735	-2.752
0.6725	-7.553
0.605	-13.18
0.5575	-17.98
0.5025	-22.02
0.45	-26.12
0.3875	-31.04
0.345	-35.04
0.28	-40.7
0.23	-44.8
0.17	-50.49
0.105	-56.21
0.055	-61.04
0	-65.07
-0.0525	-69.05
-0.0975	-73.12
-0.1625	-77.18
-0.2075	-81.95
-0.2525	-86.72
-0.305	-90.7
-0.36	-94.58
-0.415	-99.29
-0.4725	-103.9
-0.525	-107.7
-0.5875	-110.8
-0.64	-115.3
-0.695	-119.9
-0.7475	-123
-0.8025	-126.7
-0.87	-131.8
-0.925	-136.3
-0.97	-140
-1.03	-143
-1.0875	-147.3
-1.1425	-151
-1.1925	-153.9
-1.25	-157.5
-1.3125	-161.9
-1.37	-166.2
-1.4275	-170.5
-1.4725	-173.3
-1.535	-177.6
-1.58	-181.3
-1.6325	-185.6
-1.695	-189.9
-1.755	-193.5
-1.8075	-197
-1.8725	-201.3
-1.94	-206.2
-1.9875	-209.9
-2.045	-212.7
-2.1	-217
-2.155	-220.4
-2.2175	-225.4
-2.265	-229
-2.3325	-233.3
-2.3825	-236.7
-2.4475	-240.9
-2.5125	-245.3
-2.555	-248.6
-2.62	-252.9
-2.67	-257.1
-2.7325	-260.6
-2.795	-264.7
-2.85	-268.9
-2.9175	-272.9
-2.97	-275.6
-3.0275	-278.8
-3.085	-282.7
-3.155	-286.6
-3.21	-290.2
-3.275	-293.8
-3.335	-297.3
-3.39	-299.6
-3.4575	-302.4
-3.52	-305.7
-3.6075	-309.4
-3.66	-312.1
-3.7275	-315.3
-3.7775	-317.9
-3.84	-319.3
-3.905	-322.5
-3.9675	-325.5
-4.0325	-328.4
-4.1025	-331.3
-4.1475	-333.7
-4.215	-336.4
-4.26	-337.8
-4.32	-339.6
-4.385	-342.3
-4.455	-344.6
-4.49	-345.8
-4.5425	-347.6
-4.6	-349.7
-4.6125	-349.5
-4.6475	-344.6
-4.6725	-339.7
-4.7075	-334.6
-4.7575	-330.3
-4.76	-325
-4.76	-319.2
-4.7075	-313.6
-4.6775	-308.2
-4.6275	-302.9
-4.5625	-297.8
-4.4925	-292.8
-4.4425	-288.8
-4.3925	-285.5
-4.3225	-280.8
-4.27	-276.3
-4.2175	-272.3
-4.1675	-267.8
-4.1125	-264.2
-4.045	-259.7
-3.995	-255.4
-3.935	-250.4
-3.885	-246
-3.8275	-242.3
-3.7625	-237.9
-3.695	-233.7
-3.635	-229.5
-3.59	-226.6
-3.535	-223.7
-3.485	-219.4
-3.43	-215.2
-3.3725	-212.3
-3.3125	-207.9
-3.2575	-203.8
-3.205	-199.7
-3.1525	-197.7
-3.0875	-193.5
-3.0225	-189.2
-2.9625	-184.5
-2.91	-180.4
-2.85	-177.6
-2.7875	-172.6
-2.735	-169.2
-2.67	-164.5
-2.6125	-160.3
-2.5575	-156.8
-2.505	-153.5
-2.4475	-149.3
-2.3725	-144.6
-2.3225	-141
-2.2625	-137.7
-2.2	-132.2
-2.1325	-128
-2.0725	-124.6
-2.0225	-121.8
-1.95	-116.7
-1.8825	-112.5
-1.835	-108.3
-1.76	-103.2
-1.705	-100.3
-1.65	-96.76
-1.59	-92.41
-1.5375	-87.92
-1.4775	-83.61
-1.4225	-78.47
-1.3725	-75.5
-1.3175	-71.01
-1.24	-66.51
-1.1925	-62.81
-1.1375	-58.99
-1.08	-55.23
-1.0275	-50.67
-0.96	-45.35
-0.905	-40.79
-0.855	-36.88
-0.8	-33
-0.7475	-28.38
-0.6975	-24.56
-0.6375	-20.64
-0.575	-16.05
-0.515	-11.41
-0.4425	-5.902
-0.395	-1.315
-0.35	0.0612
-0.3275	-4.893
-0.1075	17.09
0.1275	38.1
0.4	59.51
0.675	80.61
0.955	100.9
1.2925	122
1.6025	142.5
1.955	162.6
2.2975	184.1
2.6825	205.7
3.0325	227.3
3.3875	249
3.7325	269
4.0975	290.6
4.4675	312
4.79	331.3
5.205	352.2
5.6875	372.5
6.2175	388.1
6.265	388.7
6.3775	368.8
6.2375	347.2
5.99	326.4
5.68	305.6
5.3475	283.8
5.0375	262.4
4.6875	241.5
4.37	221.3
4.015	199.7
3.65	177.9
3.29	156.2
2.945	134.6
2.585	112.9
2.25	92.69
1.945	71.99
1.6275	51.01
1.345	31.31
1.0375	9.541
0.74	-12.11
0.465	-32.2
0.1825	-52.29
-0.125	-74.16
-0.425	-95.41
-0.775	-116.1
-1.1025	-136.1
-1.47	-157.2
-1.825	-177.8
-2.21	-199.5
-2.5975	-220.8
-2.9725	-242.3
-3.355	-263.9
-3.7625	-285.5
-4.125	-307
-4.5175	-328.1
-4.9375	-349.3
-5.43	-370.1
-5.9375	-387
-6.28275	-395.7
-6.418	-376
-6.31725	-353
-6.04375	-333.1
-5.73	-311.5
-5.4025	-291.6
-5.06	-270
-4.7425	-250.4
-4.3825	-229.6
-4.035	-209.2
-3.6975	-188.7
-3.3225	-168.4
-2.9425	-146.8
-2.56	-125.1
-2.19	-102.8
-1.8375	-81.56
-1.5175	-61.31
-1.18	-40.49
-0.875	-19.27
-0.5475	2.11
-0.2525	23.55
0.06	44.89
0.37	65.87
0.69	86.3
1.0025	105.9
1.86	151.7
2.235	172.2
2.66	192.9
3.0525	213.8
3.46	234.3
3.865	254.7
4.2825	275.4
4.6825	296
5.0975	316.6
5.4975	337.4
5.93	357.4
6.2875	372.9
6.26	352.8
5.9775	330.2
5.67	309.5
5.36	290.2
5.0425	269.3
4.695	248.9
4.34	227.5
3.975	206.4
3.605	185.5
3.24	164.4
2.8775	143.6
2.5225	122.7
2.1675	101.5
1.82	79.97
1.5	59.57
1.1725	38.65
0.865	17.4
0.58	-4.006
0.2725	-25.47
-0.0375	-47.12
-0.3475	-68.5
-0.665	-89.45
-0.9975	-109.5
-1.3775	-130.3
-1.745	-151.9
-2.16	-172.6
-2.5775	-193.9
-2.99	-215.1
-3.4125	-236
-3.8575	-257.1
-4.2725	-277.9
-4.7125	-299.2
-5.1275	-320.1
-5.56	-341.4
-5.9925	-362.1
-6.27825	-374.1
-6.2555	-352.2
-5.965	-330.7
-5.645	-309.7
-5.33	-289.7
-4.9775	-268.9
-4.6275	-247.8
-4.2325	-226.2
-3.86	-204.7
-3.46	-183.3
-3.0825	-162.1
-2.685	-141
-2.305	-119.5
-1.9575	-98.68
-1.6325	-79.02
-1.3175	-58.59
-0.98	-37.52
-0.67	-16.09
-0.36	5.566
-0.06	27.22
0.245	48.68
0.5725	69.81
0.8725	90.27
1.2375	111.5
1.9325	148.6
2.3175	169.7
2.745	190.4
3.14	210.8
3.555	231.3
3.9675	251.7
4.3825	271.9
4.785	292.7
5.2	313.4
5.6025	334.2
6.01	355
6.25	366.6
6.265	345.5
6.01	325.1
5.6825	302.4
5.3325	281.3
5.0225	260.6
4.6675	240.6
4.295	219.3
3.925	198.6
3.5625	177.9
3.1925	157.2
2.835	136.7
2.4325	114.7
2.0875	93.73
1.75	72.35
1.4125	52.08
1.1	31.28
0.7875	10.24
0.4875	-10.86
0.175	-32.11
-0.1225	-53.45
-0.4075	-72.66
-0.7325	-93.12
-1.085	-114.2
-1.46	-134.6
-1.855	-155.5
-2.26	-175.7
-2.675	-196.8
-3.1075	-217.2
-3.5375	-238.2
-3.9725	-258.7
-4.3975	-279.5
-4.835	-300.4
-5.26	-321.2
-5.6825	-342.3
-6.10675	-363
-6.26475	-369.1
-6.29975	-347.8
-6.03525	-327.8
-5.7175	-306.1
-5.385	-286.2
-5.0425	-265.6
-4.7175	-246.2
-4.3175	-224.4
-3.955	-203.1
-3.5525	-182.1
-3.17	-161.2
-2.7725	-140.5
-2.385	-119.6
-2.0375	-99.6
-1.6625	-78.65
-1.33	-57.06
-0.9975	-36.48
-0.6875	-15.44
-0.37	5.749
-0.07	27
0.24	48.07
0.57	68.77
0.8675	88.87
1.2375	109.7
1.615	129.8
2.0225	150.7
2.42	171.3
2.83	191.9
3.2675	213.6
3.7125	235
4.1675	256.4
4.6	278.1
5.0125	298.6
5.42	319.3
5.8325	340
6.235	360.5
6.68	381.7
7.18	402.2
7.7025	419.5
8.2075	432.2
8.73	442.4
9.25	451.2
9.3875	452.4
9.505	432.4
9.59	410.6
9.245	389.5
8.9125	368.3
8.5525	346.9
8.205	327.7
7.8	305.6
7.4025	284.3
6.985	263.6
6.585	242.7
6.185	222.7
5.7725	202.4
5.33	181.1
4.8875	160.2
4.445	139.8
3.9875	119.5
3.495	97.49
3.055	76.33
2.6225	54.77
2.2125	34.65
1.83	14.1
1.43	-6.666
1.0525	-27.67
0.66	-48.9
0.2725	-70.21
-0.0975	-91.62
-0.4975	-112.6
-0.9075	-133.3
-1.3475	-154.5
-1.7825	-174.9
-2.2375	-194.7
-2.6925	-215
-3.17	-235.4
-3.6325	-256
-4.1025	-276.6
-4.5775	-297.3
-5.035	-318
-5.5025	-338.7
-5.97075	-359.3
-6.48625	-380.2
-7.02275	-399.8
-7.53725	-415.7
-8.0855	-429.3
-8.6145	-439.4
-9.14325	-447.8
-9.39775	-449.5
-9.523	-430
-5.11	-105.3
0.0775	144.6
4.6525	289.9
5.785	290.8
5.3625	244.7
4.665	206.1
4.04	175
3.52	150.7
2.78	112
2.08	74.25
1.41	38.62
0.9525	18.23
0.5	-2.477
0.4425	-2.171
0.66	22.02
0.9	43.3
1.2025	65.17
1.505	85.78
1.85	106.5
2.2475	128.4
2.6575	149
3.1175	170.6
3.5425	190.1
4.0275	211.2
4.485	231.6
4.955	252.7
5.4275	273.2
5.885	294.2
6.36	314.8
6.865	336.2
7.4	356.3
7.8975	374.2
8.4275	393.1
8.97	411.2
9.39	423.4
9.4225	402.9
9.105	381.5
8.78	361.4
8.415	340.7
8.0325	320.6
7.6225	299.1
6.45	241.5
6.0375	221.4
5.575	199.8
5.1175	178.8
4.66	158
4.185	137.6
3.7075	117.3
3.21	94.86
2.74	73.42
2.295	51.68
1.8925	31.16
1.5025	10.15
1.115	-11.16
0.715	-32.84
0.335	-54.59
-0.0225	-74.03
-0.4275	-95.01
-0.83	-115.3
-1.2975	-136.5
-1.8025	-158
-2.3175	-178.2
-2.8425	-198.9
-3.4075	-219.3
-3.925	-238.2
-4.4675	-258.4
-4.985	-276.9
-5.5	-295.6
-6.00575	-314.1
-6.53675	-332.9
-7.05825	-351.2
-7.591	-370.1
-8.101	-387.2
-8.625	-405.5
-9.15725	-422.4
-9.395	-428.3
-9.4285	-406.6
-9.10425	-385.1
-8.76	-363.5
-8.37	-343.4
-7.97625	-321.8
-7.55575	-300.7
-7.10925	-279.2
-6.66225	-257.9
-6.2105	-236.9
-5.76	-216.3
-5.3175	-195.9
-4.8375	-174.2
-4.3325	-153.3
-3.8325	-132.5
-3.335	-112.1
-2.8775	-92.69
-2.4325	-72.35
-1.97	-51.07
-1.5225	-29.2
-1.13	-8.654
-0.7025	12.11
-0.31	33.12
0.09	54.1
0.485	74.68
0.8775	94.8
1.33	115.9
1.815	136.3
2.3225	157.5
2.8725	178.6
3.3775	198.6
4.575	242.7
5.1	262.1
5.6275	281.6
6.1275	299.2
6.6475	318.6
7.1875	338.2
7.7175	357.6
8.2025	375.4
8.735	394.4
9.2575	412.8
9.41	416.7
9.4825	394
9.22	374.4
8.86	352.2
8.49	331.5
8.115	311.5
7.705	289.9
7.28	269.3
6.8675	249
6.4125	227.3
5.9625	206
5.4975	184.7
5.0325	163.9
4.5225	142.1
4.0625	122.3
3.5675	101.8
3.1125	81.34
2.64	60.24
2.1975	38.81
1.81	18.81
1.405	-1.56
1.01	-22.02
0.605	-42.6
0.2275	-63.21
-0.2075	-85.53
-0.6575	-107.2
-1.1325	-128.2
-1.6425	-149.6
-2.14	-169.8
-2.65	-188.8
-3.15	-207.1
-3.67	-225.8
-4.165	-242.7
-4.67	-261
-5.1875	-279.4
-5.7025	-297.6
-6.2655	-317.4
-6.79	-335.9
-7.28075	-352.9
-7.824	-371.2
-8.324	-388.5
-8.872	-406.3
-9.373	-422.8
-9.65775	-402.9
-9.40925	-379.6
-9.0815	-359.5
-8.6825	-336.8
-8.26325	-315.1
-7.86325	-294.2
-7.449	-273.7
-7.00625	-252.8
-6.54125	-232
-6.10025	-211.7
-5.6325	-191.6
-5.155	-170
-4.655	-149.5
-4.125	-127.7
-3.5725	-105.9
-3.07	-85.2
-2.5725	-63.73
-2.11	-42.84
-1.655	-21.5
-1.225	0.1223
-0.805	20.43
-0.415	40.7
0.0075	60.7
0.4525	82.11
0.89	103
1.3475	123
1.835	142.4
2.355	162.8
2.875	182.5
3.41	201.9
3.9425	220.9
4.47	239.8
4.9925	258.8
5.5275	277.8
6.06	297.1
6.5925	316.1
7.0875	333.6
7.6275	353
8.1575	372.2
8.66	389.5
9.18	407.8
9.7	424.9
10.2275	440.4
10.7325	452.1
11.25	461.3
11.79	468.6
12.34	474.7
12.525	475
12.6525	455.5
12.76	434
12.43	410.6
12.0375	387.7
11.65	366.4
11.2325	345.4
10.795	324.1
10.3475	303.2
9.915	282.4
9.4725	261.7
9.0175	241
8.5025	219.3
7.9875	198.1
7.465	177.3
6.955	157.3
6.4275	137.9
5.89	118.7
5.365	99.72
4.85	80.46
4.3525	62.51
3.825	42.9
3.2925	23.39
2.7725	4.189
2.2675	-14.71
1.7475	-35.17
1.2225	-54.34
0.715	-74.03
0.215	-94.13
-1.01	-142.8
-1.5375	-162.2
-2.0525	-180.3
-2.575	-197.1
-3.095	-214.1
-3.5975	-229.6
-4.1275	-246.4
-4.645	-263.3
-5.175	-280.2
-5.6975	-297.3
-6.1815	-313.1
-6.724	-329.9
-7.2565	-347.4
-7.7595	-363.5
-8.30425	-381.3
-8.81625	-397
-9.34525	-413.6
-9.841	-428.1
-10.3541	-440.8
-10.8777	-451.5
-11.3555	-459.7
-11.8665	-466.5
-12.3875	-472.1
-12.52025	-472.3
-12.6595	-452.3
-12.73975	-431.1
-12.414	-409.7
-12.043	-389.2
-11.64825	-368.6
-11.23725	-348
-10.8626	-327.6
-10.37925	-305.4
-9.91225	-284.9
-9.46	-264.4
-8.97775	-243.9
-8.499	-223.9
-8.05225	-204.7
-7.544	-184.8
-7.0335	-165.6
-6.50625	-147.2
-5.98575	-129.3
-5.4575	-111.4
-4.8925	-92.17
-4.3775	-74.31
-3.8525	-56.05
-3.3325	-37.95
-2.815	-19.82
-2.3	-1.376
-1.0925	41.96
-0.5925	59.57
-0.0825	78.9
0.425	98.22
0.935	117.4
