"Arakawa et al. 1988, Spec. 21"	
856	
0	0
0.11661	6.562
0.23322	12.03
0.29153	18.046
0.40815	25.701
0.52476	35.544
0.69968	45.385
0.8746	52.498
1.0495	59.059
1.1078	66.167
1.2827	73.823
1.516	78.195
1.6909	82.025
1.8075	85.308
1.8658	86.398
1.8075	80.384
1.6909	73.823
1.5743	66.714
1.3994	57.965
1.1078	45.385
0.69968	31.17
0.46646	20.233
0.23322	8.2025
0.058307	1.0937
0	-7.1087
-0.058307	-16.952
-0.23322	-26.248
-0.40815	-35.544
-0.64138	-45.385
-0.9329	-56.323
-1.1661	-67.262
-1.3994	-74.917
-1.6326	-80.931
-1.8075	-84.761
-1.9825	-88.039
-1.8075	-80.931
-1.7492	-73.823
-1.5743	-65.62
-1.4577	-57.965
-1.1078	-47.027
-0.8746	-38.278
-0.69968	-28.982
-0.46646	-20.233
-0.29153	-11.484
0	5.4682
0.29153	15.311
0.46646	29.529
0.75799	39.919
1.0495	50.857
1.2827	61.79
1.5743	72.728
1.7492	80.384
1.9825	88.039
2.2739	94.6
2.5072	101.17
2.6821	103.9
2.857	106.63
2.9153	107.73
2.857	102.26
2.6821	93.511
2.4489	82.572
2.1573	72.181
1.8075	60.7
1.3994	49.762
1.0495	37.732
0.69968	21.327
0.46646	8.2025
0.23322	0
0	-12.03
-0.40815	-25.154
-0.81629	-39.919
-1.1078	-53.588
-1.3994	-68.356
-1.8075	-80.384
-2.0408	-88.039
-2.3905	-96.789
-2.6238	-103.9
-2.9153	-108.27
-2.7404	-100.07
-2.5655	-90.228
-2.2156	-79.837
-1.9242	-69.45
-1.5743	-55.229
-1.1078	-39.919
-0.8746	-28.435
-0.58307	-17.499
-0.34985	-5.4682
0	3.8278
0.40815	18.592
0.99121	37.185
1.3994	53.588
1.6909	68.356
2.2156	80.931
2.7404	94.058
3.0903	104.44
3.3818	112.65
3.6733	118.12
3.9065	121.4
3.7899	115.38
3.5568	103.9
3.1486	92.963
2.7987	79.29
2.4489	66.714
2.0408	54.682
1.5743	42.653
1.2244	31.17
0.9329	18.592
0.58307	7.1087
0.29153	-3.281
-0.058307	-18.046
