"Arakawa et al. 1988, Spec. 21"	
-0.75799	-39.372
-1.3411	-55.229
-1.8075	-72.728
-2.2156	-87.492
-2.6821	-98.977
-3.032	-109.37
-3.4985	-117.57
-3.7316	-121.4
-4.1398	-124.68
-3.9065	-115.38
-3.4985	-101.71
-2.9737	-85.308
-2.3905	-68.356
-1.8658	-51.951
-1.4577	-38.825
-1.1661	-28.435
-0.69968	-16.952
-0.23322	-3.281
0.11661	10.39
0.46646	24.608
1.2827	45.932
1.9825	66.714
2.7404	85.855
3.44	106.63
3.9648	120.85
4.5479	131.79
4.8395	135.07
4.7229	121.4
4.0232	100.07
3.2069	79.29
2.5072	61.248
1.9825	43.747
1.2827	26.248
0.81629	12.03
0.40815	-0.54682
0	-14.218
-0.81629	-31.716
-1.4577	-50.309
-1.9825	-64.526
-2.5072	-82.025
-3.0903	-101.17
-3.6733	-113.19
-4.0815	-124.13
-4.4896	-131.79
-4.956	-137.8
-4.7812	-128.5
-4.4896	-114.84
-3.8482	-96.242
-3.2652	-80.931
-2.5072	-61.248
-1.9825	-46.479
-1.4577	-30.623
-0.8746	-15.311
-0.34985	-2.7342
0.058307	12.577
0.99121	32.263
1.7492	49.215
2.5072	71.087
3.4985	92.963
4.1981	111.01
4.7229	124.68
5.3059	137.25
5.7141	143.27
5.8307	143.27
5.4808	129.6
4.7812	102.81
3.9065	79.837
3.1486	61.248
2.2739	41.013
1.6909	24.061
0.9329	7.6558
0.58307	-2.1873
0.058307	-14.765
-0.34985	-28.982
-1.2244	-53.045
-1.9242	-66.714
-2.5072	-77.653
-2.9153	-88.039
-3.4985	-101.71
-4.1981	-116.48
-4.6063	-127.41
-5.0143	-135.62
-5.4225	-141.08
-5.7141	-143.82
-5.9473	-144.91
-5.7724	-135.07
-5.4808	-123.58
-4.956	-109.37
-4.3147	-94.058
-3.8482	-78.195
-3.2069	-65.62
-2.7404	-50.857
-1.9242	-33.904
-1.2827	-19.686
-0.58307	-5.4682
-0.11661	6.562
0.34985	17.499
1.3994	39.919
2.1573	59.059
2.6821	72.728
3.4985	89.133
4.3147	106.63
5.1311	126.32
5.7724	137.25
6.472	147.65
6.9385	149.83
6.7053	143.82
6.1806	125.77
5.6558	107.73
4.956	90.228
4.373	76.558
3.7316	58.512
2.9153	43.747
2.2156	29.529
1.6326	15.858
1.0495	2.7342
0.58307	-8.7492
0.17492	-19.686
-0.29153	-28.982
-0.34985	-30.623
-1.0495	-47.027
-2.0408	-61.79
-2.4489	-69.993
-2.9153	-82.025
-3.4985	-91.869
-4.3147	-106.63
-5.0143	-123.04
-5.5391	-135.07
-6.0639	-142.73
-6.472	-148.19
-6.9968	-150.93
-6.8802	-143.27
-6.5886	-130.15
-6.0639	-116.48
-5.4225	-99.525
-4.7229	-83.667
-4.1981	-71.634
-3.5568	-57.418
-2.7404	-41.559
-2.1573	-30.076
-1.5743	-19.139
-1.0495	-6.0153
-0.58307	6.0153
0	16.405
0.58307	29.529
1.3994	44.843
2.6238	65.62
3.6733	82.572
4.5479	101.17
5.4225	116.48
6.1806	133.98
6.9385	145.46
7.4633	150.93
7.8715	152.57
7.6965	143.82
7.3467	129.05
6.7053	111.01
6.0056	94.058
5.2476	78.195
4.6646	61.79
3.7316	45.932
2.9153	30.076
2.1573	15.858
1.516	3.8278
1.1078	-6.0153
0.40815	-19.139
-0.058307	-27.889
-0.81629	-39.372
-0.8746	-41.559
-1.8658	-57.965
-2.7404	-72.181
-3.3818	-85.308
-4.4313	-103.9
-5.3642	-118.12
-6.1806	-135.07
-6.9385	-146.55
-7.0551	-148.74
-7.405	-149.83
-7.9298	-152.57
-7.7547	-143.27
-7.3467	-131.79
-6.9968	-119.21
-6.472	-104.99
-5.9473	-91.869
-5.2476	-77.653
-4.6063	-61.79
-3.7316	-45.385
-2.857	-30.076
-1.9825	-14.765
-1.2827	-3.8278
-0.69968	7.6558
-0.058307	20.78
0.64138	31.716
1.516	45.932
2.7987	63.432
3.3235	71.087
4.4313	88.586
5.3642	105.54
6.5303	123.58
7.2884	138.9
7.988	148.74
8.5711	153.66
8.8627	154.21
8.6877	143.82
8.3962	130.69
7.9298	116.48
7.23	100.07
6.5303	85.855
5.889	72.181
5.1893	57.418
4.373	43.2
3.5568	29.529
2.6238	13.124
2.0408	1.6405
1.2827	-11.484
0.64138	-22.967
0	-31.716
-1.1661	-45.385
-1.3994	-51.951
-2.2156	-63.979
-3.1486	-75.464
-4.1398	-90.228
-4.956	-103.9
-5.889	-118.67
-6.8802	-133.43
-7.5799	-146
-7.988	-149.83
-8.4545	-152.02
-8.9793	-153.66
-8.746	-143.27
-8.2795	-130.69
-7.8132	-116.48
-7.405	-102.81
-6.7636	-89.133
-5.889	-73.823
-5.2476	-59.059
-4.4313	-44.294
-3.7316	-30.623
-2.7404	-14.765
-1.9242	-1.6405
-1.2244	11.484
-0.40815	20.78
0.52476	32.81
1.9242	50.309
3.3235	68.356
4.5479	85.308
5.7724	102.26
6.8219	118.12
7.7547	133.43
8.6877	146.55
9.0376	149.83
9.504	152.57
9.9121	154.21
9.8538	148.19
9.329	134.52
8.921	119.76
8.4545	107.73
7.6965	91.322
6.9968	77.105
6.1806	63.432
5.4225	48.668
4.5479	32.81
3.7316	18.046
2.7987	3.8278
2.2156	-5.4682
1.5743	-16.405
0.8746	-24.608
0.23322	-31.17
-0.40815	-38.825
-0.29153	-39.372
-1.2244	-52.498
-2.6821	-67.262
-3.2652	-74.917
-4.2564	-85.855
-5.2476	-100.07
-6.1222	-112.65
-7.1134	-127.41
-7.8132	-137.8
-8.5128	-145.46
-8.9793	-149.83
-9.329	-151.48
-9.6206	-152.02
-9.9705	-152.57
-9.6789	-141.63
-9.2125	-130.15
-8.6877	-115.38
-8.0463	-97.336
-7.23	-80.931
-6.3555	-65.62
-5.6558	-51.951
-4.956	-38.825
-4.1981	-25.154
-3.1486	-11.484
-2.4489	0.54682
-1.516	13.124
-0.46646	24.061
0.23322	34.451
1.2827	43.747
1.7492	49.215
3.1486	65.62
3.9648	74.37
5.1311	87.492
6.3555	102.81
7.6382	120.85
8.746	136.16
9.329	143.27
9.9705	149.83
10.32	151.48
10.903	154.21
10.787	146
10.437	132.88
9.9121	118.12
9.2707	104.99
8.5128	88.039
7.6382	71.634
6.9385	56.323
6.1222	42.653
5.1893	27.342
4.2564	13.671
3.6151	4.3747
2.9737	-5.4682
2.0991	-15.858
1.3411	-22.967
0.46646	-32.263
-0.11661	-38.825
-0.58307	-43.747
-1.516	-54.682
-2.3905	-63.979
-3.4985	-74.917
-4.373	-83.667
-5.0726	-92.963
-5.8307	-102.81
-6.7636	-115.93
-7.5799	-125.23
-8.2212	-132.33
-9.0959	-141.08
-9.6789	-147.1
-10.087	-150.93
-10.437	-152.02
-10.903	-153.66
-10.67	-144.36
-10.32	-132.88
-9.7955	-118.12
-9.2125	-104.44
-8.5711	-88.586
-7.8715	-75.464
-7.23	-61.248
-6.5303	-50.309
-5.6558	-37.185
-4.8978	-23.514
-4.0232	-12.577
-3.2652	-0.54682
-2.0991	12.03
-1.1661	22.967
-0.058307	33.357
0.8746	42.106
1.6909	48.668
2.4489	56.323
3.9065	71.087
5.0143	82.025
6.0639	94.058
7.2884	108.82
8.1046	118.12
8.8043	127.41
9.6789	137.8
10.32	143.82
10.903	149.29
11.37	150.93
11.895	152.57
11.661	144.36
11.486	135.62
11.02	123.58
10.495	110.46
9.7372	94.058
8.921	78.742
8.1629	62.337
7.405	49.215
6.3555	32.81
5.3059	18.046
4.4896	4.9215
3.8482	-3.281
2.9153	-12.03
2.1573	-20.233
0.99121	-31.17
0	-41.013
-0.81629	-47.574
-1.6326	-54.682
-2.4489	-64.526
-3.3235	-74.37
-4.2564	-82.025
-5.1311	-90.775
-5.889	-98.977
-7.0551	-111.01
-8.1629	-123.58
-9.1542	-135.07
-10.087	-143.27
-10.962	-149.29
-11.486	-150.93
-12.07	-152.02
-11.661	-141.63
-11.078	-125.23
-10.495	-110.46
-9.8538	-96.242
-9.1542	-82.572
-8.4545	-67.809
-7.9298	-58.512
-7.1134	-45.932
-6.2972	-31.716
-5.3642	-19.686
-4.4313	-6.0153
-3.4985	4.3747
-2.1573	17.499
-0.99121	26.795
0.058307	37.185
1.3994	47.574
2.6238	57.965
3.6151	66.714
5.1311	80.931
6.5886	94.058
7.8132	108.27
8.9793	120.85
10.087	132.33
11.02	141.08
11.778	148.19
12.361	149.83
12.885	151.48
13.353	153.11
13.76	153.11
13.994	153.11
13.819	146
13.527	136.71
13.119	126.87
12.653	117.02
12.128	103.35
11.603	93.511
11.02	80.931
10.379	68.903
9.5623	54.135
8.746	42.653
7.8132	28.982
6.7636	15.311
5.8307	2.1873
4.956	-7.6558
3.6733	-18.592
2.3905	-28.435
0.99121	-38.825
-0.17492	-49.215
-1.2827	-57.418
-2.4489	-66.167
-3.0903	-71.087
-4.0232	-79.837
-5.1311	-88.586
-6.2389	-98.977
-7.3467	-109.92
-8.5128	-120.85
-9.9121	-132.88
-10.903	-142.73
-11.953	-148.19
-12.885	-150.93
-13.585	-152.02
-13.994	-152.57
-13.819	-146
-13.411	-132.88
-12.885	-117.02
-12.011	-102.26
-11.312	-86.398
-10.379	-71.634
-9.4458	-54.135
-8.6877	-42.106
-7.8132	-28.435
-6.9385	-17.499
-6.0056	-5.4682
-5.1893	3.8278
-3.6151	15.858
-2.0991	26.248
-0.64138	36.638
0.64138	45.932
2.0991	57.418
3.4985	66.714
4.3147	72.181
5.4225	80.931
7.1717	94.6
8.6294	108.27
10.087	119.21
11.428	131.79
12.419	139.99
13.468	146.55
13.877	147.65
14.285	147.65
14.694	149.83
15.277	150.38
15.626	152.57
15.86	152.57
15.86	147.65
15.451	133.98
14.751	117.57
14.285	104.99
13.644	91.869
12.711	75.464
12.011	61.79
11.02	47.027
10.145	34.451
9.0959	21.327
8.3379	10.937
7.4633	2.7342
6.7053	-4.9215
5.2476	-16.405
4.3147	-22.967
3.0903	-31.17
1.7492	-40.466
0.46646	-49.215
-0.69968	-57.418
-1.8075	-63.979
-3.2069	-72.181
-4.0232	-78.195
-5.3059	-88.039
-6.5886	-97.336
-8.3962	-110.46
-9.7372	-121.4
-11.078	-130.69
-12.186	-138.35
-13.002	-143.27
-13.994	-147.65
-14.751	-149.83
-15.335	-151.48
-16.034	-151.48
-15.743	-139.44
-15.392	-130.69
-14.635	-112.1
-13.644	-95.147
-12.827	-78.742
-12.186	-65.073
-11.253	-50.857
-10.262	-37.185
-9.329	-24.061
-8.4545	-14.218
-7.7547	-4.9215
-6.8802	1.6405
-5.6558	12.03
-3.9065	22.967
-2.2739	31.716
-0.64138	42.106
0.58307	49.762
2.2739	60.153
3.9648	71.087
5.7141	82.572
7.6382	94.6
9.6206	108.82
11.603	121.94
13.178	132.88
14.519	140.54
15.451	146
16.501	149.29
17.259	149.83
17.609	151.48
17.959	151.48
17.784	144.91
17.433	135.62
16.909	124.13
16.384	112.1
15.392	92.416
14.577	76.011
13.702	59.606
12.944	48.121
11.72	30.623
10.495	16.405
9.4458	4.9215
8.8627	-0.54682
7.8132	-8.2025
6.4138	-17.499
4.7229	-27.342
3.2069	-36.091
1.3994	-45.932
-0.058307	-55.229
-1.3994	-63.979
-2.7404	-71.087
-4.1398	-79.837
-5.1311	-85.308
-6.5303	-93.511
-8.0463	-102.81
-9.4458	-111.55
-10.962	-121.4
-11.895	-126.87
-13.119	-134.52
-14.343	-141.08
-15.568	-146
-16.56	-148.74
-17.55	-149.29
-18.075	-149.83
-17.842	-142.18
-17.318	-129.6
-16.85	-115.93
-16.209	-102.81
-15.509	-90.228
-14.635	-76.011
-13.877	-63.979
-13.119	-49.762
-12.244	-38.825
-11.428	-26.795
-10.437	-16.952
-9.3875	-6.562
-8.4545	2.7342
-6.7053	12.03
-4.6063	23.514
-2.5655	34.451
-0.9329	43.2
0.29153	50.309
1.9242	58.512
3.7316	69.45
6.2389	82.572
8.4545	96.242
10.495	106.09
12.128	115.93
13.76	125.77
15.277	133.98
16.792	141.08
17.609	144.91
18.367	146.55
19.067	147.65
19.591	149.29
19.942	150.38
19.825	144.91
19.649	135.62
19.242	128.5
18.833	118.67
18.367	109.37
17.784	97.336
17.084	86.398
16.384	73.276
15.801	61.79
14.868	49.762
13.994	37.732
13.119	27.342
12.361	18.046
11.545	10.39
10.903	2.1873
10.204	-2.7342
8.921	-9.843
7.3467	-16.952
6.1222	-24.061
4.6646	-30.623
3.2652	-38.278
1.8075	-45.932
0.58307	-51.951
-0.9329	-60.7
-2.7987	-71.087
-4.6063	-79.837
-6.3555	-90.228
-8.2795	-100.07
-10.145	-109.92
-11.486	-116.48
-12.944	-123.58
-14.227	-129.6
-15.684	-136.16
-17.084	-142.18
-18.191	-146.55
-19.008	-147.65
-19.825	-149.29
-20.116	-150.38
-19.942	-142.73
-19.533	-129.6
-18.774	-114.29
-18.133	-102.26
-17.433	-86.945
-16.618	-74.917
-15.918	-62.337
-15.102	-50.857
-14.227	-38.278
-13.178	-25.701
-12.128	-15.311
-11.02	-6.0153
-10.379	-0.54682
-8.921	8.2025
-7.23	15.311
-5.7724	22.42
-4.1981	29.529
-2.6238	37.185
-1.2827	44.294
0.52476	53.045
2.2739	62.885
4.1981	71.634
6.2389	80.384
7.988	89.681
9.9121	98.977
11.72	107.73
13.294	114.84
14.809	123.04
16.209	130.15
17.492	135.07
18.774	139.44
19.942	144.91
20.698	147.1
21.457	147.65
21.923	148.19
21.69	141.08
21.457	133.43
21.107	123.58
20.524	112.1
19.883	100.62
19.183	86.945
18.484	74.917
17.55	60.153
16.501	47.027
15.568	34.997
14.402	21.327
13.468	11.484
12.478	3.281
11.836	-2.7342
10.612	-8.7492
9.0376	-14.218
7.6382	-21.327
6.0639	-27.889
4.3147	-34.997
2.6821	-42.106
1.3411	-49.215
0	-55.776
-1.3411	-62.885
-2.6821	-69.993
-4.3147	-77.653
-5.889	-85.855
-7.405	-92.416
-9.2125	-100.07
-10.845	-107.73
-12.361	-114.29
-13.994	-121.94
-15.626	-127.96
-17.142	-133.98
-18.774	-139.44
-19.825	-143.82
-20.583	-145.46
-21.281	-145.46
-21.807	-147.1
-22.098	-147.65
-21.866	-136.71
-21.398	-123.58
-20.698	-111.55
-20.057	-96.242
-19.125	-80.931
-18.133	-65.073
-17.318	-53.588
-16.384	-41.013
-15.277	-28.982
-14.285	-19.139
-13.411	-10.937
-12.653	-4.3747
-12.128	0
