"Saatcioglu, 1999, Specimen RC-8"	
1975	
-0.01	3.337031204
0.36	7.096876639
0.75	10.34265963
1.54	13.26719412
2.51	18.55516594
2.97	22.55172937
3.61	24.15172995
3.94	26.06969862
4.23	27.26579206
4.34	27.46844813
4.75	29.86016589
5.14	31.3259457
5.73	34.05109875
6.13	35.36984583
6.13	35.57984583
6.49	36.30671763
6.88	38.42249477
7.11	39.32077327
7.28	39.50123983
7.54	40.74842369
7.82	41.63154439
7.95	41.94013601
8.21	42.60731896
9.07	44.65261369
9	38.74183405
8.78	34.64652642
8.57	31.03418705
8.45	29.85856444
8.42	29.15965877
8.04	26.66685323
7.87	24.41638733
7.71	23.60888988
7.38	22.00092597
6.99	19.05514974
6.45	15.96484301
6.25	15.59546982
5.51	10.82578759
5.02	8.000321194
4.21	3.449854584
2.96	-2.781239396
2.94	-3.057176929
1.99	-8.199210546
1.51	-11.72171224
0.96	-13.46499571
0.2	-17.35062409
0.03	-19.19109361
-0.26	-19.61718869
-0.7	-22.57781566
-1.28	-24.71000561
-1.94	-27.97594554
-2.31	-30.21579042
-2.88	-31.76501047
-3.14	-33.74219836
-3.21	-34.03297969
-3.99	-36.92454233
-4.78	-39.61907204
-5.07	-40.54516474
-5.81	-42.52484822
-6.38	-43.48406241
-6.85	-46.14358886
-7.57	-47.8673295
-8.05	-48.2598218
-8.07	-47.95575896
-8.09	-47.71169611
-8.07	-47.60575896
-8.09	-47.40169611
-7.98	-42.85904175
-8.02	-41.42091607
-7.81	-34.1585758
-7.17	-28.86858501
-6.62	-24.47531009
-5.79	-19.81891085
-4.76	-14.23313461
-4.24	-11.80876079
-3.47	-8.4101674
-3.14	-5.90219836
-2.88	-4.755010469
-2.26	-2.780946526
-0.78	4.78843399
0.98	14.27094187
2.58	22.56594735
3.42	26.95532362
3.82	29.31407368
4.44	31.69813543
4.68	33.24938484
5.06	34.64219603
5.28	35.32750755
5.71	36.93516138
5.89	37.64859766
6.09	38.14797115
6.39	39.47703107
6.73	41.30796518
6.99	41.72514974
7.42	43.68280041
7.66	44.0640469
7.88	44.63935592
8	45.05497891
8.02	44.75091607
8.02	44.06091607
8.04	35.76685323
7.56	28.8743609
6.8	23.06874567
5.33	14.08235106
4.52	9.641885255
4.15	8.052042164
2.56	-0.209990193
0.99	-7.916089336
-0.73	-16.75672204
-1.52	-21.03125655
-2.62	-26.00782245
-3.76	-31.26626119
-4.92	-36.23063407
-5.5	-39.9228189
-6.16	-41.93875183
-8.12	-48.45060183
-9.12	-52.87745628
-9.27	-49.44198393
-9.31	-49.28385794
-9.26	-44.13901542
-8.59	-35.70012414
-7.22	-26.95342812
-6.43	-22.4489057
-6.17	-20.4817205
-5.73	-19.55109875
-5.29	-17.12047625
-4.86	-14.92282178
-4.71	-13.97829101
-4.31	-12.23954193
-3.21	-6.922979692
-2.56	-3.140009807
-1.4	2.054368913
0.1	9.399687957
1.35	16.00078714
2.91	24.08391677
3.42	26.84532362
3.89	29.0248549
4.23	30.88579206
4.42	31.21219797
4.65	32.52047868
4.94	32.9565715
5.28	34.73750755
5.64	36.22438057
5.97	37.94234707
6.44	39.29187436
6.51	40.24265493
6.87	41.23952614
7.11	42.24077327
7.35	42.93202013
7.61	43.73920391
7.94	45.00716743
7.95	44.77013601
7.94	44.62716743
7.97	44.22607317
8.19	40.01138183
8.09	35.78169611
7.64	29.3081097
7.26	26.09530259
7.09	25.25483602
6.8	22.92874567
6.33	20.12921912
5.73	16.92109875
4.59	10.55266633
3.04	2.202510726
2.06	-4.838429073
0.63	-10.3629659
-0.2	-15.08937591
-0.95	-18.24203549
-1.76	-22.27250743
-3.06	-27.92844825
-3.88	-32.55188615
-4.4	-35.04626051
-5.11	-37.32703958
-5.6	-39.43250582
-6.38	-42.48406241
-6.48	-43.31374897
-6.83	-43.54765159
-7.57	-46.4273295
-8.12	-48.79060183
-8.17	-48.15544469
-8.15	-47.79950755
-8	-39.55497891
-7.9	-36.04529309
-7.34	-31.84905152
-6.88	-27.72249477
-6.33	-24.38921912
-5.79	-21.36891085
-5.17	-17.80485181
-4.62	-15.74157251
-4	-12.04751107
-3.31	-8.22266729
-2.76	-5.509385243
-1.71	-1.027663499
-0.14	6.328436861
0.68	11.22187807
2.25	18.85797775
3.18	24.29407341
3.66	26.3365737
3.96	27.0456361
4.15	28.37204216
4.59	30.88266633
4.89	32.35172793
5.13	33.49297699
5.44	34.44500673
5.58	35.07656843
5.71	35.90516138
5.94	36.76344104
6.33	38.32921912
6.49	39.54671763
7.02	41.70405563
7.3	42.05717706
7.57	43.3773295
7.76	44.29373285
8	44.67497891
8.04	44.51685323
8.02	44.34091607
8.04	43.41685323
8.07	42.32575896
8.04	41.48685323
7.95	33.74013601
7.54	27.72842369
7.23	24.70639674
6.76	23.11687111
5.71	17.09516138
4.25	8.701729525
3.28	3.243761013
2.32	-2.421240806
1.68	-5.741242858
0.84	-10.23062123
-0.07	-14.98078157
-0.92	-17.78312912
-1.4	-19.85563109
-2	-22.89375824
-2.8	-26.92126032
-3.04	-28.02251073
-3.37	-29.98047984
-4.11	-32.30016721
-4.33	-34.09547939
-4.55	-34.81079143
-4.57	-35.09672888
-5.11	-37.07703958
-5.69	-40.21922401
-6.74	-43.56093383
-7.52	-46.58248648
-7.55	-47.0013923
-7.97	-47.47607317
-8.05	-47.9798218
-8.05	-47.5998218
-8.02	-45.32091607
-7.74	-35.61779566
-7.05	-29.52296151
-6.31	-24.1032818
-5.35	-19.12828845
-5.07	-18.04516474
-4.9	-17.00469664
-4.4	-14.40626051
-3.81	-10.92110493
-3.09	-6.887354546
-2.78	-5.935322782
-2.16	-3.331258734
-0.83	2.673590022
-0.3	5.800936132
0.36	9.816876639
1.04	12.39875462
1.08	12.72062979
1.39	13.9826623
2.18	18.10719629
2.6	20.0218849
3.09	22.54735455
3.49	25.49610491
3.87	25.87891741
4.11	27.64016721
4.73	31.34422845
5.16	33.57188311
5.59	36.27953713
6.04	37.44312779
6.33	38.77921912
7.09	41.75483602
7.9	45.37529309
8.69	48.84980958
9.28	50.02495243
9.87	51.88009311
10.18	53.52211525
10.67	55.15756825
11.07	56.48630412
11.4	57.5742603
12.28	60.00547264
12.67	61.29123518
13.59	64.2343108
14.31	65.84801676
14.83	67.31235685
15.76	66.86838135
16.38	67.9423926
16.81	66.87001082
17.19	66.80278797
17.81	66.64678917
18.13	66.46175574
18.15	66.1576911
18.15	65.9176911
18.17	65.68362647
18.17	65.51362647
18.51	63.0245269
18.55	62.41639744
18.63	62.00013847
18.69	61.32794419
18.7	61.15091181
18.62	55.44717085
18.01	45.37614342
17.65	42.26930543
16.64	38.28955736
15.41	32.61450221
14.43	28.15363394
14.17	26.8364632
12.83	22.05872712
12	16.9223603
11.24	14.5967665
9.25	5.466046916
7.87	-0.963612666
7.26	-2.434697407
5.77	-9.007026514
4.42	-15.88780203
4.18	-17.43905162
3.11	-20.75670793
1.87	-25.53483594
1.25	-28.47890076
-0.23	-32.5282823
-2.19	-40.14016507
-3.23	-43.45891721
-4.57	-46.91672888
-6.55	-54.01452954
-7	-55.83811837
-8.14	-58.06653897
-9.34	-61.32276345
-9.93	-62.55790389
-10.53	-63.60601042
-11.77	-66.24408897
-12.58	-67.62452086
-13.48	-69.64166085
-13.67	-70.42805614
-14.24	-70.79724
-14.6	-72.14409137
-15.51	-73.2841821
-16.11	-75.21225918
-17.75	-75.7389828
-17.78	-74.67788599
-17.8	-73.78382145
-17.94	-73.31536949
-17.96	-72.9013049
-17.99	-72.60020802
-18.01	-72.40614342
-18.01	-72.29614342
-17.99	-72.15020802
-18.03	-72.03207882
-18.01	-71.84614342
-18.03	-71.61207882
-18.01	-71.47614342
-18.03	-71.10207882
-18.03	-70.86207882
-18.04	-70.55504652
-18.06	-69.94098191
-18.04	-69.79504652
-18.11	-68.60582036
-18.18	-67.17659415
-18.39	-66.82891515
-18.42	-66.5978181
-18.42	-66.1178181
-18.4	-65.9018828
-18.44	-62.2237534
-18.23	-56.93143253
-17.1	-47.63607774
-14.34	-37.51692106
-13.41	-34.13088355
-12.67	-30.43123518
-11.15	-25.44005115
-10.02	-21.20462003
-9.48	-18.3643224
-8.77	-16.87355789
-8	-13.75497891
-6.64	-8.45124738
-5.92	-4.627503691
-5.47	-4.213912816
-4.23	0.564207945
-2.81	6.77577091
-1.19	12.9367135
-0.49	15.25452902
0.49	17.15547098
1.73	21.49360107
2.44	24.45438451
2.77	24.93235401
3.23	25.79891721
3.58	27.27282369
3.94	28.96969862
4.39	29.44329178
4.96	31.89250892
5.14	32.4959457
5.66	33.41031795
6.64	37.28124738
7.11	38.81077327
8.14	41.37653897
8.71	43.82574666
8.88	43.97621174
9.43	45.27947994
10.14	48.52024146
11.23	50.66379813
11.74	53.57518399
13.33	56.87713802
14.17	58.9464632
14.79	59.65048463
15.4	61.45153422
15.58	61.91495795
15.96	62.44774027
16.27	63.11974575
16.48	63.60207144
16.96	64.53452832
17.24	64.78762694
17.57	65.84556344
17.89	66.39053093
17.93	65.82240178
17.93	65.64240178
17.93	65.47240178
17.93	65.37240178
17.94	65.20536949
17.93	65.02240178
18.19	65.47956183
17.46	51.38291808
16.45	45.8431678
15.21	39.65514213
14.38	35.85879346
14.03	34.72490946
13.35	32.55307441
12.41	28.4540603
12.02	25.91829692
11.45	24.30910208
9.37	16.73166895
7.14	6.519679145
6.14	2.162814494
4.9	-1.105303357
2.63	-10.62920878
0.58	-18.33780987
-0.32	-21.73500146
-1.13	-24.08547375
-1.88	-26.12813284
-3.5	-30.81907366
-5.17	-36.51485181
-6.35	-40.10515644
-7	-42.04811837
-8.36	-44.73184742
-10.69	-51.21350507
-12.6	-56.64045738
-13.03	-57.13809175
-13.56	-57.60540628
-14.27	-59.12614433
-15.13	-62.14139798
-15.51	-63.0441821
-16.48	-64.88207144
-17.37	-66.04620814
-17.94	-67.62536949
-17.94	-66.83536949
-18.35	-67.02704452
-18.35	-66.91704452
-18.37	-66.72297984
-18.13	-58.41175574
-18.06	-57.77098191
-17.13	-50.88498116
-15.65	-43.89573376
-15.11	-41.25546194
-14.41	-39.90769775
-13.89	-37.96335554
-13.5	-35.91759721
-12.62	-33.2463939
-11.74	-29.47518399
-11.51	-28.64691218
-10.95	-26.96068348
-10.53	-25.56601042
-10.22	-24.09398903
-9.64	-22.2318182
-8.71	-18.64574666
-7.93	-15.14419884
-7.53	-13.99545509
-6.02	-8.267190444
-5.83	-7.040785579
-5.26	-5.871570149
-3.97	-1.008604844
-3.74	0.989676302
-1.92	6.999992025
-0.28	14.13687372
1.91	19.81703919
3.08	25.37438578
4.16	27.1750109
4.56	29.18376016
6.09	33.32797115
6.71	36.0620279
7.97	39.15607317
8.06	39.32279038
9.19	42.65823586
9.69	45.0766606
10.76	47.29428392
11.79	51.42002563
13	53.60918707
14.15	56.98052697
14.98	59.29687753
15.24	59.57404617
15.81	60.88322112
16.33	61.86755314
16.65	63.27252522
17.12	64.03201336
17.38	65.06917592
17.82	65.2397569
17.84	64.82569234
18.05	64.81801421
18.05	64.68801421
18.05	64.54801421
17.48	49.76885361
17	47.7963996
16.03	42.9585158
14.88	38.1771971
14.09	34.74271823
13.93	33.55522811
13.31	32.16120162
12.76	29.44794942
12.36	27.32921891
12.05	27.03720184
11.71	25.10627899
11.42	24.57019702
10.95	22.50068348
10.14	19.09024146
9.85	17.11415617
9.12	15.17745628
8.59	12.12012414
7.75	9.430764257
6.75	5.513902468
5.85	2.34672294
4.51	-3.771083472
4.3	-5.173426805
3.35	-7.835457677
2.58	-11.30405265
1.51	-15.54171224
0.68	-17.51812193
-0.32	-20.98500146
-0.63	-22.4170341
-1.06	-22.92469221
-1.87	-25.98516406
-2.54	-29.01407226
-4.47	-33.65704162
-4.78	-34.49907204
-5.97	-37.61234707
-6.86	-40.8065575
-7.98	-43.37904175
-8.65	-45.98793541
-10.76	-50.57428392
-11.15	-52.24005115
-11.86	-52.83080389
-12.84	-55.64169536
-12.94	-56.56137771
-13.74	-57.52883327
-14.37	-59.19582536
-14.96	-60.95094145
-15.92	-62.65586852
-16.04	-62.86148372
-16.18	-64.03303459
-17.01	-64.76936742
-17.22	-65.24169136
-17.3	-65.61543368
-17.75	-66.1189828
-17.78	-66.26788599
-17.97	-66.60427261
-17.96	-66.5613049
-18.06	-66.70098191
-18.08	-66.52691729
-18.08	-66.32691729
-18.22	-62.02846486
-18.01	-56.79614342
-17.37	-51.64620814
-17.22	-49.74169136
-15.61	-44.09386188
-14.29	-38.15208055
-13.82	-37.56257851
-12.24	-31.92359949
-11.32	-27.80051343
-10.96	-27.10365187
-9.79	-23.20634535
-9.29	-21.12792094
-8.81	-19.02543202
-8.5	-17.1434072
-8.02	-15.65091607
-7.78	-15.23967003
-6.38	-9.584062414
-5.64	-7.434380571
-5.43	-6.512038035
-4.26	-2.68469826
-3.37	1.719520162
-2.75	4.483583527
-1.78	6.601555003
-0.64	11.03999711
1.01	17.68984825
2.54	21.07407226
3.85	26.18297992
4.04	26.68938603
4.77	28.31610332
6.21	33.43359516
6.45	33.91484301
7.09	35.38483602
8.06	38.94279038
9.19	41.61823586
9.99	44.27571466
10.35	45.55257873
10.88	46.39990473
11.16	47.72301952
12.02	49.90829692
12.43	51.53999685
13.12	53.40480571
13.72	54.26289695
14.55	57.67925098
16.14	61.01116294
17.22	64.33169136
17.94	65.23536949
18.26	66.33033554
19.06	67.84774511
19.82	68.34327657
20.1	69.01636518
20.77	70.03517999
21.06	70.64123222
22.22	70.84542902
22.75	71.3526847
23.34	71.79773782
23.68	72.7286134
25.56	74.42636195
26.47	74.17631434
27.02	74.78946523
27.3	75.35252175
28.02	75.70608899
28.71	76.29074839
29.73	76.72327139
30.4	78.51197616
30.73	77.1298423
32.47	77.81582578
33.69	78.34756791
34.38	78.00214485
34.36	77.72621524
34.38	77.45214485
34.95	77.79113487
35.22	78.0111801
36	78.41241209
35.98	78.23648324
36	78.03241209
36.02	77.65834092
36.17	77.36280685
36.64	76.60212986
36.64	76.05212986
36.21	68.07466434
34.97	59.6370642
34.12	56.83505918
32.57	52.79547802
30.81	47.83356708
29.09	41.91345544
27.11	37.67616213
25.65	32.93306118
25.59	32.05526171
24.65	30.32639526
23.44	26.8274073
21.92	22.3464145
20.6	18.47473503
19.62	15.32392693
18.05	10.00801421
18	9.843175719
17.01	7.969367424
17	7.556399605
15.83	5.039157022
14.67	1.004867873
13.57	-1.28162555
12.29	-5.45155907
11.14	-7.89291723
9.49	-13.7227091
8.37	-15.61518402
7.76	-17.78626715
6.63	-20.19172127
6.2	-22.5293735
4.59	-25.48733367
4.32	-26.63748934
3.53	-27.97202007
3.35	-29.50545768
2.72	-30.10248984
2.01	-33.03327298
1.23	-35.02483834
0.17	-36.64953047
-0.13	-36.83859434
-0.7	-38.59781566
-1.69	-41.10172593
-2.9	-44.460948
-3.45	-46.16422989
-4.47	-48.72704162
-5.12	-49.80000828
-6.38	-52.17406241
-7.45	-55.35170624
-9.05	-58.81667666
-11.27	-63.1956716
-13.29	-66.79526523
-15.01	-69.85578164
-17.3	-73.46543368
-18.85	-75.75542588
-20.89	-76.36078796
-21.01	-77.01639572
-23.83	-77.47311675
-24.23	-78.45179057
-25.07	-77.56099701
-25.64	-78.80009461
-27.31	-80.60548803
-28.33	-81.24803854
-28.62	-79.6140542
-28.66	-79.14591831
-31.22	-79.7651545
-31.65	-79.75266921
-31.67	-79.24860003
-34.03	-80.38837531
-35.08	-80.49967538
-35.96	-80.31055439
-36.01	-80.0853765
-36.1	-79.66205615
-36.11	-79.21502054
-36.13	-77.05094932
-36.17	-76.44280685
-36.2	-75.83169997
-36.24	-75.50355743
-36.24	-75.22355743
-36.22	-70.8776287
-36.1	-66.43205615
-34.29	-56.73546153
-33.74	-53.77239269
-32.1	-50.84611059
-30.34	-45.22418208
-28.09	-40.10685195
-26.57	-35.17597854
-25.45	-33.64372936
-25.21	-32.47253027
-23.49	-28.27224198
-21.3	-21.97244696
-20.92	-20.47968992
-19.58	-17.84205693
-15.91	-7.972900583
-15.42	-6.857470206
-14.34	-5.706921064
-12.63	-1.649362156
-10.72	3.217589702
-8.74	7.405347725
-6.91	11.64859932
-5.54	14.81530633
-4.55	17.24920857
-3.73	19.01264505
-1.63	22.52608679
-0.66	23.84405952
-0.09	25.22328084
0.89	26.16422274
1.75	28.41953864
3.06	31.35844825
4.28	34.31063573
5.32	36.85938236
6.32	39.52625046
6.92	40.43436931
8.14	42.03653897
9.54	45.51213335
10.45	47.85226303
12	50.8923603
12.55	51.23561607
13.59	52.2343108
14.76	54.68158045
16.36	57.25645682
16.62	58.40362163
18.32	60.21814154
20.34	63.46758314
21.46	65.16992299
22.89	66.49422321
23.87	68.06498425
24.66	69.509362
25.23	69.77846357
25.82	70.98349268
27.18	72.17692628
28.66	73.37591831
29.78	75.22810042
30.56	75.69942669
32.26	76.82355537
34.24	77.58063738
35.16	77.75339242
35.29	78.06193228
35.5	77.54418814
35.5	77.19418814
35.91	77.14573222
36.19	77.1987356
36.17	77.02280685
36.17	76.84280685
36.19	75.9187356
35.21	62.94821549
34.04	58.64134019
32.78	54.26774701
31.74	51.13935783
30.99	49.05694736
29.68	46.76844232
28.14	42.66168258
26.66	38.57267617
25.51	35.40152898
24.82	32.95682966
24.3	31.84255822
