"Saatcioglu, 1999, Specimen RC-6"	
1743	
-0.006029591	3.503674538
0.55	10.94328374
0.96	14.05500429
0.98	15.23094187
1.29	15.8129744
1.72	18.38063229
2.16	21.10125873
2.54	22.17407226
2.94	24.22282307
3.27	26.11079225
3.4	26.42938611
3.56	26.88688619
3.7	27.3784487
3.78	27.61219869
3.78	27.85219869
3.99	28.15454233
3.94	28.65969862
4.03	29.12641729
4.15	29.89204216
4.46	31.32407289
4.68	32.11938484
5.01	34.10735248
5.47	36.62391282
5.66	37.28031795
6.04	38.61312779
6.21	39.21359516
6.39	40.19703107
6.7	41.70905925
7.18	43.74155364
7.47	44.65764345
8	46.74497891
8.28	47.68809893
8.62	49.05902978
8.85	49.54730615
9.04	49.98370814
9.47	51.97135391
9.93	53.99790389
9.99	54.12571466
10	53.74868312
9.99	53.57571466
10.02	53.47462003
10	53.36868312
10	53.01868312
10.23	52.84695747
10.24	51.98992591
10.14	43.83024146
8.81	29.79543202
8.11	25.20763326
7.78	23.50967003
7.56	22.4443609
7.32	21.11311429
6.8	18.23874567
6.35	16.62515644
5.54	11.80469367
3.84	3.340011169
1.73	-7.786398929
1.17	-10.93265109
0.98	-11.29905813
0.8	-11.8624964
0.6	-12.99187228
0.44	-14.209373
-0.18	-17.73343832
-0.26	-18.37718869
-0.82	-19.96344118
-1.38	-22.32969351
-1.8	-24.52438257
-1.94	-25.04594554
-2.81	-27.85422909
-3.97	-32.60860484
-4.23	-33.99579206
-5.16	-36.93188311
-6.04	-39.56312779
-7.09	-42.60483602
-7.5	-44.23654927
-8.17	-46.22544469
-8.93	-47.80105438
-9.24	-48.02307841
-9.93	-49.74790389
-9.89	-49.28603004
-9.91	-49.02196697
-9.93	-48.81790389
-9.91	-48.67196697
-9.93	-48.53790389
-9.95	-48.44384082
-10.02	-48.49462003
-10	-48.31868312
-10	-48.14868312
-10.02	-47.94462003
-10.03	-47.56758849
-10.02	-43.81462003
-9.96	-40.45680928
-9.88	-35.95306157
-9.5	-30.91025939
-9.19	-27.19823586
-8.69	-24.15980958
-8.41	-21.72669021
-7.78	-19.16967003
-7.02	-15.18405563
-6.45	-12.36484301
-6.1	-10.36093982
-6.07	-9.972033805
-5.85	-9.63672294
-5.81	-9.274848216
-5.74	-8.914067435
-5.62	-8.668443194
-5.23	-6.04266404
-4.45	-1.911104161
-3.62	2.015301302
-2.85	6.243895835
-2.26	8.239053474
-2.21	8.463897368
-2.19	8.679834927
-1.66	11.17718043
-0.95	14.76796451
-0.32	18.15499854
0.53	22.57734615
