BRI No. 3 (Japan) ws22bs	
3.1674	48.539
4.2758	55.959
5.2578	61.835
6.208	67.711
7.0315	72.039
8.1083	76.985
9.1535	81.314
10.072	85.642
10.832	88.422
11.466	90.588
11.814	91.825
11.878	91.206
11.561	82.55
11.149	73.582
10.579	64.308
9.8188	55.34
8.7735	46.066
7.8549	39.265
7.0315	34.318
6.2396	29.68
5.0994	23.806
4.0542	17.623
2.9139	11.439
1.7737	4.6377
1.0769	-0.30917
0.53844	-5.8743
-0.031674	-13.294
-0.76016	-23.188
-1.4253	-31.536
-2.3755	-42.666
-2.8189	-47.302
-3.6425	-54.415
-4.6243	-60.905
-5.8279	-68.329
-7.0315	-73.582
-8.1717	-79.459
-9.1853	-84.405
-10.104	-87.803
-10.769	-91.206
-11.434	-93.986
-11.782	-95.223
-11.782	-92.443
-11.592	-85.642
-11.244	-78.84
-10.801	-70.491
-10.104	-62.142
-9.2803	-53.178
-8.4884	-46.995
-7.3798	-38.956
-6.493	-33.391
-5.6062	-27.825
-4.5926	-21.951
-3.6107	-16.386
-2.5972	-10.203
-1.7737	-4.3284
-1.1086	0.9275
-0.34841	9.275
0.19004	17.005
0.88685	25.661
1.9954	36.792
2.5972	42.047
3.294	47.921
3.8641	53.178
4.8777	58.743
5.6695	62.76
6.398	66.781
6.9681	70.184
7.7916	74.201
8.5202	77.292
9.3753	81.314
10.357	85.023
11.054	88.115
11.592	89.97
11.814	90.277
11.814	88.422
11.592	82.857
11.529	79.766
11.244	74.819
10.801	67.711
10.262	59.98
9.6604	53.797
9.0585	48.539
8.2034	41.429
7.3165	35.864
6.303	29.68
5.4795	25.661
4.6559	21.024
3.7057	15.768
2.7239	10.512
2.0588	6.4926
1.5203	1.5458
0.91853	-2.7825
0.41175	-9.5841
-0.41175	-20.405
-1.2669	-30.608
-2.1222	-39.883
-2.9456	-47.302
-3.8325	-54.104
-4.9727	-61.523
-6.4296	-69.254
-7.2532	-73.894
-8.3618	-80.077
-9.2803	-83.787
-10.072	-86.878
-10.706	-89.658
-11.181	-92.132
-11.561	-93.68
-11.846	-93.986
-11.561	-87.497
-11.307	-81.002
-11.022	-72.964
-10.452	-65.851
-9.8821	-59.668
-9.0585	-51.631
-8.0451	-44.212
-7.2215	-37.719
-6.588	-33.391
-5.8279	-28.753
-4.9093	-23.497
-4.1492	-18.86
-3.2306	-13.913
-2.3438	-8.3475
-1.4887	-2.7825
-0.82351	3.7101
-0.25339	11.439
0.15837	16.386
0.85518	25.661
1.4887	33.081
2.1538	40.502
3.2306	48.539
4.371	55.34
5.226	59.98
6.1763	65.233
7.0631	69.873
7.9499	73.894
8.8052	77.604
9.502	81.002
10.294	84.405
10.959	86.567
11.497	88.115
11.814	89.04
11.878	88.422
11.656	84.405
11.244	75.437
10.832	67.399
10.135	58.432
9.4703	51.012
8.5518	43.903
7.2532	35.555
5.9545	28.135
5.0677	23.497
4.0542	17.005
2.6923	9.275
1.6787	2.7825
0.47509	-7.4201
-0.09502	-14.84
-0.9502	-25.043
-1.9954	-35.555
-3.0723	-46.684
-4.371	-56.27
-5.7962	-65.545
-7.1899	-73.276
-8.6785	-80.077
-9.787	-85.023
-10.801	-89.658
-11.434	-91.825
-11.814	-93.368
-11.624	-87.185
-11.339	-80.077
-10.896	-72.039
-10.357	-63.997
-9.5654	-56.27
-8.7735	-49.157
-7.7916	-42.356
-6.8415	-35.245
-5.8279	-28.753
-4.7509	-23.497
-3.5474	-17.005
-2.6605	-11.13
-1.8371	-4.9469
-0.91853	3.0917
-0.31674	9.275
0.19004	17.005
0.91853	25.97
1.7421	34.009
2.6605	42.356
3.7375	50.394
5.1944	58.125
6.0813	63.378
7.1899	68.947
8.2034	72.657
9.0585	76.674
9.9454	81.002
10.737	84.094
11.371	85.642
11.846	87.803
11.941	87.803
11.466	77.604
10.959	68.636
10.23	59.362
9.3119	50.394
8.3618	42.356
7.2215	34.936
5.8279	25.97
4.6243	19.478
3.2306	11.749
1.9954	4.9469
0.69681	-5.256
0	-15.149
-1.0452	-26.28
-2.1538	-36.482
-3.5474	-49.469
-4.7509	-58.125
-5.8595	-64.308
-7.0949	-70.491
-8.4251	-77.604
-9.7554	-84.405
-10.832	-89.04
-11.719	-91.513
-11.719	-87.497
-11.434	-80.384
-10.864	-71.728
-10.199	-62.453
-9.4703	-54.722
-8.6152	-47.921
-7.7283	-41.738
-6.7781	-35.245
-5.7962	-28.753
-4.5293	-21.333
-3.6741	-16.386
-2.4388	-9.5841
-1.6153	-3.0917
-1.0452	1.855
-0.38009	9.5841
0.28506	18.55
0.91853	25.97
1.5519	32.772
2.2172	40.192
3.199	47.614
4.2442	54.104
5.6062	60.287
6.9681	66.781
7.8549	71.109
8.8368	75.13
9.692	78.84
10.452	81.932
11.276	84.094
11.719	85.949
11.878	85.949
11.466	79.766
10.927	68.018
10.199	58.743
9.3753	51.012
8.7102	44.829
7.5382	36.173
6.3346	29.371
5.2578	22.879
4.1492	17.005
2.9456	10.203
1.8371	4.0192
0.91853	-3.0917
0.15837	-10.821
-0.72848	-21.642
-1.5837	-32.772
-2.8823	-46.377
-4.0542	-55.34
-5.4795	-62.76
-6.9365	-71.109
-8.2667	-77.604
-9.8188	-84.712
-10.927	-88.733
-11.529	-91.513
-11.846	-92.132
-11.561	-84.405
-11.212	-77.292
-10.579	-66.474
-9.8821	-58.743
-8.8368	-50.394
-8.0133	-44.212
-7.1581	-38.028
-6.3664	-32.154
-5.4162	-26.589
-4.4026	-20.714
-3.4207	-15.768
-2.4388	-9.5841
-1.5203	-1.5458
-0.79183	4.9469
-0.031674	12.985
0.47509	20.714
1.0769	28.135
1.9004	35.864
2.8189	44.522
4.0225	51.631
5.0677	56.888
5.9229	62.142
6.9681	67.399
8.2984	72.346
9.502	77.604
10.515	81.932
11.307	84.712
11.719	85.949
11.846	85.023
11.529	77.604
11.022	69.254
10.357	60.287
9.4703	51.012
8.6152	44.212
7.4116	35.245
5.9545	26.898
4.6243	19.169
3.5474	12.985
2.4705	6.8018
1.5837	1.5458
0.69681	-5.5652
0.031674	-13.294
-0.66514	-23.188
-1.8054	-34.627
-3.1356	-46.377
-4.5926	-56.577
-6.0813	-65.851
-7.6332	-73.276
-8.9002	-79.147
-10.104	-84.712
-11.086	-89.04
-11.656	-90.895
-11.909	-91.513
-11.624	-84.712
-11.181	-76.367
-10.674	-68.018
-10.199	-62.142
-9.2486	-52.56
-8.2034	-44.829
-7.0949	-37.41
-6.0179	-30.299
-4.9411	-24.425
-3.8325	-17.005
-2.7873	-11.13
-1.7103	-3.0917
-1.0769	2.1642
-0.25339	10.821
0.22172	16.696
1.1402	27.516
1.6787	33.391
2.6923	42.047
3.8325	50.087
5.0361	56.888
6.1446	62.453
7.2848	67.399
8.4251	72.964
9.597	77.911
10.515	81.932
11.212	84.405
11.719	85.949
11.973	86.26
11.561	79.459
11.054	68.018
10.199	57.507
9.3753	49.776
8.4568	41.738
7.2532	34.009
5.9545	26.28
4.8143	19.787
3.1674	11.749
2.2488	6.8018
1.2036	-0.61835
0.31674	-9.5841
-0.66514	-21.951
-1.8054	-33.7
-3.1356	-45.141
-4.561	-56.27
-5.7012	-62.76
-6.8731	-68.947
-8.0133	-75.13
-9.1853	-80.695
-10.167	-84.405
-10.864	-87.185
-11.592	-89.97
-11.846	-89.97
-11.687	-85.023
-11.402	-78.222
-10.832	-70.184
-10.325	-63.378
-9.692	-55.959
-8.6468	-47.302
-7.76	-40.502
-6.6514	-33.7
-5.8913	-29.371
-4.7827	-23.188
-3.7375	-17.005
-2.7239	-10.821
-1.8371	-4.9469
-1.1402	1.5458
-0.41175	8.6567
0.12669	15.768
0.85518	24.734
1.9004	35.555
3.0723	43.593
4.1492	51.012
5.1311	56.888
6.2713	62.76
7.3798	67.711
8.6468	72.964
9.407	76.367
10.389	80.695
11.181	83.168
11.624	84.405
11.846	85.023
11.624	79.766
11.181	70.802
10.579	61.835
10.009	55.033
9.3436	48.232
8.4251	41.12
7.4748	34.936
6.1446	26.589
5.0677	21.642
3.9275	15.149
2.9773	9.8933
1.9638	3.4009
1.0769	-3.0917
0.25339	-12.367
-0.25339	-19.169
-1.1719	-29.062
-2.3122	-40.502
-3.8641	-51.324
-5.4162	-59.668
-6.8097	-67.399
-8.4251	-74.201
-9.4703	-79.147
-10.547	-83.787
-11.339	-85.949
-11.687	-86.878
-11.941	-87.803
-11.592	-80.077
-11.117	-72.657
-10.515	-64.926
-9.8504	-58.125
-9.1535	-51.631
-8.2984	-44.829
-7.4432	-38.028
-5.8595	-28.135
-4.3392	-19.787
-3.5157	-14.531
-2.1854	-6.8018
-1.3619	0
-0.57012	6.8018
0.031674	14.222
0.60179	21.642
1.2036	29.371
2.5022	39.265
3.3257	45.447
4.3076	51.012
5.0677	55.34
5.7012	58.743
6.6197	63.071
7.2532	66.474
8.0133	69.566
8.5518	71.728
8.7418	72.657
8.4568	67.711
8.0767	60.598
7.4116	51.324
6.7781	44.829
5.9863	38.337
5.1628	31.227
3.9908	23.497
3.0406	16.077
2.2172	10.203
1.6787	4.3284
0.79183	-3.7101
-0.031674	-13.294
-1.1086	-24.734
-2.2805	-35.245
-3.5474	-46.377
-4.9093	-54.415
-6.0496	-61.835
-6.9999	-67.399
-7.8549	-71.109
-8.3301	-73.276
-8.6785	-74.201
-8.0767	-66.163
-7.4748	-59.668
-6.9047	-52.867
-6.0496	-44.522
-5.1944	-36.482
-4.3076	-28.753
-3.389	-21.951
-2.4388	-14.222
-1.7103	-5.5652
-0.76016	3.4009
-0.15837	11.13
0.38009	19.787
1.1086	28.444
2.0588	37.101
3.1674	45.141
4.1808	51.324
4.9093	55.34
5.7962	60.287
6.9999	65.545
8.4251	72.346
9.5336	76.674
10.642	81.314
11.497	83.475
12.384	86.26
13.367	87.803
14.633	89.04
15.551	89.658
16.471	90.277
17.325	89.658
17.8	89.658
17.959	89.351
17.959	85.949
17.864	78.222
17.389	68.636
16.85	59.362
16.217	51.942
15.425	45.447
14.38	38.337
13.208	32.463
12.036	26.589
10.769	21.333
9.502	16.077
7.9817	11.13
6.8415	8.0384
5.5428	4.3284
4.2126	0.30917
2.8823	-4.3284
1.6471	-9.275
0.57012	-16.696
0.063346	-20.714
-0.9502	-28.753
-2.6923	-42.047
-4.1492	-51.942
-5.3212	-59.05
-6.2396	-63.997
-7.3165	-69.873
-8.3934	-74.512
-9.2803	-78.84
-10.357	-82.857
-11.117	-85.642
-11.814	-87.803
-12.765	-89.97
-13.999	-91.825
-15.267	-93.061
-16.407	-92.75
-17.167	-92.443
-17.548	-92.75
-17.864	-92.75
-17.705	-86.26
-17.548	-78.529
-17.198	-71.109
-16.596	-62.142
-15.837	-53.797
-14.919	-46.684
-13.999	-40.502
-13.017	-35.864
-11.339	-29.68
-9.3436	-23.497
-7.8549	-17.623
-6.2713	-11.439
-4.466	-5.8743
-3.294	-0.61835
-2.1538	5.8743
-0.98188	14.84
0.031674	21.951
1.0135	29.99
1.9004	37.41
2.9456	44.522
4.1175	50.394
5.6062	55.959
6.9999	60.905
8.5518	64.615
10.072	68.636
11.656	72.657
13.271	75.13
14.728	77.604
15.805	78.84
16.787	80.077
17.452	80.695
17.864	80.695
18.023	81.002
17.832	75.437
17.516	68.947
16.882	60.598
16.217	52.249
15.33	44.829
14.412	38.956
13.24	31.845
12.068	26.28
10.737	21.642
9.597	16.696
8.4568	13.294
7.0949	8.9658
6.0179	5.256
4.8777	2.4734
3.8959	0
2.7873	-4.0192
1.5519	-9.275
0.53844	-16.696
-0.25339	-24.116
-1.2036	-32.463
-2.5655	-42.356
-4.0858	-51.631
-5.2578	-57.814
-6.303	-61.835
-7.4748	-65.851
-8.4568	-68.636
-9.7554	-72.346
-11.086	-75.13
-12.163	-76.985
-13.588	-79.766
-14.728	-81.932
-15.837	-83.475
-16.914	-85.023
-17.484	-86.26
-17.705	-86.26
-17.927	-85.642
-17.673	-79.459
-17.294	-70.802
-16.723	-63.071
-15.994	-55.34
-15.203	-49.157
-14.317	-43.903
-13.461	-39.265
-12.479	-34.936
-11.086	-29.371
-9.7554	-24.425
-8.5518	-21.024
-7.0315	-15.768
-5.1944	-9.8933
-3.9908	-4.3284
-2.7239	0.9275
-1.6787	8.0384
-0.41175	17.623
0.34841	25.043
1.2986	33.081
2.6605	40.192
3.7057	45.141
4.8143	49.469
6.493	54.104
8.0451	58.743
9.1535	62.142
10.611	65.851
11.878	69.254
13.556	72.039
14.76	74.201
15.869	75.749
16.882	76.674
18.148	77.911
19.352	78.222
20.493	78.84
21.57	79.459
22.963	79.766
23.565	80.077
23.976	79.766
24.23	79.766
24.167	77.604
24.008	70.184
23.755	61.835
23.249	52.867
22.583	45.141
21.854	39.265
21.063	33.081
20.018	26.898
19.068	22.26
17.927	17.314
16.153	12.058
14.981	8.6567
13.367	5.8743
11.973	3.4009
10.452	0.61835
8.8052	-1.2367
7.4116	-3.7101
6.1129	-7.1109
4.7827	-10.821
3.5791	-14.531
2.6605	-18.55
1.5519	-23.188
0.57012	-28.444
-0.31674	-33.7
-1.3936	-38.647
-2.4388	-44.829
-3.8325	-50.394
-4.8143	-53.178
-5.9545	-56.888
-6.9365	-60.598
-8.0451	-64.308
-9.1535	-68.018
-10.547	-71.109
-11.751	-74.201
-12.606	-76.056
-13.303	-77.604
-14.474	-79.459
-15.235	-80.384
-16.248	-81.314
-17.198	-82.55
-18.023	-83.168
-19.036	-84.094
-19.638	-84.405
-20.493	-84.405
-21.031	-84.712
-21.822	-85.023
-24.003	-85.317
-23.438	-76.367
-23.185	-70.184
-22.774	-61.216
-22.361	-55.033
-21.601	-47.614
-20.936	-42.666
-20.207	-37.41
-19.289	-33.391
-18.529	-29.99
-17.61	-25.661
-16.533	-22.569
-15.519	-19.478
-14.348	-16.386
-13.271	-13.604
-12.004	-10.203
-10.769	-7.4201
-9.4703	-5.256
-8.3618	-3.0917
-7.1265	-0.30917
-5.9545	2.4734
-4.7193	5.8743
-3.4841	9.5841
-2.3755	14.222
-1.3303	19.787
-0.50677	25.043
0.69681	30.917
1.8054	36.173
2.8823	39.883
4.4342	44.829
5.6378	47.921
7.4432	51.631
8.9002	55.652
10.199	58.125
11.782	60.598
13.271	63.071
14.696	64.926
15.837	66.781
17.071	67.399
18.148	68.329
19.416	69.566
20.683	70.184
21.918	70.491
22.868	71.109
23.628	70.491
24.167	70.491
24.483	70.491
24.483	67.093
24.294	62.142
24.135	55.959
23.755	48.85
23.185	42.666
22.297	34.627
21.474	29.062
20.62	23.806
19.479	18.55
18.339	14.84
17.167	11.13
15.394	6.1835
13.873	2.7825
12.765	0.9275
11.339	-1.855
9.4386	-4.0192
8.0767	-6.4926
6.9047	-8.6567
5.6378	-10.203
4.7827	-12.676
3.5157	-15.458
2.1854	-20.096
1.2986	-23.497
0.53844	-27.207
-0.28506	-31.845
-1.4253	-37.101
-2.7555	-43.903
-3.8641	-47.921
-4.8461	-51.012
-5.8595	-53.797
-7.1265	-56.888
-8.3618	-59.05
-9.7238	-61.523
-10.896	-63.071
-11.973	-65.233
-13.683	-67.399
-15.615	-69.873
-17.262	-71.421
-18.877	-72.346
-20.461	-72.964
-21.601	-73.276
-22.774	-73.276
-23.28	-72.657
-23.819	-72.964
-23.945	-72.346
-23.724	-64.926
-23.374	-56.27
-22.742	-48.232
-21.918	-39.574
-20.809	-32.772
-19.7	-26.589
-18.402	-21.951
-17.294	-17.932
-16.09	-14.84
-14.412	-10.512
-13.113	-7.4201
-11.814	-5.5652
-10.357	-2.1642
-8.7102	0
-7.1899	3.7101
-6.208	6.1835
-4.9093	9.5841
-3.5474	14.531
-2.1222	18.241
-0.88685	22.569
0.31674	27.516
1.6471	31.845
3.009	36.482
4.6243	39.883
6.1129	43.593
7.6016	46.377
9.0585	48.85
10.674	51.631
12.321	53.797
13.746	55.652
14.981	57.507
16.533	58.743
17.991	59.668
19.384	60.287
20.745	61.216
21.886	61.523
23.122	62.453
23.881	62.142
24.357	62.142
24.642	62.142
24.958	61.835
