Kowalsky & Moyer 2001 No.1	
27.174	106.7599677
27.194	106.7599677
27.214	106.7599677
27.255	106.6988048
27.417	106.8211307
27.457	106.6988048
27.457	106.7293862
27.477	106.7905492
27.477	106.8517122
27.477	106.6682233
27.477	106.8517122
27.498	106.7905492
27.477	106.7599677
27.498	106.8822937
27.538	106.9128752
27.518	106.8822937
27.538	106.9434567
27.518	106.8822937
27.518	106.8822937
27.538	106.8822937
27.498	106.8822937
27.498	106.7599677
27.498	106.8517122
27.518	106.7599677
27.498	105.1697305
27.518	102.1421633
27.518	99.14517771
27.518	95.99528465
27.498	92.84539159
27.538	89.7566615
27.538	86.6985129
27.437	83.51803835
26.991	80.39872678
26.445	77.34057817
26.181	74.25184808
25.534	71.10195502
24.622	68.25787682
23.974	64.86333187
23.266	61.68285733
22.476	58.68587169
21.707	55.44423417
20.836	52.38608557
20.046	49.266774
19.196	46.20862539
18.629	43.02815085
17.92	39.87825778
16.989	36.88127215
16.158	33.57847166
15.328	30.58148603
14.66	27.5845004
13.85	24.31228139
13.101	21.19296982
12.311	18.96052134
11.38	15.90237274
10.61	12.56899076
9.699	9.388516212
8.788	6.08571572
7.856	2.966404145
7.128	-0.122325944
6.277	-3.088730089
5.346	-6.23862315
4.414	-9.357934726
3.604	-12.56899076
2.673	-15.87179125
1.924	-18.96052134
1.033	-22.1104144
0.121	-25.32147043
-0.628	-28.41020052
-1.539	-31.19311575
-2.187	-34.09835692
-2.997	-37.92104268
-3.766	-41.00977277
-4.515	-43.82326948
-5.244	-47.2789774
-5.953	-50.42887047
-6.783	-52.78364489
-7.431	-56.66749362
-8.221	-59.5421533
-8.909	-62.84495379
-9.598	-65.93368388
-10.165	-69.14473992
-10.955	-72.14172555
-11.724	-74.89405929
-12.473	-78.44151167
-13.121	-81.25500839
-13.81	-84.68013482
-14.741	-87.73828342
-15.591	-90.91875797
-16.422	-93.9157436
-17.454	-97.06563666
-18.345	-100.2461112
-19.317	-102.3562337
-20.37	-106.0260121
-21.362	-109.1453236
-21.727	-109.5734644
-21.808	-109.6346274
-21.788	-109.6652089
-21.869	-109.6346274
-21.889	-109.6652089
-21.869	-109.6346274
-21.889	-109.6346274
-21.909	-109.6957904
-21.909	-109.6346274
-21.949	-109.6346274
-21.929	-109.6346274
-21.929	-109.5734644
-21.929	-109.6346274
-21.889	-109.6346274
-21.929	-109.6346274
-21.929	-109.6346274
-21.909	-109.5734644
-21.909	-109.5734644
-21.949	-109.6346274
-21.949	-109.7569534
-21.929	-109.5734644
-21.929	-109.542883
-21.949	-109.5734644
-21.909	-109.6652089
-21.97	-109.6346274
-21.909	-109.6040459
-21.949	-109.5734644
-21.929	-109.5734644
-21.949	-109.6652089
-21.949	-109.542883
-21.929	-109.6346274
-21.949	-109.6346274
-21.949	-109.5734644
-21.949	-109.6652089
-21.949	-109.6040459
-21.949	-109.6346274
-21.929	-109.6346274
-21.949	-109.6346274
-21.949	-109.6652089
-21.97	-109.5734644
-21.949	-109.6040459
-21.909	-109.6957904
-21.949	-109.5734644
-21.97	-109.6346274
-21.949	-109.6346274
-21.949	-109.5734644
-21.949	-109.6652089
-21.949	-109.6957904
-21.949	-109.6346274
-21.99	-109.5734644
-21.949	-109.6652089
-21.949	-109.6346274
-21.949	-109.6652089
-21.949	-109.6346274
-21.949	-109.6957904
-21.99	-109.6346274
-21.949	-109.542883
-21.929	-109.6346274
-21.949	-109.542883
-21.97	-109.6346274
-21.909	-109.6040459
-21.909	-109.6957904
-21.929	-109.6346274
-21.949	-109.6957904
-21.929	-109.6957904
-21.97	-109.6346274
-21.949	-109.6346274
-21.929	-109.6346274
-21.99	-109.6652089
-21.949	-109.5734644
-21.909	-109.6957904
-21.949	-109.542883
-21.949	-109.6346274
-21.929	-109.6957904
-21.949	-109.6346274
-21.949	-109.6346274
-21.949	-109.6652089
-21.949	-109.6346274
-22.031	-109.6957904
-22.031	-109.5734644
-22.051	-109.6957904
-22.031	-109.6652089
-22.031	-109.6652089
-22.031	-109.6957904
-22.031	-109.6346274
-22.031	-109.6346274
-22.051	-109.5734644
-22.031	-109.6652089
-22.031	-109.6957904
-22.031	-109.6652089
-22.031	-109.6346274
-22.031	-109.542883
-21.99	-109.6346274
-22.031	-107.4939234
-22.01	-104.4969378
-22.031	-101.3470447
-22.01	-98.25831462
-22.031	-95.16958453
-22.031	-91.92794701
-21.848	-88.90037989
-21.686	-85.90339426
-21.423	-82.63117526
-21.018	-79.60360814
-20.593	-76.54545954
-20.087	-73.67079985
-19.317	-70.4903253
-18.932	-67.09578035
-18.062	-64.12937621
-17.454	-60.97948315
-16.766	-57.92133454
-16.057	-54.83260445
-15.186	-51.65212991
-14.377	-49.32793697
-13.749	-45.59699567
-13.02	-42.72233599
-12.311	-39.26662806
-11.42	-36.36138689
-10.671	-33.08916789
-9.74	-30.06160077
-9.031	-27.30926703
-8.444	-23.70065167
-7.613	-20.76482902
-6.844	-18.50179905
-6.034	-14.49562438
-5.325	-11.62096469
-4.637	-8.960375407
-3.665	-5.290597083
-2.774	-2.263029966
-2.207	-0.886863095
-2.126	-0.856281609
-2.167	-0.764537151
-2.167	-0.886863095
-2.146	-0.825700123
-2.146	-0.917444581
-2.106	-0.856281609
-2.167	-1.009189039
-2.106	-0.948026067
-2.126	-0.825700123
-2.106	-0.948026067
-2.146	-0.886863095
-2.146	-0.948026067
-2.146	-0.856281609
-2.146	-0.886863095
-2.126	-0.856281609
-2.146	-0.917444581
-2.167	-0.825700123
-2.126	-0.886863095
-2.126	-0.948026067
-2.146	-0.948026067
-2.106	-0.886863095
-2.146	-0.948026067
-2.106	-0.825700123
-2.146	-0.917444581
-2.146	-0.886863095
-2.146	-0.886863095
-2.126	-0.948026067
-2.126	-0.856281609
-2.106	-0.917444581
-1.701	1.192677955
-1.012	3.027567117
-1.033	3.70035981
-1.033	0.061162972
-1.033	5.076526681
-1.012	2.782915229
-1.053	2.140704022
-1.033	2.171285508
-1.012	2.38535591
-1.033	2.630007799
-1.033	3.058148603
-0.992	4.862456279
-1.012	3.639196838
-1.033	-0.795118637
-1.033	4.434315475
-0.972	-0.244651888
-1.012	1.009189039
-1.033	4.678967363
-1.012	4.678967363
-1.053	1.284422413
-1.053	3.211056033
-1.012	4.373152502
-1.033	4.893037765
-1.012	3.149893061
-1.033	4.31198953
-1.033	2.905241173
-1.012	3.730941296
-1.033	0.061162972
-1.053	5.351760055
-1.053	4.1590821
-0.992	3.822685754
-1.053	5.045945195
-1.033	-0.489303777
-1.012	3.883848726
-1.033	2.415937396
-1.012	-1.009189039
-1.033	3.149893061
-1.033	4.893037765
-1.033	-1.100933497
-1.012	4.617804391
-1.012	-1.804307676
-1.012	2.935822659
-1.033	-0.336396346
-1.012	-0.550466749
-1.012	2.446518883
-1.012	2.171285508
-1.012	6.575019497
-1.033	-0.122325944
-1.033	3.639196838
-0.992	2.905241173
-0.992	5.229434111
-1.053	2.599426313
-1.053	0.15290743
-1.033	3.394544949
-1.053	2.293611452
-1.012	-0.030581486
-1.033	1.345585385
-1.012	1.987796592
-0.992	3.333381977
-0.972	2.018378078
-1.033	-0.397559318
-1.012	5.412923028
-1.012	4.954200737
-1.033	2.07954105
-1.012	3.455707922
-1.012	2.691170771
-1.033	5.565830458
-1.012	-1.253840927
-1.012	1.712563218
-0.992	0.428140804
-1.012	4.036756156
-0.992	0.733955665
-0.405	8.409908659
0.445	9.357934726
1.053	12.72189819
2.187	14.46504289
2.896	14.70969478
3.726	18.47121756
4.536	21.80459954
5.406	25.78019272
6.358	28.77717836
7.107	31.92707142
7.937	32.56928262
8.565	35.87208311
9.517	37.98220565
10.367	43.02815085
11.197	43.91501394
12.23	47.40130335
13.202	51.92736328
13.891	53.79283393
14.741	51.28515207
15.551	61.9580907
16.401	61.31587949
17.292	64.09879472
18.102	63.45658351
18.831	72.23347001
19.52	72.26405149
20.492	78.07453384
21.302	78.34976721
22.172	81.89721959
22.942	87.83002788
23.752	90.46003568
24.521	92.8148101
25.189	94.06865103
26.121	98.9616888
26.91	102.4785597
27.761	105.4143823
28.713	102.2339078
29.603	115.1392949
30.393	112.8762649
31.325	114.9252245
32.094	121.1332662
32.803	122.2341997
33.694	123.4268776
34.524	126.4544447
35.455	129.9713156
35.82	123.7938555
35.881	125.8733965
35.881	121.6531514
35.901	128.3504969
35.921	127.4024708
35.901	128.9009636
35.962	128.7480562
35.921	119.6041919
35.921	120.9497773
35.962	123.0598998
35.941	129.3902674
35.962	128.8092192
35.941	119.8488438
35.941	120.1852401
35.921	125.3229298
35.941	124.6807185
35.982	120.7662883
35.962	124.5278111
35.962	121.2555921
35.921	126.0263039
35.962	122.0507108
35.982	121.0109402
35.982	123.4574591
35.941	122.5400145
35.962	126.0568854
35.962	127.7694486
35.962	119.9405882
35.901	121.0721032
35.921	120.8274513
35.941	122.9375738
35.962	119.0843066
35.962	114.9863875
35.941	104.8944971
35.557	102.7232116
34.828	97.92191827
34.038	95.4448179
33.228	90.82701351
32.357	88.19700571
31.507	84.12966807
30.818	82.63117526
30.049	78.19685978
29.118	74.61882592
28.328	72.11114406
27.457	69.54229924
26.485	65.41379862
25.675	61.52994989
24.764	58.86936061
24.116	58.53296426
23.205	54.34330068
22.476	52.7530634
21.686	46.94258106
20.694	47.064907
20.006	42.38593964
19.135	39.66418738
18.447	38.47150943
17.637	33.4867272
16.948	31.56009358
15.996	29.05241173
15.146	25.168563
14.296	22.87495155
13.486	17.43144704
12.797	15.74946531
11.906	14.12864655
10.894	11.34573132
10.145	8.746305005
9.517	5.412923028
8.585	4.770711821
7.694	-0.122325944
6.824	-2.293611452
5.953	-8.379327173
5.265	-8.318164201
4.374	-10.33654228
3.544	-12.78306116
2.592	-16.78923583
2.349	-18.22656567
2.369	-19.14401026
2.329	-16.17760611
2.349	-17.03388772
2.308	-14.46504289
2.268	-17.89016933
2.288	-15.07667261
2.268	-16.88098029
2.248	-16.11644314
2.248	-14.220391
2.227	-17.92075081
2.248	-15.96353571
2.268	-18.47121756
2.187	-19.54156957
2.207	-16.08586165
2.227	-15.44365045
2.207	-15.1072541
2.248	-18.89935837
2.207	-16.36109503
2.207	-17.21737664
2.227	-15.68830233
2.248	-16.23876908
2.227	-14.37329843
2.227	-18.53238053
2.268	-14.98492816
2.227	-14.220391
2.227	-13.97573912
2.227	-17.5231915
2.187	-16.78923583
2.227	-18.59354351
2.207	-17.98191379
2.207	-18.65470648
2.227	-14.03690209
2.227	-18.71586945
2.227	-14.28155398
2.248	-17.09505069
2.227	-15.81062828
2.207	-16.66690989
2.227	-17.40086555
2.207	-15.44365045
2.227	-16.97272475
2.268	-14.83202073
2.207	-15.26016153
2.227	-18.86877688
2.187	-16.2081876
2.187	-15.68830233
2.187	-15.68830233
2.207	-15.68830233
2.248	-15.62713936
2.227	-15.68830233
2.227	-15.74946531
2.227	-15.71888382
2.187	-15.74946531
2.227	-15.68830233
2.227	-15.78004679
2.227	-15.68830233
2.207	-15.78004679
2.227	-15.81062828
2.207	-15.71888382
2.227	-15.81062828
2.207	-15.74946531
2.187	-15.81062828
2.227	-15.68830233
2.227	-15.68830233
2.207	-15.81062828
2.207	-15.84120976
2.227	-15.74946531
2.227	-15.62713936
2.187	-15.68830233
2.207	-15.68830233
2.227	-15.71888382
2.207	-15.71888382
2.207	-15.68830233
2.227	-15.68830233
2.248	-15.68830233
2.227	-15.44365045
2.207	-15.59655788
2.227	-15.68830233
2.187	-15.59655788
2.227	-15.68830233
2.248	-15.68830233
2.207	-15.68830233
2.187	-15.71888382
2.227	-15.62713936
2.227	-15.78004679
2.207	-15.68830233
2.187	-15.50481342
2.207	-15.5353949
2.207	-15.68830233
2.248	-15.71888382
2.187	-15.68830233
2.207	-15.56597639
2.227	-15.47423193
2.187	-15.47423193
2.187	-15.62713936
2.207	-15.56597639
2.227	-15.62713936
2.187	-15.47423193
2.227	-15.47423193
2.207	-15.68830233
2.207	-15.68830233
2.248	-15.68830233
2.187	-15.59655788
2.227	-15.50481342
2.227	-15.71888382
1.539	-19.08284728
0.729	-22.14099589
-0.04	-25.65786678
-0.81	-28.56310795
-1.62	-30.39799712
-2.45	-33.11974937
-3.179	-37.2176685
-4.009	-38.89965023
-4.839	-41.83547289
-5.71	-45.71932162
-6.378	-48.44107387
-7.33	-51.4380595
-8.099	-54.22097473
-9.071	-57.30970482
-9.78	-60.24552748
-10.732	-64.49635404
-11.623	-66.85112846
-12.352	-71.49951434
-13.101	-73.60963688
-14.012	-76.20906319
-14.943	-81.80547513
-15.672	-83.48745687
-16.503	-86.27037209
-17.434	-90.76585054
-18.386	-94.46621035
-19.277	-97.89133679
-20.208	-101.0718113
-21.099	-103.7629821
-22.031	-105.9954306
-22.881	-111.1637017
-23.853	-114.1606874
-24.805	-117.0659285
-25.736	-119.420703
-26.505	-122.3565256
-27.619	-125.3229298
-28.409	-126.913167
-29.381	-129.0232896
-30.292	-132.0508567
-31.122	-133.7940014
-31.952	-135.3842387
-32.641	-137.6472686
-33.572	-138.8705281
-34.504	-139.7573912
-35.395	-141.6228618
-35.557	-140.6748357
-35.597	-140.1549505
-35.597	-139.6962282
-35.597	-139.5127393
-35.617	-139.2680874
-35.597	-139.054017
-35.597	-138.8093651
-35.617	-138.7176206
-35.638	-138.6258762
-35.597	-138.6258762
-35.597	-138.3812243
-35.597	-138.3200613
-35.597	-138.2588983
-35.597	-138.1059909
-35.597	-138.0754094
-35.617	-137.8919205
-35.638	-137.8919205
-35.678	-137.8001761
-35.638	-137.8919205
-35.597	-137.8919205
-35.617	-137.6778501
-35.597	-137.7084316
-35.678	-137.6472686
-35.638	-137.6472686
-35.597	-137.5861057
-35.638	-137.4637797
-35.617	-137.4637797
-35.617	-137.3414538
-35.638	-137.3414538
-35.617	-137.2802908
-35.638	-137.2191278
-35.638	-137.2497093
-35.638	-137.1579649
-35.597	-137.1579649
-35.597	-137.0356389
-35.617	-137.0356389
-35.617	-137.0356389
-35.597	-136.9744759
-35.678	-136.913313
-35.617	-136.9744759
-35.617	-136.913313
-35.638	-134.4056311
-35.638	-134.4667941
-35.638	-134.4667941
-35.658	-134.3444681
-35.638	-128.1364265
-35.435	-116.2708099
-34.342	-107.7385753
-32.864	-100.2766927
-31.183	-92.90655456
-29.36	-87.03490924
-27.619	-79.35895625
-25.716	-72.66161081
-23.792	-65.10798376
-22.112	-58.53296426
-20.228	-52.01910774
-18.791	-47.064907
-17.11	-40.64279494
-15.308	-34.40417179
-13.789	-28.96066727
-11.683	-22.84437007
-10.043	-18.01249527
-8.504	-11.68212766
-6.763	-6.575019497
-5.811	-3.578033866
-5.751	-6.758508413
-3.867	2.23244848
-1.984	7.981767854
-0.304	13.54759831
1.66	18.13482122
3.118	21.95750697
4.698	27.12577811
6.48	32.07997885
8.039	36.08615352
9.881	41.49907654
11.582	45.87222905
14.842	56.36167876
16.523	61.37704246
18.426	67.61566562
19.459	70.52090679
20.512	74.6494074
21.686	79.0225599
23.266	84.34373847
24.865	89.1144503
26.688	95.47539939
28.389	100.674252
30.049	106.8517122
31.628	111.5306796
33.41	118.0139546
34.99	122.0201293
35.293	124.4054852
35.476	123.3962961
35.516	123.5797851
35.779	123.702111
35.82	123.8244369
35.82	123.640948
35.84	123.3962961
35.82	123.2739702
35.881	123.2433887
35.84	123.2128072
35.881	123.0904813
35.881	122.9987368
35.901	122.8458294
35.921	122.8458294
35.921	122.8152479
35.921	122.6623405
35.941	122.631759
35.921	122.5400145
35.941	122.5400145
35.901	122.4788516
35.941	122.5400145
35.941	122.3871071
35.941	122.3565256
35.962	122.2953626
35.941	122.2341997
35.982	122.1730367
35.962	122.0507108
35.962	122.0812922
35.941	122.0812922
35.962	122.1118737
35.941	122.1424552
35.941	122.0812922
35.962	122.2341997
35.921	122.1730367
35.962	122.1424552
35.982	122.1730367
35.962	122.1118737
35.962	122.1730367
35.921	122.0507108
35.962	122.1118737
35.941	122.1118737
35.962	122.0201293
35.962	122.0201293
35.962	122.0201293
35.962	121.9895478
35.941	119.9711697
35.982	111.1331202
35.476	101.1941373
34.099	93.4876028
32.378	87.15723519
30.94	81.13268244
29.158	73.82370728
27.457	67.73799156
25.655	61.65227584
23.853	55.99470092
21.848	49.14444805
20.107	42.99756936
18.345	37.52348336
16.928	31.28486021
15.267	25.87193718
13.546	21.16238833
11.926	15.29074302
10.185	11.22340537
8.525	5.657574916
6.844	0.611629721
5.062	-3.822685754
3.26	-9.572005128
1.782	-14.64853181
0	-19.02168431
-1.66	-24.40402585
-3.361	-29.51113402
-5.001	-34.49591624
-6.439	-40.21465413
-8.018	-46.26978837
-9.598	-50.82642978
-10.772	-54.9549304
-11.805	-58.86936061
-13.931	-65.9031024
-16.26	-73.42614796
-18.366	-80.00116746
-20.249	-86.36211655
-22.172	-92.29492484
-23.954	-97.95249976
-25.837	-105.016823
-27.72	-110.2768386
-29.644	-115.9038321
-31.345	-122.4788516
-33.005	-128.2281709
-34.828	-133.7328384
-35.779	-135.659472
-35.8	-135.1395868
-35.84	-134.8643534
-35.84	-134.6808645
-35.86	-134.4973756
-35.86	-134.4362126
-35.86	-134.2221422
-35.881	-134.0386533
-35.82	-133.3658606
-35.84	-132.7848123
-35.881	-132.6930679
-35.84	-132.6319049
-35.881	-132.6930679
-35.881	-132.6319049
-35.881	-132.509579
-35.86	-132.5707419
-35.881	-132.5401605
-35.881	-132.448416
-35.881	-132.448416
-35.86	-132.448416
-35.86	-132.387253
-35.881	-132.387253
-35.881	-132.4178345
-35.881	-132.2955086
-35.84	-132.2649271
-35.881	-132.2955086
-35.84	-132.2343456
-35.86	-132.2955086
-35.881	-132.0814382
-35.881	-132.0814382
-35.86	-132.1120197
-35.86	-132.0814382
-35.881	-132.0508567
-35.881	-132.1426011
-35.901	-132.0202752
-35.881	-132.0508567
-35.881	-132.0202752
-35.881	-132.0202752
-35.84	-131.9591122
-35.84	-132.0508567
-35.881	-131.9591122
-35.881	-131.9591122
-35.901	-131.8673678
-35.86	-131.8062048
-35.881	-131.9285307
-35.881	-131.8367863
-35.84	-131.8367863
-35.881	-131.9285307
-35.881	-131.8979493
-35.881	-131.8062048
-35.881	-131.8367863
-35.881	-131.8673678
-35.86	-131.7144603
-35.881	-131.6838789
-35.84	-131.7756233
-35.901	-131.7756233
-35.881	-131.7756233
-35.84	-131.8062048
-35.881	-131.7756233
-35.881	-131.6838789
-35.881	-131.7450418
-35.84	-131.6532974
-35.881	-131.6838789
-35.921	-131.7144603
-35.881	-131.6838789
-35.84	-131.6838789
-35.84	-131.6532974
-35.86	-131.5921344
-35.881	-131.5921344
-35.881	-131.5309714
-35.881	-131.5615529
-35.941	-131.6227159
-35.881	-131.5309714
-35.881	-131.5921344
-35.86	-131.5921344
-35.881	-131.4698084
-35.84	-131.5615529
-35.86	-131.5309714
-35.86	-131.4698084
-35.881	-131.5615529
-35.881	-131.3474825
-35.881	-131.5309714
-35.921	-131.4698084
-35.881	-131.439227
-35.86	-131.439227
-35.881	-131.5309714
-35.881	-131.5003899
-35.84	-131.4698084
-35.881	-131.4698084
-35.881	-131.4086455
-35.84	-131.439227
-35.881	-131.5003899
-35.881	-131.4086455
-35.881	-131.2863195
-35.86	-131.378064
-35.86	-124.3137407
-35.374	-112.5704501
-34.058	-105.4755453
-32.519	-98.0748257
-30.818	-91.22457283
-29.138	-84.55780888
-27.336	-77.86046344
-25.635	-70.97962908
-23.671	-64.34344661
-21.949	-58.31889386
-20.208	-52.63073746
-18.548	-45.9639735
-16.584	-39.81709481
-14.802	-34.03719395
-13.162	-29.72520442
-11.481	-22.81378858
-9.699	-17.33970258
-8.16	-12.20201293
-6.52	-7.003160301
-4.9	-1.376166871
-3.118	3.883848726
-1.519	8.042930826
0.081	13.3641094
1.863	18.1654027
3.604	21.98808846
5.346	26.63647433
6.763	31.62125656
8.423	36.30022392
10.226	40.88744682
11.987	45.71932162
13.729	50.52061492
15.409	56.08644538
16.948	61.37704246
18.811	66.3312432
20.471	71.77474772
22.193	77.46290412
23.873	83.48745687
25.291	88.655728
27.052	94.61911778
28.915	100.8271594
30.616	105.5978713
32.337	111.561261
34.119	117.9833731
35.82	122.0812922
36.346	124.7418815
36.326	124.4360667
36.326	124.1302518
36.367	123.9161814
36.367	123.8855999
36.367	123.7326925
36.367	123.5492036
36.367	123.1822257
36.346	122.5400145
36.367	122.0507108
36.367	121.9895478
36.387	121.9895478
36.326	121.9589663
36.367	121.9283848
36.387	121.9283848
36.367	121.9589663
36.367	121.8366403
36.367	121.7143144
36.367	121.7448959
36.326	121.7143144
36.367	121.7448959
36.326	121.7448959
36.387	121.7143144
36.367	121.7143144
36.367	121.6225699
36.367	121.6531514
36.367	121.6225699
36.367	121.561407
36.407	121.561407
36.367	121.561407
36.407	121.4084995
36.367	121.500244
36.387	121.5308255
36.367	121.439081
36.387	121.3167551
36.326	121.439081
36.387	121.3473366
36.387	121.3167551
36.387	121.3779181
36.367	121.2555921
36.387	121.2861736
36.367	121.2555921
36.367	121.2555921
36.367	121.2861736
36.346	121.2555921
36.367	121.1638477
36.367	121.1332662
36.367	121.1332662
36.326	121.1332662
36.387	121.1944291
36.367	121.1638477
36.367	121.1026847
36.367	121.2250106
36.367	121.1026847
36.387	121.1944291
36.367	121.0721032
36.367	121.1332662
36.387	121.1332662
36.367	120.9803587
36.387	121.0109402
36.346	121.0721032
36.367	121.0415217
36.387	121.1332662
36.367	121.0721032
36.367	121.0109402
36.367	121.0721032
36.387	121.0415217
36.367	120.9497773
36.367	121.0109402
36.367	120.8886143
36.367	121.0415217
36.387	120.8886143
36.367	120.9497773
36.367	120.8274513
36.407	120.9191958
36.387	120.8886143
36.387	120.9191958
36.387	120.8274513
36.326	120.8886143
36.387	120.8274513
36.367	120.8886143
36.367	120.8886143
36.367	120.8274513
36.346	120.8274513
36.326	120.7662883
36.387	120.8274513
36.387	120.8274513
36.387	120.8274513
36.427	120.8580328
36.367	120.8886143
36.387	120.7968698
36.367	120.7662883
36.367	120.7968698
36.367	120.7968698
36.387	120.7662883
36.367	120.7662883
36.346	120.7051254
36.367	120.7051254
36.367	120.7051254
36.367	120.6439624
36.387	120.7662883
36.367	120.7662883
36.346	120.7051254
36.387	120.7051254
36.367	120.7051254
36.367	120.7051254
36.367	120.7357069
36.367	120.7051254
36.367	120.6745439
36.387	120.6439624
36.367	120.6439624
36.367	120.7051254
36.427	120.7051254
36.346	120.6439624
36.387	120.7662883
36.367	120.6745439
36.407	120.7357069
36.346	120.7051254
36.367	120.7051254
36.367	120.7051254
36.367	120.6439624
36.346	120.6133809
36.367	120.6133809
36.367	120.7051254
36.387	120.6133809
36.367	120.6439624
36.346	120.5827994
36.367	120.5827994
36.367	120.5827994
36.367	120.5827994
36.387	120.5827994
36.387	120.4604735
36.387	120.5216364
36.367	120.4604735
36.387	120.491055
36.427	120.5216364
36.367	120.491055
36.326	120.4604735
36.367	120.5522179
36.387	120.4604735
36.367	120.491055
36.367	120.491055
36.387	120.4604735
36.346	120.3993105
36.387	120.5216364
36.346	120.429892
36.367	120.491055
36.346	120.429892
36.326	120.3993105
36.367	120.5216364
36.367	120.5216364
36.387	120.4604735
36.367	120.429892
36.326	120.4604735
36.367	120.429892
36.367	120.3993105
36.387	120.3993105
36.367	120.3381475
36.367	120.429892
36.346	120.3381475
36.367	120.4604735
36.367	120.3993105
36.367	120.368729
36.387	120.2769846
36.367	120.3993105
36.387	120.307566
36.367	120.3993105
36.387	120.3381475
36.367	120.368729
36.346	120.3381475
36.367	120.3381475
36.367	120.3381475
36.407	120.368729
36.387	120.3381475
36.367	120.3381475
36.367	120.3381475
36.367	120.368729
36.407	120.3993105
36.367	120.368729
36.367	120.1852401
36.367	120.2769846
36.407	120.307566
36.346	120.3381475
36.367	120.2464031
36.407	120.2464031
36.367	120.2769846
36.367	120.307566
36.367	120.2769846
36.367	120.3381475
36.367	120.2464031
36.367	120.1852401
36.367	120.2158216
36.367	120.2158216
36.367	120.2464031
36.407	120.1546586
36.407	120.2158216
36.407	120.2158216
36.387	120.2158216
36.367	120.2158216
36.387	120.2158216
36.387	120.1546586
36.367	120.1852401
36.387	120.2769846
36.326	120.2464031
36.367	120.1852401
36.387	120.307566
36.407	120.1852401
36.326	120.1546586
36.367	120.2158216
36.367	120.1240771
36.367	120.1546586
36.367	120.1240771
36.367	120.1852401
36.367	120.1852401
36.367	120.2464031
36.367	120.2158216
36.387	120.1546586
36.346	120.1240771
36.367	120.1546586
36.387	120.2158216
36.407	120.1240771
36.367	120.1546586
36.387	120.2158216
36.367	120.2158216
36.387	120.1240771
36.387	120.0629142
36.387	120.0934956
36.367	120.0934956
36.407	120.0017512
36.367	120.1240771
36.367	120.1546586
36.367	120.0629142
36.387	120.1546586
36.367	120.0323327
36.407	120.1546586
36.407	120.0323327
36.367	120.0934956
36.367	120.0323327
36.367	120.0323327
36.367	120.0934956
36.367	120.0017512
36.387	120.0323327
36.367	120.0934956
36.367	120.1240771
36.367	120.0017512
36.367	119.9711697
36.387	120.1546586
36.407	120.0629142
36.367	120.0017512
36.367	120.0323327
36.367	119.9405882
36.367	119.9405882
36.367	119.8794252
36.367	120.0323327
36.326	120.0017512
36.367	120.0629142
36.387	120.0323327
36.387	119.9711697
36.367	119.9100067
36.367	120.0017512
36.367	119.9711697
36.346	119.9711697
36.346	119.9100067
36.346	119.9711697
36.387	120.0629142
36.367	119.9711697
36.367	119.8794252
36.387	119.9711697
36.367	119.9711697
36.367	120.0629142
36.387	119.9711697
36.367	120.0017512
36.346	120.0017512
36.367	119.9405882
36.367	119.8488438
36.407	119.9405882
36.367	120.0017512
36.407	119.9100067
36.367	119.9711697
36.387	119.9711697
36.387	119.9711697
36.326	119.8182623
36.326	112.9680094
36.205	101.86693
34.747	94.03806955
33.127	87.76886491
31.385	81.04093798
29.765	75.50568901
28.105	69.41997329
26.445	62.72262785
24.663	57.76842711
22.921	51.77445585
21.302	46.26978837
19.823	40.03116521
18.163	35.16870894
16.543	29.75578591
14.964	24.06762951
13.445	19.57215106
11.663	14.70969478
9.861	9.388516212
8.14	5.107108167
6.378	-0.030581486
4.839	-4.740130335
3.037	-9.357934726
1.336	-14.8931837
-0.364	-19.14401026
-1.984	-24.7404222
-3.645	-29.20531916
-5.346	-34.3735903
-6.864	-40.15349116
-8.261	-44.83245852
-10.124	-51.07108167
-11.866	-56.54516767
-13.587	-61.52994989
-15.186	-67.49333967
-16.948	-73.54847391
-18.629	-79.05314139
-20.654	-84.74129779
-22.435	-91.49980621
-24.177	-96.7598218
-26.121	-102.8455375
-27.963	-109.1453236
-29.826	-114.4970837
-31.487	-121.439081
-33.329	-126.5461892
-35.152	-132.387253
-35.86	-134.3444681
-35.901	-133.8857458
-35.921	-133.6716754
-35.921	-133.3658606
-35.921	-133.3352791
-35.881	-133.1212087
-35.901	-132.8765568
-35.901	-132.8459753
-35.941	-132.5401605
-35.881	-131.7144603
-35.901	-131.4086455
-35.901	-131.4086455
-35.921	-131.4086455
-35.941	-131.4086455
-35.881	-131.3474825
-35.881	-131.255738
-35.881	-131.3474825
-35.881	-131.2863195
-35.901	-131.2863195
-35.921	-131.255738
-35.881	-131.2251566
-35.921	-131.1639936
-35.901	-131.1028306
-35.941	-130.9805047
-35.881	-131.0416676
-35.881	-131.0110862
-35.921	-130.9499232
-35.881	-130.9805047
-35.921	-131.0416676
-35.881	-130.9805047
-35.921	-130.8887602
-35.921	-130.8581787
-35.941	-130.8275972
-35.881	-130.7970158
-35.881	-130.9193417
-35.921	-130.8275972
-35.921	-130.7358528
-35.881	-130.7970158
-35.941	-130.7664343
-35.881	-130.8887602
-35.941	-130.7358528
-35.881	-130.7664343
-35.921	-130.7358528
-35.941	-130.7664343
-35.901	-129.7878267
-35.881	-129.6960823
-35.881	-129.7572452
-35.921	-129.6960823
