Kowalsky & Moyer 2001 No.1	
4.779	37.03417958
5.508	39.93942076
6.48	43.05873233
7.371	46.26978837
8.261	49.20561102
9.193	52.38608557
9.355	52.90597083
9.416	52.99771529
9.416	52.99771529
9.436	52.93655232
9.436	52.99771529
9.436	52.93655232
9.476	52.96713381
9.497	52.99771529
9.476	52.93655232
9.497	53.02829678
9.557	52.87538935
9.537	52.99771529
9.537	52.99771529
9.557	52.90597083
9.557	52.96713381
9.557	52.96713381
9.557	52.96713381
9.557	52.99771529
9.537	52.93655232
9.598	52.93655232
9.557	52.93655232
9.557	52.93655232
9.537	52.93655232
9.578	52.93655232
9.578	52.99771529
9.598	52.93655232
9.598	52.99771529
9.598	53.05887826
9.578	52.96713381
9.578	52.93655232
9.598	52.93655232
9.578	53.05887826
9.578	52.93655232
9.557	52.93655232
9.557	53.05887826
9.598	52.96713381
9.578	52.99771529
9.578	52.93655232
9.598	52.93655232
9.578	52.96713381
9.598	53.02829678
9.618	52.87538935
9.598	52.96713381
9.598	53.02829678
9.557	52.96713381
9.598	53.02829678
9.557	52.96713381
9.578	53.05887826
9.578	53.05887826
9.598	52.93655232
9.557	52.90597083
9.578	53.02829678
9.578	52.93655232
9.578	52.99771529
9.578	52.93655232
9.618	52.99771529
9.578	52.99771529
9.578	52.93655232
9.578	52.99771529
9.598	52.99771529
9.618	52.81422638
9.578	52.99771529
9.578	52.99771529
9.598	52.99771529
9.598	52.93655232
9.578	53.12004124
9.598	52.90597083
9.557	53.02829678
9.578	52.93655232
9.557	52.93655232
9.557	52.90597083
9.578	52.99771529
9.618	52.87538935
9.598	52.93655232
9.578	52.93655232
9.598	52.90597083
9.578	52.93655232
9.598	52.99771529
9.578	52.99771529
9.557	52.93655232
9.578	52.90597083
9.578	52.99771529
9.578	52.93655232
9.598	52.99771529
9.557	53.02829678
9.598	52.96713381
9.598	52.99771529
9.578	52.93655232
9.598	52.99771529
9.598	52.99771529
9.578	52.90597083
9.557	53.05887826
9.557	52.96713381
