"Benzoni and Priestley 1994,specimen nr.1"	
-0.02032	-51.90816
0.01651	-45.90336
0.05461	-40.218816
0.07493	-34.912352
0.09271	-29.82384
0.12065	-24.806496
0.14097	-20.273984
0.1651	-15.866016
0.19304	-11.12
0.20574	-6.62752
0.21971	-2.206208
0.2286	2.250688
0.25908	6.970016
0.25019	11.489184
0.25273	16.373088
0.26797	21.514976
0.27813	26.670208
0.29591	32.04784
0.31623	37.05184
0.33909	42.74528
0.3556	47.3712
0.37592	52.264
0.38862	57.24576
0.40005	62.09408
0.4318	67.03136
0.45847	72.01312
0.47371	77.35072
0.4953	82.37696
0.51181	87.35872
0.52578	91.8512
0.54864	97.4112
0.57785	101.72576
0.59182	106.26272
0.60452	111.06656
0.62103	115.51456
0.64643	120.22944
0.66929	124.7664
0.70739	129.25888
0.71882	133.84032
0.73406	138.3328
0.76327	142.86976
0.78486	147.54016
0.80391	152.16608
0.83058	156.48064
0.84836	161.24
0.88646	166.08832
0.91059	170.75872
0.94742	175.11776
0.9652	175.9184
0.96647	171.42592
0.93599	166.88896
0.91186	162.352
0.89027	156.88096
0.8509	151.72128
0.83185	147.18432
0.80264	142.20256
0.77597	136.9984
0.73533	131.57184
0.7112	126.14528
0.66421	120.3184
0.62738	114.35808
0.59944	108.39776
0.56515	103.14912
0.52705	97.94496
0.50546	93.1856
0.46863	86.46912
0.4318	80.15296
0.39624	74.45952
0.37973	69.3888
0.34925	63.20608
0.33147	57.95744
0.31115	53.28704
0.28956	48.21632
0.27686	43.10112
0.27432	38.6976
0.27305	34.076128
0.26797	29.55696
0.25781	25.051136
0.24511	20.580896
0.23495	16.03504
0.21844	11.65376
0.18923	6.858816
0.15494	2.103904
0.13462	-2.406368
0.09017	-6.885504
0.06985	-11.85392
0.04826	-16.586592
0.01905	-21.755168
0	-26.794752
-0.02794	-31.451808
-0.04572	-37.180832
-0.05842	-42.683008
-0.07366	-47.94944
-0.09271	-53.99872
-0.10287	-58.62464
-0.11303	-63.29504
-0.12065	-68.09888
-0.12319	-72.23552
-0.12065	-76.81696
-0.127	-81.26496
-0.15875	-85.75744
-0.18542	-90.5168
-0.20701	-95.00928
-0.22987	-99.6352
-0.254	-104.79488
-0.27305	-109.24288
-0.30226	-114.58048
-0.33909	-119.74016
-0.37846	-125.07776
-0.39243	-129.57024
-0.41402	-134.28512
-0.43688	-138.95552
-0.48895	-143.53696
-0.51181	-148.25184
-0.52705	-152.7888
-0.55626	-157.54816
-0.5842	-162.1296
-0.61976	-166.62208
-0.64897	-171.73728
-0.67437	-176.09632
-0.75057	-180.27744
-0.78486	-184.94784
-0.8128	-189.52928
-0.8255	-189.57376
-0.83185	-185.08128
-0.83439	-180.54432
-0.81788	-175.4736
-0.80264	-170.44736
-0.77724	-165.37664
-0.7493	-159.50528
-0.69469	-153.72288
-0.66802	-147.49568
-0.63246	-141.0016
-0.58547	-134.24064
-0.54229	-127.47968
-0.52197	-122.89824
-0.49657	-118.3168
-0.44577	-113.82432
-0.42164	-109.28736
-0.40005	-104.61696
-0.35814	-97.94496
-0.31877	-93.45248
-0.29083	-88.91552
-0.254	-82.24352
-0.22479	-77.52864
-0.19304	-72.99168
-0.16256	-68.41024
-0.13589	-63.69536
-0.10668	-58.80256
-0.06604	-52.97568
-0.04318	-48.0384
-0.00254	-42.287136
0.02413	-37.776864
0.05969	-31.20272
0.08128	-24.855424
0.11557	-18.788352
0.14097	-13.161632
0.17399	-8.068672
0.19177	-3.2888512
0.20193	1.17872
0.22225	5.724576
0.21844	10.332704
0.2286	15.425664
0.24257	21.052384
0.25908	26.42112
0.27305	32.07008
0.2921	36.891712
0.31496	41.90016
0.33401	47.19328
0.35941	52.9312
0.37592	58.40224
0.38735	63.51744
0.40005	67.96544
0.4318	72.99168
0.45212	77.66208
0.49911	87.6256
0.51435	92.38496
0.54864	97.1888
0.58039	101.77024
0.59563	106.17376
0.62611	110.62176
0.67056	115.4256
0.70358	120.00704
0.73025	125.12224
0.77216	129.79264
0.79375	134.37408
0.82042	138.82208
0.83566	143.84832
0.86614	148.51872
0.88519	153.32256
0.90424	158.03744
0.92964	162.352
0.96266	167.15584
0.98933	171.87072
1.01727	175.4736
1.01346	170.71424
0.98933	165.77696
0.9652	160.3504
0.94107	155.4576
0.90551	150.69824
0.88392	145.98336
0.83947	140.69024
0.81788	136.1088
0.78232	130.94912
0.75438	126.41216
0.71247	121.4304
0.69215	116.40416
0.64008	111.28896
0.60833	106.35168
0.58293	101.14752
0.54737	96.21024
0.51181	91.4064
0.48768	86.55808
0.45847	81.53184
0.43053	76.81696
0.38989	71.8352
0.37211	67.03136
0.35687	62.36096
0.32893	57.51264
0.30861	52.9312
0.28321	47.72704
0.26416	42.83424
0.25527	37.71904
0.24003	33.017504
0.22606	28.160288
0.20574	23.267488
0.19431	18.761664
0.18288	13.83328
0.17272	9.323008
0.16129	4.879456
0.14224	0.284672
0.01524	-22.426816
-0.12065	-44.52448
-0.21717	-67.87648
-0.32512	-93.6304
-0.42799	-117.02688
-0.54356	-140.7792
-0.67437	-159.86112
-0.80264	-176.1408
-0.91948	-190.3744
-0.81788	-167.42272
-0.6858	-146.07232
-0.55245	-126.45664
-0.42291	-107.73056
-0.29083	-88.78208
-0.16256	-69.78912
-0.02921	-47.90496
0.09271	-24.704192
0.19431	-2.393024
0.25019	21.003456
0.34163	44.12416
0.44069	67.6096
0.54102	90.60576
0.65278	113.29056
0.77597	135.84192
0.889	158.1264
1.01727	180.3664
1.14554	195.97888
1.24587	203.76288
1.14046	180.90016
1.01346	161.28448
0.88646	141.40192
0.75819	121.96416
0.63119	105.4176
0.50165	85.53504
0.36957	63.69536
0.26543	40.83264
0.19558	18.263488
0.11938	-3.9862976
0.04826	-26.51008
-0.02413	-49.68416
-0.13589	-72.99168
-0.24384	-95.72096
-0.37846	-114.35808
-0.50673	-132.328
-0.63754	-151.232
-0.76835	-168.66816
-0.89916	-188.19488
-1.02362	-203.45152
-1.15189	-215.5056
-1.22555	-218.8416
-1.14554	-194.46656
-1.01473	-174.8064
-0.87503	-155.36864
-0.74422	-136.776
-0.60833	-119.16192
-0.46863	-101.94816
-0.34036	-85.13472
-0.20828	-66.45312
-0.07874	-47.68256
0.05207	-26.559008
0.17272	-3.9115712
0.24638	19.024096
0.32893	41.85568
0.43307	64.9408
0.53213	87.22528
0.64643	109.50976
0.77851	132.15008
0.90932	154.92384
1.03886	175.82944
1.17094	196.29024
1.30175	215.2832
1.42875	230.09504
1.55702	244.01728
1.60655	246.81952
1.55448	224.1792
1.41859	203.2736
1.28778	185.30368
1.15443	166.8
1.01981	149.27488
0.88773	130.63776
0.75438	113.424
0.6223	97.4112
0.49657	79.08544
0.36703	57.29024
0.26035	33.689152
0.18161	11.413568
0.06731	-10.599584
-0.05715	-33.008608
-0.14351	-56.08928
-0.23114	-79.93056
-0.32131	-102.83776
-0.45085	-123.12064
-0.5842	-136.9984
-0.71882	-153.32256
-0.84836	-169.06848
-0.97663	-183.39104
-1.1049	-199.18144
-1.23317	-213.7264
-1.36271	-227.15936
-1.49225	-237.16736
-1.61925	-243.9728
-1.74752	-249.71072
-1.87706	-256.02688
-2.00533	-261.45344
-2.00914	-260.74176
-1.95072	-238.10144
-1.81991	-220.13152
-1.68402	-203.58496
-1.5494	-188.68416
-1.41732	-173.07168
-1.28016	-159.10496
-1.15824	-147.85152
-1.02997	-135.35264
-0.9017	-122.58688
-0.77089	-108.66464
-0.64262	-96.69952
-0.51181	-82.9552
-0.38227	-69.07744
-0.25527	-54.79936
-0.127	-39.18688
0.00127	-22.66256
-0.12954	-24.557408
-0.27686	-32.385888
-0.4064	-38.16384
-0.53594	-43.221216
-0.40767	-35.76192
-0.2794	-29.659264
-0.1524	-23.445408
-0.08001	-20.158336
-0.08128	-20.385184
-0.08128	-20.77216
0.09779	1.627968
0.1651	25.037792
0.27686	48.57216
0.38608	72.19104
0.52324	96.0768
0.66548	119.29536
0.81788	141.4464
0.98679	164.88736
1.16967	186.46016
1.35636	209.58976
1.53543	231.91872
1.75387	246.06336
1.62687	223.24512
1.47066	200.11552
1.27	177.11936
1.09347	154.83488
0.89535	132.46144
0.6985	110.13248
0.50546	87.80352
0.35814	65.07424
0.25654	42.74528
0.18034	20.354048
0.08128	-2.006048
-0.02159	-24.579648
-0.11684	-47.28224
-0.23495	-70.056
-0.39624	-92.7408
-0.56388	-114.7584
-0.79375	-137.2208
-1.01473	-159.63872
-1.23825	-181.83424
-1.45923	-204.1632
-1.69926	-226.6256
-1.92786	-248.91008
-2.1082	-262.29856
-2.02438	-239.92512
-1.8288	-216.66208
-1.61925	-194.24416
-1.41986	-171.9152
-1.14808	-146.73952
-0.89662	-124.36608
-0.62103	-99.05696
-0.39878	-75.97184
-0.19939	-52.264
-0.05588	-29.325664
0.04572	-6.351744
0.10033	15.937184
0.21336	38.2528
0.32639	60.89312
0.45974	83.80032
0.60071	106.04032
0.77978	128.5472
0.96266	150.83168
1.15443	173.38304
1.3589	196.20128
1.54178	218.75264
1.74879	241.17056
1.9939	263.58848
2.39141	285.784
2.41681	282.8928
2.28092	259.80768
2.09296	235.87744
1.90119	213.37056
1.7018	190.5968
1.49352	168.3568
1.25095	144.69344
1.00584	122.27552
0.76708	99.23488
0.56007	76.86144
0.37338	53.86528
0.26416	31.051488
0.17907	8.375584
0.0508	-14.082368
-0.06223	-36.558112
-0.16002	-59.6032
-0.31496	-81.70976
-0.52451	-104.79488
-0.75692	-127.92448
-0.98933	-150.47584
-1.23698	-173.64992
-1.4859	-196.73504
-1.73609	-219.64224
-1.9812	-242.37152
-2.25044	-264.16672
-2.39141	-272.30656
-2.24409	-248.8656
-2.05486	-226.53664
-1.84023	-204.69696
-1.60909	-182.10112
-1.3589	-158.70464
-1.06299	-133.84032
-0.78867	-110.84416
-0.51181	-86.20224
-0.27051	-62.58336
-0.09652	-39.271392
0.04191	-16.684448
0.10922	5.253088
0.22479	29.032096
0.34544	52.17504
0.48768	75.26016
0.64643	98.65664
0.83312	121.25248
1.03378	143.6704
1.27	165.86592
1.5113	188.1504
1.74625	210.65728
1.97358	232.76384
2.19837	255.22624
2.39649	273.72992
2.25679	251.26752
2.05232	228.49376
1.85547	205.85344
1.63068	183.16864
1.39827	160.39488
1.15189	137.13184
0.90551	114.536
0.64262	89.36032
0.44577	67.43168
0.27305	44.56896
0.17907	21.835232
0.09017	-0.80064
-0.05207	-23.125152
-0.13716	-45.94784
-0.26416	-69.52224
-0.42926	-92.20704
-0.65278	-114.89184
-0.90805	-138.02144
-1.15824	-160.61728
-1.43256	-183.0352
-1.69799	-206.69856
-1.94564	-228.76064
-2.20726	-250.91168
-2.49301	-274.4416
-2.32918	-250.33344
-2.11201	-225.2912
-1.86309	-201.44992
-1.62052	-179.032
-1.34747	-155.59104
-1.07696	-132.68384
-0.81407	-110.66624
-0.53721	-85.93536
-0.28829	-60.9376
-0.08636	-35.859776
0.03048	-13.69984
0.09271	9.18512
0.22225	34.98352
0.35433	59.87008
0.51435	84.7344
0.69215	108.13088
0.89027	130.81568
1.13157	156.1248
1.38557	181.07808
1.63957	206.25376
1.89992	231.87424
2.12598	254.82592
2.34061	277.42176
2.53746	285.07232
2.41554	261.85376
2.21742	238.50176
2.0066	215.5056
1.76911	191.57536
1.5494	168.62368
1.30556	146.29472
1.03505	122.80928
0.77343	100.16896
0.53594	77.08384
0.33909	53.95424
0.22225	31.011456
0.12573	8.74032
0.02159	-13.49968
-0.09906	-36.233408
-0.20701	-58.09088
-0.36957	-81.04256
-0.57404	-104.3056
-0.82169	-127.25728
-1.06807	-149.4528
-1.34112	-172.71584
-1.59639	-194.19968
-1.86055	-216.92896
-2.13233	-239.43584
-2.3876	-261.67584
-2.39522	-262.6544
-2.26441	-240.192
-2.05105	-217.41824
-1.81991	-194.42208
-1.56972	-171.78176
-1.30556	-148.7856
-1.01219	-125.61152
-0.73152	-102.88224
-0.47498	-80.15296
-0.26416	-57.33472
-0.08636	-35.001312
0.03175	-12.6768
0.14986	10.159232
0.25019	33.057536
0.381	56.53408
0.54737	79.66368
0.69977	102.03712
0.90551	124.58848
1.12776	147.27328
1.37668	169.51328
1.62306	191.84224
1.87452	214.1712
2.10185	236.94496
2.3368	259.096
2.55778	281.60288
2.8067	303.97632
3.23977	326.30528
3.65252	327.55072
3.53695	304.2432
3.3147	280.57984
3.08864	258.11744
2.86258	235.92192
2.60985	213.63744
2.3368	191.0416
2.04216	168.5792
1.74879	145.93888
1.42875	123.25408
1.12522	100.7472
0.82677	77.79552
0.57531	55.02176
0.36703	32.110112
0.25527	9.7856
0.11938	-12.641216
-0.00381	-35.299328
-0.1397	-58.13536
-0.31242	-81.176
-0.54483	-104.03872
-0.8001	-126.3232
-1.06807	-149.09696
-1.33731	-171.73728
-1.61036	-194.3776
-1.87706	-217.01792
-2.13868	-239.25792
-2.3876	-262.12064
-2.68986	-284.84992
-3.15595	-307.04544
-3.71475	-319.5888
-3.5941	-294.63552
-3.38328	-271.68384
-3.14198	-248.33184
-2.88544	-225.11328
-2.5654	-198.33632
-2.20726	-171.82624
-1.91262	-151.81024
-1.57353	-129.39232
-1.20142	-104.26112
-0.86741	-81.48736
-0.55753	-57.91296
-0.29972	-35.437216
-0.12065	-12.392128
0.01397	10.145888
0.15621	34.547616
0.3175	57.24576
0.50292	80.24192
0.71247	103.54944
0.97409	127.70208
1.24333	149.27488
1.53162	171.64832
1.85547	194.42208
2.16281	216.79552
2.4638	239.12448
2.74955	261.89824
3.05943	284.18272
3.37058	306.37824
3.56616	319.54432
3.43281	295.3472
3.20294	271.1056
2.96418	247.79808
2.72542	225.64704
2.41681	202.6064
2.1082	179.65472
1.79832	157.32576
1.49479	134.50752
1.17094	111.82272
0.85471	87.04736
0.54737	61.64928
0.30734	37.203072
0.14986	14.504928
0.07493	-6.676448
-0.13081	-30.095168
-0.25654	-52.97568
-0.39751	-76.81696
-0.65024	-99.50176
-1.27762	-145.49408
-1.62687	-169.4688
-1.96723	-193.53248
-2.29362	-217.15136
-2.62255	-240.77024
-2.93243	-263.63296
-3.28168	-285.91744
-3.61188	-305.8
-3.43281	-281.02464
-3.19151	-256.56064
-2.88671	-228.49376
-2.57175	-202.25056
-2.20726	-175.38464
-1.75641	-145.09376
-1.35509	-119.2064
-0.98806	-95.05376
-0.65659	-71.8352
-0.38227	-49.77312
-0.14351	-27.804448
0.0254	-5.902496
0.12319	17.316064
0.26162	39.54272
0.41783	61.8272
0.60706	84.42304
0.83693	107.06336
1.10871	129.48128
1.40335	151.6768
1.72085	174.18368
2.02692	196.6016
2.33807	219.10848
2.63652	241.39296
2.9464	263.67744
3.21183	285.96192
3.51282	308.29088
3.57632	314.20672
3.46202	291.65536
3.24612	267.72512
2.99593	243.88384
2.68732	216.79552
2.37871	193.88832
2.0701	171.15904
1.74879	147.76256
1.41732	124.94432
1.10744	102.57088
0.78867	78.81856
0.50292	55.46656
0.2794	32.110112
0.13589	10.083616
0.01524	-11.916192
-0.14605	-35.285984
-0.26416	-57.11232
-0.46355	-79.44128
-0.73533	-102.0816
-1.04775	-125.30016
-1.36271	-147.54016
-1.7145	-169.82464
-2.03073	-192.06464
-2.37363	-214.52704
-2.68605	-236.856
-3.01117	-259.27392
-3.29184	-281.64736
-3.60299	-301.84128
-3.56743	-278.48928
-3.35534	-254.91488
-3.09753	-231.38496
-2.83591	-208.6112
-2.54127	-184.8144
-2.17551	-159.41632
-1.79324	-134.41856
-1.38684	-109.06496
-0.98298	-84.02272
-0.60452	-58.31328
-0.30988	-35.1392
-0.06096	-11.333504
0.05969	11.128896
0.20574	34.214016
0.37846	56.53408
0.59817	81.26496
0.83185	103.72736
1.11633	127.03488
1.44653	150.87616
1.778	174.22816
2.10439	197.22432
2.43586	220.48736
2.73685	244.28416
3.048	267.94752
3.33375	291.83328
3.63474	314.82944
3.95859	337.33632
4.74472	347.70016
4.64693	324.4816
4.42214	301.66336
4.15798	276.84352
3.91541	254.51456
3.65506	231.87424
3.33883	209.056
3.01625	186.01536
2.66446	163.19712
2.25933	139.75616
1.85293	116.44864
1.45669	93.36352
1.08204	70.7232
0.71882	47.46016
0.42418	24.837632
0.19304	2.686592
-0.0127	-19.673504
-0.18923	-42.273792
-0.38862	-64.89632
-0.68707	-87.89248
-1.03251	-110.7552
-1.40208	-133.70688
-1.74752	-156.65856
-2.10185	-179.6992
-2.4384	-202.29504
-2.76352	-224.97984
-3.08356	-248.55424
-3.40741	-271.41696
-3.75539	-293.87936
-4.28498	-316.16384
-4.76758	-327.3728
-4.7117	-303.62048
-4.46405	-279.20096
-4.15671	-251.40096
-3.80746	-224.22368
-3.4417	-197.7136
-3.05054	-172.44896
-2.65938	-149.2304
-2.2352	-126.14528
-1.79324	-103.77184
-1.36906	-81.57632
-0.9906	-58.84704
-0.635	-36.509184
-0.32385	-14.184672
-0.12573	8.375584
0.08509	31.438464
0.33655	54.39904
0.59055	76.63904
0.91313	99.27936
1.29413	121.25248
1.64846	143.6704
2.00787	165.95488
2.39522	188.77312
2.73304	211.32448
3.10769	234.09824
3.44932	256.6496
3.79984	279.06752
4.13512	301.30752
4.54152	323.68096
4.71678	332.44352
4.572	308.9136
4.32816	285.5616
4.07289	262.92128
3.80873	240.05856
3.50139	216.03936
3.13436	190.24096
2.75082	166.93344
2.35458	143.75936
1.93167	120.40736
1.48844	96.21024
1.0922	73.392
0.70485	48.83904
0.381	26.256544
0.09906	3.918688
-0.13843	-18.107808
-0.33147	-41.29968
-0.52705	-65.11872
-0.83058	-88.38176
-1.21031	-111.15552
-1.60401	-134.19616
-2.00406	-157.0144
-2.39014	-179.9216
-2.77749	-202.56192
-3.16357	-224.89088
-3.53568	-247.44224
-3.91033	-269.86016
-4.32435	-291.96672
-4.74853	-313.45056
-4.57327	-289.60928
-4.32308	-267.05792
-4.05003	-243.88384
-3.72237	-219.19744
-3.38963	-196.02336
-3.03403	-173.2496
-2.64795	-151.0096
-2.2225	-128.14688
-1.78562	-105.4176
-1.35001	-82.11008
-0.95885	-58.4912
-0.59309	-35.285984
-0.26924	-12.267584
-0.05969	10.048032
0.16002	33.079776
0.4064	56.75648
0.84582	93.09664
1.21158	116.93792
1.60274	140.60128
1.99136	163.59744
2.34315	185.61504
2.70891	208.03296
3.08864	230.31744
3.45313	252.69088
3.80238	275.01984
4.1402	297.3488
4.49707	319.72224
4.74599	334.08928
4.65836	311.1376
4.43865	289.07552
4.1783	266.16832
3.91287	243.528
3.61315	220.3984
3.27279	197.09088
2.93624	174.45056
2.55016	151.40992
2.14503	128.63616
1.72847	105.81792
1.29286	83.08864
0.90932	60.22592
0.57023	37.314272
0.27686	14.691744
0.0635	-7.27248
-0.13843	-29.921696
-0.32766	-53.02016
-0.69469	-80.64224
-1.06426	-103.54944
-1.45542	-126.14528
-1.8542	-148.96352
-2.25044	-171.6928
-2.64414	-194.3776
-3.02133	-217.19584
-3.39598	-240.01408
-3.76936	-262.29856
-4.15163	-285.16128
-4.55422	-307.71264
-4.81076	-319.76672
-4.75742	-294.72448
-4.51485	-272.03968
-4.24688	-249.57728
-3.92557	-224.71296
-3.56743	-200.33792
-3.19913	-177.56416
-2.80543	-154.25664
-2.37998	-131.61632
-1.91262	-108.48672
-1.46812	-85.80192
-1.04648	-62.9392
-0.66675	-40.628032
-0.32131	-18.28128
-0.01524	4.132192
0.19304	27.328512
0.42418	50.12896
0.68326	72.7248
0.99949	94.92032
1.39319	117.60512
1.76657	139.8896
2.16535	162.75232
2.54381	185.65952
2.91465	208.12192
