"Petrovski and Ristic 1984, Spec. M2E1"	
606	
0	0
0	0
0	0.19619
0.20015	-2.2416
0	-6.2782
0.20015	1.1918
0.20015	-0.18159
0.20015	1.1918
0.70053	14.962
0.90068	19.979
0.4003	1.4026
-0.80061	-22.032
-0.20015	-0.11271
0.80061	18.402
0.30023	1.5914
-0.90068	-23.413
-0.20015	0.77017
0.70053	17.414
0.20015	-0.77017
-1.0008	-24.794
-0.20015	1.1626
0.70053	18.003
1.5011	30.716
1.5011	31.206
1.6012	31.802
1.6012	32.783
0.4003	0.71581
-1.0008	-25.97
-1.9014	-40.751
-1.6012	-24.935
-0.30023	0.95908
0.80061	19.187
1.6012	32.391
0.30023	-0.27244
-1.1008	-23.329
-1.9014	-39.181
-1.4011	-18.446
-0.30023	0.56675
0.80061	18.893
1.6012	32.293
1.301	20.499
0.4003	1.4025
-1.1008	-22.446
-2.0015	-39.385
-1.5011	-20.023
-0.4003	-0.32342
1.6012	31.704
2.4018	44.611
1.9014	22.602
0.50038	1.5079
-1.0008	-22.439
-2.0015	-39.679
-2.8021	-51.115
-2.602	-38.839
-2.0015	-23.885
-0.50038	0.35594
0.90068	18.704
1.8014	32.111
2.4018	43.142
2.1016	30.465
0.50038	0.91927
-0.10008	-7.5606
-1.7013	-31.123
-2.3017	-40.388
-2.9022	-49.651
-2.5019	-35.693
-1.9014	-20.542
-0.4003	0.55941
0.30023	10.42
1.6012	29.154
2.5019	43.541
2.0015	26.828
0.50038	0.82119
-0.10008	-7.1683
-2.0015	-33.793
-2.9022	-48.966
-2.2017	-26.744
-0.50038	-0.13454
0.10008	8.1491
1.4011	24.038
1.9014	32.413
2.5019	44.228
3.3025	54.193
3.2024	45.163
2.602	28.245
1.8014	15.532
0.80061	2.0202
-0.10008	-8.4436
-1.7013	-30.338
-3.0023	-50.345
-3.7028	-59.913
-3.0023	-34.356
-2.1016	-20.066
-0.50038	0.74832
0.10008	9.2283
1.7013	27.493
2.5019	39.029
3.3025	52.622
2.8021	31.889
2.0015	17.509
0.60046	0.63227
-0.20015	-8.549
-1.6012	-26.505
-2.7021	-41.3
-3.7028	-58.245
-3.4026	-45.274
-2.8021	-30.32
-0.4003	1.4423
1.2009	20.198
2.2017	33.219
3.3025	51.937
2.8021	31.595
0.70053	3.2881
-0.20015	-9.1375
-2.2017	-33.71
-3.7028	-57.462
-3.1024	-35.05
-0.4003	1.7366
1.301	21.774
2.8021	42.582
3.4026	53.908
4.2032	62.008
3.8029	43.145
2.9022	25.814
0.90068	1.3407
-1.301	-23.246
-2.8021	-42.386
-3.8029	-58.352
-4.5034	-67.818
-4.1031	-49.251
-3.3025	-33.102
-0.60046	0.54486
1.1008	17.836
1.9014	27.41
3.0023	42.499
4.2032	60.34
4.003	49.438
3.5027	34.883
2.3017	16.942
0.90068	1.7332
-0.90068	-17.331
-2.7021	-39.73
-3.4026	-48.904
-4.6035	-67.141
-4.1031	-47.583
-3.1024	-30.243
-0.50038	0.45403
0.10008	7.8551
2.602	35.701
4.2032	59.557
3.7028	38.724
2.602	20.299
0.90068	1.8312
-1.0008	-19.3
-2.5019	-34.222
-4.7036	-66.657
-4.003	-43.846
-2.9022	-26.893
-2.1016	-16.437
-0.60046	0.15246
0.70053	13.687
1.7013	24.06
3.3025	44.874
4.3033	59.958
5.204	66.986
2.1016	10.453
-0.30023	-13.657
-2.2017	-33.415
-4.003	-56.697
-4.6035	-66.354
-5.6043	-76.238
-5.1039	-53.735
-3.7028	-31.955
-0.70053	0.34133
1.9014	25.35
3.2024	40.748
4.7036	59.495
5.1039	64.232
4.5034	42.313
4.003	31.976
1.301	1.6643
-0.10008	-11.387
-1.9014	-28.685
-3.5027	-47.342
-5.7043	-75.558
-5.0038	-51.866
-3.5027	-28.212
-0.70053	0.34133
0.20015	9.0397
3.1024	38.19
5.0038	61.87
4.4033	40.246
3.3025	23.391
1.1008	0.86496
-0.4003	-13.861
-2.4018	-33.136
-4.003	-51.301
-5.4041	-70.34
-5.9045	-76.358
-5.204	-52.369
-4.4033	-39.264
-0.70053	0.53752
0.10008	8.1491
2.0015	25.553
3.4026	40.665
4.8036	60.385
5.7043	67.515
4.9037	40.184
3.903	25.102
1.5011	0.59975
-0.30023	-14.834
-2.602	-35.995
-4.2032	-53.574
-5.1039	-65.607
-6.5049	-80.522
-6.2047	-62.546
-5.204	-43.835
-3.0023	-17.679
-1.0008	1.0061
0	8.7305
1.2009	17.647
3.1024	36.424
4.6035	53.797
5.8044	67.72
6.7051	70.335
7.4056	72.052
8.5065	73.703
9.4071	74.85
10.108	74.801
10.408	70.602
9.6073	46.511
8.9068	36.061
5.8044	2.1882
3.4026	-17.998
2.0015	-24.673
0.50038	-29.687
-1.7013	-38.97
-3.5027	-49.108
-5.4041	-65.335
-6.605	-72.978
-7.6058	-77.168
-9.0068	-82.764
-11.008	-85.361
-10.608	-62.084
-9.8074	-49.175
-8.2062	-29.536
-6.7051	-14.222
-4.8036	1.9064
-3.3025	9.7647
-1.1008	18.656
0.80061	24.877
2.4018	31.173
6.0046	48.704
7.6058	57.453
10.308	67.751
10.208	54.891
9.4071	36.98
7.1054	11.21
5.9045	0.9202
4.2032	-10.877
0.10008	-27.558
