"Petrovski and Ristic 1984, Spec. M2E1"	
-3.3025	-39.773
-4.6035	-45.95
-8.1062	-66.025
-11.209	-83.613
-10.708	-60.523
-8.7066	-33.692
-4.7036	0.63819
0.30023	21.21
3.0023	30.923
5.0038	39.212
6.7051	48.557
11.509	69.802
10.808	45.029
9.6073	28.166
6.8052	1.6724
4.2032	-14.506
0	-29.135
-3.5027	-40.279
-6.605	-55.905
-9.3071	-72.092
-11.209	-81.652
-11.108	-65.456
-8.4064	-28.569
-4.5034	0.75086
0.4003	20.335
4.3033	33.863
6.2047	43.126
10.208	63.623
9.8074	45.252
8.6065	27.308
5.8044	1.7958
3.903	-9.3288
-0.10008	-25.512
-4.7036	-43.211
-6.3048	-51.862
-11.309	-81.46
-10.908	-62.302
-8.7066	-32.024
-5.4041	-4.2193
0	18.344
3.5027	30.763
5.8044	40.938
10.208	64.019
9.5072	40.715
5.4041	-0.097163
2.5019	-14.826
-0.30023	-25.527
-4.7036	-41.936
-7.6058	-59.023
-11.309	-81.069
-10.808	-58.37
-6.5049	-11.951
-4.5034	0.26037
-1.8014	11.64
0.10008	18.351
4.9037	37.047
10.308	65.398
12.509	71.051
12.309	54.064
10.708	30.013
7.6058	1.8284
3.7028	-19.055
-0.10008	-30.025
-3.903	-40.504
-8.8067	-65.878
-11.409	-80.193
-13.61	-85.846
-13.61	-67.502
-11.008	-32.879
-6.605	0.79387
-2.4018	16.795
0.30023	23.859
4.3033	34.647
6.5049	42.657
9.3071	55.812
12.61	67.528
12.109	46.204
10.908	30.026
7.7059	1.0517
4.3033	-16.264
1.6012	-25.094
0	-29.429
-3.7028	-38.037
-5.6043	-44.749
-8.6065	-58.032
-13.81	-83.898
-13.31	-61.595
-9.4071	-18.44
-6.7051	-0.68485
-3.4026	12.406
0.4003	23.572
5.4041	37.083
12.71	66.946
12.209	46.898
10.808	28.841
7.7059	1.738
3.0023	-19.989
0.20015	-28.237
-6.2047	-46.364
-9.1069	-60.798
-13.71	-82.91
-13.31	-63.948
-10.508	-28.722
-7.5057	-5.7458
-4.1031	9.2154
-0.10008	21.182
5.8044	37.502
12.71	67.439
14.911	71.034
14.611	48.837
13.71	36.214
9.9075	2.2901
5.304	-19.919
0.20015	-32.455
-3.8029	-40.202
-6.4049	-47.747
-11.609	-71.968
-16.312	-85.944
-15.712	-60.692
-13.81	-36.221
-10.208	-7.6096
-8.7066	1.1308
-4.4033	16.06
0.50038	27.209
4.5034	34.956
6.4049	39.313
8.0061	44.531
11.209	56.439
13.01	62.262
14.911	67.302
14.511	47.36
11.209	11.017
9.9075	1.7997
7.8059	-9.0446
3.2024	-24.978
0.50038	-30.766
-3.3025	-37.813
-5.304	-42.175
-7.5057	-48.615
-9.7074	-58.098
-16.212	-83.684
-15.212	-55.06
-13.01	-29.395
-10.008	-7.3987
-8.6065	0.25479
-6.1046	9.4618
-3.6027	16.708
0.4003	25.926
6.3048	38.031
12.109	58.467
15.212	68.111
20.115	72.297
20.616	69.975
19.915	47.952
19.014	35.915
15.312	2.6839
11.209	-18.114
8.0061	-27.372
2.8021	-36.386
0	-39.337
-4.9037	-45.185
-8.5065	-53.788
-11.108	-62.417
-14.011	-72.929
-17.914	-83.907
-21.616	-85.842
-21.316	-62.573
-20.215	-48.17
-16.713	-11.829
-14.111	0.53979
-10.108	14.76
-5.5042	25.398
-2.3017	30.046
1.2009	33.931
4.3033	37.59
6.0046	39.578
7.906	42.855
9.6073	45.728
11.809	50.501
15.512	58.227
20.516	66.341
20.115	46.786
17.613	18.842
15.312	1.8999
13.01	-9.3502
8.6065	-22.718
6.1046	-28.885
2.9022	-34.711
0	-37.767
-5.7043	-44.068
-8.6065	-48.89
-11.209	-55.852
-21.616	-83.097
-21.316	-60.905
-18.714	-31.58
-16.813	-15.647
-13.61	1.7514
-9.7074	14.201
-6.0046	22.712
0.70053	31.834
6.4049	37.645
8.7066	41.344
11.309	46.542
13.51	51.706
20.516	65.064
19.915	46.382
18.414	26.454
15.111	1.1987
12.71	-9.3715
9.0068	-20.923
2.1016	-34.965
-2.1016	-40.568
-7.2055	-46.924
-9.0068	-50.292
-14.711	-64.25
-21.716	-81.042
-21.316	-61.394
-17.513	-21.487
-14.011	-1.515
-9.6073	12.246
-6.3048	20.532
0.70053	30.853
6.4049	36.958
10.808	44.147
13.911	50.558
20.516	65.166
23.518	68.129
25.519	68.672
31.224	67.506
31.024	46.413
29.822	33.182
28.222	19.036
26.119	3.9713
22.017	-16.144
19.515	-23.978
17.013	-30.048
12.509	-37.246
8.8067	-41.05
3.3025	-44.099
-0.20015	-44.94
-4.7036	-48.116
-8.8067	-51.946
-13.51	-59.744
-18.414	-69.326
-21.216	-75.024
-26.921	-81.127
-32.324	-81.518
-32.824	-70.967
-31.725	-52.155
-28.621	-22.204
-25.119	-0.26727
-21.817	12.43
-17.814	21.651
-13.71	27.74
-4.4033	33.817
0.70053	34.777
4.7036	36.932
7.3055	37.415
11.609	40.968
14.711	44.531
17.413	48.65
20.616	52.912
26.119	58.414
31.425	61.345
30.724	37.759
26.119	3.384
22.317	-10.924
18.014	-20.066
15.512	-24.86
9.8074	-33.617
4.6035	-38.413
0.10008	-41.095
-6.0046	-44.972
-11.709	-49.998
-15.412	-55.078
-21.716	-65.442
-30.122	-75.767
-33.025	-76.078
-32.525	-58.098
-30.823	-39.238
-25.019	-1.0447
-23.118	3.9969
-19.815	11.89
-13.71	21.951
-8.7066	26.635
-4.3033	29.507
-0.60046	31.936
8.3063	38.273
13.81	43.089
20.315	50.332
26.119	55.754
31.524	58.214
31.323	46.435
28.621	18.086
25.819	1.5963
22.917	-8.8204
21.316	-10.9
19.315	-14.38
16.312	-19.112
14.011	-22.616
7.906	-30.028
5.7043	-32.151
3.903	-33.951
-0.10008	-36.793
-3.8029	-39.515
-6.5049	-41.379
-10.408	-44.116
-14.111	-47.525
-17.613	-52
-20.215	-55.816
-24.118	-62.084
-32.426	-73.089
-32.624	-57.418
-30.023	-29.861
-26.119	-5.3445
-24.619	-0.42687
-19.615	9.0601
-14.311	18.571
-9.9075	22.818
-4.8036	26.331
0.30023	29.352
4.4033	31.809
8.1062	33.55
10.208	34.587
13.11	36.563
17.013	40.477
19.115	43.673
21.316	47.267
24.719	51.929
28.423	55.727
31.524	57.529
30.622	33.828
28.423	16.599
26.22	3.1951
23.518	-7.8925
21.316	-10.704
15.812	-18.56
9.7074	-26.561
0	-34.726
-6.1046	-38.996
-14.011	-44.182
-18.914	-51.11
-25.119	-62.062
-29.924	-69.472
-32.824	-72.043
