BRI No. 3 (Japan) ws26bs	
2498	
0	0
0.088745	2.8983
0.1479	8.6949
0.20707	13.622
0.26623	18.55
0.35498	23.477
0.50288	29.273
0.70996	36.519
0.88745	42.606
1.0945	47.245
1.1833	50.429
1.3312	53.908
1.4495	56.23
1.5678	58.837
1.479	54.491
1.3903	49.273
1.272	42.606
1.1833	36.809
0.94661	30.433
0.7987	20.868
0.6508	11.883
0.50288	5.7965
0.3254	-1.739
0.1479	-8.985
0	-15.941
-0.1775	-24.346
-0.41415	-31.882
-0.56205	-39.417
-0.82828	-45.505
-0.94661	-49.851
-1.0354	-53.041
-1.1833	-57.097
-1.1241	-52.169
-1.0649	-47.534
-0.97619	-42.026
-0.85786	-33.911
-0.62121	-25.795
-0.41415	-17.39
-0.29582	-10.434
-0.11833	-2.8983
0	2.3187
0.088745	7.5357
0.29582	14.202
0.4733	21.738
0.68038	28.983
0.94661	37.099
1.2128	44.345
1.4199	51.59
1.8636	59.998
2.0707	65.794
2.3665	70.718
2.6327	74.779
2.8103	78.547
2.8694	79.703
2.7807	72.168
2.4553	62.893
2.2777	57.097
2.0411	49.562
1.6862	41.446
1.3903	32.461
1.0649	24.346
0.76912	14.492
0.62121	7.5357
0.35498	-1.4492
0.20707	-8.985
-0.11833	-20.578
-0.38456	-31.302
-0.70996	-42.606
-0.94661	-50.429
-1.272	-57.676
-1.5678	-65.794
-1.9524	-74.485
-2.3073	-80.864
-2.6623	-86.66
-2.8103	-89.271
-2.8694	-90.139
-2.8103	-84.921
-2.6031	-75.936
-2.3961	-67.822
-2.2482	-61.737
-2.1299	-55.936
-1.8932	-49.273
-1.6566	-42.316
-1.3608	-35.65
-1.1241	-28.114
-0.82828	-19.999
-0.53247	-12.173
-0.26623	-3.7679
0	3.478
0.29582	11.883
0.59163	19.419
0.82828	25.795
1.1833	34.78
1.479	43.186
1.9228	53.908
2.2186	62.893
2.4553	68.689
2.6919	73.618
2.8398	77.675
2.9286	77.675
2.6919	67.822
2.3961	57.387
2.0707	48.401
1.5974	36.519
1.1833	26.665
0.7987	15.361
0.50288	7.5357
0.3254	0.57965
0.11833	-7.8258
-0.38456	-17.97
-0.73953	-27.244
-1.0945	-36.519
-1.479	-45.794
-1.8044	-55.358
-2.1299	-64.344
-2.4257	-71.59
-2.7215	-78.258
-2.8694	-82.314
-2.7215	-77.675
-2.4553	-67.244
-2.2777	-58.258
-1.982	-48.69
-1.5678	-38.838
-1.272	-30.143
-0.94661	-20.288
-0.6508	-12.753
-0.29582	-4.0577
-0.059163	2.6085
0.26623	11.593
0.6508	19.419
0.97619	27.824
1.3903	41.736
1.7454	49.562
2.1003	58.258
2.3961	65.505
2.6623	71.59
2.8398	75.068
2.6327	66.083
2.3073	55.069
1.8932	44.633
1.4495	33.621
1.2128	25.216
0.7987	14.781
0.44373	4.6373
0.29582	-1.1593
-0.059163	-11.593
-0.59163	-24.056
-1.0354	-35.07
-1.3903	-44.345
-1.6862	-52.462
-2.1299	-63.765
-2.4257	-71.59
-2.6919	-78.258
-2.8398	-81.153
-2.6031	-71.301
-2.4257	-62.604
-2.0707	-53.041
-1.7454	-43.186
-1.5678	-37.389
-1.2424	-29.563
-0.85786	-19.999
-0.56205	-12.463
-0.35498	-6.9561
-0.11833	-0.28983
0	3.7679
0.35498	12.463
0.76912	22.317
1.0945	31.882
1.4199	40.577
1.7454	49.273
2.1003	56.23
2.3961	63.765
2.6623	71.301
2.8103	75.068
2.8103	75.357
2.5735	65.505
2.4257	57.676
2.189	48.984
1.7454	38.838
1.3608	28.983
0.94661	18.839
0.56205	8.4054
0.29582	-1.1593
-0.088745	-12.463
-0.53247	-22.897
-0.94661	-33.041
-1.3608	-43.186
-1.8044	-54.197
-2.2777	-64.922
-2.4553	-70.429
-2.6919	-75.357
-2.6327	-71.59
-2.3073	-63.472
-2.189	-56.808
-1.9524	-47.823
-1.6566	-39.417
-1.3903	-31.882
-0.97619	-21.448
-0.6508	-13.622
-0.29582	-5.5069
-0.059163	2.0288
0.20707	8.985
0.59163	18.26
0.82828	25.795
1.1241	32.751
1.479	42.316
1.8044	50.429
2.2482	59.704
2.5441	66.661
2.7807	72.751
2.8398	73.907
2.6327	63.765
2.2777	52.462
1.8932	42.316
1.5678	34.201
1.0649	19.999
0.68038	8.985
0.3254	-1.1593
0.088745	-8.4054
-0.38456	-18.55
-0.85786	-31.882
-1.3312	-44.055
-1.6862	-52.169
-1.982	-59.998
-2.3369	-67.822
-2.5441	-75.068
-2.7511	-78.836
-2.5145	-69.85
-2.2482	-59.998
-2.0707	-51.88
-1.834	-44.633
-1.479	-36.229
-1.1833	-28.983
-0.85786	-18.55
-0.4733	-8.985
-0.1479	-1.739
0.1479	8.1153
0.50288	17.1
0.88745	26.954
1.3608	39.128
1.6862	47.823
2.1003	58.837
2.5441	66.95
2.7215	71.301
2.7807	69.561
2.5441	59.998
2.1595	49.273
1.7158	38.258
1.2424	26.665
0.73953	12.753
0.35498	0.86949
0.1479	-4.6373
-0.3254	-16.521
-0.7987	-28.983
-1.2424	-39.708
-1.6862	-50.429
-2.1299	-62.315
-2.5145	-71.301
-2.7511	-77.386
-2.6031	-71.301
-2.3073	-61.154
-2.0116	-51.301
-1.6862	-42.316
-1.1537	-27.534
-0.7987	-17.1
-0.44373	-8.4054
-0.1479	0.57965
0.1775	8.4054
0.56205	18.55
0.82828	25.795
1.1833	35.07
1.627	45.216
1.9228	52.462
2.2777	62.026
2.6031	69.561
2.8103	71.879
2.6623	63.765
2.3073	52.169
1.834	41.446
1.479	31.882
1.0945	22.317
