"Soderstrom, 2001,C2"	
9075	
0.081483571	0.011352623
0.206008577	-0.238446674
0.015906173	-0.204388804
-0.274246638	-1.612460631
-0.497468003	-2.872920631
-0.261274409	-1.351280987
-0.021952393	-0.238446674
0.101047518	1.351322572
0.318955122	2.963755479
0.361708968	4.144719394
0.245992543	2.668517966
0.213845273	1.476215289
0.095685499	0.272532267
-0.161433751	-0.85165467
-0.367931908	-2.078029078
-0.556703009	-3.417957441
-0.464862335	-2.168863926
-0.194763341	-0.885726401
0.044239759	0.30661786
-0.449485799	1.646560085
0.455596378	3.179510768
0.292535343	1.862287651
0.127271899	0.30661786
-0.206965041	-1.362647472
-0.049475827	-2.543597525
-0.666574382	-4.20148251
-0.804748154	-5.314316823
-0.971722393	-6.461195145
-1.031238342	-5.325669447
-0.768921093	-4.110647662
-0.639953435	-2.600388365
-0.135815732	-1.305856633
-0.41702058	0.102215194
0.164415081	1.362647472
0.423394983	2.884287116
0.436648059	4.303697705
0.570978705	6.075150507
0.947098479	7.335596646
0.492950086	5.496014243
0.769087832	4.212862856
0.628827555	2.850215385
0.445712851	1.657884985
0.313584472	0.124920441
-0.046807501	-0.442849339
-0.07437075	-0.556417157
-0.085879762	-1.271798763
-0.396195411	-2.395985699
-0.552827823	-3.168158145
-0.641485906	-3.928964105
-0.800826411	-4.610287841
-0.941132274	-5.90479185
-0.931350253	-6.574762963
-0.861734382	-5.643626068
-0.898145932	-4.814690506
-0.82403993	-3.894906235
-0.629813603	-2.725281082
-0.47016184	-1.953108637
-0.227088891	-1.067382236
-0.150624993	-0.340661868
0.271617207	0.476934932
0.131630212	1.237727031
0.284706993	2.384646937
0.464382068	3.259006854
0.538068617	4.22421548
0.912841909	4.996387925
0.762364929	5.734488639
0.86388704	6.506647223
0.453355993	5.155352375
0.744271667	4.405899037
0.803242022	3.497467389
0.020941804	2.259726497
0.253797132	1.271812624
0.171558263	0.158992172
-0.105957198	-0.522345425
-0.167402228	-1.271798763
-0.365301605	-2.191583034
-0.492790916	-3.270345616
-0.527022896	-4.00844633
-0.909834288	-4.70113655
-0.653165726	-5.575482605
-1.058661142	-6.27952545
-1.178298435	-7.710302523
-1.199565803	-8.630086794
-1.220560855	-9.470388841
-1.786984245	-10.87846067
-1.540650038	-11.68469098
-1.59714659	-10.54915142
-1.48224046	-9.618014528
-1.407511947	-8.516532838
-1.270038478	-7.60810119
-1.281252383	-6.915424831
-0.984368232	-5.745827401
-1.097220934	-4.315050328
-0.771808437	-3.190835668
-0.642428065	-2.441396192
-0.528222236	-1.714661963
-0.192825676	-0.760805961
-0.122400385	-0.03405787
0.015626153	0.726761952
0.270162479	1.782819288
0.379583117	2.452776539
0.593008111	3.611021345
0.761991113	4.962316194
1.154678417	6.234114956
1.011360722	7.085783488
1.059343895	8.062344737
1.239400404	9.266013899
1.408741169	10.07224421
1.692692911	11.35540946
1.366812846	10.41289222
1.450630645	9.742934969
1.430171731	8.664186248
1.227579214	7.869308556
1.417541166	7.063078241
1.091233113	6.245481441
1.113504423	5.473308996
0.933401455	4.723841797
0.85138839	3.985754945
0.381007389	2.918344986
0.492505122	2.100762048
0.401169355	0.999280357
0.242357468	0.204388804
0.040364621	-0.556403295
0.061149923	-0.658604628
-0.174219022	-1.498906675
-0.414272573	-2.384619214
-0.6480541	-3.202229876
-0.782048948	-4.417251661
-0.908651001	-5.677683938
-0.884713561	-7.063050518
-1.279228536	-8.527913184
-1.518970833	-9.322777015
-1.440210537	-10.12899347
-1.647245801	-11.07149685
-1.806702994	-11.78687845
-1.512573493	-10.980662
-1.738052123	-10.69676325
-1.559934202	-9.822417194
-1.446771069	-8.959382177
-1.362175226	-8.062330876
-1.203994149	-7.278778084
-1.012250254	-6.393079406
-0.981761643	-4.98502144
-0.885477298	-4.20148251
-0.384981506	-3.088662058
-0.498075192	-2.168863926
-0.318097396	-1.192302677
-0.144508405	-0.317928898
-0.083662219	0.624546758
0.168555013	1.476215289
0.254863638	2.282445605
0.573849168	3.474762143
0.604720135	4.598949079
0.98199943	5.961596551
1.159651439	7.426445356
1.35112394	8.823164559
1.519421964	9.493107949
1.545756291	11.06015809
1.386492699	9.515827057
1.336494121	8.686877634
1.116369068	7.721669008
1.016784573	6.824603845
0.997057336	5.972935313
1.147534268	5.23484846
0.800012921	4.439970768
0.665005687	3.747280548
0.6130305	3.05461805
0.507181597	1.782791564
0.357816759	0.874359917
0.081055629	-0.136259202
-0.055982237	-0.476907209
-0.007244688	-0.35200063
-0.099077842	-1.158258668
-0.305840698	-2.0212521
-0.403945878	-2.895612016
-0.673422505	-3.997093706
-0.822156389	-4.667064819
-0.878916719	-5.37107994
-0.979893281	-6.642892564
-1.241004495	-7.505899857
-1.26141598	-8.17587097
-1.415379192	-9.050244748
-1.465058076	-9.890546795
-1.584532127	-10.83303631
-1.726495727	-11.73011534
-1.617043808	-12.83158317
-1.731288627	-13.56969774
-1.932907607	-14.69387082
-2.203154759	-15.57961108
-2.460974263	-16.36312229
-2.206826933	-17.53271972
-2.496271877	-18.29353954
-2.64091229	-19.53128043
-2.533320196	-20.73494959
-3.057776273	-21.79099307
-3.547004086	-22.69942471
-3.434221655	-23.71007156
-3.649497937	-24.41410054
-3.619825342	-25.4474249
-4.040962138	-26.3104322
-4.283918354	-27.16208687
-4.437764881	-28.00240278
-4.287078154	-26.32179868
-4.347294309	-25.39064793
-4.196583961	-24.58443147
-4.2274236	-23.89174125
-4.159706402	-23.07414445
-4.014373347	-22.07487796
-4.012848399	-21.18913769
-3.633087826	-20.06499234
-3.96713878	-19.30417252
-3.530477242	-18.31624479
-3.681390649	-17.41916576
-3.738743131	-16.53345322
-3.398467442	-15.47740975
-3.383705613	-14.69388468
-3.235625473	-13.77408655
-3.133185743	-12.95648974
-3.565093326	-12.11620156
-2.950795835	-11.27588565
-2.948150398	-10.50374093
-2.57865377	-9.731568484
-2.518329321	-8.868547329
-2.04818266	-7.801151232
-2.495342574	-7.00627354
-2.138226991	-5.882086603
-1.983330059	-4.735180559
-1.670773199	-3.838115396
-1.493581336	-2.793424545
-1.324980687	-1.612474492
-1.231949114	-0.897065163
-0.603177477	0.238474397
-0.463337529	1.283165247
-0.289701202	2.157539025
-0.106656625	2.929697609
0.077080591	3.94033059
0.217659691	4.769280013
0.382471478	5.575496467
0.510350662	6.586143309
0.810799712	7.460517087
0.828745009	8.391653982
0.994482856	9.368215231
1.161100394	10.96929552
1.363724146	12.19569765
1.460950648	12.89972663
1.845661541	14.29645969
1.727082268	14.97778343
1.951728781	16.38584139
2.035088278	17.6122158
2.513437934	18.99759624
2.412702404	19.75841607
2.405333419	20.58733777
2.636718934	21.79099307
2.435800158	22.7107912
2.728654276	24.03939466
2.825289598	25.35661778
3.473617806	26.48079085
3.735780348	27.51412908
3.946458349	28.5928778
4.144708704	29.77385558
4.098088114	30.60279114
4.432745381	29.86471815
4.057357239	28.83136606
4.179228224	28.07054624
4.144637605	27.15076197
3.505398824	26.45807175
4.651405615	25.96978419
3.406701541	25.74269014
4.590209135	25.76540925
3.989218014	24.92509334
3.892886337	23.95988471
3.553776862	22.47233066
3.508423994	21.60932337
3.586592184	20.8257983
3.689109656	19.98551012
3.27284355	18.98622976
3.255567275	17.41917962
3.098420642	16.57887757
2.877517453	15.84079072
2.99064164	14.98912219
2.773504563	13.59243071
2.422434468	12.07079107
2.494486166	11.30997124
2.232634834	10.18579817
2.106919072	9.424978347
1.964518994	8.686891495
1.819574111	7.369654516
1.829581064	6.21140971
0.911137804	5.05313718
1.260627127	3.951683213
1.059972226	3.031898942
0.703859664	2.100762048
0.689089346	1.124200798
0.553078217	0.28388489
0.481306492	-0.522345425
0.43062376	-1.215007923
-0.545918012	-2.032618585
-0.45546936	-2.952388994
-0.725521941	-3.781338418
-0.94030006	-4.780604913
-1.216819284	-5.734460916
-1.403839724	-6.563410339
-1.640484927	-7.335582785
-1.824143431	-8.505180214
-1.869915754	-9.527165819
-2.295931776	-10.49238831
-2.245901867	-11.75283445
-2.405094264	-12.8315693
-2.673092544	-13.50155428
-2.838790572	-14.71657606
-3.307847933	-15.4660294
-3.163977171	-16.2154966
-3.21556239	-17.6122158
-3.495303056	-19.06569812
-3.588412324	-19.80378497
-3.817470256	-20.5646048
-3.742850082	-21.25730888
-3.825866026	-22.57450427
-4.009983896	-23.43753929
-4.30275935	-24.2891801
-4.183440053	-25.59506445
-4.624171299	-26.88956846
-4.524439665	-25.98112295
-4.461523901	-25.2430361
-4.396164695	-24.23240312
-4.126415755	-23.05143921
-4.132283649	-22.12030231
-4.008047105	-21.10966933
-3.940789179	-19.98548239
-3.789145063	-18.90671981
-3.34512972	-17.97558292
-3.579697731	-17.26018745
