"Petrovski and Ristic 1984, Spec. M2E2"	
-22.517	-70.246
-20.716	-45.105
-14.911	-8.1687
-11.309	6.1194
-8.0061	11.738
-0.70053	18.157
2.7021	22.708
6.2047	30.805
9.7074	41.746
11.809	48.29
16.412	59.468
22.417	65.82
22.317	41.87
17.113	-4.5056
14.311	-19.279
11.108	-33.025
8.6065	-39.424
2.602	-47.249
0	-50.616
-4.2032	-57.72
-6.7051	-63.338
-12.91	-76.781
-16.012	-81.585
-18.514	-84.65
-22.717	-87.239
-22.517	-67.502
-18.114	-24.664
-15.011	-9.5557
-11.309	4.4513
-8.2062	10.241
-0.30023	17.521
5.304	26.962
9.1069	37.844
11.809	45.839
16.513	57.324
22.617	64.277
22.517	45.719
20.115	15.885
17.613	-1.892
11.209	-31.835
7.6058	-40.139
0	-48.948
-9.6073	-67.724
-14.511	-77.275
-22.717	-85.868
-22.617	-68.885
-18.614	-27.67
-15.612	-13.455
-11.509	2.7578
-4.6035	12.758
-1.5011	15.309
2.4018	19.237
5.4041	25.308
7.906	32.1
12.009	44.785
14.811	51.515
17.613	57.858
22.217	64.521
26.02	64.513
28.423	62.947
29.924	62.253
31.725	60.22
35.728	56.123
35.928	52.324
35.326	24.789
34.026	13.638
31.024	-7.1452
26.82	-26.714
23.818	-38.179
18.814	-49.896
14.211	-53.134
9.5072	-54.811
2.2017	-58.285
-4.1031	-64.771
-12.109	-74.223
-17.914	-79.863
-24.118	-83.195
-27.722	-82.479
-29.121	-81.967
-30.724	-81.678
-35.827	-78.111
-36.027	-70.882
-34.526	-42.053
-31.224	-16.521
-28.923	-5.0447
-20.015	17.077
-14.211	20.759
-8.3063	21.804
-0.10008	22.746
5.6043	26.705
11.108	33.878
17.413	44.195
25.618	52.587
35.626	51.991
36.027	43.025
33.927	10.485
32.024	-2.607
28.321	-21.517
23.818	-34.156
17.814	-46.884
13.01	-51.026
7.7059	-52.685
-0.4003	-55.572
-5.0038	-59.197
-12.409	-67.786
-18.014	-72.906
-24.118	-75.638
-30.924	-77.181
-35.728	-75.353
