BRI No. 2 (Japan) spbaa1	
-0.90277	-33.166
-1.5246	-42.785
-1.9059	-49.42
-2.4475	-58.703
-2.8487	-68.987
-3.3503	-80.264
-3.7515	-89.552
-4.3332	-100.16
-4.6142	-104.8
-4.7746	-106.13
-4.6342	-97.509
-4.4135	-86.562
-4.0123	-73.961
-3.6913	-62.351
-3.3503	-50.412
-2.9089	-39.136
-2.3071	-27.196
-1.8256	-17.247
-1.4042	-9.2866
-1.0031	-2.6533
-0.40123	4.9749
-0.060184	10.945
0.40123	20.563
0.82252	30.513
1.2037	38.473
1.6852	48.09
2.2268	59.037
2.628	68.325
3.2098	80.593
3.7113	89.881
4.1126	96.513
4.3132	98.835
4.3934	98.172
4.3533	93.528
4.1126	79.93
3.8117	68.325
3.5309	57.378
3.2098	47.098
2.8688	35.82
2.3873	22.885
1.9459	12.935
1.5848	4.3117
1.2037	-2.985
0.7824	-10.282
0.42128	-15.257
0.12037	-19.236
-0.56172	-28.191
-0.90277	-33.498
-1.3241	-40.131
-1.8457	-47.761
-2.3271	-57.378
-2.8086	-68.325
-3.2098	-77.608
-3.5911	-84.574
-4.0123	-93.199
-4.3533	-100.83
-4.5941	-105.8
-4.7746	-106.13
-4.6944	-99.831
-4.4938	-88.555
-4.1727	-78.271
-3.8518	-66.666
-3.5509	-55.056
-3.2098	-45.105
-2.6079	-31.84
-2.1265	-22.553
-1.5447	-12.935
-1.0231	-4.6435
-0.54166	2.3217
0	11.608
0.34105	18.242
0.72221	26.201
1.1234	35.82
1.5648	44.776
1.926	53.067
2.2669	62.022
2.6481	69.979
3.0693	78.605
3.4707	85.57
3.8117	88.884
3.8919	90.214
3.8317	85.237
3.7314	78.605
3.5911	70.647
3.3503	62.351
3.1897	55.056
2.8688	43.78
2.4074	31.508
2.0262	20.895
1.7253	13.266
1.284	1.6583
1.0031	-2.985
0.64196	-7.6283
0.22068	-14.261
-0.16049	-20.231
-0.48147	-23.88
-1.0833	-33.166
-1.6049	-42.453
-1.986	-50.745
-2.4676	-60.696
-2.8287	-68.325
-3.2299	-77.279
-3.6511	-86.233
-3.912	-90.544
-4.3132	-98.835
-4.5138	-103.48
-4.6744	-105.8
-4.6342	-98.172
-4.5339	-90.877
-4.2931	-79.93
-3.9922	-68.654
-3.4105	-50.083
-2.8889	-38.473
-2.3873	-28.855
-1.9059	-19.568
-1.4243	-11.608
-0.60184	0.99498
-0.5216	2.985
-0.060184	11.277
0.3611	20.563
0.82252	29.85
1.304	39.136
1.6852	47.427
2.0864	55.389
2.3673	60.696
2.628	66.995
2.8086	69.979
2.9691	71.639
2.9691	68.325
2.8287	57.711
2.5879	47.761
2.3472	38.141
1.986	28.191
1.6852	20.895
1.3642	13.266
0.98301	4.3117
0.68209	-0.99498
0.22068	-9.9498
-0.3611	-18.905
-0.58177	-23.548
-0.92282	-29.518
-1.2237	-36.152
-1.5046	-40.131
-1.7454	-44.443
-2.0061	-50.412
-2.1064	-53.73
-2.3472	-57.711
-2.5076	-61.025
-2.3673	-53.067
-2.1265	-45.439
-1.8056	-34.825
-1.4644	-25.206
-1.1636	-15.92
-0.82252	-7.2964
-0.48147	1.6583
-0.10031	9.2866
0.22068	16.252
0.50154	23.217
0.96295	32.835
1.4243	42.453
1.966	53.73
2.4074	63.018
2.8086	71.639
3.3904	82.252
3.8117	90.544
4.2931	98.835
4.554	104.14
4.8749	106.8
5.256	109.12
5.5771	110.77
5.7577	110.77
5.898	110.77
5.898	107.79
5.8579	103.15
5.6975	96.513
5.6172	89.552
5.4767	82.915
5.2761	74.957
4.9953	66.003
4.7344	56.715
4.4135	47.098
4.1126	38.473
3.7113	28.191
3.4305	20.895
3.0293	12.935
2.7083	4.9749
2.2669	-1.3266
1.8457	-6.3018
1.3642	-11.94
0.90277	-16.915
0.48147	-20.895
0.38117	-23.217
0.060184	-25.87
-0.46142	-31.508
-0.80245	-34.825
-1.1836	-38.473
-1.5648	-44.111
-1.8858	-49.42
-2.1666	-54.726
-2.5076	-62.351
-2.8889	-69.979
-3.3503	-80.264
-3.7314	-89.552
-4.0725	-96.513
-4.4536	-103.48
-4.7344	-108.12
-4.9351	-111.11
-5.3162	-114.43
-5.6373	-117.41
-5.8579	-117.74
-6.2391	-119.07
-6.3194	-119.07
-6.3194	-112.77
-6.2391	-104.14
-6.1187	-95.521
-5.9783	-90.544
-5.7376	-80.927
-5.5169	-71.639
-5.216	-64.344
-4.895	-55.389
-4.6744	-48.09
-4.2931	-39.8
-3.9521	-33.498
-3.4707	-25.206
-2.9089	-18.573
-2.3472	-12.935
-1.8457	-7.6283
-1.4845	-2.985
-0.82252	3.98
-0.50154	9.2866
0.060184	16.252
0.56172	23.217
1.1034	32.503
1.7052	44.111
2.1867	53.067
2.8487	63.681
3.4707	74.294
3.912	81.923
4.5339	91.54
4.915	99.169
5.3564	104.48
5.6573	107.79
5.898	109.12
6.0987	109.12
6.2993	109.45
6.4798	110.11
6.5601	110.11
6.5801	106.8
6.5801	99.498
6.4798	92.866
6.2993	82.915
6.1187	74.623
5.8579	64.344
5.5169	54.059
5.2361	45.105
4.8348	36.483
4.554	28.855
4.0926	19.9
3.7916	13.266
3.3904	6.6332
3.0493	1.6583
2.6079	-4.3117
2.1867	-8.2915
1.7454	-12.935
1.3642	-15.92
0.8827	-20.563
0.30093	-25.538
0.060184	-26.865
-0.32098	-29.85
-0.68209	-33.83
-1.1034	-39.136
-1.7052	-46.435
-2.1666	-54.726
-2.5477	-60.696
-2.8889	-66.003
-3.3703	-73.961
-3.8518	-83.911
-4.3934	-93.199
-4.6744	-98.506
-5.1558	-105.14
-5.557	-109.78
-5.8579	-113.1
-6.1789	-115.42
-6.2793	-115.75
-6.2191	-110.44
-6.0987	-102.15
-5.9783	-94.191
-5.8378	-85.57
-5.557	-73.961
-5.3162	-64.673
-5.1157	-57.711
-4.7545	-49.42
-4.3934	-40.463
-3.9521	-33.498
-3.3904	-25.538
-2.8487	-17.578
-2.1466	-9.9498
-1.3642	-1.99
-0.66203	4.9749
-0.32098	9.9498
0.14042	16.583
0.74228	24.543
1.5046	35.157
2.0061	43.78
2.5076	52.071
2.929	60.033
3.3101	66.666
3.6712	72.301
4.3934	82.915
4.8749	88.555
5.2962	95.85
5.7577	100.49
5.9983	103.81
6.1589	104.48
6.2592	104.48
6.2191	101.16
6.1187	94.191
5.9582	85.9
5.7376	75.62
5.4165	64.01
5.1358	54.726
4.8548	46.101
4.4536	36.152
3.9922	25.87
3.6311	18.905
3.1697	11.94
2.7083	4.9749
2.1466	-2.3217
1.5447	-8.6233
0.66203	-16.583
0.26079	-20.231
-0.020061	-22.885
-0.44135	-27.196
-0.84258	-31.84
-1.3842	-38.141
-1.8858	-45.439
-2.4275	-54.059
-3.0293	-62.351
-3.2299	-67.328
-3.611	-73.631
-3.9521	-79.601
-4.2931	-87.23
-4.6744	-93.528
-4.9752	-98.172
-5.3564	-102.82
-5.7777	-107.79
-5.9783	-110.44
-6.1789	-110.44
-6.1589	-106.13
-6.1388	-100.16
-6.0585	-94.525
-5.898	-85.9
-5.6373	-76.283
-5.5169	-71.639
-5.256	-63.347
-5.0555	-57.048
-4.7344	-48.753
-4.253	-38.805
-3.8919	-32.171
-3.4907	-25.538
-3.1095	-20.563
-3.0093	-19.236
-2.5678	-14.593
-2.0663	-8.2915
-1.4243	-1.6583
-1.0633	1.99
-0.80245	5.6381
-0.12037	12.272
0.40123	21.558
1.0833	30.845
1.7654	40.463
2.4475	49.42
2.8487	56.715
3.3503	65.006
3.8117	71.972
4.3132	79.93
4.8348	88.222
5.2361	92.866
5.7376	98.835
5.9381	100.49
6.0184	100.83
5.9983	97.509
5.8779	89.881
5.7175	80.593
5.4767	69.979
5.1358	58.703
4.7545	48.09
4.4536	40.463
4.253	34.161
3.8518	24.875
3.5108	17.247
3.0093	9.9498
2.628	4.3117
2.1265	-2.985
1.645	-8.9552
0.92282	-16.252
0.48147	-18.905
0.14042	-22.553
-0.10031	-25.538
-0.66203	-31.84
-1.0031	-36.152
-1.625	-41.79
-2.5477	-53.73
-2.8487	-58.703
-3.3503	-67.657
-3.8718	-75.286
-4.253	-83.578
-4.895	-93.199
-5.216	-97.843
-5.5771	-102.48
-5.9983	-107.46
-6.1388	-107.13
-6.0987	-101.16
-5.9783	-92.866
-5.6975	-81.589
-5.4366	-69.317
-5.1558	-58.703
-4.8548	-51.408
-4.4536	-42.785
-3.7314	-30.182
-3.0894	-20.231
-2.5277	-14.261
-1.9459	-7.6283
-1.284	-1.3266
-0.70214	4.6435
-0.080245	12.603
0.54166	19.9
1.0231	26.201
1.645	36.815
2.287	46.101
2.8086	54.393
3.2499	62.351
3.5509	67.991
3.9722	74.957
4.4536	81.589
4.895	88.555
5.3162	94.191
5.7376	98.835
5.9381	99.831
6.0585	100.83
6.0385	99.169
5.8579	90.877
5.7175	83.248
5.4767	72.635
5.196	61.025
4.8348	50.412
4.253	35.82
3.7314	22.553
3.1496	12.272
2.628	3.6483
2.1466	-1.6583
1.5648	-9.6184
1.0231	-15.588
0.76233	-17.578
0.28086	-20.231
-0.16049	-24.875
-0.64196	-29.85
-1.0432	-34.825
-1.8858	-43.78
-2.4877	-53.067
-3.1496	-62.022
-3.5509	-69.65
-4.0926	-77.279
-4.6142	-87.892
-5.1759	-96.513
-5.5369	-101.16
-5.9582	-107.13
-6.1589	-107.46
-6.1789	-102.15
-6.0184	-93.199
-5.7978	-83.911
-5.557	-74.957
-5.3363	-67.328
-4.9953	-57.048
-4.6142	-47.761
-4.0524	-35.82
-3.4105	-25.87
-2.929	-19.236
-2.4676	-13.93
-1.966	-8.2915
-1.5648	-4.6435
-1.1234	0
-0.56172	4.9749
-0.16049	10.613
0.3611	16.915
0.96295	24.875
1.5046	32.835
2.0462	42.785
2.4074	49.42
2.7083	54.393
3.3302	65.006
3.9922	73.298
4.4536	81.256
5.0756	89.552
5.5369	96.184
5.898	99.831
6.0385	100.49
5.9783	96.513
5.8779	89.881
5.7376	82.586
5.3965	69.317
5.1157	60.033
4.7746	49.749
4.574	43.117
4.1327	33.166
3.7113	22.553
3.3904	16.252
2.7885	5.3067
2.3673	0.33166
1.926	-5.6381
1.5648	-9.6184
0.84258	-16.915
0.22068	-22.222
-0.34105	-26.533
-0.54166	-28.523
-1.0633	-33.498
-1.5848	-40.131
-2.1466	-47.427
-2.6681	-55.056
-3.3302	-65.669
-3.8718	-76.283
-4.554	-86.896
-5.0956	-94.191
-5.557	-101.16
-5.8779	-105.47
-6.0987	-106.13
-6.1789	-105.47
-6.0585	-97.509
-5.8779	-87.559
-5.6774	-79.267
-5.3564	-66.003
-5.0354	-56.715
-4.6142	-45.439
-4.1526	-36.483
-3.7515	-28.191
-3.27	-19.236
-2.7283	-12.272
-2.1867	-6.6332
-1.6651	-3.3166
-1.2438	0.33166
-0.70214	6.3018
-0.24074	12.272
-0.18056	11.94
0.30093	18.905
0.8827	24.212
1.7654	37.147
2.4074	47.761
3.0093	58.374
3.5509	66.332
4.1327	75.62
4.574	82.586
5.0154	89.552
5.1558	91.869
5.4968	94.854
5.8579	99.169
6.0184	99.831
6.0385	99.831
5.9783	95.521
5.8378	87.892
5.7376	81.589
5.5771	75.953
5.3764	67.657
4.9351	54.726
4.554	43.117
4.3533	37.147
3.7715	23.548
3.2499	12.935
2.7283	5.97
2.2469	-0.99498
1.8858	-4.9749
1.2037	-11.277
0.66203	-15.92
0.060184	-21.558
-0.38117	-26.201
-1.0231	-31.508
-1.4444	-36.815
-2.0262	-43.78
-2.7083	-51.074
-3.4105	-62.684
-3.9722	-73.298
-4.6142	-84.574
-5.0756	-92.536
-5.5369	-99.831
-5.8378	-102.48
-6.0987	-105.14
-6.0786	-98.835
-5.8779	-87.892
-5.5369	-75.953
-5.2761	-67.657
-4.9752	-57.711
-4.6342	-49.42
-4.1727	-39.136
-3.571	-29.187
-3.0693	-22.222
-2.5477	-15.92
-2.0663	-11.277
-1.3442	-1.99
-0.84258	3.3166
0	11.277
0.42128	17.91
1.1836	28.523
1.625	35.82
2.0462	42.453
2.5477	50.412
3.1496	60.033
3.8718	71.639
4.4536	80.927
5.0354	89.218
5.4366	94.191
5.7376	97.509
5.9783	99.498
6.0184	99.498
5.9582	95.521
5.8177	88.884
5.557	77.608
5.3965	71.309
5.216	64.344
4.915	53.067
4.4737	40.131
4.0324	27.528
3.3904	15.257
2.7885	4.9749
2.0462	-4.3117
1.284	-10.613
0.60184	-16.583
-0.080245	-23.548
-0.60184	-29.518
-1.1034	-34.161
-1.7052	-40.795
-2.2068	-47.098
-2.8487	-55.056
-3.4506	-65.006
-4.1327	-76.283
-4.6543	-85.237
-5.0354	-91.54
-5.5369	-98.835
-5.8378	-102.82
-6.0987	-105.47
-6.199	-105.47
-5.9983	-95.521
-5.6573	-80.927
-5.3764	-69.65
-4.8749	-56.381
-4.273	-43.448
-3.6511	-32.171
-2.8688	-20.563
-2.2268	-12.272
-1.6049	-4.9749
-1.0633	1.3266
-0.48147	8.9552
0.16049	16.583
1.0833	27.528
1.6651	36.483
2.2669	46.435
2.8086	55.389
3.3904	63.681
3.9922	73.961
4.574	81.923
5.0956	89.552
5.5971	95.521
5.9181	99.498
5.9181	97.509
5.8177	88.884
5.6172	79.93
5.4165	72.301
5.1558	63.018
4.8147	53.067
4.3734	39.468
3.9922	27.528
3.4305	15.588
2.7685	4.6435
2.1064	-3.3166
1.7052	-7.6283
0.80245	-14.925
0.40123	-19.9
-0.040123	-23.88
-0.66203	-28.523
-1.2037	-34.161
-1.7654	-39.468
-2.3472	-47.098
-3.27	-60.033
-3.7113	-67.991
-4.0725	-74.623
-4.554	-82.586
-5.0154	-90.214
-5.2962	-94.525
-5.6172	-99.498
-5.898	-104.14
-6.1187	-105.8
-6.2391	-105.8
-6.0786	-94.525
-5.6774	-79.601
-5.3363	-67.991
-4.895	-57.048
-4.574	-47.761
-4.0324	-37.147
-3.27	-24.212
-2.6481	-15.257
-2.0864	-9.2866
-1.4845	-2.6533
-0.34105	4.9749
0.040123	9.2866
0.50154	14.593
1.1435	22.885
1.9059	32.835
2.5477	43.78
3.0493	51.074
3.7515	61.688
4.3332	71.309
4.8749	79.267
5.3363	85.9
5.7577	91.54
6.0585	95.85
6.2391	97.509
6.3594	98.506
6.3594	95.521
6.2391	88.555
6.0385	80.927
5.7175	68.987
5.3764	58.374
5.1157	49.749
4.6744	37.81
4.1928	26.533
3.7916	16.915
3.27	7.9601
2.4877	-2.6533
1.8256	-9.9498
1.3241	-13.93
0.96295	-17.247
0.34105	-23.217
-0.12037	-27.196
-0.64196	-29.85
-1.3642	-34.161
-2.1064	-42.122
-2.628	-50.745
-3.1496	-59.366
-3.611	-67.328
-4.1126	-75.286
-4.6142	-84.245
-5.0154	-92.536
-5.4767	-101.16
-5.6774	-104.14
-5.7777	-104.48
-5.7577	-98.835
-5.5971	-89.552
-5.3564	-80.593
-4.9552	-66.003
-4.574	-56.052
-4.2128	-47.427
-3.8317	-38.805
-3.3101	-30.182
-2.8086	-21.89
-2.3873	-15.588
-1.7855	-7.2964
-1.2438	-0.99498
-0.62191	3.98
0	10.945
0.54166	16.915
1.1034	22.885
1.7654	30.513
2.3271	39.8
2.9892	50.412
3.4907	57.048
4.0324	64.01
4.2931	67.328
4.4536	68.654
4.5339	69.65
4.5339	66.666
4.3734	59.366
4.0725	46.435
3.7314	36.815
3.3703	27.86
3.0493	21.226
2.6882	13.93
2.3873	8.6233
2.1466	3.3166
1.7855	-0.66332
1.4243	-4.3117
1.0833	-8.6233
0.80245	-12.272
0.5216	-15.588
0.20061	-19.236
-0.16049	-23.217
-0.5216	-27.86
-0.94289	-31.176
-1.304	-35.157
-1.8858	-40.795
-2.3472	-48.09
-2.6882	-53.396
-3.1897	-59.366
-3.5509	-65.34
-3.932	-71.972
-4.2128	-76.945
-4.3332	-78.605
-4.5138	-79.267
-4.3132	-71.639
-4.0524	-63.681
-3.7715	-54.059
-3.3503	-43.78
-2.9491	-34.161
-2.4475	-25.87
-1.7654	-15.588
-1.2037	-7.6283
-0.84258	-1.3266
-0.3611	5.6381
-0.020061	9.9498
0.80245	16.252
1.304	21.558
1.9059	29.187
2.5678	38.805
3.2499	47.761
3.912	58.703
4.3734	66.332
4.8548	74.623
5.3564	82.586
5.9181	90.544
6.4597	98.506
7.0415	105.14
7.4828	110.11
7.9845	113.43
8.4659	115.09
8.8069	115.09
9.2282	116.08
9.6697	115.75
10.151	115.75
10.633	116.08
11.054	116.08
11.435	116.41
11.616	116.75
11.676	116.75
11.696	113.76
11.636	107.46
11.636	101.49
11.435	93.199
11.174	85.237
10.913	76.283
10.633	67.657
10.352	60.362
10.091	53.067
9.8702	44.443
9.6697	37.478
9.3887	30.513
8.9273	22.222
8.2252	12.603
7.6032	6.3018
7.0014	0
6.2793	-4.9749
5.6373	-8.9552
5.0756	-12.272
4.3734	-16.915
3.611	-21.558
3.1496	-24.543
2.6681	-27.86
2.0262	-31.508
1.4243	-36.815
0.80245	-43.117
0.20061	-49.086
-0.20061	-53.067
-0.76233	-58.04
-1.2639	-61.025
-1.8658	-65.669
-2.4074	-69.317
-2.9491	-73.961
-3.5309	-78.271
-4.2128	-83.248
-4.7545	-86.562
-5.5169	-91.54
-6.199	-96.184
-6.7206	-100.49
-7.2823	-103.81
-7.9042	-107.13
-8.2252	-108.46
-8.3456	-109.78
-8.3456	-103.15
-8.185	-93.199
-7.9243	-83.248
-7.5631	-72.301
-7.182	-62.684
-6.7206	-53.73
-6.199	-45.439
-5.6774	-37.81
-5.2361	-31.508
-4.7545	-26.865
-4.2329	-22.222
-3.5108	-16.583
-2.6481	-12.935
-1.645	-9.6184
-0.76233	-6.6332
0.060184	-2.3217
1.0833	1.6583
1.7052	5.3067
2.6882	9.6184
3.7916	15.257
4.554	18.905
5.1558	22.885
5.7978	26.533
6.9012	33.83
7.6434	39.136
8.3456	44.111
9.0076	48.423
9.5693	52.734
10.211	57.711
10.893	61.359
11.616	65.34
12.097	66.995
12.338	68.325
12.438	68.325
12.458	65.34
12.398	58.374
12.197	51.408
12.017	43.78
11.575	35.157
11.154	27.196
10.753	19.568
10.271	13.598
9.7498	7.6283
9.2884	3.6483
8.8471	-0.33166
8.3857	-3.98
7.8039	-7.9601
7.3024	-11.277
6.7407	-14.593
6.0585	-17.91
5.3162	-22.222
4.5339	-27.196
3.8718	-31.176
3.2901	-34.493
2.7083	-39.136
2.0864	-43.117
1.4042	-48.423
0.72221	-53.396
0.26079	-56.715
-0.28086	-60.362
-0.76233	-63.681
-1.4243	-68.325
-1.9059	-71.309
-2.7885	-76.945
-3.4105	-81.923
-3.9521	-86.233
-4.4536	-90.214
-5.0154	-94.854
-5.6573	-99.831
-6.199	-103.81
-6.6805	-107.13
-7.1418	-110.44
-7.7838	-113.76
-8.3054	-115.42
-8.8872	-119.07
-9.1279	-120.06
-9.5292	-120.72
-9.9504	-121.06
-10.452	-120.72
-10.813	-120.72
-11.194	-120.72
-11.375	-120.4
-11.395	-117.41
-11.194	-109.12
-11.014	-100.16
-10.733	-90.214
-10.372	-79.267
-9.9906	-70.647
-9.6095	-61.359
-9.168	-53.396
-8.827	-47.098
-8.486	-43.117
-8.0446	-36.815
-7.6233	-31.84
-6.9813	-26.865
-6.1589	-22.222
-5.1759	-16.583
-4.4135	-13.93
-3.8317	-12.603
-3.0093	-10.613
-2.3873	-9.6184
-1.7052	-8.2915
-1.3842	-7.6283
-0.80245	-4.9749
-0.080245	-1.6583
0.70214	0.33166
1.4243	2.6533
2.3472	6.6332
3.1697	9.9498
4.0725	13.93
4.9351	18.242
5.8579	23.217
6.6403	27.528
7.6233	32.503
8.3054	35.488
8.8671	39.468
9.5693	44.111
10.111	48.09
10.733	51.408
11.234	54.393
11.716	57.378
12.017	59.366
12.318	61.359
12.478	62.022
12.558	62.022
12.538	58.04
12.458	50.412
12.298	43.78
11.977	37.478
11.595	27.528
11.194	21.226
10.713	12.935
10.071	6.965
9.5292	1.6583
9.0678	-2.3217
8.5261	-6.3018
8.0847	-9.6184
7.543	-12.603
6.8008	-16.252
6.0385	-21.226
5.3764	-25.206
4.7344	-28.855
3.912	-33.498
3.3904	-36.483
2.7885	-40.131
2.2669	-43.117
1.4042	-50.083
0.66203	-54.059
0.080245	-59.7
-0.80245	-66.666
-1.4042	-69.979
-2.0663	-73.631
-2.8889	-79.267
-3.5509	-83.248
-4.1928	-87.892
-4.9552	-93.199
-5.6774	-98.835
-6.199	-102.48
-6.6805	-105.8
-7.3224	-110.11
-7.9644	-113.1
-8.6263	-116.41
-9.0678	-118.07
-9.469	-120.72
-9.8501	-121.39
-10.271	-124.04
-10.753	-124.37
-11.114	-123.38
-11.395	-121.39
-11.676	-118.74
-11.876	-117.08
-11.756	-108.46
-11.595	-99.831
-11.355	-90.214
-10.974	-81.923
-10.633	-73.631
-10.071	-63.347
-9.5292	-53.396
-9.1279	-47.098
-8.6464	-41.79
-8.165	-36.815
-7.7838	-33.498
-7.0214	-28.855
-6.2391	-24.212
-5.4767	-19.9
-4.8749	-17.247
-4.3132	-14.925
-3.611	-13.598
-2.9089	-11.277
-1.9459	-9.2866
-1.0231	-6.965
-0.24074	-3.98
0.62191	-0.66332
1.5246	1.6583
2.5477	5.6381
3.4707	9.6184
4.253	12.603
5.2761	16.252
6.1187	19.9
6.9012	23.88
7.6032	27.86
8.486	31.84
9.1881	35.488
9.8702	39.136
10.452	42.453
11.114	47.098
11.656	51.074
12.338	56.715
12.779	60.033
13.08	63.018
13.301	65.006
13.36	61.688
13.381	56.715
13.461	53.067
13.481	50.412
