BRI No. 2 (Japan) spbaa1	
1.0231	66.332
1.1836	74.294
1.3642	82.252
1.4444	82.586
1.4042	74.957
1.2237	61.688
1.1034	53.396
0.98301	46.435
0.74228	34.825
0.58177	26.533
0.48147	18.242
0.28086	6.965
0.020061	-4.9749
-0.12037	-14.593
-0.20061	-22.222
-0.42128	-33.166
-0.56172	-43.117
-0.72221	-54.726
-0.92282	-64.673
-1.0833	-73.298
-1.2237	-82.586
-1.3442	-88.222
-1.4444	-91.206
-1.5447	-92.536
-1.5246	-87.23
-1.4644	-79.267
-1.284	-69.65
-1.1636	-63.018
-1.0432	-52.734
-0.92282	-44.111
-0.74228	-34.825
-0.60184	-23.88
-0.38117	-13.266
-0.26079	-5.6381
-0.040123	4.9749
0.10031	14.593
0.18056	22.222
0.3611	33.498
0.56172	43.78
0.72221	52.734
0.94289	62.351
1.1836	72.301
1.3442	79.93
1.4444	81.256
1.4042	74.623
1.284	64.344
1.1234	55.056
0.92282	42.453
0.70214	31.176
0.48147	18.905
0.26079	9.6184
0.10031	0.99498
-0.060184	-9.9498
-0.22068	-18.573
-0.40123	-28.855
-0.48147	-36.152
-0.62191	-44.776
-0.70214	-53.396
-0.86263	-62.684
-1.0833	-72.301
-1.2237	-82.252
-1.3842	-90.877
-1.5046	-91.54
-1.5046	-87.559
-1.4444	-77.608
-1.3642	-69.979
-1.1636	-61.025
-1.0633	-53.067
-0.90277	-44.111
-0.66203	-33.83
-0.5216	-23.548
-0.34105	-13.266
-0.20061	-4.9749
0	5.6381
0.12037	14.593
0.24074	22.222
0.34105	30.182
0.48147	38.805
0.60184	44.776
0.74228	53.396
0.94289	61.359
1.0633	69.317
1.304	77.608
1.4243	80.593
1.4644	80.593
1.304	68.987
1.2037	59.037
0.98301	48.423
0.84258	39.8
0.64196	28.523
0.44135	15.257
0.20061	5.3067
0	-4.3117
-0.14042	-15.257
-0.34105	-27.196
-0.50154	-38.805
-0.66203	-48.753
-0.92282	-61.688
-1.0833	-74.294
-1.284	-84.908
-1.4243	-91.206
-1.5246	-92.866
-1.5246	-89.218
-1.4042	-78.938
-1.284	-69.317
-1.0633	-57.378
-0.8827	-45.439
-0.72221	-36.483
-0.54166	-23.88
-0.40123	-14.925
-0.28086	-6.965
-0.10031	2.3217
0.060184	8.9552
0.24074	18.573
0.38117	28.523
0.5216	39.8
0.70214	50.412
0.90277	58.374
1.1234	69.65
1.304	77.279
1.4243	79.93
1.4845	80.927
1.3842	74.623
1.304	66.003
1.1636	55.718
1.0432	46.435
0.82252	37.147
0.66203	27.196
0.48147	17.247
0.28086	6.965
0.060184	-3.98
-0.10031	-14.593
-0.22068	-23.548
-0.40123	-34.825
-0.54166	-43.78
-0.68209	-55.389
-0.90277	-65.669
-1.0833	-74.957
-1.304	-85.57
-1.4042	-92.203
-1.5447	-92.536
-1.5246	-86.233
-1.3842	-76.616
-1.2438	-66.666
-1.0633	-58.04
-0.94289	-49.749
-0.7824	-38.473
-0.56172	-26.533
-0.44135	-14.925
