"Soderstrom, 2001,C1"	
-8.415126782	-45.44431537
-9.102937923	-48.79415707
-9.604009442	-49.63443139
-9.487546392	-50.45205592
-9.73437009	-51.11064668
-9.909235228	-51.916877
-10.21246166	-52.7344738
-10.09003761	-53.57477584
-10.5434847	-53.73375415
-10.75330578	-54.60811407
-10.87792371	-55.28943781
-11.22771659	-56.03889114
-11.37269949	-56.93597017
-11.43302382	-57.7989636
-11.6943219	-58.27589853
-11.91308434	-59.11620058
-12.21162607	-59.88835916
-12.32896799	-60.64917899
-12.51707009	-61.35322183
-12.62415545	-62.20486264
-12.93187201	-63.01110681
-13.19135677	-63.84005624
-13.35956074	-64.464603
-13.50852795	-65.20268985
-13.83323998	-66.12248798
-13.89045194	-66.07704976
-14.17995177	-65.53199909
-12.58264164	-56.69750963
-11.39589282	-48.28316427
-10.13246174	-39.95963989
-9.156545502	-32.71489195
-8.060904913	-27.97971139
-6.991272154	-20.70090558
-5.966282539	-16.31771179
-5.872209127	-13.53563987
-4.775946024	-8.618761894
-3.824619264	-4.144733255
-2.845316458	0.317928898
-1.336332619	4.485353539
-0.041637233	8.187223593
1.129560897	12.68395748
2.336120064	18.31624479
3.421399472	24.09615778
4.406557507	28.69507914
5.491765915	31.85187079
6.598981706	36.07608627
7.863172482	39.86876345
8.950085911	45.17174152
9.978689497	48.98716553
10.86260543	52.29156901
11.94122286	56.05020218
13.02390994	59.50227294
12.74754475	56.00479169
11.34008701	43.35489208
10.40670205	39.94825954
9.287735256	34.74749667
8.353446068	27.6390218
7.380100781	22.67670561
6.444917687	18.03234603
5.33863557	13.53561215
4.349143082	8.879899953
3.306197952	6.165971494
2.314900679	2.918317263
1.347314986	0.681309874
0.343560533	-1.510273159
-0.649610049	-3.6564457
-1.560837871	-6.120574862
-2.664541098	-9.24329479
-3.847976384	-14.04664653
-4.897580015	-18.12323633
-5.873497031	-23.16500702
-6.870853278	-27.85480481
-8.182867033	-34.05483417
-9.227918023	-39.00581161
-10.30565227	-44.68349555
-11.28468175	-50.63372561
-12.32156175	-55.4029779
-13.37015301	-61.3872797
-13.61926457	-62.2730061
-12.53751551	-54.98284767
-11.47743126	-46.96591343
-10.52941992	-41.69702096
-10.41601676	-38.12007134
-9.395929169	-35.16766849
-8.254936551	-29.09253184
-7.239043929	-24.72070454
-6.21782901	-19.23605678
-5.142989719	-13.08142405
-4.097798379	-8.970762523
-2.854902305	-3.997107568
-1.472368376	0.567755918
-0.101279202	3.122719928
1.174505988	5.734447054
2.087502264	8.482474968
2.096700807	9.322749292
2.990429028	11.52572653
4.141907496	14.72794255
5.306420751	18.53200007
6.228180012	22.68807209
7.245826877	26.6170362
8.356490874	32.91928075
9.307541241	37.77938175
10.50989021	42.87797101
11.57889821	49.44138135
12.56103685	54.04031657
13.50372185	59.1388781
12.57782931	52.22345327
11.2708848	47.24978446
10.32016	39.21017269
10.25320399	36.28047508
9.279750454	33.11231693
8.058989318	27.21886385
7.111347349	22.24520889
5.950272948	16.55614461
4.813135977	12.2524469
3.77508525	8.550590708
2.737416003	5.178029898
1.686144359	2.691223212
0.612912762	0.88571254
-0.059172566	-1.40809955
-1.337858535	-3.168172006
-2.448152751	-6.892733446
-3.593052846	-10.58325088
-4.798705169	-15.26165446
-5.972638366	-21.25732274
-7.42777529	-28.25225752
-8.422306568	-32.9987907
-9.61582664	-38.98310636
-10.85852723	-46.10290613
-11.96149053	-51.21286188
-13.09859938	-58.79825782
-14.17508113	-63.6697253
-12.75980298	-55.97074768
-11.75732754	-48.46484782
-10.70324984	-43.08237368
-9.40399855	-36.20102058
-8.280499517	-29.94418651
-7.152767535	-22.89248862
-6.138983386	-19.57671865
-4.978622128	-12.69535169
-3.914980641	-7.165265713
-2.737436088	-2.759366675
-2.608016821	-1.998560715
-1.640012449	0.147597964
-0.672310119	2.350561344
0.363724331	3.997079845
1.359293448	6.438517622
2.870121061	9.186503951
3.84913123	13.3766477
4.737980467	15.68177083
5.70331045	20.78037395
6.766442125	24.65254721
7.845331909	28.3316843
8.945933915	34.48631703
9.994272342	38.71054637
11.11665607	45.55782774
12.06348101	50.76995709
12.96029972	55.59601408
14.45759525	59.6498709
13.30898051	56.49307925
12.40092413	50.09999984
11.29382415	43.63877697
10.24828679	38.59697855
9.277314675	32.941986
8.344808348	27.95697842
7.284532002	22.37011547
6.12730999	17.75982763
5.150089423	13.04733845
4.276967107	10.11764085
3.268674273	6.983568293
2.360354987	4.632993088
1.156217292	2.259698774
0.202179634	-0.034085593
-1.027783983	-2.55496401
-1.974395683	-5.212129352
-3.408896195	-9.708877099
-4.495339256	-13.08142405
-5.565393309	-17.83935144
-6.802320035	-24.59581182
-8.284623395	-31.14785567
-9.499286481	-37.57502067
-10.48718705	-43.9113231
-11.44800746	-48.95313538
-12.65081886	-55.00553906
-13.87632964	-61.95506334
-12.79849467	-54.92605683
-11.62728581	-47.52235831
-10.67674558	-41.5153374
-9.634317379	-36.00797053
-8.496546247	-30.43247407
-7.448203596	-25.40201441
-6.322525965	-18.50929483
-5.292540584	-13.98986956
-4.132902378	-8.64146714
-3.084995376	-4.178804987
-1.978397097	-1.533006129
-0.854148546	1.226374408
0.152330926	4.00844633
1.286657475	5.166677275
2.217536429	7.982834789
3.342665306	10.50374093
4.297574804	13.79680565
5.398137091	17.75982763
6.471354378	22.65400036
7.42880116	26.96905069
8.485380697	31.4317267
9.375390328	36.04200068
10.51746904	41.10651821
11.51155316	46.6252377
12.53756625	52.51869079
13.48523097	56.16378386
13.48888132	57.74217276
12.19722629	48.30584179
11.20743777	42.8552519
10.23934548	38.56290682
9.236779309	33.31670574
8.24601813	28.1500146
7.327262211	22.67669174
6.233415211	17.63490719
5.266373273	13.03598583
4.173507418	9.470388841
3.255717278	6.359021536
2.100931966	4.122000286
1.157890114	1.771438941
0.113140201	0.465568447
-0.860163674	-2.100775909
-1.896422088	-4.485395123
-3.092643464	-7.733035493
-4.059370661	-11.8550635
-5.130802378	-15.6931789
-6.180880413	-20.34887723
-7.205690686	-25.56100658
-8.430337878	-31.81782679
-9.489800445	-37.45010023
-10.49762291	-42.99155269
-11.54910916	-48.49891956
-12.76121964	-55.06231603
-13.94803956	-60.85356779
-13.03962987	-55.68686279
-12.07638987	-49.49818605
-10.82712105	-43.10510665
-9.815617875	-37.37061801
-8.537501989	-30.48925105
-7.542542722	-25.61779742
-6.589839073	-19.86060354
-5.46995062	-14.21697747
-4.490251297	-9.83379754
-3.522823893	-5.507394589
-2.287810196	-1.953150222
-1.217240914	1.010605257
-0.297070082	2.986460725
0.901884892	5.109914158
1.926067746	7.131166258
2.995727705	9.538518442
3.959041506	12.58175615
5.134822738	16.18142487
6.090067157	20.25801466
7.268113359	24.95915121
8.158776737	29.81925221
9.098052427	32.82843204
10.08031624	39.15339571
11.24677564	44.59261911
11.23601426	46.85234561
12.86886922	50.997065
12.69998105	53.14323754
13.80156328	58.57112218
12.84848907	52.09853283
11.8019791	47.3406193
10.54923389	39.76658984
9.646430561	34.04346769
8.708383697	29.35369762
7.371167903	24.40273405
6.505763947	18.33893617
5.229177045	15.07992932
4.250259846	9.981367781
3.047584348	5.859367495
1.851804352	3.690489708
0.701307032	1.96446126
-0.054822788	-0.579136265
-1.408759171	-2.271106843
-2.63641897	-5.882114326
-4.00735747	-10.33342386
-5.045879114	-16.02247428
-6.16114557	-20.75768256
-7.35563055	-26.58299219
-8.293876016	-31.20464651
-9.215390665	-35.34935205
-10.13855456	-40.85671891
-11.19779133	-46.86372596
-12.29814028	-50.76997095
-13.25379315	-56.94733665
-14.24353071	-62.05725081
-13.10305144	-56.57258919
-11.94886928	-48.85092019
-10.89030149	-43.47981252
-9.764935113	-36.67794165
-9.423587169	-31.78376892
-8.313580496	-29.0244161
-6.881127541	-22.04082009
-5.779868577	-16.98768291
-4.74083354	-10.7081436
-3.449309053	-5.200790591
-2.500059483	-2.214329865
-1.444914446	-0.045452078
-0.48093153	2.452748815
0.661776385	4.689770066
1.616988604	6.131913624
2.599826673	8.323496657
3.716364387	10.70812973
4.686674273	14.35320895
5.726375075	18.89536719
6.66474842	22.60856214
7.848171869	27.5027626
8.939886635	32.72625843
9.821927566	37.01857579
11.0965702	43.04827422
11.98520285	48.94174117
13.06990635	54.44910804
13.06383632	54.01761132
11.91521231	46.8977561
11.01960711	41.276863
10.13439891	36.58707908
9.228249785	31.84051817
8.999159787	29.9668779
8.029807333	26.92362633
7.110630995	21.13237458
6.12829022	17.03307954
5.172423335	13.1381733
4.209934136	9.413611863
3.268487458	6.597454348
2.165910635	4.984993717
1.171158365	2.30513699
0.234684657	0.681323736
-0.644848574	-1.385394303
-1.758645026	-3.928977967
-2.823524654	-7.176604474
-3.755280731	-10.34479034
-4.787110757	-14.0807044
-6.131216729	-20.39428772
-7.157256842	-25.08409937
-8.212564156	-29.94418651
-9.347923266	-34.81566786
-10.35991602	-42.01497758
-11.39382319	-47.23844569
-12.66314582	-53.7564594
-13.59310367	-58.16234458
-14.58947125	-63.88549445
-15.72865041	-70.31260401
-16.64943357	-74.68444517
-17.7171922	-78.77238759
-18.71366972	-81.88378262
-17.52980741	-74.75258864
-15.81682241	-60.79680467
-14.60913179	-54.6421858
-13.56022933	-48.56704916
-12.32324	-42.67359607
-11.1109899	-34.7475244
-10.17177943	-30.28484838
-9.178298508	-25.84489147
-8.150655795	-20.2466759
-7.033233581	-16.2041717
-5.798329825	-10.03817248
-4.500035008	-4.757913528
-3.513308318	-1.408085688
-2.403930757	1.476201428
-1.109017958	3.792691041
-0.136226654	4.950935848
0.944358792	6.813223498
2.282927811	9.606648043
3.405683517	12.82023054
4.391533321	15.45467678
5.512771739	19.11112248
6.697502866	24.50492152
7.635090459	28.88810145
8.878706374	33.83907889
9.80108058	38.25630282
10.90672496	43.82046053
11.80668741	48.16956873
12.81123014	53.27949675
13.8426281	58.92315054
15.00680739	64.14660479
16.03306904	69.0862296
17.04484045	72.52690615
18.10363762	76.34230244
17.08292311	68.46166898
16.10432483	62.82938167
14.95946096	59.89971179
13.70392823	47.8516121
12.5718251	41.19736692
11.55011609	37.13212975
10.53065587	32.85116501
9.456800113	26.821425
8.429480351	22.63128125
7.089649432	16.68105118
6.065800629	13.24037463
5.569552324	10.46965534
4.368021123	7.335582785
3.419749995	5.189410244
2.536893089	3.338461355
1.519208155	1.623813254
0.473765459	-0.079509948
-0.023002934	-0.545078395
-1.272849504	-2.259740358
-2.345705492	-5.632287307
-3.275469689	-7.778445986
-4.358473168	-11.46897728
-5.450145507	-15.04591303
-6.456513245	-19.28148113
-7.429831334	-24.00532293
-8.848183728	-30.39840234
-9.813525549	-34.99735142
-11.06645234	-40.25490512
-12.09757362	-45.5465167
-13.22126713	-51.86011388
-14.31023903	-55.9707754
-15.31701852	-61.64844548
-16.42082243	-66.12247412
-17.58152622	-72.66317921
-18.74082951	-78.7951067
-17.45937545	-71.38004169
-16.52296696	-65.53199909
-15.42747429	-60.39935197
-14.25663925	-52.223481
-13.26712745	-46.73881938
-12.11526347	-41.01569722
-11.04961424	-35.78087648
-9.891283521	-29.93282003
-8.844310287	-25.742704
-7.815656064	-19.84925091
-6.871488632	-15.26166832
-5.763622535	-10.92389888
-4.753309341	-6.858661714
-3.664741756	-3.74729441
-2.743981484	-0.704056706
-1.682181885	0.999266496
-0.460589403	3.565583129
0.570340019	4.939583224
1.951965588	7.063050518
2.956904103	9.413611863
4.106530314	12.27517987
5.523633795	15.50008727
6.560361706	19.58804355
7.566616292	24.19831753
8.7563508	29.01302189
9.668016789	32.58997151
10.6807693	37.50684949
11.73109951	40.70907936
12.76728367	47.15894961
14.01616024	52.33702109
15.14413862	57.99198592
16.10802159	63.95358247
17.16579202	68.94994267
18.13983757	73.70787006
17.04117317	67.42833075
15.96504479	60.73999997
14.99075729	54.29012973
14.04574567	49.43001487
13.0349384	43.94536711
11.9633238	38.14276273
10.69807418	32.89657551
9.647346437	28.04781327
8.738084899	24.20969787
7.437716101	19.51992781
