"Wong et al. 1990, Spec. 3"	
1439	
0	0
0	0
0.073528	24.834
0.22058	43.46
0.22058	60.843
0.51468	85.677
0.58821	104.3
0.73528	122.93
0.95585	141.56
1.1764	161.42
1.397	182.53
1.5441	199.92
1.6176	216.06
1.8382	232.2
2.1323	253.31
2.3529	271.93
2.4264	285.59
2.794	294.29
2.7206	285.59
2.5735	266.97
2.4264	243.38
2.2793	219.78
1.9852	197.43
1.8382	175.08
1.6176	155.21
1.1764	129.14
0.95585	104.3
0.88232	80.713
0.58821	57.12
0.58821	29.801
0.44117	12.417
0.14706	-7.4503
-0.073528	-29.801
-0.14706	-48.428
-0.36764	-69.535
-0.58821	-100.58
-0.80881	-126.65
-1.1029	-151.49
-1.397	-175.08
-1.6176	-197.43
-1.7647	-217.3
-1.9117	-240.89
-1.9852	-255.79
-2.0588	-269.45
-2.1323	-280.62
-2.6469	-281.87
-2.7206	-266.97
-2.7206	-250.83
-2.5735	-234.68
-2.4999	-207.36
-2.2058	-181.29
-1.8382	-153.97
-1.4706	-125.41
-1.1029	-95.61
-0.88232	-69.535
-0.66175	-38.493
-0.36764	-14.901
0	13.659
0.29411	43.46
0.51468	75.744
0.80881	114.23
1.0294	141.56
1.3235	168.87
1.5441	197.43
1.6911	222.26
1.9852	247.1
2.2058	266.97
2.4264	286.83
2.8677	296.77
2.8677	280.62
2.5735	255.79
2.2058	225.99
2.1323	204.88
2.1323	193.71
1.7647	166.39
1.3235	136.59
0.95585	110.51
0.88232	80.713
0.88232	58.361
0.73528	33.526
0.58821	11.175
0.14706	-18.626
-0.073528	-48.428
-0.44117	-85.677
-0.58821	-110.51
-0.80881	-147.76
-1.397	-187.5
-1.4706	-209.85
-1.8382	-248.34
-2.0588	-268.21
-2.2793	-284.35
-2.7206	-273.17
-2.8677	-255.79
-2.6469	-225.99
-2.2793	-188.74
-1.9117	-149.01
-1.397	-112.99
-1.0294	-74.503
-0.80881	-49.669
-0.51468	-23.592
-0.073528	0
0	18.626
0.22058	43.46
0.36764	64.57
0.58821	98.097
0.80881	124.17
0.95585	149.01
1.397	176.32
1.4706	197.43
1.6911	225.99
1.9852	247.1
2.3529	268.21
2.4999	285.59
2.794	296.77
2.8677	281.87
2.5735	263.24
2.3529	235.92
2.2058	203.64
