"Wong et al. 1990, Spec. 3"	
1.9117	173.84
1.3235	137.83
0.88232	110.51
0.80881	81.954
0.80881	60.843
0.80881	42.218
0.51468	19.867
0.14706	-14.901
0	-44.7
-0.29411	-74.503
-0.58821	-106.79
-0.88232	-136.59
-1.25	-168.87
-1.4706	-198.67
-1.6911	-225.99
-1.7647	-249.58
-2.0588	-273.17
-2.4264	-284.35
-2.8677	-273.17
-2.794	-242.13
-2.4999	-203.64
-1.9852	-163.9
-1.5441	-122.93
-1.0294	-88.159
-0.80881	-52.151
-0.51468	-23.592
-0.073528	1.2417
0	24.834
0.22058	52.151
0.44117	80.713
0.73528	114.23
0.88232	151.49
1.1764	185.01
1.4706	211.09
1.9852	240.89
2.2058	266.97
2.3529	285.59
2.8677	294.29
2.8677	278.14
2.4999	244.62
2.2058	206.12
1.8382	168.87
1.4706	136.59
0.88232	101.82
0.58821	70.776
0.51468	44.7
0.14706	7.4503
0	-16.142
0	-43.46
-0.22058	-70.776
-0.51468	-106.79
-0.95585	-145.28
-1.397	-186.26
-1.6911	-219.78
-1.7647	-249.58
-2.1323	-275.66
-2.5735	-285.59
-2.9411	-269.45
-2.7206	-242.13
-2.4999	-217.3
-2.3529	-188.74
-1.9117	-151.49
-1.5441	-116.72
-1.1029	-88.159
-0.58821	-50.91
-0.22058	-17.384
-0.073528	7.4503
0	31.043
0.22058	60.843
0.44117	88.159
0.73528	119.2
0.95585	150.25
1.3235	181.29
1.397	204.88
1.7647	230.96
1.9852	255.79
2.2058	279.38
2.6469	293.04
2.8677	284.35
2.4999	249.58
2.1323	211.09
1.9117	181.29
1.4706	147.76
1.0294	114.23
0.80881	80.713
0.88232	54.633
0.73528	29.801
0.14706	-13.659
0	-43.46
-0.14706	-81.954
-0.73528	-116.72
-1.1029	-156.45
-1.397	-191.22
-1.7647	-224.75
-1.9117	-253.31
-2.1323	-278.14
-2.4999	-284.35
-2.7206	-268.21
-2.7206	-240.89
-2.4999	-211.09
-2.3529	-172.6
-1.8382	-135.35
-1.3235	-91.887
-0.95585	-50.91
-0.51468	-14.901
-0.073528	8.6918
0.14706	39.735
0.58821	80.713
0.88232	108.03
1.0294	132.86
1.397	173.84
1.8382	213.57
2.2793	244.62
2.8677	279.38
3.1618	305.46
3.6027	337.74
4.0439	366.3
4.7059	393.62
5.2939	402.32
5.588	391.14
5.588	373.75
5.3675	346.44
4.6322	321.6
4.2647	290.56
3.9705	253.31
3.3823	209.85
3.0147	185.01
2.5735	155.21
2.2793	116.72
1.6911	79.467
1.4706	57.12
0.95585	19.867
0.36764	-18.626
0	-50.91
-0.14706	-76.985
-0.44117	-110.51
-0.58821	-139.07
-1.1029	-162.66
-1.9117	-194.95
-2.3529	-229.72
-2.6469	-266.97
-3.1618	-300.49
-3.4557	-334.02
-4.0439	-365.06
-4.7059	-387.41
-5	-386.17
-5.2205	-372.51
-5	-347.68
-4.7059	-312.91
-4.3381	-274.42
-3.8235	-238.41
-3.4557	-212.33
-3.3089	-198.67
-2.6469	-160.18
-1.9852	-124.17
-1.4706	-81.954
-1.1764	-49.669
-0.95585	-36.01
-0.29411	1.2417
0.073528	27.317
0.51468	70.776
1.0294	111.75
1.5441	166.39
2.0588	204.88
2.8677	243.38
3.1618	281.87
3.8969	322.84
4.6322	352.65
5	371.27
5	350.16
4.6322	309.19
4.2647	275.66
3.6764	234.68
3.2352	187.5
2.794	166.39
2.5735	139.07
1.8382	94.369
1.397	55.879
1.1029	29.801
0.73528	-6.2084
-0.073528	-55.879
-0.88232	-110.51
-1.6176	-163.9
-2.3529	-219.78
-2.7206	-262
-2.9411	-291.8
-3.6764	-312.91
-4.6322	-350.16
-5.1468	-368.79
-5.2205	-356.37
-4.8529	-315.39
-4.4117	-284.35
-4.1176	-254.55
-3.5293	-212.33
-3.2352	-172.6
-2.5735	-139.07
-2.0588	-108.03
-1.5441	-74.503
-1.0294	-42.218
-0.51468	-14.901
-0.073528	12.417
0.14706	42.218
0.51468	79.467
1.3235	131.62
1.6176	175.08
2.2058	207.36
3.0881	255.79
3.6764	291.8
4.1176	325.33
4.7059	348.92
5.0734	368.79
5.0734	346.44
4.6322	310.43
4.2647	269.45
3.6764	232.2
3.1618	192.47
2.6469	155.21
2.4264	120.44
1.9852	88.159
1.1029	42.218
0.51468	2.4834
0.14706	-28.559
-0.22058	-58.361
-0.80881	-106.79
-1.397	-150.25
-1.4706	-173.84
-1.9852	-201.16
-2.7206	-242.13
-3.3089	-274.42
-4.0439	-324.08
-4.6322	-353.89
-5	-367.54
-5.0734	-366.3
-4.8529	-340.23
-4.5588	-310.43
-4.2647	-280.62
-3.8969	-244.62
-3.4557	-216.06
-3.0881	-186.26
-2.3529	-147.76
-1.8382	-100.58
-1.0294	-58.361
-0.51468	-18.626
0	12.417
0.29411	52.151
0.51468	91.887
1.1764	124.17
1.8382	167.63
2.3529	198.67
2.8677	247.1
3.3823	280.62
3.7498	310.43
4.4851	342.71
4.9263	360.1
4.7793	336.5
4.7059	304.22
4.1176	265.72
3.6764	234.68
3.2352	209.85
2.8677	180.05
2.4264	132.86
1.8382	89.405
1.0294	42.218
0.51468	6.2084
0.22058	-19.867
-0.073528	-52.151
-0.44117	-91.887
-1.0294	-135.35
-1.4706	-163.9
-2.0588	-206.12
-2.7206	-243.38
-3.4557	-279.38
-4.0439	-319.12
-4.6322	-347.68
-5.1468	-366.3
-5.1468	-348.92
-4.8529	-315.39
-4.3381	-280.62
-3.8235	-243.38
-3.6027	-211.09
-3.0881	-175.08
-2.2058	-132.86
-1.3235	-86.918
-0.58821	-39.735
-0.14706	-4.9669
0.073528	27.317
0.44117	80.713
1.1029	119.2
1.7647	162.66
2.4264	204.88
2.9411	249.58
3.5293	288.08
4.191	330.29
4.6322	358.85
5	365.06
4.5588	321.6
4.191	279.38
3.8969	247.1
3.6764	216.06
3.2352	173.84
2.3529	126.65
1.7647	83.195
1.1764	42.218
0.73528	7.4503
0	-33.526
-0.73528	-73.262
-1.0294	-101.82
-1.25	-131.62
-1.8382	-168.87
-2.0588	-203.64
-2.4999	-238.41
-3.3089	-281.87
-4.0439	-319.12
-4.7793	-353.89
-5.2205	-373.75
-5.2205	-356.37
-4.7793	-316.63
-4.4851	-286.83
-4.0439	-244.62
-3.4557	-211.09
-2.6469	-167.63
-2.2793	-132.86
-1.4706	-83.195
-0.88232	-45.941
-0.51468	-12.417
0	12.417
0.36764	48.428
0.80881	83.195
0.88232	119.2
1.397	162.66
2.2793	204.88
2.8677	240.89
3.8235	293.04
4.2647	330.29
4.9263	367.54
5.4409	399.83
6.1029	437.08
6.6911	449.49
6.9116	447
6.8379	422.18
6.397	378.72
5.9558	340.23
5.3675	286.83
4.4851	234.68
3.6027	191.22
2.7206	144.04
2.2793	110.51
1.6911	76.985
1.25	44.7
1.0294	38.493
0.80881	21.109
0.44117	-1.2417
0	-38.493
-0.36764	-70.776
-0.80881	-110.51
-1.25	-135.35
-1.8382	-170.11
-2.2793	-203.64
-2.8677	-238.41
-3.4557	-275.66
-4.2647	-322.84
-5.0734	-356.37
-5.4409	-386.17
-5.9558	-408.52
-6.3233	-423.42
-6.6911	-435.84
-6.8379	-423.42
-6.9116	-399.83
-6.8379	-379.96
-6.4704	-352.65
-6.1029	-319.12
-5.2939	-280.62
-4.8529	-244.62
-3.9705	-198.67
-2.8677	-160.18
-2.2058	-122.93
-1.4706	-88.159
-0.88232	-45.941
-0.14706	13.659
0.44117	49.669
0.80881	98.097
1.5441	137.83
1.9852	180.05
2.4999	222.26
3.1618	265.72
3.8969	302.98
4.2647	330.29
5.0734	362.58
5.588	386.17
6.1763	412.25
6.7645	433.35
7.0587	437.08
6.6911	414.73
6.397	399.83
6.3233	384.93
5.8821	355.13
5.7351	334.02
5.2939	305.46
4.7059	284.35
4.5588	253.31
4.0439	219.78
3.6764	193.71
3.1618	166.39
2.4999	132.86
2.1323	104.3
1.5441	68.294
0.95585	36.01
0.73528	11.175
0.36764	-7.4503
-0.073528	-32.284
-0.36764	-63.325
-0.95585	-94.369
-1.397	-126.65
-1.9117	-161.42
-2.4999	-191.22
-2.9411	-213.57
-3.3823	-243.38
-4.3381	-288.08
-4.8529	-316.63
-5.6617	-353.89
-6.8379	-397.35
-7.2057	-409.76
-7.0587	-391.14
-6.7645	-367.54
-6.5441	-342.71
-6.1763	-319.12
-5.3675	-284.35
-4.8529	-250.83
-4.2647	-219.78
-3.7498	-194.95
-2.9411	-155.21
-2.3529	-120.44
-1.8382	-85.677
-0.80881	-36.01
-0.29411	-8.6918
0.29411	21.109
1.0294	74.503
1.3235	122.93
1.9117	162.66
2.4999	194.95
3.2352	249.58
3.8969	286.83
4.2647	325.33
5.0734	360.1
5.9558	396.11
6.4704	423.42
6.9116	437.08
6.6911	403.56
6.1029	355.13
5.5146	312.91
4.9263	274.42
4.4117	235.92
3.6764	187.5
2.9411	145.28
2.2058	105.54
1.397	57.12
0.88232	26.076
0.73528	-8.6918
0.36764	-32.284
-0.36764	-68.294
-1.1029	-106.79
-2.0588	-163.9
-2.7206	-204.88
-3.3823	-243.38
-4.1176	-269.45
-4.7059	-309.19
-5.8821	-352.65
-6.397	-381.2
-6.9116	-408.52
-7.2057	-406.04
-6.8379	-383.69
-6.4704	-360.1
-5.9558	-317.88
-5.4409	-288.08
-4.9263	-263.24
-3.7498	-213.57
-3.0147	-178.81
-2.4999	-141.56
-2.1323	-104.3
-1.7647	-68.294
-1.3235	-33.526
-0.44117	14.901
0.22058	50.91
1.25	108.03
1.7647	156.45
2.4264	201.16
2.7206	242.13
3.5293	281.87
4.3381	324.08
5.0734	365.06
5.9558	396.11
6.5441	423.42
6.985	435.84
6.6175	403.56
6.2499	361.34
5.588	324.08
5.2205	288.08
4.4851	244.62
3.7498	199.92
3.0881	166.39
2.2793	129.14
1.8382	91.887
1.4706	49.669
0.88232	12.417
0.14706	-18.626
-0.14706	-45.941
-0.58821	-88.159
-1.5441	-125.41
-1.9852	-170.11
-2.4264	-207.36
-3.3089	-254.55
-4.6322	-302.98
-5.3675	-335.26
-6.1029	-373.75
-6.6175	-398.59
-7.1321	-418.45
-6.985	-387.41
-6.7645	-356.37
-5.8087	-316.63
-5.0734	-263.24
-4.0439	-213.57
-3.3823	-172.6
-2.5735	-136.59
-1.6176	-88.159
-0.58821	-42.218
0.073528	-3.7251
0.66175	31.043
1.25	89.405
1.4706	141.56
1.9852	182.53
2.3529	218.54
3.1618	254.55
4.0439	294.29
4.6322	336.5
5.3675	368.79
6.1029	408.52
6.397	427.14
6.985	439.56
6.6175	411.01
6.3233	372.51
5.8087	335.26
5.2205	290.56
4.3381	244.62
3.6764	193.71
3.0881	155.21
2.2793	110.51
1.3235	62.084
0.73528	19.867
0.36764	-18.626
-0.22058	-48.428
-0.51468	-83.195
-0.95585	-126.65
-1.8382	-170.11
-2.9411	-219.78
-4.2647	-269.45
-4.9263	-312.91
-5.4409	-343.95
-6.1029	-379.96
-6.6175	-402.32
-7.1321	-418.45
-7.1321	-393.62
-6.8379	-366.3
-6.2499	-327.81
-5.2939	-286.83
-4.4851	-243.38
-3.9705	-199.92
-2.794	-147.76
-1.6176	-101.82
-0.80881	-54.633
-0.29411	-17.384
0.36764	18.626
0.73528	55.879
1.397	94.369
2.2058	136.59
2.794	170.11
3.4557	225.99
4.5588	279.38
5.1468	319.12
5.6617	360.1
6.4704	417.21
7.0587	442.05
7.7203	471.87
8.8232	509.1
10.147	531.43
11.176	543.88
12.941	568.71
14.338	571.2
14.632	547.58
14.485	520.26
13.455	478.05
13.014	434.6
12.058	386.17
11.029	338.99
9.9997	288.08
8.9703	248.34
7.8674	203.64
6.5441	156.45
5.6617	108.03
5	63.325
4.0439	23.592
3.0881	-9.9338
2.2793	-52.151
1.5441	-78.226
0.80881	-114.23
0	-151.49
-0.58821	-180.05
-1.4706	-211.09
-2.4999	-260.76
-3.3823	-302.98
-4.5588	-337.74
-5.3675	-378.72
-6.397	-415.97
-7.1321	-455.72
-8.4557	-480.54
-9.6322	-496.69
-10.661	-490.46
-11.691	-512.84
-12.573	-525.25
-14.044	-519.02
-14.338	-510.34
-14.191	-483.03
-13.676	-448.25
-13.382	-417.21
-12.353	-373.75
-11.544	-329.05
-10.441	-280.62
-9.5585	-248.34
-8.5291	-204.88
-7.7203	-170.11
-6.4704	-124.17
-5.5146	-79.467
-4.6322	-43.46
-3.8969	-17.384
-2.8677	21.109
-2.0588	50.91
-0.88232	93.128
-0.073528	126.65
0.80881	157.7
1.7647	191.22
2.4999	224.75
3.7498	262
4.7059	294.29
5.5146	327.81
6.8379	365.06
7.9411	398.59
9.4851	434.6
10.588	465.64
11.838	494.2
12.867	515.33
13.529	526.49
14.191	522.76
14.044	507.85
12.867	464.39
12.647	417.21
12.132	357.61
10.588	301.74
9.7793	274.42
8.9703	238.41
7.794	197.43
6.4704	156.45
5	99.338
3.8969	50.91
3.1618	21.109
2.4999	1.2417
1.9117	-21.109
1.1764	-43.46
0.44117	-64.57
-0.29411	-89.405
-0.73528	-110.51
-1.397	-132.86
-2.0588	-166.39
-2.7206	-197.43
-3.7498	-235.92
-4.7793	-262
-5.9558	-290.56
-6.8379	-325.33
-7.9411	-358.85
-9.0439	-391.14
-10.147	-417.21
-11.617	-445.76
-12.573	-471.87
-13.676	-487.97
-14.411	-484.28
-13.897	-460.66
-13.455	-433.35
-13.162	-404.8
-12.205	-361.34
-11.323	-324.08
-10.661	-293.04
-9.9997	-262
-9.2644	-232.2
-8.382	-198.67
-7.3528	-163.9
-6.6911	-132.86
-5.588	-88.159
-4.7059	-62.084
-4.1176	-31.043
-3.3089	1.2417
-2.2793	32.284
-1.397	63.325
0	101.82
1.3235	149.01
2.4264	192.47
3.6764	240.89
4.6322	280.62
5.9558	319.12
7.6469	358.85
8.382	391.14
9.5585	418.45
11.103	456.97
12.573	491.71
13.75	519.02
14.338	522.76
14.044	512.84
13.455	470.62
12.867	435.84
12.426	403.56
11.985	370.03
10.956	327.81
10.294	295.53
9.191	257.03
8.382	219.78
7.3528	180.05
6.1763	139.07
5.3675	104.3
4.3381	69.535
3.3823	36.01
2.3529	2.4834
1.5441	-19.867
0.88232	-45.941
0.14706	-78.226
-0.36764	-100.58
-1.5441	-139.07
-2.4999	-180.05
-3.5293	-219.78
-5	-257.03
-5.6617	-286.83
-7.1321	-330.29
-8.382	-377.48
-9.9997	-415.97
-12.058	-458.21
-12.72	-475.56
-13.602	-485.52
-14.191	-485.52
-13.97	-460.66
-13.602	-422.18
-12.573	-379.96
-11.25	-334.02
-10.514	-296.77
-9.7793	-255.79
-8.6761	-218.54
-7.7203	-175.08
-6.7645	-135.35
-5.5146	-98.097
-4.3381	-44.7
-3.6764	-12.417
-2.5735	22.351
-1.1764	58.361
0.14706	101.82
1.9117	155.21
3.2352	211.09
4.6322	259.52
5.8821	309.19
6.6911	337.74
7.7203	371.27
9.4851	412.25
11.103	451.98
12.353	484.28
13.455	506.61
14.264	515.33
13.382	471.87
12.426	419.7
11.617	370.03
10.808	329.05
9.6322	275.66
8.382	228.47
6.9116	172.6
6.1029	132.86
4.6322	85.677
3.3823	36.01
1.8382	-13.659
0.80881	-57.12
-0.44117	-83.195
-1.8382	-149.01
-3.0147	-199.92
-4.7059	-244.62
-6.397	-298.01
-7.2791	-336.5
-8.7498	-381.2
-10.294	-419.7
-11.617	-451.98
-13.014	-473.07
-13.455	-484.28
-14.117	-487.97
-14.044	-470.62
-13.602	-440.81
-12.72	-397.35
-11.544	-345.2
-10.514	-298.01
-9.4851	-255.79
-8.2352	-204.88
-6.6911	-150.25
-5.8087	-110.51
-4.7793	-64.57
-3.3823	-23.592
-2.4999	0
-2.0588	31.043
-0.73528	72.021
0	115.48
1.1029	150.25
2.2058	185.01
3.6764	232.2
5.0734	278.14
5.8087	311.67
7.4262	353.89
8.5291	392.38
9.7793	424.66
11.029	454.47
12.5	490.46
13.529	512.84
14.191	512.84
13.455	478.05
12.941	427.14
11.911	379.96
11.323	345.2
10.294	299.25
9.4115	262
8.5291	235.92
7.6469	193.71
6.397	144.04
5.2205	98.097
4.191	58.361
3.1618	18.626
1.6911	-24.834
0.14706	-64.57
-0.51468	-100.58
-1.397	-145.28
-2.4264	-182.53
-3.7498	-230.96
-5	-268.21
-6.4704	-304.22
-7.6469	-352.65
-9.4115	-393.62
-10.956	-435.84
-12.058	-464.39
-12.941	-479.3
-13.75	-490.46
-13.97	-478.05
-13.676	-442.05
-12.794	-396.11
-11.544	-342.71
-10.808	-298.01
-9.7056	-250.83
-8.6027	-212.33
-7.5733	-172.6
-6.3233	-130.38
-5.2205	-85.677
-4.4851	-50.91
-3.3823	-8.6918
-1.9117	22.351
-0.73528	68.294
0.29411	112.99
1.3235	156.45
2.6469	204.88
3.8235	242.13
4.6322	269.45
6.1763	321.6
8.1615	373.75
9.191	408.52
10.441	440.81
12.132	483.03
13.602	512.84
16.029	553.8
17.426	560.03
17.867	547.58
18.897	569.95
19.999	578.62
21.102	562.48
21.985	537.66
21.544	506.61
21.029	475.56
20.147	428.39
19.044	382.44
17.573	329.05
16.764	293.04
15.661	255.79
14.559	214.81
13.014	162.66
11.764	122.93
9.8527	76.985
8.0881	36.01
6.985	8.6918
5.2205	-39.735
3.6764	-78.226
2.3529	-109.27
0.73528	-145.28
-0.51468	-173.84
-1.4706	-206.12
-3.2352	-247.1
-4.2647	-280.62
-6.3233	-321.6
-7.6469	-361.34
-9.7056	-404.8
-10.808	-440.81
-13.014	-478.05
-14.117	-496.69
-15.661	-510.34
-16.911	-515.33
-17.867	-509.1
-18.602	-528.98
-20.073	-526.49
-20.661	-536.41
-21.396	-515.33
-21.838	-502.87
-21.47	-476.8
-20.808	-440.81
-20.147	-401.07
-19.338	-358.85
-18.308	-322.84
-17.353	-291.8
-16.985	-266.97
-16.103	-240.89
-15.294	-208.61
-14.411	-183.77
-13.455	-156.45
-12.058	-121.69
-11.029	-86.918
-9.9997	-54.633
-8.6761	-19.867
-7.2057	6.2084
-5.8087	37.251
-4.4851	65.811
-3.3089	100.58
-1.8382	131.62
-0.14706	171.35
1.25	203.64
2.9411	238.41
4.4117	265.72
6.4704	304.22
7.9411	334.02
9.9263	366.3
11.25	392.38
12.647	422.18
14.411	453.23
15.956	485.52
17.794	519.02
19.632	541.39
20.808	540.15
21.029	526.49
20.514	494.2
20.073	459.41
19.558	432.11
18.676	394.86
17.941	363.82
17.426	326.57
16.47	285.59
15.294	249.58
14.411	214.81
13.014	167.63
11.029	115.48
9.5585	74.503
8.0145	36.01
6.3233	2.4834
4.191	-43.46
3.0881	-78.226
1.25	-109.27
-0.22058	-150.25
-1.9117	-192.47
-3.7498	-230.96
-5.5146	-271.93
-7.2791	-309.19
-8.9703	-342.71
-11.838	-384.93
-14.044	-423.42
-16.323	-464.39
-18.97	-496.69
-20.735	-505.36
-20.808	-489.22
-20.441	-465.64
-20.22	-439.56
-19.632	-413.49
-18.97	-376.24
-18.382	-342.71
-17.5	-315.39
-15.735	-270.69
-14.853	-235.92
-13.676	-196.19
-12.353	-158.94
-11.25	-124.17
-9.7056	-80.713
-8.2352	-38.493
-6.8379	-1.2417
-5.4409	28.559
-3.4557	72.021
-1.6911	112.99
-0.22058	142.8
0.66175	163.9
2.0588	199.92
3.3823	234.68
5.4409	273.17
7.9411	324.08
10.441	371.27
12.573	409.76
14.706	450.74
17.132	485.52
19.191	515.33
20.735	533.92
21.47	525.25
21.102	489.22
20.147	444.53
19.117	394.86
17.573	345.2
17.058	301.74
15.882	259.52
14.706	209.85
12.5	161.42
11.176	117.96
9.8527	86.918
7.794	27.317
6.1029	-9.9338
4.4117	-50.91
2.0588	-99.338
0.22058	-136.59
-1.8382	-188.74
-4.5588	-237.17
-6.6911	-284.35
-10.147	-341.47
-12.058	-383.69
-14.411	-425.9
-16.985	-463.15
-18.455	-481.79
-20.073	-489.22
-21.102	-489.22
-21.249	-470.62
-21.323	-445.76
-20.441	-401.07
-19.191	-357.61
-18.161	-314.15
-16.911	-274.42
-15.808	-237.17
-14.485	-202.4
-13.162	-156.45
-12.353	-121.69
-10.661	-85.677
-8.9703	-42.218
-7.6469	-4.9669
-6.1029	31.043
-4.0439	81.954
-2.3529	117.96
-0.073528	157.7
2.4264	206.12
4.7059	248.34
6.3233	293.04
8.382	330.29
10.588	366.3
12.647	409.76
14.264	440.81
16.397	471.87
18.308	504.12
20.294	526.49
20.882	531.43
21.102	521.51
21.323	495.44
19.999	440.81
19.264	398.59
18.235	367.54
17.573	334.02
16.323	285.59
15.147	245.86
13.676	191.22
12.132	142.8
10.514	99.338
8.7498	58.361
7.3528	17.384
5.2939	-26.076
3.0147	-76.985
1.1764	-111.75
0	-146.52
-1.1029	-176.32
-3.6764	-228.47
-5.6617	-268.21
-7.2791	-304.22
-9.3381	-337.74
-11.617	-366.3
-13.602	-401.07
-15	-429.63
-17.279	-463.15
-19.117	-478.05
-20.514	-486.77
-21.176	-478.05
-21.176	-451.98
-20.588	-415.97
-19.558	-372.51
-18.235	-326.57
-16.838	-276.9
-15.661	-234.68
-14.411	-187.5
-13.014	-147.76
-11.544	-104.3
-9.4115	-54.633
-8.1615	-14.901
-6.397	19.867
-4.0439	64.57
-2.794	101.82
-0.73528	144.04
2.4264	188.74
3.9705	235.92
5.8087	271.93
7.8674	315.39
9.4851	355.13
10.735	378.72
12.573	413.49
14.632	454.47
17.353	490.46
19.705	514.08
20.808	520.26
20.735	501.67
19.926	465.64
19.044	422.18
18.161	376.24
17.058	321.6
16.103	276.9
13.897	211.09
12.72	166.39
10.367	111.75
8.5291	62.084
6.985	21.109
5.1468	-22.351
3.8969	-64.57
1.8382	-101.82
0.14706	-139.07
-1.1029	-170.11
-3.2352	-213.57
-4.7793	-254.55
-6.2499	-293.04
-8.2352	-329.05
-10.882	-365.06
-13.823	-415.97
-15.735	-444.53
-18.088	-473.07
-19.705	-490.46
-20.441	-490.46
-21.029	-480.54
-21.176	-459.41
-20.735	-420.94
-19.926	-386.17
-18.823	-341.47
-16.838	-273.17
-15.367	-224.75
-13.97	-180.05
-12.279	-122.93
-10.514	-72.021
-8.5291	-24.834
-6.4704	19.867
-4.6322	64.57
-2.794	100.58
-0.58821	152.73
1.0294	188.74
3.3089	235.92
5	271.93
6.7645	315.39
8.4557	340.23
10.808	377.48
13.309	415.97
15.441	453.23
18.161	489.22
21.249	520.26
23.161	542.64
24.852	542.64
27.427	552.56
28.824	532.67
28.677	499.18
27.866	455.72
27.059	414.73
25.883	370.03
24.632	322.84
23.749	273.17
21.764	225.99
20.588	183.77
18.97	141.56
17.426	103.06
16.397	65.811
15.073	36.01
12.941	0
10.956	-28.559
8.0881	-72.021
6.2499	-105.54
4.0439	-137.83
1.6911	-173.84
-0.14706	-203.64
-1.6176	-229.72
-3.2352	-262
-5.2205	-298.01
-7.2057	-321.6
-9.4115	-352.65
-11.397	-373.75
-13.897	-411.01
-15.956	-438.32
-18.088	-464.39
-20.514	-481.79
-22.352	-490.46
-24.19	-490.46
-24.852	-481.79
-25.441	-495.44
-26.69	-499.18
-27.572	-495.44
-28.529	-470.62
-28.382	-444.53
-27.793	-412.25
-26.985	-376.24
-26.248	-340.23
-25.073	-296.77
-24.117	-263.24
-22.72	-214.81
-21.617	-180.05
-20.22	-141.56
-18.75	-105.54
-17.573	-75.744
-15.956	-43.46
-14.779	-17.384
-13.75	1.2417
-12.279	33.526
-10.073	65.811
-8.382	89.405
-7.2791	105.54
-6.985	108.03
-4.9263	139.07
-2.5735	176.32
-0.66175	206.12
2.1323	242.13
4.7059	274.42
6.9116	306.7
9.4115	342.71
12.353	373.75
15	408.52
17.867	445.76
20.441	476.8
22.793	494.2
24.999	506.61
26.764	505.36
28.308	490.46
28.529	463.15
28.087	424.66
27.059	383.69
26.101	346.44
25.22	316.63
24.19	276.9
23.308	238.41
21.544	188.74
20.441	155.21
19.044	115.48
17.132	67.053
15.735	31.043
14.044	0
11.838	-34.768
9.4851	-69.535
7.3528	-108.03
5	-146.52
2.794	-171.35
0.44117	-204.88
-0.95585	-225.99
-2.6469	-249.58
-5.8087	-291.8
-8.2352	-317.88
-11.544	-348.92
-14.191	-384.93
-16.323	-404.8
-18.97	-429.63
-21.396	-455.72
-23.896	-459.41
-25.514	-463.15
-26.911	-463.15
-27.498	-458.21
-27.719	-438.32
-27.28	-406.04
-26.469	-378.72
-25.883	-347.68
-24.926	-319.12
-23.896	-283.11
-23.161	-253.31
-21.838	-217.3
-20.367	-173.84
-18.75	-131.62
-17.205	-94.369
-16.176	-60.843
-14.559	-24.834
-13.014	8.6918
-11.176	42.218
-9.5585	70.776
-7.5733	96.851
-4.8529	139.07
-3.0881	161.42
-0.51468	188.74
1.25	216.06
4.191	254.55
6.8379	288.08
9.4115	317.88
11.911	345.2
14.485	372.51
16.911	398.59
19.485	423.42
22.205	440.81
24.411	440.81
26.396	430.87
28.161	399.83
29.705	383.69
30.881	361.34
32.057	338.99
32.794	315.39
33.823	284.35
33.896	253.31
33.089	224.75
32.499	188.74
31.91	160.18
30.955	131.62
29.926	105.54
28.75	79.467
27.427	48.428
26.248	22.351
25.662	6.2084
24.926	-1.2417
