"Watson and Park 1989, Spec. 10"	
5.3703	2.9639
4.729	-8.1509
3.5268	-22.6
2.5649	-33.715
1.4427	-46.31
0.40076	-58.165
-0.72136	-73.356
-2.0038	-89.289
-3.0457	-98.92
-3.9273	-110.04
-4.8092	-120.41
-5.9312	-131.16
-6.9733	-143.01
-8.2558	-153.01
-9.6182	-164.13
-10.34	-170.8
-11.462	-178.58
-12.664	-185.25
-13.786	-191.91
-15.389	-197.1
-16.672	-197.84
-17.633	-197.84
-18.515	-197.84
-18.676	-191.91
-19.156	-180.8
-18.996	-170.42
-18.756	-161.16
-18.435	-150.42
-17.874	-140.04
-17.072	-126.34
-16.351	-113.74
-15.069	-99.293
-13.947	-88.177
-12.985	-74.841
-11.943	-62.244
-10.66	-48.535
-9.3779	-36.308
-8.2558	-24.452
-6.4922	-10.374
-5.4503	0.74098
-4.2482	10.744
-3.0457	23.711
-2.0038	37.049
-1.042	48.535
0	61.501
1.2824	74.098
2.7252	87.434
3.9273	100.4
5.8511	115.97
7.1336	128.19
8.9771	142.27
10.66	153.38
12.023	163.01
13.626	173.02
15.149	181.54
16.592	188.95
17.633	194.51
18.595	197.47
19.317	199.69
19.317	192.66
19.237	183.76
18.996	174.5
18.595	164.87
18.195	152.27
17.233	139.3
16.111	123.75
14.588	107.44
13.145	93.733
11.782	80.397
10.58	65.949
9.1374	54.09
7.6144	41.125
6.1717	26.676
5.1298	13.708
3.6871	0
2.8054	-10.003
1.7633	-20.006
0.72136	-33.344
-0.72136	-47.422
-2.2443	-63.725
-3.8473	-77.804
-5.0495	-89.289
-7.0533	-105.22
-9.2977	-120.78
-10.58	-132.26
-12.023	-140.42
-13.786	-150.05
-14.908	-158.94
-16.271	-165.98
-17.633	-172.28
-18.676	-175.99
-19.397	-176.35
-19.317	-167.83
-19.076	-156.72
-18.676	-145.97
-18.195	-133.01
-17.473	-119.67
-16.512	-106.33
-15.389	-90.028
-14.347	-76.692
-12.985	-62.613
-11.382	-47.422
-10.099	-34.085
-8.6566	-21.488
-7.3741	-10.003
-5.6909	5.9277
-4.5687	19.266
-3.4465	32.974
-2.084	46.31
-0.72136	58.908
0.72136	71.136
2.4046	88.177
3.7671	101.89
5.2098	113.74
6.6528	123.75
9.1374	141.16
11.301	153.38
13.706	166.35
16.03	177.47
18.275	188.95
20.279	195.99
22.362	200.44
23.725	202.66
24.847	203.4
25.408	203.77
25.649	197.84
25.89	190.43
25.969	183.02
25.969	176.72
25.649	168.57
25.088	159.68
24.286	147.83
23.485	137.45
22.523	125.23
21.401	114.11
19.637	99.293
17.874	85.215
16.431	72.244
14.828	60.763
12.985	45.941
11.462	34.455
10.26	25.193
8.8969	15.19
7.6144	5.5572
6.4922	-3.7049
4.8092	-18.154
3.8473	-28.157
2.5649	-38.531
1.603	-48.165
0.48092	-58.908
-1.042	-72.617
-2.5649	-85.215
-4.2482	-97.069
-6.1717	-108.55
-8.0955	-118.18
-9.2174	-125.23
-11.141	-135.97
-12.824	-145.23
-14.748	-154.86
-16.191	-162.28
-17.794	-168.21
-19.317	-174.13
-20.038	-176.35
-21.561	-179.69
-22.843	-182.28
-23.885	-183.02
-24.527	-182.28
-24.527	-177.84
-25.088	-168.21
-25.168	-160.05
-25.489	-149.68
-25.408	-137.82
-24.687	-126.71
-23.805	-115.22
-22.843	-104.48
-21.882	-93.733
-20.92	-84.841
-19.557	-71.874
-18.195	-59.277
-16.271	-44.459
-14.668	-32.233
-13.225	-20.377
-11.782	-9.2621
-10.099	1.8525
-8.3358	20.006
-6.9733	31.862
-5.2901	44.089
-3.6068	55.945
-1.4427	70.024
1.042	83.36
3.4465	98.55
5.2098	111.52
7.7747	124.86
9.8588	136.71
12.343	148.94
14.668	158.94
17.233	170.8
19.237	178.95
21.08	185.62
23.004	191.17
24.607	193.03
25.568	194.14
25.969	193.4
25.969	187.84
26.129	177.84
25.568	167.46
24.847	155.61
23.966	144.12
22.843	126.71
21.721	115.22
20.118	101.51
18.195	88.177
16.512	72.986
14.989	61.87
13.466	49.647
11.462	35.938
10.099	21.859
8.2558	10.374
6.7328	-2.223
4.9695	-15.561
3.2863	-27.787
1.1221	-42.236
-0.72136	-54.464
-2.8054	-67.431
-4.1679	-77.804
-5.7709	-89.289
-7.4541	-97.808
-9.2977	-108.92
-11.061	-117.82
-12.824	-127.45
-14.668	-136.34
-17.072	-144.49
-18.916	-151.9
-20.759	-157.46
-22.443	-161.16
-24.126	-163.76
-24.927	-165.24
-25.328	-164.87
-25.408	-159.31
-25.73	-150.05
-25.489	-138.56
-25.408	-126.34
-24.927	-113.37
-23.966	-101.51
-22.763	-87.808
-21.08	-72.244
-19.637	-60.763
-18.355	-46.68
-16.832	-34.455
-15.469	-24.823
-13.947	-14.079
-12.584	-5.5572
-11.061	4.4459
-9.2977	16.301
-7.2939	31.121
-5.2098	44.089
-3.4465	56.314
-1.5229	69.281
-0.080152	77.804
1.5229	89.658
3.7671	102.26
6.0114	114.11
8.0955	124.48
9.6985	134.49
11.943	145.23
14.107	154.86
15.95	163.01
18.756	173.76
20.92	180.06
23.084	186.73
25.008	190.43
26.932	190.8
28.854	190.8
30.538	190.8
31.339	190.06
31.981	189.32
32.222	181.91
32.382	174.87
32.301	165.61
32.382	154.12
31.9	143.38
31.501	134.12
30.94	125.96
30.378	117.45
28.936	104.11
28.054	95.214
27.173	85.953
25.408	74.841
24.206	66.319
22.362	54.833
20.92	44.089
19.637	36.308
18.355	28.157
15.95	14.82
14.668	6.2982
13.546	0
11.943	-9.2621
9.7785	-22.23
8.496	-31.121
6.4122	-41.865
4.2482	-52.24
2.1641	-61.501
0.40076	-70.393
-1.2824	-79.654
-2.8854	-87.065
-4.5687	-95.214
-6.1717	-103.37
-7.9352	-111.52
-10.019	-118.93
-11.622	-124.11
-13.626	-131.16
-15.229	-137.82
-17.473	-145.6
-19.637	-152.27
-21.962	-156.72
-24.527	-161.16
-25.89	-161.53
-27.572	-161.53
-29.014	-159.68
-30.457	-154.12
-31.339	-147.45
-32.141	-137.82
-32.542	-128.19
-32.542	-116.7
-32.222	-106.33
-31.821	-95.588
-31.1	-83.729
-30.137	-69.65
-29.014	-59.651
-27.732	-46.68
-26.21	-33.344
-24.286	-20.747
-23.004	-12.967
-21.16	-1.482
-20.038	4.0754
-17.313	17.784
-15.149	32.603
-13.706	41.865
-11.462	54.09
-9.6985	62.244
-7.0533	73.729
-4.1679	85.215
-2.2443	92.995
-0.1603	101.51
2.1641	111.15
4.0076	117.45
5.5306	123.37
8.416	133.75
11.622	144.49
14.668	153.38
17.553	160.79
20.198	165.98
23.324	171.17
26.21	173.02
28.133	171.17
29.657	167.46
30.94	161.53
31.74	153.75
32.141	144.86
32.141	135.6
32.222	127.08
31.821	114.85
31.42	105.96
31.178	98.92
30.378	89.289
29.174	78.173
27.813	65.206
25.89	52.24
24.286	41.495
22.763	32.233
20.92	20.377
19.156	10.374
17.553	1.1115
15.469	-10.374
13.947	-18.525
11.462	-30.38
9.4579	-40.013
7.1336	-51.128
5.5306	-58.165
3.206	-67.431
1.042	-75.58
-0.88168	-83.36
-3.6068	-91.14
-5.6909	-98.55
-8.3358	-106.33
-10.42	-111.52
-12.424	-116.7
-14.027	-120.04
-16.832	-126.71
-18.676	-130.04
-20.519	-133.75
-22.523	-134.86
-24.847	-136.71
-26.612	-136.71
-28.854	-130.78
-30.137	-124.86
-31.1	-118.56
-31.821	-106.7
-32.382	-94.845
-32.944	-80.766
-32.944	-69.65
-32.702	-58.165
-32.06	-46.68
-31.339	-37.049
-30.137	-24.452
-28.854	-12.967
-27.412	-2.5934
-26.53	4.4459
-24.767	14.82
-23.084	22.971
-20.679	36.679
-18.275	48.904
-15.389	61.132
-13.305	70.393
-11.382	78.916
-9.6182	84.841
-8.0955	90.401
-6.4922	96.326
-4.2482	103.74
-1.4427	111.89
1.5229	121.15
4.649	127.82
7.3741	134.49
10.58	140.42
13.546	145.23
16.03	147.08
18.836	148.2
21.321	145.6
22.923	141.16
24.366	135.97
25.408	131.53
26.289	124.86
26.85	119.3
26.85	114.85
