"Potangaroa 1979, Spec. 4"	
1189	
0	0
0.15325	21.996
0.22988	38.493
0.3065	58.654
0.45977	75.153
0.53637	93.484
0.613	106.31
0.613	124.64
0.68964	141.14
0.76627	164.97
0.8429	183.3
1.1494	205.3
1.1494	225.46
1.226	249.29
1.3793	269.45
1.6091	293.28
1.6091	315.28
1.7624	331.78
1.9923	348.27
2.1455	368.44
2.1455	388.6
2.3754	408.76
2.6053	430.76
2.7584	441.76
2.7584	425.26
2.682	408.76
2.7584	394.1
2.7584	375.77
2.7584	351.94
2.682	329.94
2.5287	304.28
2.5287	278.62
2.2221	240.12
2.1455	207.13
1.9923	186.97
1.7624	166.8
1.6858	146.64
1.3793	119.15
1.226	93.484
1.1494	65.989
0.99614	42.159
0.76627	18.33
0.53637	-10.998
0.45977	-29.328
0.38313	-58.654
0.15325	-86.153
0	-120.98
-0.22988	-150.31
-0.38313	-183.3
-0.613	-214.46
-0.76627	-241.96
-0.99614	-265.79
-1.3026	-287.78
-1.4559	-306.11
-1.3026	-287.78
-1.226	-265.79
-1.1494	-238.29
-0.99614	-203.47
-0.8429	-175.97
-0.613	-141.14
-0.53637	-111.81
-0.38313	-78.818
-0.15325	-49.491
0	-12.831
0	20.163
0	54.989
0.15325	87.986
0.38313	124.64
0.613	157.64
0.91951	186.97
1.1494	212.63
1.226	241.96
1.5325	269.45
1.6091	302.45
1.6858	329.94
1.839	353.77
2.1455	381.27
2.452	414.26
2.682	441.76
2.9119	467.42
2.9883	489.39
3.3716	513.24
3.7546	531.56
4.0612	553.58
4.5209	579.25
4.8275	597.57
5.2106	615.9
5.5936	632.4
6.0536	650.73
6.5898	672.7
7.0495	691.03
7.586	705.71
7.969	720.39
8.2756	727.68
8.5822	736.89
8.8887	742.36
8.812	724.04
8.6589	705.71
8.7353	689.21
8.5822	670.88
8.5822	652.55
8.429	626.89
8.3523	606.74
8.3523	588.41
8.2756	573.73
8.0457	544.42
8.0457	527.91
8.0457	509.59
7.8158	482.1
7.6627	460.08
7.4328	436.25
7.3561	414.26
7.1262	379.43
6.8964	351.94
6.5898	322.61
6.5133	296.95
6.13	271.28
5.6703	240.12
5.5171	216.29
5.2106	192.47
4.6741	150.31
4.4442	131.98
4.2144	104.48
3.908	78.818
3.7546	56.822
3.5248	29.328
3.2182	0
3.065	-29.328
2.8351	-53.156
2.682	-76.985
2.3754	-104.48
2.0689	-131.98
1.6858	-159.47
1.5325	-183.3
1.3793	-210.8
1.226	-238.29
0.99614	-258.46
0.76627	-285.95
0.53637	-306.11
0.15325	-333.61
0	-361.1
-0.3065	-386.76
-0.68964	-416.1
-0.99614	-452.74
-1.3026	-476.58
-1.5325	-500.42
-1.9923	-526.09
-2.2221	-546.24
-2.5287	-570.08
-2.9119	-590.23
-3.2949	-610.39
-3.8313	-634.23
-4.3678	-652.55
-4.7508	-669.06
-5.4404	-683.69
-6.13	-696.55
-6.8196	-709.36
-7.2794	-711.23
-7.7391	-716.7
-8.1991	-720.39
-8.1991	-711.23
-8.1991	-696.55
-8.2756	-674.53
-8.2756	-652.55
-8.1224	-628.71
-7.969	-606.74
-7.8158	-577.38
-7.7391	-553.58
-7.586	-526.09
-7.2794	-500.42
-7.1262	-476.58
-6.9731	-449.09
-6.5898	-425.26
-6.3599	-394.1
-5.9769	-372.1
-5.747	-344.61
-5.4404	-320.78
-4.9807	-293.28
-4.6741	-269.45
-4.4442	-243.79
-4.2144	-223.63
-3.908	-203.47
-3.6015	-174.13
-3.2949	-148.47
-2.9119	-111.81
-2.5287	-86.153
-2.0689	-60.491
-1.9156	-42.159
-1.6091	-23.829
-1.3793	-3.666
-1.226	18.33
-0.8429	45.826
-0.45977	71.487
-0.22988	95.317
0	119.15
0.38313	146.64
0.613	166.8
0.99614	196.13
1.3793	230.96
1.6858	262.12
1.9923	293.28
2.2988	329.94
2.682	357.44
3.065	384.93
3.2949	408.76
3.6015	432.59
3.908	454.61
4.3678	482.1
4.904	509.59
5.3637	531.56
5.6703	551.76
6.13	573.73
6.8196	604.91
7.2794	623.24
7.8925	647.04
8.3523	661.72
8.5822	670.88
8.812	680.04
9.1186	687.38
9.1951	672.7
9.0419	652.55
8.8887	632.4
8.7353	608.56
8.5822	588.41
8.5822	568.22
8.429	544.42
8.429	526.09
8.2756	505.9
8.1224	478.41
7.8925	441.76
7.6627	416.1
7.5093	390.43
7.2029	362.93
7.0495	339.11
6.5898	302.45
6.3599	274.95
5.9769	241.96
5.747	212.63
5.2106	183.3
4.6741	152.14
4.2911	122.81
3.7546	84.32
3.1417	54.989
2.9119	23.829
2.682	-1.833
2.2988	-34.827
1.7624	-67.822
1.3026	-98.982
0.99614	-128.31
0.613	-150.31
0.3065	-177.8
0.076627	-199.8
-0.22988	-230.96
-0.68964	-260.29
-1.0728	-280.45
-1.226	-302.45
-1.6091	-324.44
-1.839	-348.27
-2.2221	-370.27
-2.8351	-403.26
-3.2949	-430.76
-3.5248	-452.74
-3.8313	-480.23
-4.2911	-504.07
-4.5209	-522.4
-5.0574	-546.24
-5.5171	-571.91
-5.9769	-592.06
-6.3599	-610.39
-6.7432	-628.71
-7.2794	-650.73
-7.6627	-665.37
-7.8925	-672.7
-8.1991	-680.04
-8.5054	-680.04
-8.5054	-670.88
-8.3523	-654.38
-8.1991	-636.05
-8.1224	-617.72
-8.0457	-595.75
-7.969	-573.73
-7.8925	-549.89
-7.5093	-524.22
-7.2794	-496.73
-7.0495	-469.24
-6.7432	-432.59
-6.3599	-406.93
-6.0536	-375.77
-5.6703	-342.78
-5.2873	-315.28
-4.7508	-276.79
-4.3678	-251.12
-4.1379	-229.13
-3.6782	-197.96
-3.3716	-170.47
-3.1417	-146.64
-2.7584	-122.81
-2.452	-84.32
-2.0689	-60.491
-1.6858	-34.827
-1.5325	-16.497
-1.3793	0
-1.1494	21.996
-0.8429	40.326
-0.53637	64.157
-0.22988	86.153
0.076627	120.98
0.3065	139.31
0.613	166.8
0.99614	185.13
1.1494	197.96
1.4559	219.96
1.7624	234.63
1.9156	258.46
2.2221	284.12
2.5287	298.78
2.9119	326.28
3.2949	348.27
3.7546	372.1
4.1379	397.76
4.5209	425.26
4.7508	443.59
5.2106	467.42
5.5936	491.26
5.9002	515.06
6.2067	531.56
6.5898	546.24
7.0495	571.91
7.586	597.57
8.3523	628.71
8.8887	647.04
9.5016	670.88
10.421	694.72
11.417	713.05
12.337	729.55
13.103	744.19
13.869	753.35
14.712	762.51
15.555	773.55
16.168	775.37
16.628	780.89
16.475	758.87
16.398	747.88
16.475	729.55
16.398	713.05
16.398	700.19
16.398	685.56
16.398	663.54
16.321	639.74
16.091	615.9
16.091	588.41
16.015	562.74
15.862	542.55
