"Arakawa et al. 1988, Spec. 26"	
819	
0	0
0.05797	9.3399
0.23188	18.68
0.34781	31.316
0.5797	42.853
0.75361	54.94
1.0435	66.479
1.2174	76.914
1.4492	86.807
1.6811	93.946
1.797	98.893
1.913	102.19
1.797	89.552
1.5072	75.268
1.2753	61.532
0.92752	45.599
0.63767	27.47
0.23188	8.2412
0.05797	-7.6914
-0.17391	-24.723
-0.46377	-45.599
-0.81158	-61.532
-1.1014	-76.914
-1.2753	-86.255
-1.5072	-93.946
-1.797	-102.19
-1.797	-93.399
-1.6811	-83.511
-1.3334	-69.775
-1.0435	-55.492
-0.75361	-39.008
-0.52173	-26.371
-0.17391	-11.537
-0.05797	1.6482
0.23188	20.328
0.69564	40.656
1.0435	57.689
1.2174	71.421
1.5072	85.157
1.797	95.045
2.0869	106.04
2.5507	118.12
2.8405	123.62
2.5507	103.29
2.0869	86.255
1.6811	67.026
1.1594	48.348
0.86956	31.865
0.52173	13.735
0.11594	-3.8458
-0.11594	-24.723
-0.69564	-45.599
-1.1594	-68.676
-1.6232	-86.255
-1.8551	-100.54
-2.3768	-113.18
-2.6666	-121.42
-2.8405	-124.71
-2.6666	-113.73
-2.3768	-99.44
-1.8551	-78.017
-1.6232	-67.026
-1.3334	-51.092
-0.98549	-36.261
-0.52173	-18.131
-0.17391	-3.8458
0.05797	10.988
0.40579	27.47
0.86956	45.599
1.3913	65.927
1.913	87.906
2.3768	104.39
2.8405	119.77
3.3043	130.76
3.7101	137.35
3.884	140.1
3.7101	129.11
3.2464	109.88
2.5507	88.453
2.029	69.223
1.5072	50.545
1.0435	32.415
0.52173	10.439
0	-8.7906
-0.34781	-29.119
-1.2753	-58.236
-1.8551	-84.058
-2.2609	-100.54
-2.8405	-118.67
-3.2464	-130.76
-3.5941	-137.35
-3.942	-140.65
-3.7681	-127.46
-3.4781	-112.63
-2.8985	-93.946
-2.4347	-77.466
-1.913	-61.532
-1.5072	-46.697
-1.1014	-34.613
-0.81158	-21.976
-0.52173	-9.8893
-0.34781	2.1976
0.17391	18.68
0.63767	40.107
1.3334	62.084
2.029	80.762
2.6087	99.44
3.2464	117.02
3.7681	132.41
4.1739	142.85
4.5217	148.89
4.9275	152.73
4.6956	141.2
3.7681	112.63
3.3043	96.695
2.6087	72.519
2.1449	61.532
1.7391	49.446
1.3913	37.359
0.86956	20.328
0.46377	6.5927
0.05797	-6.0434
-0.28985	-25.822
-0.81158	-45.052
-1.5072	-67.026
-2.2028	-85.708
-2.7826	-104.39
-3.2464	-119.77
-3.826	-135.7
-4.2898	-145.59
-4.6377	-148.89
-4.9275	-153.83
-4.8115	-141.2
-4.4637	-125.26
-3.7681	-107.14
-3.3623	-89.552
-2.6666	-70.322
-2.1449	-52.743
-1.5651	-36.261
-1.0435	-20.328
-0.63767	-5.494
-0.11594	7.1421
0.40579	24.723
1.2174	47.249
1.7391	69.223
2.4928	89.552
3.3623	109.88
4.0579	128.01
4.7535	142.85
5.2753	152.73
5.913	162.62
5.6811	152.73
5.1013	130.76
4.1739	106.04
3.3623	83.511
2.7245	66.479
1.971	47.249
1.2753	26.371
0.5797	5.494
0.34781	-1.0988
-0.46377	-31.316
-1.1594	-52.195
-1.797	-69.223
-2.3768	-83.511
-3.4202	-110.98
-4.2318	-130.76
-4.6956	-143.39
-5.1594	-151.08
-5.5071	-157.13
-5.913	-162.62
-5.6811	-146.14
-5.1594	-129.11
-4.4058	-108.78
-3.942	-93.399
-3.2464	-73.071
-2.4928	-55.492
-1.8551	-36.81
-1.2753	-20.328
-0.75361	-3.8458
-0.17391	12.087
0.52173	35.711
0.86956	49.994
1.913	70.322
3.2464	98.893
3.884	113.73
4.6956	130.21
5.2173	143.94
5.855	155.48
6.3188	162.62
6.7245	166.47
6.9564	167.57
6.6086	156.58
6.0289	137.9
5.3913	119.22
4.7535	102.19
4.2318	86.255
3.5941	70.322
2.7826	53.841
2.1449	40.107
1.5072	23.075
1.1594	12.636
0.63767	0
0.17391	-11.537
-0.11594	-22.525
-0.63767	-41.205
-1.2753	-58.236
-1.971	-75.268
-3.0145	-93.946
-3.826	-110.98
-4.4058	-126.36
-4.9854	-139
-5.739	-151.08
-6.2028	-159.88
-6.5507	-163.72
-6.8984	-167.57
-6.7824	-155.48
-6.3767	-141.2
-5.739	-123.62
-5.1013	-102.19
-4.5796	-86.807
-3.6521	-66.479
-2.7826	-49.446
-2.1449	-32.964
-1.5651	-16.482
-0.92752	-3.2964
-0.34781	12.636
0.28985	32.964
0.81158	47.249
1.6232	65.927
2.9564	88.453
3.884	107.14
4.6956	122.52
5.6231	140.65
6.3767	154.38
7.0143	163.72
7.4201	168.67
7.768	170.87
7.8839	165.92
7.5361	153.83
7.0143	138.45
6.5507	125.26
5.855	109.88
5.2753	96.695
4.6956	82.412
4	65.927
3.0145	47.249
2.3768	32.415
1.7391	18.68
1.2174	7.6914
0.98549	0
0.5797	-10.439
0.17391	-21.427
-0.17391	-31.316
-0.86956	-49.446
-1.6811	-63.73
-2.4928	-77.466
-3.0724	-91.202
-3.884	-106.04
-4.5217	-118.12
-5.1013	-130.76
-5.739	-142.85
-6.5507	-154.93
-7.0143	-163.17
-7.4201	-167.57
-7.826	-169.21
-7.71	-159.88
-7.1883	-143.39
-6.6666	-128.01
-6.0869	-110.98
-5.4492	-95.045
-4.9854	-81.314
-4.2318	-64.828
-3.5362	-48.348
-2.6666	-31.865
-1.971	-19.229
-1.5072	-7.1421
-1.1594	-0.5494
-0.92752	6.0434
-0.23188	18.68
0.23188	32.964
0.86956	48.348
1.8551	67.577
2.8985	84.058
4	102.19
4.9275	116.47
5.797	132.96
6.6666	146.14
7.1883	157.68
8.0579	166.47
8.6375	170.87
8.9273	171.41
8.8114	165.92
8.5216	153.83
7.9419	137.9
7.652	127.46
7.1883	115.37
6.6086	102.19
6.0869	91.202
5.5071	78.017
4.8115	64.828
4.1739	52.743
3.5362	40.656
2.7826	27.47
2.2028	18.131
1.797	8.2412
1.5072	0
0.98549	-10.439
0.52173	-19.779
0	-28.569
-0.40579	-39.557
-0.92752	-51.092
-1.797	-64.828
-2.6666	-78.564
-3.4781	-90.65
-4.2898	-105.49
-5.0434	-118.12
-5.6811	-130.21
-6.4926	-142.85
-7.1883	-153.83
-7.768	-162.62
-8.1737	-167.57
-8.6956	-170.31
-8.8694	-170.31
-8.7535	-160.98
-8.4056	-147.24
-7.826	-132.96
-7.2462	-118.12
-6.6666	-104.39
-6.2028	-91.749
-5.6811	-80.215
-5.1594	-67.577
-4.4637	-55.492
-3.7681	-41.755
-3.1304	-30.217
-2.4347	-15.383
-1.913	-4.3952
-1.3334	4.3952
-0.69564	19.779
0.17391	37.909
0.86956	53.294
2.0869	71.972
3.6521	91.749
4.5217	109.88
5.5651	124.71
6.5507	139
7.3622	151.64
8.1158	162.08
8.6956	168.12
9.0433	168.67
9.565	171.96
9.9709	174.16
