"Arakawa et al. 1988, Spec. 26"	
9.9129	168.12
9.681	158.23
9.1592	144.49
8.6375	130.76
7.71	110.43
6.9564	93.946
6.1448	77.466
5.3913	62.084
4.7535	47.796
3.7681	32.964
2.9564	18.131
2.2028	5.494
1.6232	-4.9446
0.92752	-18.68
0.28985	-29.668
-0.28985	-40.107
-0.92752	-52.195
-1.5072	-63.183
-2.3768	-76.914
-3.5362	-90.65
-4.5217	-104.94
-5.5651	-121.97
-6.3767	-135.15
-7.3622	-148.89
-8.2318	-159.88
-8.7535	-166.47
-9.2173	-170.87
-9.623	-171.41
-9.9709	-173.61
-9.7969	-162.62
-9.2752	-149.99
-8.8114	-134.6
-8.1737	-116.47
-7.5941	-103.29
-6.7824	-87.906
-6.1448	-73.071
-5.5651	-58.788
-4.7535	-45.052
-3.7681	-26.371
-2.9564	-14.285
-2.2609	-2.747
-1.6232	8.7906
-0.81158	23.625
-0.11594	36.261
0.86956	53.294
1.7391	66.479
3.7681	91.202
5.3332	112.63
6.5507	128.01
7.768	143.39
8.9273	156.58
9.7969	165.92
10.261	170.87
10.666	171.41
10.956	171.41
10.666	163.17
10.319	147.24
9.739	131.86
9.0433	115.37
8.2897	99.44
7.3622	82.412
6.4926	65.927
5.6231	50.545
4.7535	35.162
3.7681	19.229
2.8405	4.3952
2.029	-7.6914
0.98549	-23.075
0.17391	-35.711
-0.5797	-46.697
-0.98549	-53.841
-1.971	-68.676
-3.0724	-82.412
-3.826	-91.749
-4.5796	-103.29
-5.797	-119.22
-7.0143	-133.5
-7.8839	-145.59
-8.5796	-152.73
-9.3911	-162.08
-9.9709	-168.67
-10.377	-169.77
-10.782	-171.41
-10.493	-158.23
-10.087	-143.94
-9.4491	-126.36
-8.6375	-108.23
-7.826	-87.906
-6.9564	-71.421
-6.0289	-54.94
-4.9854	-36.81
-3.942	-19.229
-2.9564	-3.8458
-2.0869	8.7906
-1.2174	21.427
-0.46377	34.063
0.28985	46.15
1.2753	60.434
2.3188	72.519
3.4781	86.255
4.8115	101.64
5.913	115.93
7.0143	128.01
8.1158	141.2
8.9854	151.08
9.739	157.68
10.435	165.37
10.84	168.12
11.188	168.67
11.594	169.77
11.884	169.77
11.71	161.52
11.13	143.94
10.551	132.96
10.029	117.02
9.5071	104.94
8.7535	89.004
8.0579	75.268
7.3622	61.532
6.4347	47.249
5.4492	34.063
4.4637	19.229
3.5941	7.1421
2.9564	-2.747
2.1449	-14.285
1.0435	-29.668
-0.05797	-43.952
-0.98549	-55.492
-1.5651	-63.73
-2.6666	-76.914
-4.0579	-91.749
-5.3332	-108.23
-6.4926	-122.52
-7.71	-135.15
-8.7535	-146.69
-9.681	-157.13
-10.493	-165.37
-11.13	-168.67
-11.768	-170.87
-11.71	-162.62
-10.956	-141.2
-10.203	-120.32
-9.2752	-99.44
-8.3477	-79.663
-7.4201	-63.73
-6.2607	-45.052
-5.2753	-28.569
-4.3477	-13.735
-3.3623	1.0988
-2.2028	17.031
-0.86956	34.063
0.40579	48.348
1.3334	60.434
2.4347	73.071
3.5362	87.906
5.1594	104.39
6.7824	120.87
8.1737	135.15
9.4491	146.69
10.493	157.68
11.304	163.72
12.174	167.02
13.043	169.21
13.449	169.77
13.854	169.77
13.854	165.92
13.623	157.68
13.217	145.04
12.638	133.5
12.116	121.97
11.362	106.58
10.782	92.301
10.087	79.116
9.2752	64.281
8.6956	53.841
7.71	41.205
6.8984	28.569
5.9709	15.383
5.0434	3.8458
4.2898	-6.0434
3.2464	-17.581
2.029	-29.668
1.0435	-40.656
-0.05797	-53.294
-0.81158	-60.434
-2.0869	-71.972
-3.7681	-89.004
-5.1594	-103.29
-6.5507	-118.67
-8.1737	-134.6
-9.5071	-146.69
-10.377	-155.48
-11.536	-163.72
-12.232	-165.92
-12.986	-168.67
-13.391	-168.67
-13.797	-169.77
-13.739	-160.43
-13.275	-147.24
-12.638	-131.31
-11.884	-114.83
-11.072	-98.341
-10.145	-80.762
-9.3332	-64.281
-8.2318	-47.249
-7.1883	-31.865
-6.1448	-17.581
-4.7535	0.5494
-3.4202	15.383
-2.0869	28.569
-0.46377	45.052
0.81158	58.236
1.8551	68.676
2.8985	78.564
4.6377	96.144
6.0869	107.68
7.826	121.97
9.623	136.25
10.84	147.24
12.174	155.48
13.16	161.52
13.971	165.37
15.131	166.47
15.536	167.02
15.999	168.12
15.71	158.78
15.362	146.69
14.84	133.5
14.145	119.77
13.449	105.49
12.753	91.749
12.058	78.017
11.188	62.631
10.261	49.994
9.5071	37.909
8.8694	30.217
7.71	16.482
6.8405	7.1421
6.1448	-2.1976
4.9275	-13.735
3.4202	-26.921
2.2609	-36.261
0.98549	-47.249
-0.17391	-56.59
-1.1594	-65.927
-2.4347	-75.815
-4.0579	-89.552
-5.2753	-101.64
-6.7245	-113.73
-8.1737	-124.16
-9.739	-137.35
-10.898	-146.14
-12.232	-156.03
-13.623	-162.62
-14.492	-165.37
-15.131	-166.47
-15.884	-167.02
-15.594	-156.03
-15.188	-142.29
-14.55	-127.46
-13.854	-111.53
-12.986	-94.498
-12.174	-80.215
-11.246	-63.73
-10.087	-45.052
-8.6956	-27.47
-7.5941	-13.735
-6.0869	2.1976
-4.2318	18.131
-2.3188	34.613
-0.81158	46.697
0.40579	57.689
1.913	68.676
3.4781	82.959
5.913	101.64
7.5941	113.18
9.2752	124.16
10.666	134.06
12.116	143.94
13.565	152.73
14.783	158.23
15.536	161.52
16.406	163.72
17.101	164.27
17.507	164.27
17.855	165.37
17.681	158.78
17.449	149.99
16.928	137.9
16.289	121.97
15.594	108.78
14.957	94.498
14.261	80.762
13.449	69.223
12.638	57.137
11.768	45.599
10.898	33.513
10.029	23.625
8.6956	9.3399
8.0579	2.747
7.0724	-6.0434
6.0289	-15.933
4.8115	-25.273
3.1883	-36.81
1.8551	-45.052
0.5797	-54.393
-0.46377	-63.183
-1.971	-72.519
-3.6521	-84.058
-5.2753	-96.695
-7.1883	-109.88
-8.8694	-121.42
-10.261	-130.76
-11.942	-141.75
-13.506	-149.99
-15.014	-157.68
-16.347	-162.62
-17.043	-163.72
-17.855	-163.72
-17.681	-155.48
-17.275	-141.75
-16.58	-128.01
-15.825	-112.08
-15.014	-97.243
-14.145	-79.116
-13.334	-66.479
-12.116	-48.348
-10.84	-33.513
-9.7969	-20.328
-8.7535	-10.988
-7.8839	-0.5494
-6.9564	7.6914
-5.4492	18.131
-3.4202	33.513
-1.8551	43.403
0	56.59
1.0435	64.281
2.4347	74.717
4.6956	89.552
6.6086	103.29
8.8694	116.47
10.782	128.56
12.522	139
14.435	147.24
15.942	154.38
17.101	158.78
18.086	160.98
18.956	163.17
19.536	163.17
19.942	164.27
19.71	154.38
19.072	139.55
18.492	126.91
17.855	112.08
17.101	97.794
16.173	81.314
15.304	68.125
14.435	55.492
13.506	43.952
12.464	30.767
11.652	21.976
10.551	11.537
9.565	2.1976
8.5796	-5.494
6.9564	-17.581
5.1594	-28.569
3.5941	-38.458
1.797	-48.895
0	-58.788
-1.6811	-71.421
-3.4781	-82.959
-5.1594	-92.301
-7.3622	-106.04
-9.0433	-116.47
-11.13	-128.01
-12.986	-137.9
-14.724	-146.69
-16.058	-151.64
-17.391	-155.48
-18.203	-159.88
-19.13	-161.52
-19.652	-162.62
-19.942	-163.72
-19.768	-155.48
-19.478	-145.04
-18.956	-130.76
-18.203	-116.47
-17.623	-105.49
-17.043	-92.301
-16.116	-78.017
-15.246	-61.532
-14.261	-49.994
-13.101	-33.513
-12.058	-23.625
-10.84	-13.186
-9.7969	-3.2964
-8.6956	6.0434
-7.2462	14.834
-5.797	23.075
-4.5796	30.767
-2.9564	39.557
-1.2174	49.446
0.40579	60.434
2.1449	71.421
4.1158	83.511
6.3188	96.695
8.1737	106.04
10.319	117.02
12.116	126.91
14.318	136.25
15.825	143.39
17.681	150.54
19.246	154.93
20.348	158.78
21.217	160.43
21.913	160.98
21.565	151.08
21.275	141.75
20.696	131.86
20.231	119.22
19.478	103.84
18.84	90.103
18.029	77.466
17.101	62.631
16.058	49.994
14.957	37.359
13.854	24.723
12.464	14.285
11.536	6.0434
10.666	-0.5494
9.0433	-10.988
7.4781	-20.328
5.6231	-29.668
4.0579	-38.458
2.3188	-46.697
0.5797	-54.94
-0.81158	-63.183
-2.4347	-71.421
-3.7681	-77.466
-5.2753	-85.708
-6.7824	-94.498
-8.2318	-103.29
-9.8549	-110.43
-11.536	-119.22
-13.16	-127.46
-14.783	-134.06
-16.232	-141.2
-17.681	-146.14
-18.84	-149.99
-19.71	-152.18
-20.348	-153.83
-20.753	-153.83
-21.391	-154.93
-21.797	-155.48
-21.507	-147.79
-20.985	-133.5
-20.348	-119.77
-19.652	-104.94
-18.84	-89.552
-17.913	-74.717
-17.043	-60.985
-15.999	-48.348
-15.072	-36.81
-14.609	-29.668
-13.565	-22.525
-12.232	-10.439
-11.246	-3.2964
-10.898	-0.5494
