"Saatcioglu, 1999, Specimen RC-3"	
2277	
-0.01	-15.8629688
0.01	-13.2070312
0.03	-10.03109361
0.03	-8.551093613
0.05	-7.515156022
0.06	-6.442187226
0.03	-4.831093613
0.2	-3.470624087
0.15	-2.895468065
0.24	-1.868748905
0.27	-1.419842519
0.3	0.279063868
0.36	1.126876639
0.53	2.557346155
0.86	4.555316357
1.2	6.056255288
1.65	7.849850783
1.92	9.070007975
2.11	9.926414832
2.22	10.66907141
2.47	11.22329084
2.56	11.60000981
2.65	11.86672876
2.72	12.36751016
2.83	12.74016663
2.96	13.4787606
3.11	14.31329207
3.28	15.27376101
3.47	16.4301674
3.66	17.0865737
3.8	17.44813618
3.9	17.67782364
3.92	18.16376113
4.06	18.48532352
4.16	18.7950109
4.14	19.23907343
4.28	19.45063573
4.35	19.98141686
4.44	20.66813543
4.65	21.28047868
4.8	21.94500948
5.01	23.14735248
5.16	23.33188311
5.39	24.26016325
5.44	24.44500673
5.54	24.85469367
5.63	25.57141188
5.94	26.17344104
5.97	26.97234707
6.04	27.13312779
6.11	27.43390849
6.14	27.68281449
6.28	28.56437581
6.44	29.25187436
6.57	30.22046684
6.92	31.39436931
7.33	33.4160829
7.73	35.32482707
7.83	35.76451298
7.99	35.91201033
8.06	35.80279038
8.11	35.70763326
8.14	35.47653897
8.16	35.28247612
8.21	35.22731896
8.23	35.0532561
8.25	35.02919323
8.21	30.25731896
7.92	22.73123026
7.54	18.10842369
7.18	14.90155364
6.87	14.38952614
6.51	12.25265493
6.16	10.01875183
5.75	7.167036119
5.61	5.965474505
4.9	2.094696643
4.28	-1.979364272
3.47	-5.9698326
2.98	-8.265301865
2.51	-10.55483406
1.94	-13.62405446
1.42	-16.02843133
0.72	-20.09624675
0.67	-20.42109072
0.37	-22.09015457
-0.3	-25.78906387
-0.95	-28.98203549
-1.46	-31.21344382
-2.18	-34.25719629
-2.35	-34.92766553
-2.93	-38.0298543
-3.49	-40.05610491
-3.62	-40.8146987
-3.93	-41.66672987
-4.16	-42.3850109
-4.69	-44.27235356
-4.98	-45.21844635
-5.35	-46.73828845
-5.64	-47.37438057
-6.02	-48.38719044
-6.17	-49.0317205
-6.47	-49.92078032
-6.88	-51.43249477
-7.09	-52.18483602
-7.28	-52.93123983
-7.71	-54.25888988
-8.09	-54.51169611
-8.1	-54.27466468
-8.09	-54.06169611
-8.09	-53.65169611
-8.1	-53.51466468
-8.09	-52.13169611
-8.1	-51.48466468
-8.1	-50.45466468
-8.1	-48.34466468
-8.1	-45.69466468
-8.1	-41.62466468
-7.79	-39.74263862
-7.67	-38.0870155
-7.57	-37.2673295
-7.53	-36.29545509
-7.43	-34.84576902
-7.24	-33.72936536
-7.1	-32.37780465
-6.88	-30.69249477
-6.6	-28.63937279
-6.28	-27.37437581
-5.79	-24.33891085
-5.45	-22.99797543
-5.12	-20.42000828
-4.93	-19.05360278
-4.61	-18.74860378
-4.18	-16.11094838
-3.92	-14.41376113
-3.52	-12.43501117
-3	-9.760635666
-2.88	-9.005010469
-2.25	-6.677977747
-2.26	-5.230946526
-1.87	-4.085164057
-1.54	-2.777194125
-1.25	-1.011099241
-0.95	0.667964506
-0.94	0.810933299
-0.68	1.778121929
-0.3	4.060936132
0.17	6.310469526
0.22	6.565313504
0.49	7.885470975
0.8	9.527503597
1.03	10.38578583
1.04	11.04875462
1.25	11.24109924
1.46	12.61344382
1.75	13.86953864
1.84	14.93625771
2.18	16.78719629
2.37	17.98360308
2.44	18.55438451
2.68	18.97563508
2.7	19.49157262
2.91	20.90391677
3.08	22.26438578
3.49	23.76610491
3.97	24.55860484
4.25	25.85172953
4.75	26.75016589
4.77	26.93610332
4.83	28.32391563
5.06	29.46219603
5.44	30.02500673
5.75	31.45703612
6.09	32.52797115
6.35	34.08515644
6.73	35.29796518
6.97	36.53921248
7.25	37.45233397
7.82	38.55154439
7.94	38.89716743
8.23	39.9532561
8.25	39.98919323
8.33	39.70294174
8.37	39.47481598
8.4	39.31372166
8.4	38.03372166
8.42	37.10965877
8.37	32.30481598
8.33	27.68294174
8.28	26.86809893
8.14	23.27653897
7.99	22.06201033
7.85	20.23045016
7.51	17.30951788
6.9	15.22843204
6.61	14.21234144
6.26	12.07843848
5.66	8.760317947
5.3	6.903444955
5.08	5.318133451
4.96	4.352508924
4.56	2.093760159
4.18	0.190948375
3.66	-2.713426298
3.16	-5.411864115
2.73	-7.159521068
2.44	-8.115615488
2.01	-10.16327298
1.51	-12.90171224
1.11	-15.29046383
0.89	-16.59577726
0.68	-17.65812193
0.11	-20.10734325
-0.02	-20.27593759
-0.2	-22.15937591
-0.66	-23.91594048
-1.23	-26.39516166
-1.85	-28.95922649
-2.28	-30.94688408
-2.61	-32.77485367
-3.31	-36.00266729
-3.4	-36.70938611
-3.92	-38.90376113
-4.11	-39.72016721
-4.35	-40.89141686
-4.71	-41.89829101
-4.83	-42.21391563
-5.16	-43.73188311
-5.52	-44.51875628
-5.69	-44.94922401
-5.92	-46.25750369
-6.12	-47.11687716
-6.28	-47.56437581
-6.78	-49.33280839
-7.1	-50.63780465
-7.21	-50.9404595
-7.21	-51.3604595
-7.53	-52.65545509
-7.88	-53.41935592
-7.93	-53.57419884
-7.95	-53.16013601
-8.12	-53.21060183
-8.17	-52.77544469
-8.19	-52.23138183
-8.17	-52.15544469
-8.17	-52.05544469
-8.17	-52.02544469
-8.17	-51.84544469
-8.15	-50.46950755
-8.17	-50.36544469
-8.17	-48.74544469
-8.15	-47.04950755
-8.05	-38.6498218
-7.64	-34.7781097
-5.97	-24.35234707
-0.85	1.247652436
-0.33	4.542029746
0.3	7.829063868
0.42	8.55468941
0.94	11.5690667
1.67	15.02578836
2.18	17.44719629
2.54	19.07407226
2.8	20.28126032
3.01	21.89360443
3.32	22.98563605
3.46	23.64719864
3.84	24.80001117
4.18	26.45094838
4.96	29.12250892
5.47	31.22391282
6.04	33.29312779
6.45	35.08484301
6.8	36.38874567
7.33	37.8960829
7.52	38.43248648
7.66	38.6440469
7.82	39.17154439
8	39.88497891
8.07	40.07575896
8.11	39.80763326
8.1942215	39.69820701
8.14254	30.44888599
7.8669004	21.92555119
6.6265264	13.59819854
5.3516974	6.914455361
4.1113234	0.482118095
2.3541267	-6.792758049
2.11	-8.343585168
0.53	-16.77265385
-0.11	-19.83265675
-0.85	-23.73234756
-1.73	-27.26360107
-2.47	-30.53329084
-2.81	-32.16422909
-3.45	-34.94422989
-4.11	-38.00016721
-4.62	-40.11157251
-5.05	-41.96922732
-5.69	-44.01922401
-6.5	-47.76968628
-6.81	-49.22171431
-7.19	-50.43452226
-7.5	-51.82654927
-7.6	-51.98623531
-7.86	-52.58341875
-8.19	-53.58138183
-8.22	-53.24028753
-8.22	-53.10028753
-7.43	-33.12576902
-3.59	-12.17579244
-3.14	-10.04219836
-2.54	-7.35407226
-2.06	-4.761570927
-1.35	-2.410787141
-0.97	-0.747973079
-0.3	3.480936132
0.3	6.449063868
0.63	7.6870341
0.89	9.754222737
1.17	10.80734891
1.7	13.44469471
2.13	15.60235239
2.61	18.12485367
3.01	20.38360443
3.42	21.98532362
4.03	24.50641729
4.58	26.83969761
5.11	29.09703958
5.59	31.03953713
6.09	32.76797115
6.59	34.56640414
7.14	37.48967915
7.54	38.98842369
8.06	40.69279038
9.07	44.12261369
9.61	46.08291275
10.05	47.1835254
10.64	49.05866301
10.78	49.53022073
11.07	49.85630412
11.47	51.14503878
11.98	52.74642368
12.4	54.18109202
13.17	56.36964677
13.72	57.87289695
14.52	59.22034673
14.98	60.14687753
15.76	61.92838135
16.33	63.26755314
16.78	64.37110729
17.01	64.64936742
17.79	66.48085372
18.2	67.0025295
18.6	67.5612356
19.5	68.75831688
19.7	67.98766685
19.62	67.62392693
19.87	67.4581139
19.91	67.25998374
19.74	67.03953678
20.22	67.56197426
20.18	67.41010459
20.36	67.18351793
20.17	66.92713716
20.22	66.52197426
20.32	66.35164834
20.49	66.29209396
20.58	66.2488003
20.37	66.11648533
20.48	66.01912658
20.44	65.89725705
20.35	65.74055053
20.2	65.58603942
20.46	65.35319182
18.89	45.86729626
14.83	29.20235685
13.93	25.03522811
13.5	23.38759721
12.74	19.96201293
12.05	16.17720184
11.86	15.46080389
11	11.96552542
10.12	8.294304563
9.54	6.032133346
9.49	6.017290896
9.21	4.714172884
9.14	4.073393304
8.52	0.829344304
8.28	-0.311901074
8.04	-1.693146773
7.88	-2.19064408
7.18	-4.908446365
5.97	-9.747652927
5.32	-12.18061764
4.82	-14.01905308
4.71	-14.30170899
4.06	-16.24467648
3.44	-18.37873887
2.89	-20.83202076
2.84	-20.7568646
2.47	-21.46670916
2.47	-22.19670916
1.98	-24.40217933
1.64	-26.123118
1.35	-26.96921286
0.87	-28.54171485
0.37	-30.39015457
-0.25	-32.57421989
-0.42	-33.42468941
-0.88	-35.25125394
-1.37	-37.14672472
-1.94	-38.90594554
-2.38	-40.89657186
-2.9	-43.190948
-3.43	-45.20829238
-3.93	-47.45672987
-4.47	-49.33704162
-5.02	-51.33032119
-5.72	-53.66813007
-6.1	-54.91093982
-6.66	-56.67718467
-6.97	-57.31921248
-7.57	-59.1773295
-8.45	-61.88856444
-9.26	-64.67901542
-9.84	-66.0611877
-10.46	-67.99523146
-10.86	-69.18396793
-11.45	-70.89910208
-11.69	-71.36034233
-11.91	-72.39564548
-12.29	-73.01844093
-13.15	-74.96371035
-13.5	-76.00759721
-14.48	-77.14847439
-15.08	-78.47655786
-15.61	-79.13386188
-16.17	-80.27006668
-16.77	-81.17813945
-17.23	-81.44465915
-17.29	-81.77246589
-17.3	-81.26543368
-17.97	-80.03427261
-17.88	-79.53756321
-18.01	-79.14614342
-18.03	-78.45207882
-18.34	-76.24407686
-18.35	-75.81704452
-18.35	-75.19704452
-18.39	-74.93891515
-18.4	-74.7618828
-18.4	-75.1618828
-18.39	-74.38891515
-18.59	-74.37826797
-19.21	-75.5222585
-19.47	-75.66941434
-19.47	-75.45941434
-20.13	-76.07526747
-20.11	-75.82933261
-20.11	-75.61933261
-20.13	-75.45526747
-20.16	-75.35416974
-20.14	-75.21823489
-20.14	-75.03823489
-20.13	-74.62526747
-20.14	-74.52823489
-20.16	-74.39416974
-20.14	-74.27823489
