"Saatcioglu, 1999, Specimen RC-7"	
3294	
-8.69	-13.24990479
-8.28	-12.21904946
-7.81	-11.9092879
-6.04	-5.756563895
-5.78	-4.717971085
-5.04	-3.158129307
-4.61	-1.544301891
-4	1.096244465
-3.35	2.872728839
-2.93	4.315072848
-2.49	5.690385806
-1.54	7.731402938
-0.76	10.66718579
-0.56	9.666873731
-0.57	9.625389333
-0.59	9.522420539
-0.59	9.562420539
-0.57	9.565389333
-0.61	9.519451744
-0.61	9.419451744
-0.56	9.496873731
-0.54	9.529842525
-0.49	9.577264512
-0.57	9.525389333
-0.47	9.540233307
-0.56	9.526873731
-0.45	9.543202102
-0.52	9.57281132
-0.02	13.3970312
0.37	14.48492272
1.15	16.16070567
4.27	26.0238335
4.89	27.80586396
5.21	29.33336332
5.64	30.77719029
6.18	31.57734458
6.97	33.69460624
7.28	35.15061991
7.9	36.04264655
8.85	39.11365308
9.18	39.36263368
9.52	40.03309818
9.88	41.15653079
10.14	42.09512073
10.83	43.05753137
11.42	44.83509851
11.5	45.04697192
12.14	46.04195828
12.67	47.53061759
12.81	47.83139532
13.22	48.0922439
13.74	49.27941664
13.79	49.65683703
14.26	50.00658811
14.86	51.2656305
15.48	53.14763907
15.77	53.68067465
16.52	54.27197147
16.96	55.78726416
17.39	56.74107185
18.15	57.37384555
18.48	57.90281199
18.5	58.59577963
19.53	59.53860971
19.53	59.91860971
19.82	59.82163829
19.91	60.04499187
20	60.3683454
19.98	51.30537795
18.38	44.03797375
17.81	42.47339459
16.03	36.1792579
15.58	35.52247898
13.84	29.4142574
12.81	27.50139532
12.35	25.64312531
12.23	24.8953156
11.76	23.93556032
10.67	20.53378413
10.07	19.34473115
8.04	12.35342661
7.23	11.54319837
5.77	6.916486743
5.75	7.60351806
2.35	-3.611167237
-0.16	-12.18375037
-0.76	-13.34281421
-1.32	-15.32594039
-2.35	-18.81883276
-3.07	-20.16570851
-3.42	-21.73766181
-3.78	-21.79109934
