"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH4"	
4376	
0	1.422
0.01505	-9.174
0.01205	-18.12
0.01055	-27.52
0.007525	-37.66
0.002975	-26.88
0.002975	-15.87
0.002975	-5.596
-0.003	4.404
0.016575	-5.825
0.039075	-15.78
0.0421	-18.39
0.039325	-18.94
0.037825	-19.59
0.0318	-14.45
0.027275	-4.312
0.018	-2.477
-0.003025	-9.77
-0.003025	-19.59
-0.00755	-9.633
-5.00E-05 	-19.08
-5.00E-05 	-7.798
0.0017	1.881
-0.010525	11.93
0.0333	22.2
0.102675	32.52
0.169275	42.43
0.246425	52.29
0.3264	62.89
0.41265	73.35
0.4944	83.53
0.56815	93.76
0.6349	103.9
0.7059	113.8
0.7134	116.1
0.75115	105.2
0.74965	95.73
0.83765	84.26
0.83765	73.48
0.82715	62.2
0.7604	50.23
0.71515	39.95
0.6454	28.76
0.5474	18.85
0.47315	8.394
0.3979	-1.835
0.319175	-11.93
0.25105	-22.25
0.1802	-31.83
0.112075	-42.75
0.03645	-52.43
-0.034425	-63.07
-0.125325	-73.07
-0.1917	-83.07
-0.26885	-93.3
-0.341225	-103.8
-0.41235	-113.3
-0.465425	-103.3
-0.465425	-93.25
-0.469925	-82.61
-0.47145	-71.51
-0.4549	-61.14
-0.417075	-50.59
-0.370225	-39.31
-0.2991	-28.81
-0.20845	-18.35
-0.123825	-8.119
-0.049675	2.018
0.0017	12.06
0.074075	21.88
0.136175	32.38
0.2253	42.52
0.291925	52.93
0.37815	62.8
0.4519	72.84
0.52615	82.57
0.60765	92.93
0.6909	103.2
0.7589	113.3
0.83765	123.6
0.9084	133.9
0.98865	144.4
1.09165	154.4
1.1654	164.6
1.26215	174.8
1.37865	185
1.46915	195
1.59765	205.2
1.70515	215.5
1.8214	225.8
1.8819	230.8
1.91965	220.1
1.91815	209.9
1.92265	200.2
1.92865	190.1
1.91965	179.9
1.90315	169.9
1.8549	159.9
1.83215	169.8
1.83215	157
1.8049	148.2
1.7779	138
1.7054	127.5
1.6114	117.2
1.53115	106.9
1.44515	96.92
1.3649	86.6
1.29115	76.47
1.20165	66.42
1.10215	56.37
1.0174	45.69
0.92215	35.27
0.83615	25.14
0.7454	14.95
0.65765	4.174
0.5414	-6.009
0.47315	-15.92
0.3949	-25.5
0.31465	-36.01
0.2345	-46.79
0.13785	-56.97
0.03945	-67.47
-0.0392	-77.61
-0.1221	-87.93
-0.193225	-98.35
-0.283875	-108.4
-0.37455	-118.7
-0.47445	-129.6
-0.548325	-140.2
-0.64985	-150.3
-0.74935	-161.1
-0.8371	-171.1
-0.93535	-181.5
-1.0351	-191.7
-1.1516	-201.9
-1.26635	-212
-1.37085	-221.8
-1.4446	-227.4
-1.47335	-217.9
-1.47935	-207.6
-1.48535	-197.7
-1.5006	-186.6
-1.4916	-175.3
-1.47035	-164.5
-1.4101	-153.2
-1.3601	-142.7
-1.2951	-132.6
-1.18185	-122.6
-1.09135	-112.5
-1.00335	-102
-0.9371	-91.92
-0.86285	-81.74
-0.7811	-70.55
-0.6891	-60.64
-0.6074	-49.95
-0.52425	-39.86
-0.423075	-29.63
-0.34595	-19.17
-0.2688	-8.486
-0.161625	1.972
-0.049675	13.12
0.0212	23.53
0.105875	34.36
0.202775	44.72
0.317675	54.81
0.4084	65.46
0.50665	75.82
0.61215	86.14
0.70315	96.83
0.8074	107.3
0.9129	117.8
1.00065	128.4
1.11565	138.5
1.20615	148.8
1.30765	158.9
1.3969	169.8
1.4934	179.9
1.58265	190.5
1.6809	200.7
1.78215	210.9
1.8849	221.2
1.9879	231.6
2.0964	241.7
2.2189	251.7
2.3354	262.1
2.4654	272.7
2.63015	282.8
2.78715	293.1
2.9419	303.3
3.1104	313.2
3.27315	323.9
3.4424	333.9
3.60415	344.3
3.65165	345.9
3.7359	335.4
3.7399	325
3.7489	315.2
3.7524	305
3.7194	295.1
3.67565	284.9
3.63865	274.9
3.58915	284.9
3.58915	295
3.59065	281.8
3.58915	268.8
3.58865	259.4
3.5139	248.6
3.4489	238.6
3.36915	228.6
3.28365	218
3.1629	207.6
3.06215	197.1
2.9504	186.2
2.8514	175.9
2.73115	165.9
2.63015	155.7
2.50465	144.9
2.38515	134.9
2.29165	124.5
2.16765	114.2
2.04215	103.8
1.91515	92.84
1.8139	83.16
1.69765	71.97
1.5994	62.2
1.4829	51.47
1.37565	40.23
1.2669	30.78
1.17765	20.69
1.04465	10.6
0.96615	0.4587
0.83615	-10.5
0.7394	-21.56
0.6154	-30.92
0.52315	-41.24
0.42965	-52.34
0.308625	-63.07
0.186175	-73.99
0.07745	-84.49
-0.046475	-94.91
-0.13415	-105.1
-0.2611	-116.2
-0.3563	-126.1
-0.477225	-136.6
-0.573925	-147.5
-0.69185	-157.9
-0.7856	-168.2
-0.89585	-179.3
-0.9986	-189.2
-1.1076	-199.7
-1.2121	-210.3
-1.3281	-220.9
-1.4326	-231.5
-1.55185	-241.2
-1.67885	-252.8
-1.802825	-263
-1.94045	-273.2
-2.09005	-283.6
-2.229125	-294
-2.384725	-304.7
-2.531325	-314.6
-2.6991	-325.4
-2.86535	-334.9
-2.99535	-342.1
-3.0786	-331.7
-3.0906	-321.2
-3.0966	-311.6
-3.1041	-301.5
-3.0906	-291.2
-3.0151	-281.3
-2.95935	-271.2
-2.92735	-280.8
-2.92885	-271.4
-2.92885	-260.7
-2.8926	-250.7
-2.82485	-240
-2.72785	-229.8
-2.628	-219.3
-2.53905	-208.7
-2.45435	-198.9
-2.3303	-188.4
-2.23985	-178.1
-2.13395	-167.1
-2.022075	-156.7
-1.9147	-146.2
-1.81055	-135.7
-1.7076	-125.5
-1.59585	-114.9
-1.50235	-104.9
-1.38135	-93.99
-1.26935	-83.9
-1.1576	-72.8
-1.0501	-62.84
-0.93085	-51.51
-0.80685	-40.41
-0.6936	-29.95
-0.584625	-19.49
-0.47145	-8.991
-0.37775	1.238
-0.234	13.12
-0.131325	22.29
-0.016375	32.71
0.1151	43.58
0.240325	53.48
0.3629	63.48
0.49115	74.36
0.61965	85.18
0.72865	95.09
0.85415	105.5
0.98565	115.9
1.12015	125.8
1.25015	136
1.36815	146.2
1.4964	156.3
1.6294	166.4
1.76565	177.1
1.8834	187.5
2.01965	198
2.1434	208.1
2.27965	218.5
2.37315	228.6
2.50465	238.4
2.64065	249
2.76765	259
2.8934	269.7
3.02065	280.4
3.1554	290.5
3.26365	300.8
