"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH5"	
3780	
0	-0.8715
-0.0015	-4.266
0.006	-14.77
0.006	-25.05
-0.018	-14.63
-0.0165	-4.541
-0.0165	-2.982
-0.0165	-2.66
-0.018	-1.468
-0.018	-0.5046
-0.018	-1.101
-0.0165	-0.1376
-0.012	0.5046
0.0015	-5.596
0.018	-15.83
0.024	-22.11
0.0435	-12.06
0.08025	-1.972
0.10575	-12.02
0.11925	-1.147
0.12375	9.403
0.1765	16.42
0.22975	21.51
0.293	25.37
0.3535	28.03
0.4065	29.54
0.46075	30.32
0.5245	31.65
0.57875	33.81
0.63925	36.47
0.6905	38.71
0.748	40.96
0.804	43.62
0.8085	43.81
0.84625	33.76
0.84475	23.26
0.84925	13.3
0.85675	3.165
0.8055	-6.514
0.754	-10.05
0.70275	-13.67
0.64075	-22.25
0.5895	-24.68
0.5335	-27.43
0.482	-29.63
0.42175	-33.39
0.3765	-35.69
0.31425	-37.84
0.266	-39.49
0.2085	-42.43
0.15725	-44.59
0.11625	-45.27
0.08475	-34.95
0.08475	-24.91
0.08325	-34.95
0.0815	-21.83
0.0815	-11.7
0.10125	-0.5963
0.1555	7.844
0.216	12.8
0.27025	15.27
0.32325	15.69
0.37475	17.43
0.432	21.01
0.4835	24.91
0.5395	26.93
0.58775	29.08
0.65425	32.06
0.7055	35.09
0.76	36.93
0.8115	40.69
0.87475	43.21
0.92925	46.05
0.97775	47.11
1.044	49.77
1.10925	52.34
1.171	55.73
1.224	57.75
1.277	59.31
1.33425	61.28
1.38725	64.54
1.4385	65.78
1.49025	67.29
1.549	69.4
1.60925	71.6
1.66525	74.03
1.71675	75.46
1.771	77.61
1.82425	79.95
1.877	82.2
1.9315	83.76
1.98575	85.41
2.04175	87.7
2.072	88.71
2.125	87.89
2.1385	77.57
2.14	67.15
2.1415	57.15
2.1205	47.11
2.069	37.02
2.01775	30.69
1.9665	28.26
1.933	38.67
1.9375	27.29
1.90425	17.2
1.847	14.31
1.788	11.19
1.73525	8.715
1.68375	6.651
1.6275	4.679
1.56275	2.11
1.50675	0.2294
1.4555	-2.064
1.404	-4.174
1.3495	-5.367
1.29375	-8.486
1.23475	-11.05
1.18325	-13.39
1.1245	-14.95
1.076	-17.75
1.0185	-19.86
0.97025	-21.88
0.91575	-23.35
0.86	-26.33
0.80725	-28.62
0.754	-31.1
0.70125	-33.71
0.65	-35
0.5985	-37.11
0.54575	-39.82
0.491	-41.19
0.43975	-43.53
0.3885	-45.46
0.337	-47.11
0.2825	-48.35
0.23125	-50.92
0.17975	-52.75
