"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH2"	
8190	
0	0.1835
0.065	1.529
0.11625	2.294
0.16475	2.599
0.2177	3.089
0.2706	3.394
0.321875	3.853
0.373275	4.159
0.42485	4.404
0.477675	4.862
0.532	5.229
0.57595	5.657
0.62895	5.871
0.683325	6.269
0.73635	6.85
0.786275	7.064
0.834475	7.553
0.889125	7.89
0.9404	8.471
0.9962	8.807
1.044725	9.235
1.09775	9.48
1.04325	8.96
0.981175	8.348
0.9345	7.951
0.881375	7.828
0.83015	7.737
0.77895	7.737
0.72735	7.828
0.672975	8.104
0.621725	8.195
0.4917	8.104
0.3753	8.715
0.267925	8.654
0.089675	8.624
0.023	8.318
-0.04625	8.165
-0.1055	8.043
-0.17175	7.828
-0.3335	7.645
-0.41375	7.462
-0.483	7.37
-0.55275	7.278
-0.6175	7.095
-0.68875	7.003
-0.758	6.881
-0.81275	6.85
-0.935	6.483
-1.17825	5.994
-1.266	5.749
-1.3265	5.657
-1.40225	5.352
-1.4535	5.413
-1.50475	5.29
-1.6165	5.107
-1.56075	5.871
-1.508	6.238
-1.4595	6.697
-1.43225	6.819
-1.4025	5.657
-1.4585	-0.0612
-1.4945	-0.948
-1.4265	5.566
-1.372	10.15
-1.32375	12.72
-1.26925	15.14
-1.21775	17.03
-1.159	19.05
-1.1105	20.76
-1.05175	22.78
-1.00775	24.1
-0.94875	26.18
-0.896	27.83
-0.85675	29.11
-0.805	27.77
-0.8325	22.63
-0.87925	19.05
-0.92925	16.45
-0.99725	13.49
-1.047	10.76
-1.112	7.828
-1.159	6.636
-1.21175	4.404
-1.26625	2.446
-1.3145	0.4893
-1.3705	-1.009
-1.419	-3.211
-1.48225	-4.923
-1.529	-6.575
-1.58225	-7.828
-1.644	-9.755
-1.709	-12.32
-1.75725	-14.25
-1.82075	-15.99
-1.86925	-17.58
-1.919	-19.45
-1.972	-20.7
-2.02175	-22.87
-2.08225	-24.98
-2.13075	-26.45
-2.1865	-28.01
-2.2395	-30.03
-2.27275	-30.82
-2.27725	-29.33
-2.28025	-28.9
-2.26825	-23.73
-2.21675	-21.41
-2.1655	-16.85
-2.11425	-13.27
-2.061	-11.87
-2.008	-9.48
-1.94025	-6.452
-1.89025	-4.373
-1.839	-2.783
-1.78425	-1.59
-1.77075	-0.9786
-1.706	-1.682
-1.64375	-2.049
-1.585	-2.294
-1.53675	-2.385
-1.48675	-2.63
-1.431	-2.783
-1.37625	-2.966
-1.3235	-2.997
-1.27225	-3.241
-1.21	-3.303
-1.16175	-3.547
-1.112	-3.578
-1.062	-3.578
-1.00925	-3.547
-0.9595	-3.394
-0.90625	-2.966
-0.846	-3.272
-0.793	-2.997
-0.74175	-2.966
-0.68875	-2.875
-0.6265	-3.027
-0.57525	-2.966
-0.5225	-2.813
-0.468	-2.691
-0.415	-2.783
1.16615	-22.84
-0.409	-2.722
-0.341	-2.355
-0.28225	-2.691
-0.243	-2.508
-0.18075	-2.079
-0.131	-2.446
-0.05975	-2.202
-0.013	-2.355
0.04125	-2.171
0.095875	-2.11
0.1532	-2.049
0.21225	-2.018
0.265	-1.957
0.3194	-1.896
0.375525	-1.835
0.434325	-1.651
0.4795	-1.743
0.531175	-1.59
0.596	-1.59
0.642775	-1.376
0.7004	-1.315
0.744225	-1.376
0.7502	-1.284
0.7457	-1.254
0.803225	2.875
0.863575	4.893
0.9133	7.125
0.967975	8.471
1.031325	11.1
1.08725	13.7
1.13875	14.86
1.19	17.28
1.2505	19.48
1.30175	21.41
1.35775	22.84
1.4092	24.68
1.46055	26.82
1.508875	28.1
1.56945	29.63
1.6223	31.53
1.67215	33.82
1.723725	35.08
1.77805	36.54
1.8309	38.65
1.883775	40.64
1.93985	41.86
1.995675	43.55
2.04855	45.59
2.108925	47.74
2.1605	49.26
2.213325	50.58
2.270675	52.96
2.32675	54.19
2.375125	56.05
2.434	58.13
2.47475	59.14
2.46875	53.82
2.45825	48.71
2.41125	46.54
2.35685	42.57
2.28875	39.33
2.235875	36.48
2.186075	35.32
2.12245	32.78
2.08035	31.16
2.027275	29.6
1.97145	28.01
1.9186	26.18
1.867225	24.31
1.815675	23
1.756825	21.04
1.699475	19.2
1.63435	17.12
1.5875	15.32
1.5317	14.04
1.47105	12.11
1.413725	10.31
1.368375	8.654
1.311	7.4
1.2565	5.718
1.202	3.945
1.15075	2.294
1.0965	0.7645
1.04335	-0.5199
0.983025	-2.508
0.934525	-3.945
0.8878	-5.841
0.8274	-7.339
0.772925	-9.296
0.720125	-11.16
0.659675	-12.72
0.6096	-14.22
0.556725	-15.41
