"McLean 1990, Spec. Con2"	
1863	
0	0
0.254	3.1582
0.5842	5.1155
0.8636	6.2142
1.1684	7.7177
1.4986	9.2256
1.8034	10.64
2.1082	11.992
2.3876	13.287
2.7686	14.746
3.0988	16.263
3.3274	17.348
3.6322	18.38
3.5052	15.057
3.2004	12.62
2.8956	10.849
2.4638	8.6207
2.2352	7.6287
1.9304	6.1875
1.6002	4.764
1.2954	3.821
0.9906	2.5132
0.7112	1.0587
0.381	-0.64054
0.1016	-1.9528
-0.2794	-3.563
-0.635	-5.6137
-0.889	-6.748
-1.2446	-8.3627
-1.5494	-9.8439
-1.8288	-11.032
-2.159	-12.491
-2.4638	-13.892
-2.8702	-15.386
-3.0988	-16.258
-3.4798	-17.668
-3.7084	-18.487
-3.6068	-15.413
-3.2766	-12.882
-2.9464	-11
-2.54	-9.3012
-2.2606	-7.5842
-1.9558	-6.0273
-1.651	-4.6039
-1.3716	-3.3139
-1.0414	-1.8994
-0.7366	-0.54268
-0.4318	0.91633
-0.127	2.1574
0.3048	3.9812
0.5842	5.2
0.9144	6.1919
1.1938	7.3574
1.4732	8.5806
1.778	9.8795
2.1082	11.218
2.413	12.5
2.7686	13.927
3.0988	15.64
3.3782	16.992
3.683	18.287
3.4544	14.101
3.2004	12.442
2.921	10.831
2.54	8.9498
2.2606	7.6509
1.9558	6.3432
1.6256	5.1021
1.3208	4.1591
0.9652	2.6956
0.6858	1.6236
0.4064	0.32472
0.127	-0.96971
-0.254	-2.1841
-0.6096	-4.079
-0.889	-5.3334
-1.2192	-6.6812
-1.5494	-8.2515
-1.8034	-9.4436
-2.159	-10.996
-2.4384	-12.286
-2.794	-13.847
-3.1496	-15.52
-3.4544	-16.974
-3.7338	-18.153
-3.5814	-14.999
-3.2766	-12.455
-2.921	-10.578
-2.5654	-9.1455
-2.2606	-7.2595
-1.9558	-5.8094
-1.6764	-4.4838
-1.3462	-3.0248
-1.0414	-1.7615
-0.7366	-0.51599
-0.4064	0.96526
-0.1016	2.2641
0.0254	1.8104
0.254	3.4696
0.6096	5.1733
0.9144	6.1697
1.1684	7.1127
1.4986	8.4872
1.8034	9.9151
2.1336	11.107
2.4384	12.464
2.7686	13.772
3.1242	15.533
3.3528	16.543
3.683	18.202
3.9878	19.483
4.2926	20.422
4.6482	21.436
4.9276	22.49
5.2578	21.627
5.588	22.833
5.9182	23.838
6.223	24.639
6.5278	25.537
6.8326	25.973
7.239	28.451
7.5184	28.277
7.2644	24.305
6.985	22.784
6.6802	21.285
6.35	19.884
6.0706	18.58
5.7404	17.139
5.461	15.965
5.0292	14.577
4.7752	13.474
4.445	12.064
4.1402	10.889
3.7846	9.537
3.5306	8.5272
3.2258	7.5042
2.921	6.401
2.54	5.7471
2.2098	4.4705
1.9304	3.434
1.6256	2.6556
1.2954	1.5079
1.016	0.45817
0.7112	-0.58717
0.381	-1.7615
0.127	-2.6067
-0.254	-3.5897
-0.635	-5.3823
-0.9144	-6.5255
-1.2192	-7.7088
-1.524	-8.9187
-1.8034	-10.031
-2.1844	-11.539
-2.4638	-12.811
-2.8702	-14.403
-3.1496	-15.636
-3.429	-16.93
-3.7338	-18.153
-4.064	-19.439
-4.3434	-20.4
-4.699	-21.556
-5.0038	-22.539
-5.4356	-23.785
-5.6642	-24.474
-5.969	-25.399
-6.2738	-26.142
-6.5786	-27.09
-6.858	-27.761
-7.2136	-28.816
-7.4676	-29.412
-7.3406	-26.08
-6.985	-23.211
-6.731	-21.632
-6.4262	-20.11
-6.1214	-18.789
-5.7912	-17.237
-5.4864	-15.898
-5.1308	-14.448
-4.8006	-12.998
-4.5212	-11.766
-4.2164	-10.605
-3.8862	-9.239
-3.6068	-8.2292
-3.2766	-7.0237
-2.9718	-5.845
-2.54	-4.8441
-2.2606	-3.3095
-1.9812	-2.4643
