"Hamilton 2002, UCI-5"	
1028	
0.024836744	0.0827165
-0.01012615	0.359265547
0.005958281	0.280217558
-0.00746757	0.364684665
-0.003968874	0.324210118
-0.015254523	0.318274336
-0.016799014	0.302877292
-0.005942071	0.319082017
-0.00647566	0.278982064
-0.008420508	0.285887799
-0.000625876	0.322515608
-0.008455978	0.305368995
-0.001974058	0.317034469
-0.015917545	0.266096447
-0.004329935	0.252300924
-0.021458575	0.293876934
-0.012381777	0.251127541
-0.000812036	0.27647881
-0.014670993	0.278946679
-0.013382222	0.281592628
-0.006556512	0.247794484
-0.00976235	0.272574846
-0.013549286	0.262779257
0.001092717	0.260210631
-0.011496008	0.283407764
-0.005775357	0.287635283
-0.012428181	0.25563592
-0.011054188	0.266102603
-0.008218544	0.325488688
-0.007597359	0.261866437
-0.016147462	0.281337246
-0.013719271	0.253623976
-0.005713053	0.285484359
-0.006058954	0.27004468
-0.007580678	0.281085303
-0.008055113	0.311225283
-0.006534394	0.262091068
-0.011976384	0.277612279
-0.008562782	0.264476018
0.000189338	0.326232226
-0.013095717	0.310455812
-0.01164874	0.297872838
-0.015389867	0.310961281
-0.001495067	0.321752284
-0.005490857	0.332117148
-0.007496485	0.287159257
-0.012339933	0.302122171
-0.00370856	0.336049958
-0.00127283	0.264522915
-0.006527418	0.307155588
-0.005334084	0.330733146
-0.003205385	0.276898655
-0.007554279	0.317649632
-0.002673574	0.205273773
7.45406E-05	0.414722785
-0.008806036	0.076639077
0.008575642	0.701074245
-0.257304489	-6.856408285
-1.274567987	-27.39726149
-2.704029644	-50.00850431
-3.914198674	-67.02121718
-4.457979654	-73.91410132
-3.666407704	-52.48738256
-1.398104138	-10.18513662
1.199051679	40.9444076
3.439028682	81.08684533
4.13785939	88.69327761
2.944725886	50.00197877
0.537743121	0.518934071
-2.052408798	-32.77568809
-4.039804214	-66.93013539
-4.347879798	-69.80837943
-2.80907871	-36.18826941
-0.29720098	-0.091675926
2.263792424	42.03731475
3.967002988	83.35264487
3.866408066	74.98767516
2.00739883	26.09150605
-0.586235302	-11.70469539
-3.054321552	-46.14576207
-4.405497666	-72.34462195
-3.881441056	-57.73303242
-1.784906565	-19.53822539
0.83665441	13.93655678
3.174637796	60.33733717
4.159342202	85.33389613
3.781333052	71.03630211
2.7950668	42.63799148
1.169697229	10.72639445
-0.568968331	-10.42650869
-2.628398858	-38.40078994
-4.782546696	-78.04619228
-6.564256874	-102.9605303
-7.700461612	-114.9200545
-8.477320358	-123.4123323
-8.527139156	-121.1728351
-7.683014352	-105.5997358
-6.280273952	-79.61713067
-3.93196953	-37.51051975
-1.183509215	-3.002721959
1.455207199	29.61691429
4.176916716	86.58950454
6.33638941	125.7727144
7.631797792	137.8607967
8.314499754	143.5802667
7.958115148	129.9161706
6.874474948	102.1838708
5.068794282	60.33736386
2.42929725	13.49986597
-0.269922117	-13.15415063
-2.948718258	-42.02850149
-5.537797408	-80.37538787
-7.260492718	-105.4640873
-8.303993552	-119.1507626
-8.589228948	-121.4362722
-7.838383358	-107.3629085
-6.53777966	-84.62039693
-4.310344948	-45.20587064
-1.575132994	-10.64253302
1.069933115	13.5412967
3.798944904	52.8803518
6.078530134	97.67720846
7.462779588	123.8735862
8.280740106	137.5803852
8.07207047	128.9332293
7.059671428	103.1059026
5.38806136	64.81722568
2.832184836	18.83623419
0.120103006	-8.378654665
-2.55272413	-33.98648379
-5.209504186	-71.92402925
-7.067848196	-100.057821
-8.1826354	-115.5012947
-8.62167567	-120.9864324
-7.995365772	-108.6537068
-6.766373564	-87.74520144
-4.6993683	-50.99810907
-1.966937875	-14.70123054
0.683752531	8.31886345
3.400065844	42.64352106
5.812554542	87.33459945
7.307363592	117.0941451
8.189414914	132.8679215
8.252947172	131.470397
7.6428219	114.5356036
6.80028485	93.83464335
5.434823014	63.91737713
3.540116872	28.43469931
1.384608737	2.382981178
-0.737755141	-14.75028197
-3.046010418	-39.23765878
-5.480008344	-74.66908019
-7.463540318	-104.5239912
-9.32418633	-129.3586794
-10.96969942	-144.5882782
-12.12793333	-151.9852125
-12.84908987	-155.3418584
-13.06494263	-154.3816964
-12.60096337	-145.1827296
-11.57575638	-127.3884642
-9.967431678	-101.7532251
-7.93383097	-71.02620465
-5.730178532	-37.41608178
-2.954373314	-5.291290389
-0.213713065	16.66373031
2.511446971	42.05579088
5.290062318	81.29860292
7.505751562	121.9767667
9.551663396	148.1812624
11.2160746	157.602925
12.24982894	161.2145963
12.76373343	161.6377289
12.56352504	152.7725211
11.71257449	131.7211032
10.31784195	102.2975051
8.386302252	64.2371153
6.287782954	29.25425568
3.690342124	2.420256652
0.847126703	-16.78799138
-1.780588336	-36.14480673
-4.644599296	-61.84412776
-7.071302342	-87.33095636
-9.143915672	-110.8160496
-10.99506005	-131.3909962
-12.23080739	-143.0751355
-12.94545315	-147.9873778
-13.00158792	-145.7387217
-12.36508551	-134.254748
-11.21355873	-114.7727428
-9.422039576	-87.82439758
-7.370185412	-56.94020808
-5.005695348	-26.67414302
-2.183243462	-3.06601388
0.485040305	14.52220296
2.741635106	32.83967309
5.599431778	62.69275059
7.739583962	92.85252495
9.768920772	121.9168224
11.33278709	141.7359272
12.36038828	152.3163782
12.76594551	154.9453706
12.48797807	145.340686
11.60162628	123.9619679
10.14461776	94.41809434
8.173184568	57.50227202
6.03487109	25.96611647
3.376880216	2.145697468
0.564759577	-15.72263786
-2.089510426	-34.92369383
-4.943766084	-60.32716409
-7.300524896	-84.69822302
-9.361663268	-107.5167636
-11.15773511	-127.2774944
-12.33810664	-139.3819995
-12.99661485	-144.9182517
-12.96728953	-142.1441138
-12.26520077	-129.8777112
-11.04667311	-109.737565
-9.213120766	-82.59001507
-7.13357095	-51.99542259
-4.729341824	-23.55925537
-1.852875136	-1.3969003
0.776858492	15.44050318
3.61493943	38.01903466
6.202816906	65.61480961
8.310687976	94.7990089
10.28488774	122.0249276
11.67234623	140.1025803
12.52632166	149.8940457
12.78231861	150.8003531
12.43401247	141.0736582
11.73632806	124.2121092
10.68527556	102.6679886
9.182272974	74.06362829
7.317386178	42.82022221
5.572980218	19.6227069
3.272314258	1.514690365
0.893642739	-12.91994153
-1.376450105	-27.90361813
-3.921868458	-48.849191
-6.35372999	-72.13306453
-8.490379514	-95.02200715
-10.67610311	-119.2853479
-12.6830897	-140.4969285
-14.18412683	-152.4264717
-15.39381961	-158.7909649
-16.4133469	-161.5353308
-16.99957941	-162.252829
-17.25013873	-160.9186828
-16.89797738	-153.6970083
-16.17451426	-141.5369405
-14.97720779	-122.9128326
-13.59057175	-102.9155543
-11.70646147	-77.27257982
-9.355781644	-45.64611558
-6.995622534	-18.77478245
-4.391709784	0.540500428
-1.496513771	17.59873538
1.141654765	34.95211663
4.028511374	57.81332726
6.659186326	81.43248995
8.999961172	107.2532199
11.35418786	135.5204316
13.25773422	153.1032997
14.65185335	160.4069416
15.86789587	164.7724307
16.59724671	165.7456616
16.96829398	165.2058788
16.69244083	156.5154994
16.02407997	139.8733634
14.86980008	117.0690393
13.51681574	92.15962992
11.7279166	61.45775523
9.421843234	29.58643374
7.033519588	8.082343944
4.496807364	-6.748960157
1.599637974	-22.35430108
-1.052662106	-38.80046042
-3.921391954	-57.95990951
-6.605696974	-75.9536999
-8.948657744	-91.6816774
-11.33733318	-108.8393756
-13.31403001	-124.2932626
-14.7450335	-135.2782971
-15.9918179	-143.8908459
-16.80067303	-148.2141215
-17.23586672	-149.8630817
-17.05519703	-145.360952
-16.43476164	-135.0803424
-15.36979959	-118.5864389
-14.03423355	-99.59951633
-12.35637712	-77.08782738
-10.0762115	-48.21332217
-7.683537592	-24.10725225
-5.226556222	-6.668125294
-2.322261065	8.946827347
0.348074336	24.266991
3.148368862	43.76503739
5.925124802	64.92401858
8.297844974	84.34251208
10.69944876	105.9721899
12.78030413	126.1404133
14.25883077	140.2507105
15.53968292	151.7378781
16.40149552	157.7064574
16.91144471	159.632782
16.83860894	154.57571
16.26294919	140.154104
15.26029638	119.5574857
13.95665941	95.54313411
12.35459658	67.96591714
10.14212907	36.95086986
7.74764389	14.3077502
5.32273891	-0.477974223
2.46294308	-14.28404429
-0.255897761	-29.38526158
-3.022076506	-47.05166464
-5.85609192	-65.76194343
-8.236894372	-81.61501827
-10.63022944	-97.78021148
-12.79408719	-113.6576403
-14.29466305	-124.7876691
-15.50475334	-132.4740226
-16.54100578	-142.0183893
-17.10087791	-145.5156523
-17.2046359	-144.6461095
-16.71189596	-136.2786399
-15.84880117	-122.5501424
-14.56863761	-103.7391337
-13.10346325	-84.03524227
-11.01884207	-57.19664361
-8.620682276	-31.14004364
-6.254250636	-12.51414006
-3.499228968	2.473889483
-0.683178923	16.07576171
1.98841774	32.619209
4.891279778	53.58108015
7.362586748	73.37305968
9.743982036	93.55553524
12.01195261	114.4538765
13.72123723	130.5056622
15.05694449	143.0384021
16.13671322	151.9868673
16.76238685	155.9655747
16.96137807	155.0310166
16.72054263	148.481513
16.15485771	135.0824464
15.55785382	122.6182714
14.5033459	103.1075173
13.58840615	87.14990929
12.23060927	64.80113646
10.58730623	41.66079192
8.79016276	23.19384953
6.912409086	9.03241113
5.028895454	-0.861671192
2.705184328	-11.35746543
0.490696987	-22.32836528
-1.667479876	-35.18031885
-4.114327052	-50.69736925
-6.438152478	-65.9857646
-8.61374452	-80.32196473
-10.94886787	-96.26665514
-13.18637774	-112.6018594
-15.09898377	-127.9076873
-17.06785207	-143.5155406
-18.99718502	-154.7597685
-20.54370085	-161.1348263
-21.86151228	-165.7133141
-23.04009667	-169.3856902
-24.15835453	-172.2455765
-24.88438229	-173.1876119
-25.46172962	-174.5620857
-25.80716708	-173.9169557
-25.81070784	-172.0619672
-25.41544574	-164.9404667
-24.60416288	-147.6316402
-23.61950877	-132.3821935
-22.24806752	-112.8479884
-20.9522375	-95.50690334
-19.20163825	-74.35742888
-17.17592653	-50.40229202
-14.89941978	-26.45411752
-12.73981526	-9.398053168
-10.08305019	4.672016982
-7.458098368	15.87549165
-4.8457358	28.50692864
-1.89698122	45.20188503
0.735033861	61.30836171
3.605763426	78.15198878
6.387032692	92.88857779
8.89031623	106.8051549
11.65248978	122.2727335
13.9097766	134.7549372
16.15367102	146.1170296
18.26855325	154.8525584
20.14334097	160.6075875
21.56607955	164.0183993
22.91868797	167.4395577
24.08060564	168.6367343
24.77381126	169.5774442
25.40612394	169.7936678
25.56499078	167.8336835
25.4257556	162.7117876
24.80349599	148.3843282
24.12091467	134.5125402
22.99435635	114.8567074
21.62167024	92.57072122
20.2499374	71.6502679
18.36233208	47.3350386
16.27442668	25.99295704
14.00630295	9.355987226
11.77455938	-1.488368236
9.020962146	-11.38426018
6.491689836	-20.91698637
3.731683672	-33.52554438
0.823019182	-47.24445946
-1.789635562	-59.97464253
-4.747655478	-72.94361947
-7.37197154	-83.43473236
-9.963415938	-94.40999858
-12.65998408	-105.2248486
-14.7959605	-114.0745544
-17.09311491	-123.7869393
-19.0928691	-132.157536
-20.92226677	-139.7092774
-21.69814812	-140.8151676
-23.19718195	-149.2399481
-24.34423147	-152.837176
-25.04601671	-155.2744989
-25.67666188	-156.7363403
-25.83326812	-155.7425186
-25.68196794	-152.3107378
-25.0584401	-142.7696895
-24.36916259	-132.5517686
-23.24173203	-116.9685673
-21.88651579	-99.41390094
-20.50288711	-83.33297929
-18.63223629	-62.77617253
-16.53009927	-41.70982022
-14.25617062	-23.13454584
-12.03955149	-9.270605391
-9.25692078	2.951842977
-6.76945052	10.9324601
-3.95382623	22.18019012
-1.413642766	32.89690258
0.870364071	46.1962138
3.87167882	62.71276313
6.559567272	76.26169032
9.11574885	88.68681434
11.86648046	101.7715296
14.08054309	112.2531588
16.34406028	123.3534245
18.41275769	133.4883194
20.27969807	142.4078044
21.68137066	148.694049
23.0372097	155.0129969
24.14104316	158.3191554
24.82986093	160.4719167
25.4375539	161.3854347
25.57168876	159.6474522
25.3989873	154.1662824
24.75763806	139.9221159
24.05142713	126.6671139
22.88707615	107.277049
21.52231713	86.67531963
20.10700017	67.16880917
18.22022112	44.53672911
16.1002632	25.19591268
13.83787326	10.07899538
11.5830289	0.030283059
8.814327558	-8.08945754
6.298038966	-15.94266469
3.508285338	-27.47401422
0.638293872	-40.13681429
-1.992759997	-52.70967354
-4.966616178	-66.05836402
-7.558097914	-76.6436858
-10.1774973	-87.80120455
-12.82269978	-98.39839418
-14.95746132	-107.4080891
-17.25419993	-117.1223779
-19.2603059	-125.9116368
-20.99578249	-133.2554995
-22.28613348	-139.0920155
-23.66005631	-145.1793845
-24.60353042	-148.2550407
-25.29246123	-151.0280665
-25.7654806	-151.8070835
-25.82085768	-150.4011474
-25.51743436	-145.0578191
-24.82807811	-134.9018397
-24.0695132	-124.2434825
-22.74876984	-107.1106588
-21.45752884	-91.37072892
-19.90721266	-74.42640746
-17.96144338	-54.26081735
-15.74818948	-34.29789311
-13.55707779	-18.40501469
-11.12515072	-5.443598831
-8.363971588	4.345151383
-5.89566512	11.36932839
-2.973468272	22.24515996
-0.230102255	34.40531365
2.49801761	48.96576999
5.444303056	64.27383092
7.935809884	76.61454994
10.67787196	89.86808852
13.13946318	101.0612909
15.29994324	111.6317779
17.53691362	122.3294573
19.4851782	131.7255692
21.10367433	139.1343047
22.3989712	145.7763181
23.73864264	151.5461642
24.51829386	154.4088661
25.20866282	156.7455525
25.56862552	156.348869
25.51877802	153.5456887
25.2835283	147.2449251
24.69305044	134.7145873
24.09495994	123.8271023
23.35963654	111.7654291
22.16785025	93.3495292
21.07108359	78.09078125
19.99099736	63.65083969
18.27543233	44.33363354
16.61324186	28.87628628
14.81068666	15.97382715
12.93991062	6.172342082
10.89527285	-1.469131145
8.660079454	-6.827973918
6.453194866	-12.67870646
4.211428458	-20.58976051
1.718164712	-30.8563681
-0.588138676	-41.1303962
-3.014844618	-52.5474291
-5.592151376	-64.07935468
-7.854184698	-73.61131533
-10.32927678	-84.23373972
-12.8056607	-94.26841169
-14.9379592	-103.2397719
-17.25834191	-113.43744
-19.54012018	-123.3114022
-21.37643959	-131.6618796
-23.38650568	-141.077666
-25.27093803	-149.0267893
-26.94025854	-155.1280501
-28.41789338	-159.5263672
-29.71225452	-163.1868577
-30.8843045	-166.2462333
-32.08409128	-169.1172089
-32.89905282	-170.0546983
-33.47061886	-171.2208174
-34.0911815	-172.277101
-34.38673336	-171.7222121
-34.424747	-170.1139798
-34.25745752	-166.6865761
-33.69319906	-158.3523035
-32.98163838	-148.021598
-32.26352704	-138.2445225
-31.0665876	-122.6276838
-29.66879512	-105.4624815
-28.38291758	-90.48841971
-26.79310364	-73.51049194
-24.83774255	-53.46343804
-22.85179936	-34.8144633
-20.71058291	-18.78283195
-18.44729051	-6.009473561
-15.95604734	3.503262099
-13.51395468	9.677265815
-10.85063667	17.634544
-8.127171452	27.09600969
-5.50861738	37.90248503
-2.562744176	51.21910561
0.139033072	63.07161007
2.909641374	74.55955607
5.823679234	86.08653967
8.393926316	95.96275264
11.21468649	106.488406
13.7278044	115.3593609
16.30822342	125.3996376
18.0244115	128.9153741
19.08879291	132.5629069
21.40158102	144.1448661
23.42567426	149.3052569
25.42378456	155.098296
27.26885834	158.5858663
28.7011999	161.0953216
30.01424528	163.5175562
31.3889644	165.5419419
32.37603126	165.8789525
33.03996948	166.91106
33.75379838	167.4783284
34.13454438	166.5698681
34.18239798	164.722406
34.05557832	160.0911312
33.52196242	148.72012
32.81632248	135.201076
32.10744658	123.8794267
30.94799246	106.1402615
29.55011108	86.87164634
28.24756098	70.0429386
26.67183134	52.61370316
24.71878318	33.8662875
22.76287599	19.17055363
20.61215436	7.679884866
18.36716342	-0.707311452
15.8729868	-6.125702034
13.44476813	-10.73199387
10.78537416	-17.44029462
8.089723724	-25.48892326
5.408783442	-34.49036276
2.245540594	-46.83416885
-0.584847598	-57.88079344
-3.297017028	-67.79917555
-6.225155444	-77.2856309
-8.78858034	-85.77109404
-11.57231391	-94.67622464
-14.13575227	-102.4316412
-16.59780526	-110.1054952
-19.04918009	-117.5594469
-21.25738116	-124.200664
-23.362126	-130.7595356
-25.31460723	-136.8454456
-27.23529478	-142.4732466
-28.70560934	-146.4845283
-30.00741014	-150.4773633
-31.40355416	-154.3159828
-32.47844406	-156.4367748
-33.14681458	-157.9157017
-33.87028786	-159.874743
-34.32551682	-159.8718694
-34.43657832	-158.7597651
-34.3255727	-156.0724343
-33.87903054	-149.5366756
-33.15684758	-139.361035
-32.48682352	-130.511783
-31.43374206	-117.2460696
-30.03172302	-100.8228218
-28.72614524	-86.49639881
-27.26911234	-72.06165278
-25.35210068	-53.97324427
-23.39268347	-37.21480464
-21.29294751	-22.44372546
-19.09041673	-10.30831144
-16.62276508	-0.526875036
-14.17017181	5.360509165
-11.604498	10.20975931
-8.820669176	16.70964753
-6.22753517	24.23421918
-3.339776658	34.31178979
-0.550302252	44.94463103
2.138568088	56.21472093
5.08900303	67.93992173
7.713563186	78.08177805
10.44286608	88.58479438
13.11141625	98.19379823
15.55609741	107.0596199
18.05232153	115.9752038
20.32345491	123.9111248
22.47852654	131.1901012
24.47319743	137.7664766
26.43809292	143.9402568
28.06591542	148.4063158
29.35989302	152.2351492
30.75266138	156.0035936
31.98373588	158.1409685
32.7183242	159.1016465
33.43065958	160.6970457
