"Saatcioglu, 1999, Specimen RC-4"	
1552	
0.29 	-2.913904928
0.39 	-0.714216975
0.49 	0.585470975
0.46 	0.686564591
0.63 	4.1470341
0.67 	6.088909277
0.72 	7.823753247
1.30 	11.71594319
1.51 	13.12828776
1.82 	14.77032014
1.82 	14.94032014
2.22 	16.36907141
2.22 	17.46907141
2.58 	18.36594735
2.82 	19.88719786
2.96 	20.8587606
3.25 	21.32485473
3.25 	22.63485473
3.54 	23.79094868
4.15 	26.14204216
4.46 	28.40407289
5.01 	30.97735248
5.47 	33.31391282
5.80 	33.76187953
6.26 	36.09843848
7.16 	39.50561639
7.51 	41.77951788
7.95 	42.25013601
7.97 	41.53607317
7.99 	41.40201033
7.99 	41.27201033
7.85 	34.44045016
7.06 	23.52593014
6.80 	21.37874567
6.21 	19.13359516
5.83 	16.85078558
4.28 	6.470635728
3.56 	3.466886185
1.99 	-4.789210546
0.05 	-16.14515602
-0.82 	-18.33344118
-1.38 	-21.87969351
-1.76 	-22.27250743
-2.25 	-24.78797775
-2.76 	-27.17938524
-3.35 	-28.73454232
-3.93 	-30.76672987
-4.40 	-33.31626051
-5.12 	-35.95000828
-5.69 	-37.83922401
-6.36 	-40.7581251
-6.64 	-41.05124738
-7.02 	-41.74405563
-7.69 	-44.94295269
-8.05 	-45.3898218
-8.67 	-47.3738725
-8.69 	-46.81980958
-8.64 	-44.08496687
-8.62 	-42.52902978
-8.45 	-38.20856444
-7.53 	-28.25545509
-7.22 	-25.78342812
-6.76 	-22.68687111
-6.24 	-19.63250116
-5.57 	-15.68359974
-5.33 	-14.30235106
-2.88 	-0.655010469
-2.49 	0.530771612
-1.61 	5.372024364
-1.32 	7.498119228
-0.64 	10.27999711
-0.49 	12.35452902
-0.11 	13.12734325
0.77 	17.75859722
1.08 	19.27062979
1.29 	20.8829744
1.49 	21.25235018
1.89 	23.54110162
2.03 	24.58266458
2.41 	26.10547818
2.60 	26.8818849
2.80 	27.87126032
3.37 	30.97047984
3.46 	31.47719864
3.84 	32.94001117
4.03 	34.61641729
4.35 	35.60141686
5.39 	40.53016325
6.54 	44.52156089
6.83 	44.91765159
7.28 	45.88123983
7.45 	46.14170624
7.61 	46.97920391
7.78 	47.23967003
7.87 	47.81638733
7.95 	47.46013601
7.92 	47.28123026
7.99 	47.30201033
7.71 	34.80888988
7.18 	30.21155364
6.47 	26.41078032
5.97 	22.78234707
5.80 	22.08187953
5.25 	18.98860145
5.13 	17.64297699
4.82 	17.34094692
4.73 	16.31422845
2.68 	6.265635077
1.63 	0.443913209
0.87 	-4.121714849
0.15 	-8.095468065
-0.35 	-9.513907844
-0.85 	-13.28234756
-1.66 	-17.10281957
-2.13 	-18.93235239
-2.78 	-22.29532278
-3.30 	-25.13969853
-3.69 	-26.45547995
-4.23 	-28.68579206
-4.28 	-28.98063573
-4.54 	-31.01782271
-4.95 	-32.30954021
-5.48 	-35.42688151
-6.29 	-38.83734447
-6.98 	-40.70218111
-7.48 	-43.16061206
-7.69 	-43.49295269
-8.15 	-44.93950755
-8.12 	-44.62060183
-8.12 	-44.48060183
-8.10 	-44.37466468
-8.12 	-44.24060183
-7.69 	-31.85295269
-7.43 	-29.18576902
-7.14 	-26.58967915
-6.60 	-22.66937279
-6.45 	-21.31484301
-5.98 	-18.86531575
-5.23 	-14.61266404
-3.68 	-6.682511203
-2.59 	-0.948916127
-0.57 	10.61077867
-0.13 	11.39140566
1.27 	19.42703682
1.54 	20.43719412
1.54 	20.81719412
1.82 	22.04032014
2.35 	24.94766553
2.54 	25.76407226
2.70 	26.19157262
2.89 	27.58797924
3.34 	29.79157356
3.65 	31.81360495
4.01 	32.78047981
4.73 	37.30422845
5.11 	38.85703958
5.54 	39.54469367
6.18 	42.14468916
6.39 	42.51703107
6.56 	43.18749819
6.90 	45.07843204
