"Sritharan 1996, Specimen No. IC3"	
-54.06	-285.4
-52.57	-259.9
-50	-248.3
-48.33	-220.1
-45.92	-194.9
-44.22	-158.5
-41.65	-133.1
-40.55	-108.1
-37.99	-85.9
-36.65	-59.28
-34.12	-42.84
-31.6	-20.82
-29.08	-2.64
-26.47	13.35
-23.92	26.98
-21.34	41.42
-18.62	56.17
-16.28	67.67
-13.74	81.85
-11.13	94.56
-8.515	106.2
-5.739	118.2
-3.335	127.8
-0.774	138.7
1.939	149.3
4.31	158
6.893	167.1
9.626	176.8
12.04	185.3
14.75	195.4
17.16	203.3
19.75	212.5
22.5	223.7
24.94	233.4
27.45	243.9
29.95	256.1
32.62	269.3
35.13	282.4
37.8	294.9
40.29	306.6
42.77	319
45.31	331.2
47.81	342.7
50.4	353.8
52.88	365.8
55.39	371.7
57.92	384
59.19	388.1
59.56	389.7
60.16	364.1
58.72	338.3
57.2	312.4
55.59	285.7
53.94	260.3
52.26	235.1
50.37	207.9
48.6	183.6
46.64	157.7
44.46	131.3
42.18	105.9
39.69	79.09
37.24	54.96
34.51	29.97
32.05	8.226
29.41	-5.312
26.98	-18.82
24.33	-32.59
21.9	-45.79
19.25	-60.08
16.82	-72.79
14.13	-85.81
11.63	-97.98
8.936	-110.3
6.485	-121.3
3.866	-132.5
1.333	-142.9
-1.205	-152.7
-3.797	-162.4
-6.611	-172.3
-9.065	-181.2
-11.85	-190.7
-14.23	-199.4
-16.81	-210.1
-19.32	-216.5
-21.93	-227.2
-24.67	-239.3
-27.15	-251.8
-29.76	-265.2
-32.36	-277.3
-34.89	-287.1
-37.52	-299
-40.25	-313.1
-42.73	-325.9
-45.29	-338.7
-47.83	-349.8
-50.34	-360.6
-52.86	-375.1
-55.37	-388.3
-57.89	-398.5
-58.98	-402.9
-59.21	-402.1
-59.45	-399.5
-59.55	-370.2
-58.45	-346.8
-57.31	-320.9
-55.82	-295.7
-54.16	-267.7
-52.64	-244.2
-50.11	-227
-48.14	-201.2
-46.55	-175.3
-44.69	-148.4
-42.82	-121.1
-40.88	-95.52
-38.67	-69.79
-36.18	-43.36
-33.76	-18.18
-30.96	0.723
-28.55	11.98
-25.9	20.11
-23.27	43.02
-20.58	57.04
-18	71.27
-15.5	84.58
-12.72	90.87
-10.19	106.4
-7.819	120.3
-5.207	131.9
-2.698	142.2
-0.551	143.8
0.521	117.7
0.635	110.5
-1.869	89.32
-4.339	70.67
-6.876	50.1
-9.326	34.21
-11.7	28.05
-9.187	40.78
-6.939	66.31
-4.769	91.43
-2.291	116.5
-0.518	137.5
1.995	160
4.662	173.4
7.276	183
9.826	191.9
12.36	201
14.9	209.6
17.52	218.6
19.95	227.8
22.53	237.6
25.06	247.3
27.57	257.2
30.21	268.7
32.69	280.3
35.34	293.3
37.74	304.6
40.43	318.1
42.87	328.9
45.39	340.7
47.94	352.7
50.48	364.3
53.19	376.7
55.58	386.9
58.24	397.5
60.65	407.1
63.36	415.7
65.79	421.4
68.35	426.3
70.87	429.8
73.39	434.5
75.92	438.8
78.43	443.2
81.04	445.5
83.5	446.9
86.02	449.5
88.53	453
89.56	446.9
89.67	441.2
89.77	413.2
88.26	386
86.76	361
85.08	333.9
83.38	309.3
81.58	282.6
79.84	258.2
77.93	231.7
76.05	207.1
73.88	180.3
71.81	156.4
69.42	130
67.24	106.2
64.7	80.86
61.99	56.39
59.53	35.97
56.98	14.24
54.39	-0.312
51.85	-13.48
49.27	-26.01
46.77	-36.79
44.23	-47.68
41.6	-58.35
39.1	-68.12
36.56	-78.35
33.89	-88.37
31.44	-97.28
28.92	-106
26.11	-115.8
23.73	-123.5
21.22	-131.7
18.31	-141.9
15.86	-149.3
13.21	-156.4
10.62	-163.7
7.816	-171.9
5.403	-178.4
2.901	-184.7
0.39	-191.5
-2.499	-198.7
-5.029	-206.1
-7.71	-211.9
-10.64	-220.2
-12.93	-226.7
-15.68	-234
-18.24	-241.4
-21.17	-249.3
-23.74	-257
-26.35	-264.9
-28.87	-272.9
-31.75	-280.9
-34.14	-287.8
-36.68	-296.6
-39.38	-306.7
-41.75	-315.5
-44.27	-325.1
-46.86	-335.5
-49.43	-345.8
-52.05	-356.3
-54.67	-366.9
-57.28	-376.8
-59.88	-386.2
-62.45	-395.2
-64.96	-403.4
-67.59	-411.9
-70.27	-420
-72.75	-427.5
-75.4	-434.6
-78.12	-441
-80.52	-446.3
-83.12	-450.5
-85.65	-454.3
-88.23	-457.6
-90.76	-460.3
-93.08	-459.5
-93.77	-434.4
-93	-409.2
-91.57	-381.2
-90.25	-357.7
-88.62	-330.9
-86.91	-304.7
-85.2	-278.8
-83.19	-252.8
-80.51	-234
-78.75	-209.9
-76.79	-184.5
-74.6	-156.4
-72.61	-131.8
-70.44	-106.7
-67.99	-79.84
-65.62	-56.32
-63.04	-33.23
-60.47	-13.89
-57.87	1.949
-55.18	18.8
-52.71	29.7
-50.1	40.83
-47.32	51.76
-44.88	61.15
-42.32	71.48
-39.56	81.27
-36.92	91.62
-34.29	100.8
-31.85	109.3
-29.23	118.2
-26.66	126.8
-24.02	135.5
-21.16	143.7
-18.83	149.9
-16.21	158.4
-13.52	165.5
-10.65	172.6
-8.306	178
-5.801	184.4
-3.016	190.9
-0.552	196.3
2.011	202.2
4.526	207.9
7.152	214.2
9.686	220.4
12.48	226.1
14.92	231.3
17.49	236.8
20.03	243
22.58	248.2
25.18	253.7
27.68	259.4
30.47	265.1
32.86	270.9
35.47	277.2
38.31	284.4
40.74	290.3
43.26	297.2
45.81	304
48.55	312.1
50.99	318.8
53.64	326.6
56.38	333.3
58.81	340.3
61.49	348.3
63.89	355
66.46	362.5
69	369.9
71.51	377.5
74.03	384.6
76.71	391.8
79.21	398.4
81.76	403.3
84.3	409.4
86.8	413.6
89.31	415
89.53	414.6
89.77	412.5
88.31	386
86.84	361.5
85.31	336.2
83.48	310.9
81.63	285.6
79.8	259.7
77.75	233
75.67	207.4
73.44	181.9
71	154.6
68.72	130.9
65.96	104
63.51	81.77
60.9	60.15
58.28	39.37
55.73	20.22
53.15	6.539
50.56	-7.15
47.78	-18.21
45.36	-27.52
42.74	-37.96
40.01	-49.06
37.57	-59.04
34.95	-69.4
32.25	-79.66
29.76	-89.1
27.23	-98.18
24.54	-107.4
22.12	-115.6
19.58	-123.8
16.74	-132.7
14.38	-139.6
11.78	-146.5
8.966	-154.7
6.572	-161.2
3.9	-167.9
1.224	-175.2
-1.578	-181.7
-3.871	-188
-6.427	-194.1
-8.945	-200.8
-11.84	-208.5
-14.26	-212.7
-16.81	-219.4
-19.54	-225.4
-22.3	-231.8
-24.76	-237.9
-27.33	-244.6
-29.87	-251.1
-32.64	-258.1
-35.11	-265.4
-37.79	-273.2
-40.29	-278.2
-42.85	-284.1
-45.72	-292.7
-48.11	-300.4
-50.87	-309.4
-53.44	-317.6
-56.23	-326.9
-58.64	-334.6
-61.16	-343.7
-63.75	-351.9
-66.34	-360.8
-68.99	-370.3
-71.53	-379.2
-74.44	-389
-76.78	-395.9
-79.34	-404.3
-81.98	-413.1
-84.58	-420.5
-87.17	-427.7
-89.8	-433.4
-90.96	-435.3
-90	-407.8
-88.7	-382.1
-87.13	-356
-85.33	-327.1
-83.77	-303.7
-81.97	-277
-79.78	-251.4
-77.21	-234.3
-75.12	-206.8
-73.21	-182.1
-71.16	-156.4
-69.04	-131.2
-66.87	-106.1
-64.45	-80.89
-61.86	-55.15
-59.3	-33.48
-56.71	-14.07
-54.07	2.362
-51.3	16.76
-48.8	26.84
-46.27	37.78
-43.47	48.48
-41.12	58
-38.47	68.41
-35.85	79.19
-33.11	90.37
-30.61	99.26
-28.1	108.3
-25.45	117.9
-22.56	127.2
-20.04	135.5
-17.25	145.3
-14.64	152.1
-12.06	158
-8.981	167.2
-6.568	172.6
-3.942	180.4
-1.368	187.3
1.23	192.5
4.17	199.8
6.68	203.9
9.096	209.2
11.64	215.3
14.22	221.5
16.97	227.5
20.06	235.1
22.4	240.1
24.91	245.2
27.69	250.3
30.31	256.4
33.1	262.1
35.4	267.3
38	274.1
40.68	280.4
43.34	286.7
45.9	293.3
48.53	300.4
51.34	309.1
53.7	315.4
56.32	322.3
58.91	330
61.76	338.3
64.15	344.8
66.73	352.2
69.45	359.7
71.93	366.7
74.51	372.5
77.07	380.2
79.58	384.5
82.12	391.7
84.6	397.5
87.11	402.6
89.61	405
89.68	404.7
89.89	403.9
89.52	378.7
87.95	352.9
86.34	327.4
84.44	299.4
82.73	275.8
80.75	249.9
78.63	222.8
76.68	197.5
74.52	172.2
72.03	146.2
69.28	119.9
66.86	96.18
64.23	71.09
61.56	52.63
58.76	29.88
56.35	12.61
53.67	2.323
51.12	-9.21
48.21	-20.54
45.54	-30.86
42.99	-40.5
40.21	-51.23
37.82	-60.88
35.16	-71.31
32.3	-82.38
29.89	-91.44
27.33	-101.6
24.72	-111.6
21.85	-119.6
19.55	-128.2
16.94	-134.5
14.37	-141.8
11.46	-150.8
8.956	-156.4
6.352	-163.4
3.735	-171
0.749	-178.2
-1.509	-183.7
-4.097	-189.5
-6.785	-197.4
-9.669	-203.4
-11.98	-208.8
-14.57	-215.1
-17.13	-221.2
-19.92	-227.5
-22.52	-234.2
-25.13	-239.9
-27.8	-247.8
-30.33	-252.8
-33.24	-260.4
-35.51	-266.8
-38.11	-276
-40.8	-280.6
-43.38	-288.2
-46.34	-294.4
-48.74	-301.6
-51.39	-309.4
-54.14	-318.2
-56.77	-326.9
-59.82	-336.7
-62.61	-345.7
-65.41	-355.2
-68.09	-363.9
-70.71	-372.3
-73.73	-382.4
-76.23	-390.4
-78.86	-398
-81.42	-405
-83.95	-410.9
-86.45	-414.9
-88.96	-419.6
-89.86	-417
-89.87	-417.1
-89.41	-392
-88.02	-365.3
-86.5	-340
-84.8	-313.6
-83.14	-289.5
-81.21	-263
-78.61	-246.6
-76.52	-221.1
-74.49	-195
-72.66	-170.9
-70.53	-144.7
-68.21	-118.4
-65.89	-93.85
-63.31	-67.92
-60.92	-46.94
-58.22	-25.55
-55.76	-8.07
-53.06	7.821
-50.57	17.9
-48	28.1
-45.4	37.64
-42.76	47.63
-40.08	58.29
-37.66	68.09
-35.06	78.85
-32.21	89.77
-29.89	97.56
-27.37	106.3
-24.81	115.4
-22.14	125.2
-19.57	132.7
-16.99	140.6
-14.35	147.9
-11.73	155.4
-8.934	163.2
-6.608	169.2
-3.925	175.6
-1.314	182.5
1.408	189
3.997	194.8
6.702	201
9.596	207.7
12	212.9
14.67	218.6
17.38	224.5
20.11	230
22.47	234.2
25.12	240.1
27.82	245.7
30.25	250.6
32.81	257.2
35.5	262.5
37.86	268.4
40.39	274.1
43.12	281.2
45.58	287.1
48.15	293.5
50.89	300.8
53.24	307
55.75	314.1
58.47	321.3
60.81	327.9
63.38	335.1
66.06	342.2
68.43	348.8
71.13	356.4
73.8	363.7
76.37	370.4
79	377.7
81.63	384.9
84.45	392.3
86.8	398.8
89.36	405.2
92.12	411.3
94.61	416.6
97.15	421.7
99.67	425.7
102.4	429.2
105	431.1
107.6	434
110.1	436.4
112.6	435.2
115.1	438.5
117.7	439.3
119.8	437
120	436.3
120	435.6
120.4	410.1
118.7	383.1
117	358.6
115.2	333.3
113.3	307.1
111.5	282.1
109.2	254
107.2	228.3
104.9	202
102.4	174.4
99.97	150.1
97.37	123.2
94.75	99.54
91.99	74.7
89.34	53.03
86.59	34.83
83.85	12.77
81.18	1.405
78.27	-10.47
75.99	-22.17
73.24	-29.03
70.56	-37.6
67.73	-46.55
65.35	-54.28
62.68	-63.26
59.98	-74.06
57.09	-83.37
54.63	-91.02
51.95	-98.18
49.26	-106.7
46.54	-112.9
43.63	-122
41.27	-129.2
38.56	-136.4
35.91	-141.6
33.36	-149.5
30.34	-156.9
27.97	-162.4
25.44	-167.4
22.83	-173.9
20.3	-178.7
17.23	-184.7
14.45	-190.3
12.16	-193.7
9.526	-198.1
6.849	-202.8
4.069	-208.2
1.623	-214.7
-0.982	-217.4
-3.681	-223
-6.284	-228.1
-8.962	-233.2
-11.53	-238
-14.32	-243.2
-16.63	-247.1
-19.17	-251
-21.82	-256.8
-24.32	-261.6
-26.95	-266.8
-29.72	-272.3
-32.24	-276.9
-34.82	-281.3
-37.46	-285.9
-40.26	-291.5
-42.66	-296.2
-45.31	-301.4
-47.87	-307.5
-50.43	-313.2
-52.98	-319.4
-55.64	-325.8
-58.54	-333.7
-60.91	-339.4
-63.48	-345.5
-66.23	-352.3
-68.64	-359
-71.22	-365.7
-74	-373
-76.38	-379.9
-78.98	-385.9
-81.5	-392.3
-84	-400.1
-86.81	-407.7
-89.33	-414.2
-91.93	-420
-94.44	-424.7
-96.95	-429.9
-99.45	-435.8
-102	-441.6
-104.6	-447.4
-107	-450.6
-109.7	-454.7
-112.1	-458.3
-114.7	-459.4
-117.2	-459.6
-118.7	-459.1
-119.6	-456.9
-119.7	-453.7
-119.5	-427.8
-118.1	-400.1
-116.7	-375
-115	-349.4
-113.3	-323.7
-111.5	-298
-109.6	-273
-107.1	-251.7
-104.5	-229.9
-102.3	-202.1
-100.3	-178.8
-98.13	-152.9
-95.65	-125.7
-93.27	-102.1
-90.64	-77.69
-88.24	-58.31
-85.51	-36.76
-83.04	-19.26
-80.46	-3.353
-77.94	8.447
-75.27	19.8
-72.58	28.26
-70.08	36.51
-67.42	44.85
-64.77	53.08
-62.33	61.66
-59.75	70.24
-57.05	79.09
-54.7	86.68
-52.07	94.49
-49.39	102.6
-46.55	110.4
-44.21	117.2
-41.68	124.1
-39.08	131.3
-36.34	138.5
-33.95	144.4
-31.41	150.5
-28.87	155.6
-26.07	163
-23.65	167.6
-21.01	173.2
-18.23	179
-15.79	183.7
-13.08	189.2
-10.38	194.8
-7.647	199.7
-5.164	204.1
-2.592	209.1
0.015	213.5
2.818	218.5
5.198	222.1
7.916	227
10.58	231.8
13.44	236.2
16.14	240.4
18.82	245.9
21.35	248.8
23.96	252.1
26.52	255.5
29.04	260.2
31.76	264.2
34.2	268.9
36.88	273.2
39.59	276.9
41.95	281.9
44.59	285.6
47.36	289.7
49.76	294.7
52.36	298.9
55.26	303.8
57.61	307.9
60.15	312.1
62.86	317.7
65.63	322.6
67.97	326.5
70.68	331.7
73.21	336.8
75.93	341.1
78.33	345.2
80.9	349.8
83.42	349.9
85.93	358.5
88.5	363.9
91.08	369.1
93.76	374.8
96.18	378.6
98.87	384.6
101.3	388.3
104	393.3
106.4	396.6
109	401.4
111.6	405.8
114.1	409.8
116.6	413.2
119.1	415.5
120	413.9
120	413.5
118.5	388.3
116.7	361.3
114.9	336.8
112.8	309.6
110.9	285.9
108.9	259.5
106.4	231.7
104.4	207
102	181.6
99.37	157
96.64	129.4
94.08	105.9
91.48	87.31
88.82	64.74
85.88	45.14
83.45	28.68
80.84	11.65
78.32	1.62
75.46	-12.6
72.97	-21.36
70.35	-28.91
67.56	-36.76
64.7	-45.09
61.48	-54.25
59.04	-61.31
56.23	-70.93
53.65	-78.77
50.92	-86.6
48.2	-95.44
45.13	-102.2
42.83	-110.5
40.21	-117.1
37.67	-123.6
35.1	-131.2
32	-140
29.23	-147.1
26.88	-151.8
24.33	-158.9
21.7	-164.9
18.9	-170.1
16.02	-175.1
13.54	-179.4
11.06	-184.7
8.316	-189.7
5.636	-195
2.77	-200
0.283	-204.3
-2.273	-209
-4.797	-214
-7.694	-219.3
-10.18	-224.1
-12.72	-228.6
-15.26	-232.9
-17.93	-237.6
-20.6	-242
-23.18	-246.6
-25.95	-251.9
-28.39	-256.5
-30.95	-260.6
-33.63	-265.7
-36.39	-270.7
-38.96	-274.9
-41.47	-279
-44.29	-283.5
-46.74	-287.3
-49.3	-292.3
-52.01	-297.4
-54.46	-302.6
-56.98	-307.9
-59.62	-312.7
-62.21	-318.5
-64.86	-324.9
-67.52	-331.1
-70.16	-336.7
-72.7	-343.1
-75.34	-349.6
-77.86	-356.7
-80.56	-363.3
-83.1	-369.3
-85.93	-376
-88.35	-381.5
-90.97	-387.8
-93.63	-394.8
-95.99	-400.6
-98.58	-406.9
-101.1	-413
-103.6	-419
-106.3	-425.6
-108.7	-430.3
-111.5	-436.4
-113.9	-441.1
-116.4	-446.1
-119	-450.6
-120.3	-452.1
-121.3	-452.7
-119.8	-421.3
-118.6	-399.3
-116.8	-372.4
-115	-346.9
-113.2	-321
-111.4	-295.9
-109.3	-270.4
-106.7	-252.1
-104	-225.8
-102.1	-202.5
-99.94	-177.1
-97.49	-149
-95.23	-125.2
-92.72	-101
-90.14	-77.26
-87.46	-55.89
-84.67	-35.01
-82.25	-19.16
-79.64	-3.619
-76.88	10.13
-74.41	19.1
-71.72	27.22
-69.13	33.73
-66.4	40.98
-63.96	48.18
-61.35	56.15
-58.62	64.71
-56.24	71.99
-53.68	79.7
-51.02	87.85
-48.54	95.57
-46.03	102.6
-43.39	110
-40.89	116.5
-38.38	123.8
-35.49	131.1
-33.09	137.6
-30.45	144.2
-27.81	150.4
-25.16	156.7
-22.62	161.9
-20.03	166.9
-17.44	172.5
-14.82	177.7
-12.12	183.6
-9.582	188.1
-6.973	193.2
-4.111	199
-1.711	202.6
0.852	207.2
3.412	212.2
6.348	217.1
8.766	221.2
11.31	225.2
13.99	229.1
16.71	233.1
19.13	236.5
21.7	241.2
24.38	245.2
27.27	249.7
29.59	254.2
32.27	257.9
34.96	262.6
37.75	266
40.27	270.4
42.8	274.5
45.34	278.7
48.1	282.7
50.54	286.6
53.06	290.7
55.61	293.8
58.16	298.9
60.67	303.1
63.24	307.6
65.92	312.5
68.4	316.6
71.06	320.4
73.55	325.8
76.15	331.5
78.81	336.1
81.16	340.6
83.73	344.5
86.25	349.6
88.9	354.7
91.7	359.7
94.05	364.4
96.55	368.6
99.27	372.6
101.7	376.9
104.2	380.4
106.7	385.4
109.3	389.8
111.9	393.7
114.5	397
117	399.9
119.4	400
119.8	398.2
118.2	372.6
116.3	346.6
114.3	320.7
112.2	294.2
110.2	270
108	244.8
105.5	215.9
103	190.3
100.4	165.3
97.77	141.1
95.19	117.9
92.53	96.09
90.13	77.15
87.58	58.62
84.96	40.52
82.33	23.72
79.83	6.624
77.09	-2.669
74.65	-12.67
71.92	-19.63
69.26	-26.22
66.49	-33.19
64.08	-39.26
61.48	-46.37
58.9	-53.81
56.25	-62.24
53.56	-70.26
51.15	-77.61
48.5	-85.82
45.87	-94.71
43.19	-101.3
40.31	-111.2
37.92	-117.1
35.32	-124.4
32.77	-131.5
29.84	-138.8
27.07	-146.8
24.29	-153
21.51	-157.6
18.94	-165
16.12	-169.5
13.39	-174.4
10.8	-181.2
8.236	-185.4
5.632	-190.5
2.644	-195.5
0.166	-200.3
-2.386	-204.9
-4.937	-209.5
-7.72	-214.5
-10.14	-218.8
-12.68	-223.4
-15.39	-228.7
-18.16	-233.5
-20.46	-237.5
-23.12	-242.4
-25.72	-246.2
-28.31	-251.3
-30.91	-256.1
-33.44	-260.5
-35.94	-265.1
-38.51	-270.2
-41.11	-274.6
-43.69	-279.2
-46.48	-283.3
-48.94	-286.7
-51.46	-291.3
-54.27	-297.4
-56.93	-303
-59.3	-307.6
-61.96	-313.2
-64.5	-318.8
-67.01	-322.4
-69.61	-326.7
-72.24	-331.5
-74.63	-337.2
-77.23	-343.4
-79.78	-349.4
-82.4	-355.9
-85.19	-362.5
-87.65	-368
-90.24	-373.2
-92.79	-378.5
-95.39	-384.7
-97.91	-390.1
-100.6	-396.8
-103	-402.8
-105.6	-408.7
-108.2	-414.3
-110.7	-420.5
-113.3	-426.1
-115.9	-430.9
-118.4	-435.6
-120.9	-439.3
-122.3	-440.5
-121.1	-415.5
-119.7	-389.7
-117.8	-361.9
-116.1	-337.7
-114.2	-311.4
-112.1	-283.9
-110.1	-260.4
-107.5	-245.6
-105.1	-219.8
-102.8	-193.9
-100.6	-168
-98.15	-142.5
-95.66	-116.6
-92.99	-91.62
-90.59	-70.69
-87.92	-49.98
-85.54	-32.31
-82.94	-16.08
-80.5	-4.159
-77.95	10.35
-75.19	19.46
-72.67	27.08
-70.02	33.26
-67.4	39.34
-64.75	45.77
-62.21	52.52
-59.7	60.4
-57.14	68.4
-54.61	76.12
-52.09	82.82
-48.26	95.22
-45.67	102
-43.06	108.6
-40.43	115.5
-37.78	122.7
-35.14	129.7
-32.63	136
-29.96	142.8
-27.21	149.1
-24.81	154.8
-22.29	160
-19.68	165.4
-16.75	172.1
-14.33	176.5
-11.68	181.7
-8.968	187.1
-6.562	190.9
-3.983	195.7
-1.407	200.2
1.117	204.9
3.905	209.8
6.267	213.3
8.856	217.8
11.77	223.1
14.25	226.3
16.79	230.2
19.63	234.8
22.05	238.6
24.61	241.9
27.22	246.1
29.79	249.2
32.39	253.1
34.9	257.9
37.66	262.2
40.26	266.1
42.96	270.1
45.38	274
48.01	278.3
50.46	282.1
53.12	286.3
55.6	290.3
58.1	294.5
60.83	299.2
63.17	302.9
65.76	307.1
68.49	312
71.11	316.5
73.63	320.2
76.21	324
78.9	329.2
81.33	332.5
83.86	336
86.4	342.8
88.95	347.3
91.53	351.2
94.09	355.7
96.73	360.2
99.17	364.3
101.8	368.3
104.3	372.7
106.9	377
109.4	380.4
111.9	383.9
114.5	387.8
117	392
119.5	391.2
119.7	390.4
119.7	389.3
119.9	388.2
119.7	362.6
117.8	336.1
115.9	312.1
113.9	286.6
111.6	259.6
109.3	234.4
107	208.6
104.3	180.1
101.8	157.7
99.27	134.9
96.5	109.3
94.02	90.92
91.29	69.13
88.64	51.81
85.72	33.08
83.39	17.9
80.84	0.541
78.19	-6.59
75.21	-18.51
72.94	-24.5
70.25	-30.26
67.68	-35.73
64.86	-42.97
62.31	-50.06
59.05	-58.69
56.32	-66.91
53.69	-73.53
51.1	-81.57
48.58	-88.65
45.85	-94.24
42.93	-104
40.67	-109
38.07	-116.2
35.43	-123.2
32.93	-131.9
29.88	-137.6
27.64	-145.3
25.03	-150.4
22.35	-157.2
19.83	-161.8
16.84	-168.2
14.48	-173
11.92	-179.1
9.266	-183.4
6.736	-188.5
4.045	-193.5
1.313	-199.4
-1.332	-204.4
-4.118	-209.6
-6.976	-214.7
-9.382	-219.2
-11.96	-224
-14.56	-228.4
-17.54	-234
-20.31	-238.9
-22.72	-243.3
-25.39	-246.1
-28.01	-250.9
-30.88	-256.3
-33.24	-261.1
-35.8	-265.3
-38.49	-269.7
-41.24	-274.8
-44.24	-281.7
-47	-283.9
-49.51	-287.7
-52.27	-293
-54.97	-297.8
-57.63	-302.9
-60.58	-309
-63.09	-313.6
-65.67	-318.8
-68.26	-324.4
-70.85	-329.3
-73.63	-335
-76.5	-340.8
-78.94	-346.2
-81.7	-352.4
-84.38	-358.4
-87.4	-364.6
-89.63	-369.1
-92.31	-374.4
-94.92	-380
-97.59	-385.3
-99.94	-391.9
-102.6	-397.3
-105.1	-402.9
-107.6	-407.6
-110.3	-413
-112.7	-416
-115.2	-418.4
-117.8	-420.2
-118.1	-419.3
-119.9	-421
-120	-420.8
-119.7	-393
-117.9	-365.3
-116.4	-341.6
-114.5	-316.2
-112.7	-290.9
-110.6	-264.9
-107.9	-245.1
-105.5	-224.9
-103.2	-199.2
-100.9	-173.4
-98.47	-147
-95.91	-121.8
-93.4	-96.78
-90.83	-74.31
-88.28	-54.6
-85.7	-35.75
-83.07	-18.39
-80.47	-3.475
-77.87	6.969
-75.21	15.74
-72.71	22.58
-70.09	28.4
-67.52	33.66
-64.87	40.35
-62.21	46.96
-59.79	53.58
-57.22	60.87
-54.68	67.67
-52.08	75.34
-49.28	83.06
-46.86	89.76
-44.25	97.43
-41.54	104.6
-38.93	111.5
-36.23	119
-33.8	125.8
-31.29	131.7
-28.49	139.2
-26.1	145.1
-23.43	150.8
-20.63	157.2
-18.27	162.1
-15.65	167.4
-12.96	173.8
-10.56	178.5
-7.902	182.8
-5.294	188.1
-2.326	194.4
-0.064	197.8
2.577	202.6
5.262	207.2
8.076	213.4
10.45	217.3
13.14	222
15.67	226.3
18.38	229.8
20.79	232.8
23.31	235.9
26.12	241
28.53	245.2
31.06	249.6
33.78	254
36.62	257.5
39.04	261.3
41.55	264.9
44.24	268.2
47.01	273.2
49.45	276.3
52.04	280.3
54.81	281.5
57.18	285.4
59.84	290.3
62.29	293.8
64.79	297.5
67.33	301.3
69.88	304.4
72.43	309
74.98	314.3
77.47	318.9
80	323
82.6	327.1
85.1	330.7
87.61	335.6
90.18	339.8
92.64	343.6
95.15	348.6
97.67	353.2
100.3	357.3
102.8	361
105.4	365.5
107.9	369.7
110.5	373.4
112.9	376.7
115.5	380
118	383.1
120.6	386.5
123.2	390.5
125.7	393.1
128.3	395.9
130.8	398.8
133.4	401.2
135.9	403.8
138.4	405.4
140.9	404.2
143.4	407.8
145.9	409.1
148.4	409.1
149.4	404.6
149.7	401.1
149.7	399.3
150.1	373.7
148.3	348
146.3	322.7
144.2	297.5
141.8	269.3
139.5	244.2
137.1	219.1
134.4	192.7
132.1	170.7
129.3	146.5
126.9	124.4
124.2	102.7
121.5	81.96
119	63.66
116.3	47.29
113.7	31.48
111.2	14.85
108.7	0.463
106.2	-8.15
103.3	-17.43
100.6	-25.17
98.07	-31.21
95.37	-37.74
93	-42.46
90.49	-48.88
87.86	-52.75
84.97	-60.7
82.66	-63.68
79.99	-69.61
77.27	-76.08
74.43	-82.11
71.99	-87.81
69.37	-93.66
66.55	-100.8
64.23	-105.9
61.72	-112.3
59.21	-117.7
56.37	-124.6
53.92	-131.8
51.29	-136.8
48.63	-141.8
45.68	-147.4
43.34	-151.6
40.68	-157.7
38.08	-164.1
35.09	-168.5
32.83	-172.8
30.21	-179.1
27.42	-183.1
24.85	-189.1
21.9	-194.4
19.29	-197.6
16.99	-200.4
14.28	-204.5
11.65	-208.7
8.816	-213
6.381	-217.1
3.643	-221.7
1.086	-225.8
-1.9	-233
-4.134	-234.4
-6.635	-238.2
-9.253	-242
-12.02	-245.9
-14.43	-249.3
-16.96	-253.2
-19.7	-257
-22.09	-260.7
-24.68	-265
-27.21	-268.6
-29.94	-272.9
-32.37	-276.7
-34.89	-279.5
-37.56	-282.8
-39.96	-286.5
-42.66	-290.1
-45.18	-294.2
-47.97	-298.5
-50.3	-302
-52.91	-305.8
-55.49	-309.4
-58.38	-312.6
-60.76	-315.9
-63.3	-320.8
-65.94	-324.8
-68.75	-329.8
-71.08	-333.6
-73.78	-338.5
-76.41	-343.2
-79.33	-347.8
-81.93	-353
-84.52	-357.5
-87.12	-362.5
-89.95	-366.2
-92.36	-369.5
-94.95	-375
-97.72	-380
-100.1	-384.4
-102.7	-389.2
-105.3	-393
-107.8	-395.4
-110.3	-399.7
-112.8	-405.2
-115.4	-409.1
-117.9	-412.9
-120.4	-416.1
-123	-418.8
-125.4	-423.5
-128	-425.9
-130.5	-426.2
-133.1	-431.9
-135.7	-433.8
-138.2	-433.8
-140.7	-440
-143.2	-442.2
-145.8	-442.2
-148.3	-439.2
-149.9	-440.4
-150	-438.8
-150	-432
-150	-431.9
-149.5	-406.5
-148.6	-381.3
-146.9	-355
-144.7	-325
-143.1	-302.5
-140.9	-275.9
-138.6	-248.2
-136.2	-235
-133.6	-213.4
-131	-185.7
-128.7	-161.9
-126.2	-136.8
-123.7	-111.6
-121.2	-89.22
-118.6	-68.28
-116	-49.51
-113.4	-32.27
-110.9	-15.97
-108.4	-1.447
-105.7	5.502
-103.2	14.82
-100.5	29.97
-98.2	37.49
-95.58	42.94
-92.69	46.8
-90.28	51.28
-87.58	56.6
-85.08	60.82
-82.53	63.85
-79.82	68.83
-77.29	74.8
-74.45	81.77
-72.1	85.52
-69.41	92.92
-66.87	99.14
-64.16	105.9
-61.73	111.2
-59.09	116.8
-56.31	122.3
-53.87	126.1
-51.31	132
-48.66	137.4
-45.98	143.5
-43.53	148.2
-41	153.1
