"Sritharan 1996, Specimen No. IC1"	
7.553	105.467
6.201	84.927
4.858	64.237
3.677	43.847
2.567	22.427
1.514	1.287
0.505	-18.633
-0.543	-39.143
-1.586	-58.963
-2.6338	-79.403
-3.805	-99.833
-4.939	-119.733
-6.025	-140.633
-7.163	-161.333
-8.358	-182.633
-9.444	-202.933
-10.592	-223.033
-11.644	-243.133
-12.838	-264.633
-13.968	-284.233
-15.908	-294.333
-16.588	-281.933
-16.608	-281.233
-15.078	-261.033
-13.118	-245.333
-12.048	-224.633
-10.935	-203.833
-9.868	-183.433
-8.763	-162.833
-7.653	-142.533
-6.544	-121.633
-5.444	-101.233
-4.334	-80.243
-3.239	-59.803
-2.1956	-39.443
-1.1431	-18.563
-0.172	1.394
0.895	21.957
1.976	41.577
3.196	61.617
4.486	81.897
5.939	102.467
7.358	122.467
8.802	142.967
10.242	163.167
11.592	183.267
12.892	204.267
14.192	224.267
15.442	244.967
16.702	265.067
17.952	285.667
19.502	306.467
21.442	324.767
23.312	332.967
25.092	341.167
25.112	339.367
24.872	318.567
23.802	298.067
22.732	277.967
21.542	257.667
20.302	237.167
19.002	216.667
17.652	196.167
16.222	175.767
14.792	155.567
13.292	135.167
11.822	115.167
10.262	94.197
8.782	73.917
7.334	53.697
5.958	33.487
4.6	13.447
3.291	-6.542
1.9	-26.963
0.452	-47.383
-0.967	-67.543
-2.3576	-88.393
-3.696	-109.233
-5.02	-130.633
-6.244	-151.233
-7.587	-170.733
-8.716	-191.133
-9.854	-211.533
-11.001	-231.333
-12.198	-252.133
-13.348	-272.233
-15.268	-286.533
-17.198	-290.633
-18.578	-310.933
-20.588	-327.133
-22.588	-342.433
-24.588	-354.633
-25.268	-356.933
-25.308	-354.833
-24.958	-334.033
-24.038	-313.633
-23.078	-293.433
-22.018	-273.433
-19.998	-256.433
-17.998	-246.933
-16.788	-226.633
-15.608	-206.233
-14.368	-186.133
-13.088	-165.233
-11.825	-144.433
-10.563	-124.733
-9.292	-104.403
-7.973	-83.863
-6.739	-63.833
-5.453	-43.613
-4.053	-23.303
-2.529	-3.171
-0.995	17.077
0.743	37.367
2.534	57.307
4.315	78.007
6.091	97.967
7.801	118.267
9.482	138.667
11.132	158.867
12.772	178.967
14.392	199.767
16.072	220.367
17.702	240.467
19.292	260.767
20.942	280.967
22.522	301.667
24.282	321.267
24.862	325.567
25.052	327.767
25.102	327.967
24.092	307.867
23.052	287.867
21.892	267.467
20.682	247.367
19.382	226.767
18.002	206.567
16.582	186.067
15.142	165.667
13.612	145.267
12.092	124.667
10.512	103.967
8.932	83.217
7.334	62.227
5.762	41.637
4.296	21.157
2.857	0.751
1.314	-19.703
-0.367	-40.273
-2.0385	-60.483
-3.529	-80.903
-5.072	-102.063
-6.396	-121.933
-7.696	-141.733
-9.106	-162.233
-10.511	-183.033
-11.902	-203.233
-13.358	-223.933
-14.698	-244.233
-16.198	-265.133
-17.598	-285.133
-19.598	-297.433
-21.648	-304.433
-23.228	-324.833
-25.008	-343.433
-25.108	-342.133
-24.108	-320.933
-23.158	-300.433
-22.128	-279.933
-20.228	-259.233
-18.278	-246.333
-16.528	-225.733
-15.278	-205.233
-13.998	-183.933
-12.718	-164.433
-11.425	-144.133
-10.063	-123.233
-8.725	-103.423
-7.425	-83.173
-6.096	-62.103
-4.796	-42.063
-3.386	-22.123
-1.8861	-1.455
-0.205	19.057
1.552	39.467
3.338	59.667
5.167	80.077
6.905	100.167
8.602	120.367
10.272	140.667
11.942	160.667
13.562	180.967
15.192	201.067
16.922	221.067
18.472	241.467
20.112	261.467
21.672	282.167
23.272	302.067
24.912	320.667
24.922	320.767
25.112	321.867
24.482	299.867
23.362	279.167
22.132	258.067
20.922	238.467
19.632	218.467
18.232	198.467
16.802	178.167
15.342	157.967
13.802	137.867
12.182	116.567
10.542	95.567
8.872	75.237
7.287	54.747
5.701	34.287
4.115	13.987
2.553	-7.216
0.881	-26.683
-0.834	-46.743
-2.51	-67.423
-4.043	-87.933
-5.448	-107.833
-6.801	-128.133
-8.196	-148.333
-9.62	-169.033
-11.044	-189.733
-12.508	-210.433
-13.868	-230.333
-15.248	-250.633
-16.718	-270.733
-18.668	-290.033
-20.678	-291.133
-22.138	-311.433
-23.838	-331.233
-24.838	-342.033
-24.908	-340.833
-24.988	-340.933
-24.998	-340.633
-24.358	-319.033
-23.408	-299.033
-22.348	-278.833
-20.758	-259.133
-18.638	-245.133
-17.188	-224.633
-15.868	-203.033
-14.608	-183.433
-13.188	-163.333
-11.883	-143.433
-10.582	-123.433
-9.216	-102.753
-7.887	-82.453
-6.51	-62.213
-5.167	-41.883
-3.658	-21.443
-2.0766	-0.965
-0.562	15.517
-0.486	16.097
-0.367	13.547
1.029	33.607
2.886	53.897
4.796	74.587
6.691	95.027
8.442	115.267
10.142	135.167
11.832	155.567
13.542	175.867
15.182	195.967
16.832	216.167
18.452	236.167
20.102	256.267
21.612	276.367
23.192	296.567
24.782	316.467
26.632	337.067
28.612	349.067
30.552	355.067
32.492	358.967
33.232	360.367
32.972	340.067
31.942	319.167
30.752	299.067
29.502	278.767
28.202	258.867
26.822	238.867
25.322	217.867
23.912	198.067
22.382	178.067
20.802	157.367
19.152	137.267
17.402	116.867
15.642	97.067
13.892	76.937
12.202	56.747
10.502	36.247
8.762	15.537
7.006	-4.213
4.962	-23.443
3.015	-40.563
1.086	-55.783
-0.872	-72.293
-2.8624	-91.383
-4.767	-112.033
-6.468	-132.433
-8.082	-152.933
-9.616	-173.333
-11.14	-193.633
-12.678	-213.833
-14.118	-234.333
-15.688	-254.333
-17.188	-275.133
-19.078	-294.933
-21.078	-302.733
-23.108	-321.633
-24.988	-341.533
-26.928	-355.333
-28.918	-364.433
-30.898	-372.833
-32.898	-375.433
-33.498	-376.433
-33.368	-355.733
-32.388	-334.233
-31.398	-313.933
-30.288	-293.733
-29.018	-273.333
-26.968	-253.033
-25.038	-239.933
-23.458	-219.133
-22.068	-199.033
-20.648	-178.833
-19.228	-158.733
-17.778	-138.133
-16.378	-117.533
-14.888	-97.383
-13.398	-76.953
-11.849	-56.863
-10.159	-36.353
-8.387	-16.433
-6.458	2.206
-4.458	18.737
-2.4433	32.557
-0.51	44.637
1.438	57.447
3.4	71.557
5.405	85.717
7.429	101.767
9.402	118.067
11.382	136.967
13.342	155.867
15.352	175.267
17.422	196.067
19.432	216.367
21.432	235.967
23.312	255.467
25.292	276.267
27.252	293.567
29.232	312.767
31.202	330.467
33.132	343.467
33.572	344.967
32.552	324.767
31.372	304.367
30.172	284.067
28.862	263.567
27.432	242.367
25.992	222.067
24.532	201.867
22.942	180.167
21.382	160.367
19.662	139.467
17.902	118.867
16.122	98.867
14.252	78.387
12.332	56.807
10.482	36.447
8.622	16.177
6.629	-4.3662
4.634	-19.013
2.672	-34.653
0.767	-47.993
-1.1955	-63.313
-3.177	-79.343
-5.167	-96.493
-7.144	-116.633
-9.077	-136.933
-10.973	-158.033
-12.768	-178.433
-14.528	-198.633
-16.268	-219.033
-18.118	-239.733
-20.018	-260.933
-21.908	-280.633
-23.908	-294.233
-25.888	-297.733
-27.838	-316.933
-29.828	-335.033
-31.788	-351.533
-33.788	-367.033
-33.888	-368.033
-32.928	-347.433
-31.958	-327.633
-30.898	-307.033
-29.668	-286.233
-28.318	-265.733
-26.388	-250.733
-24.428	-235.133
-22.998	-214.133
-21.648	-194.233
-20.138	-173.133
-18.728	-152.533
-17.188	-131.733
-15.828	-112.133
-14.278	-91.523
-12.738	-70.873
-11.078	-50.903
-9.297	-30.513
-7.349	-9.559
-5.382	7.157
-3.42	21.477
-1.4051	34.557
0.529	47.217
2.486	60.407
4.439	74.227
6.505	88.947
8.542	104.767
10.482	120.667
12.452	138.967
14.442	157.767
16.502	177.467
18.462	197.467
20.462	216.867
22.412	237.567
24.392	257.367
26.452	278.367
28.392	295.267
30.332	314.467
32.302	333.167
33.692	340.967
33.542	337.067
33.382	326.667
33.382	326.767
33.372	326.767
33.392	327.267
33.402	326.767
32.322	306.667
31.132	285.967
29.642	262.967
28.342	243.967
26.902	223.467
25.322	202.567
23.682	180.767
22.052	160.067
20.462	140.567
18.702	119.867
16.822	98.867
14.882	78.517
12.962	57.327
11.052	37.027
9.102	17.017
7.067	-3.861
5.029	-19.413
3.086	-33.163
1.095	-46.323
-0.805	-60.053
-2.8386	-75.973
-4.848	-92.433
-6.844	-111.333
-8.82	-131.133
-10.673	-151.533
-12.588	-172.133
-14.318	-192.133
-16.118	-212.933
-17.968	-232.933
-19.788	-252.733
-21.678	-272.933
-23.678	-291.133
-25.718	-301.833
-27.678	-314.033
-29.658	-326.233
-31.628	-346.433
-33.578	-360.033
-33.618	-359.933
-33.718	-356.133
-33.708	-356.033
-33.708	-355.933
-33.708	-355.933
-33.708	-355.833
-33.718	-355.933
-33.768	-355.933
-33.758	-355.933
-33.718	-355.933
-33.678	-353.933
-33.658	-354.033
-33.688	-354.133
-33.648	-354.333
-33.688	-354.433
-33.668	-354.433
-33.658	-354.433
-33.668	-354.433
-33.648	-354.433
-33.668	-354.433
-32.828	-333.433
-31.828	-313.433
-30.788	-293.633
-29.538	-272.933
-27.608	-252.933
-24.998	-232.533
-23.598	-212.133
-22.188	-191.933
-20.488	-170.133
-19.088	-150.633
-17.658	-130.233
-16.188	-110.533
-14.638	-90.323
-13.088	-70.013
-11.43	-49.603
-9.568	-29.003
-7.549	-8.135
-5.001	12.257
-1.8527	32.557
1.552	53.067
4.572	73.687
7.467	94.097
10.062	113.867
12.482	134.467
14.652	155.267
16.802	175.367
18.952	196.467
21.042	216.467
23.012	236.867
25.062	256.967
27.162	277.267
29.312	298.567
31.482	318.967
33.632	338.967
36.792	358.967
46.682	379.167
51.542	380.867
51.382	360.967
50.302	340.267
49.092	319.967
47.802	299.467
46.382	279.167
44.932	259.067
43.382	238.167
41.802	218.167
40.212	197.667
38.532	176.967
36.692	155.767
34.802	135.267
32.892	115.267
30.812	94.687
28.702	74.617
26.472	53.767
24.122	32.497
21.772	12.197
19.212	-8.288
16.032	-28.843
11.892	-49.233
7.863	-69.493
3.853	-90.013
0.109	-109.833
-3.591	-130.133
-6.925	-150.333
-10.011	-170.533
-12.798	-191.733
-15.248	-212.433
-17.868	-233.333
-19.958	-253.933
-22.248	-273.733
-25.188	-293.833
-29.068	-313.733
-31.748	-334.633
-35.298	-355.133
-39.998	-375.133
-46.468	-395.233
-51.498	-401.833
-51.668	-381.833
-50.858	-360.833
-49.778	-339.733
-48.648	-319.533
-47.378	-299.133
-46.048	-278.633
-44.668	-259.033
-41.158	-238.833
-39.638	-218.633
-38.168	-198.333
-36.608	-177.733
-35.098	-157.333
-33.468	-136.433
-31.748	-116.133
-30.018	-96.003
-28.108	-75.453
-26.188	-55.703
-23.898	-35.163
-21.378	-14.508
-18.188	5.377
-14.148	25.527
-9.22	45.697
-4.486	65.907
-0.786	80.167
-0.605	72.277
-0.6	72.417
-0.243	83.737
2.057	103.667
5.467	124.067
10.412	144.167
14.932	164.167
19.012	185.267
22.822	205.267
26.072	226.267
29.312	246.567
32.392	266.267
35.652	286.467
39.082	306.667
42.582	326.867
46.652	347.167
51.272	361.767
50.092	340.467
48.862	320.467
47.542	300.167
46.112	280.367
44.602	259.567
43.152	240.067
41.552	219.067
39.832	198.367
38.182	178.367
36.312	158.067
34.322	136.867
32.362	117.067
30.242	96.767
27.902	75.697
25.512	55.857
23.042	35.237
20.402	14.337
17.272	-6.097
13.112	-26.593
8.812	-47.243
4.4	-67.483
0.105	-87.643
-4.163	-107.233
-8.32	-127.933
-12.388	-148.133
-15.808	-168.633
-19.288	-189.333
-22.448	-210.233
-25.268	-229.933
-28.018	-249.833
-30.858	-270.233
-35.178	-290.433
-39.148	-310.933
-42.628	-330.933
-45.558	-351.533
-49.148	-371.333
-51.388	-376.433
-50.278	-355.833
-49.148	-334.433
-48.028	-315.133
-46.648	-294.033
-45.348	-273.833
-43.648	-252.933
-40.548	-232.933
-38.798	-212.733
-37.298	-192.433
-35.818	-172.433
-34.178	-151.433
-32.588	-130.333
-30.978	-110.733
-29.218	-90.813
-27.218	-69.793
-25.258	-50.033
-22.908	-29.123
-20.238	-8.885
-16.848	11.397
-12.518	31.577
-7.553	52.007
-2.8243	71.807
1.881	92.087
6.51	112.067
11.242	132.167
15.602	152.267
19.742	172.367
23.592	193.367
26.982	213.667
30.212	233.667
33.362	254.067
36.512	275.167
39.922	295.467
43.632	315.067
46.752	335.667
51.312	354.067
51.072	333.367
49.952	313.167
48.522	291.867
47.152	271.767
45.622	251.267
44.012	230.967
42.252	209.767
40.572	189.467
38.782	168.867
36.862	148.067
34.902	128.067
32.812	107.667
30.662	87.567
28.322	67.447
25.802	47.517
23.162	27.117
20.282	6.737
16.682	-13.512
12.392	-33.703
7.772	-53.633
3.115	-74.163
-1.2717	-94.183
-5.453	-114.333
-9.873	-134.233
-13.748	-154.833
-17.348	-175.233
-20.598	-195.333
-23.778	-215.733
-26.698	-235.233
-29.578	-255.533
-32.598	-275.733
-38.228	-296.433
-41.298	-316.433
-44.508	-336.833
-47.908	-357.333
-51.278	-368.433
-51.278	-368.133
-50.898	-348.133
-49.848	-327.833
-48.718	-307.833
-47.468	-287.733
-46.048	-267.233
-43.858	-247.133
-41.158	-226.533
-39.648	-206.533
-38.008	-185.033
-36.408	-164.433
-34.818	-144.033
-33.168	-124.133
-31.358	-103.923
-29.438	-84.093
-27.398	-63.993
-25.318	-43.733
-22.868	-23.763
-19.928	-3.554
-16.248	16.587
-11.559	36.657
-6.53	57.237
-1.648	77.457
3.315	97.267
8.262	117.767
13.002	137.867
17.492	157.967
21.772	178.367
25.432	198.267
29.022	218.567
32.302	238.767
35.582	258.567
38.792	278.867
42.192	299.167
45.542	319.567
48.872	339.467
52.632	359.867
59.172	379.667
65.122	389.667
68.332	391.367
68.372	389.367
68.482	369.367
67.512	348.767
66.272	328.767
64.882	308.367
63.382	288.867
61.852	268.367
60.292	248.367
58.692	228.267
56.962	207.467
55.152	187.667
53.272	167.867
51.342	147.567
49.322	128.067
47.252	108.567
45.272	92.037
43.222	75.927
41.242	61.357
39.192	44.927
37.122	29.677
35.122	16.667
33.042	3.324
31.022	-7.599
28.982	-17.743
26.982	-26.253
25.012	-33.813
22.882	-41.773
20.912	-47.503
18.872	-55.913
16.842	-62.763
14.772	-70.653
12.692	-78.543
10.632	-85.913
8.622	-93.143
6.663	-100.343
4.558	-108.233
2.524	-115.533
0.471	-123.233
-1.5051	-130.233
-3.529	-137.933
-5.582	-145.933
-7.582	-153.033
-9.625	-161.633
-11.644	-169.633
-13.708	-176.633
-15.818	-186.033
-17.828	-192.933
-19.998	-204.333
-21.978	-212.533
-24.038	-222.233
-26.008	-232.133
-28.028	-244.533
-30.098	-256.533
-32.128	-266.633
-34.138	-278.333
-36.148	-287.233
-38.188	-290.833
-40.198	-299.133
-42.238	-310.633
-44.248	-322.733
-46.298	-335.033
-48.358	-346.033
-50.388	-355.533
-52.408	-365.133
-54.478	-373.633
-56.478	-381.033
-58.498	-385.933
-60.528	-391.333
-62.518	-397.033
-64.538	-401.433
-66.538	-406.033
-68.268	-400.833
-68.608	-404.633
-68.718	-400.433
-68.248	-379.233
-67.258	-359.733
-66.148	-339.533
-64.798	-318.533
-63.368	-297.533
-61.978	-277.333
-60.448	-256.833
-58.418	-244.033
-56.368	-231.533
-54.788	-211.633
-53.148	-191.233
-51.578	-171.333
-49.818	-151.233
-47.978	-131.233
-46.078	-110.933
-44.138	-90.753
-42.138	-72.503
-40.048	-53.943
-38.018	-37.703
-36.008	-23.533
-33.978	-10.142
-31.968	0.505
-29.978	9.297
-27.988	17.987
-25.958	25.567
-23.978	32.077
-21.918	39.217
-19.928	45.617
-17.808	52.807
-15.828	58.647
-13.828	65.257
-11.768	72.127
-9.735	78.287
-7.725	84.717
-5.753	90.597
-3.715	96.367
-1.667	103.167
0.352	109.667
2.41	116.467
4.4	122.667
6.396	128.467
8.402	134.367
10.412	141.667
12.492	148.067
14.482	153.267
16.482	160.267
18.492	166.767
20.542	173.867
22.582	180.967
24.582	188.167
26.602	194.867
28.622	202.167
30.652	210.467
32.742	219.467
34.792	228.467
36.762	235.667
38.852	246.467
40.912	255.967
42.932	264.567
44.952	273.967
47.042	284.267
49.022	292.367
51.032	301.967
53.072	309.167
55.102	317.367
57.142	327.767
59.142	335.667
61.212	345.367
63.252	352.867
65.252	358.867
67.252	365.567
68.132	367.267
68.522	366.767
67.282	346.567
65.932	326.067
64.452	305.867
62.902	285.667
61.362	265.667
59.772	245.367
58.042	224.267
56.272	204.467
54.402	184.167
52.482	164.067
50.452	143.667
48.462	124.767
46.462	106.967
44.422	90.947
42.372	75.187
40.302	59.777
38.272	45.497
36.252	32.047
34.242	19.957
32.292	8.687
30.652	0.505
30.552	0.184
30.502	0.153
30.342	-0.674
30.172	-1.762
28.082	-12.24
26.032	-20.863
23.922	-28.753
21.832	-36.183
19.892	-43.693
17.822	-51.243
15.752	-58.073
13.652	-65.433
11.632	-71.463
9.492	-79.753
7.387	-86.783
5.415	-92.683
3.424	-100.023
1.429	-107.333
-0.614	-115.433
-2.6386	-121.733
-4.625	-129.333
-6.715	-137.333
-8.782	-144.433
-10.821	-151.833
-12.898	-158.733
-14.938	-166.433
-16.868	-173.133
-18.898	-179.833
-20.908	-187.533
-22.938	-195.233
-25.038	-203.533
-27.038	-211.933
-29.058	-220.133
-31.118	-229.933
-33.168	-239.933
-35.228	-251.033
-37.218	-260.433
-39.228	-269.633
-41.308	-282.133
-43.338	-290.033
-45.358	-297.433
-47.358	-303.633
-49.468	-313.433
-51.458	-320.733
-53.498	-331.133
-55.608	-340.633
-57.628	-349.533
-59.648	-357.833
-61.668	-366.133
-63.668	-375.233
-65.728	-384.333
-67.758	-391.933
-68.538	-391.733
-68.488	-391.833
-67.448	-372.033
-66.408	-352.233
-65.128	-331.933
-63.768	-311.633
-62.428	-291.633
-60.998	-271.633
-59.268	-251.633
-57.308	-240.333
-55.298	-224.333
-53.668	-204.233
-52.038	-183.933
-50.338	-163.933
-48.538	-143.433
-46.568	-122.833
-44.588	-102.273
-42.578	-83.113
-40.478	-66.333
-38.408	-49.373
-36.438	-34.743
-34.398	-20.793
-32.378	-8.61
-30.338	1.762
-28.328	10.447
-26.318	18.167
-24.238	26.057
-22.218	32.887
-20.208	39.187
-17.948	46.797
-15.938	52.807
-13.908	59.427
-11.84	65.877
-9.806	72.367
-7.668	78.357
-5.677	84.927
-3.615	91.177
-1.5956	97.367
0.205	101.867
0.343	102.167
2.395	109.967
4.429	116.467
6.396	121.367
8.432	129.167
10.552	135.967
12.562	141.667
14.582	148.267
16.642	155.267
18.802	161.967
20.812	167.867
22.822	174.067
24.862	181.167
27.122	189.667
29.182	196.267
31.132	204.067
33.242	211.867
35.282	219.667
37.312	228.267
39.332	237.567
41.362	246.367
43.432	256.567
45.462	263.867
47.482	274.567
49.542	284.467
51.622	293.967
53.592	302.267
55.602	310.467
57.612	318.567
59.652	328.467
61.692	336.067
63.692	345.667
65.722	350.267
67.692	357.967
67.742	357.167
67.842	357.067
67.892	356.667
68.312	357.367
68.012	337.167
66.782	316.867
65.302	296.367
63.782	276.467
62.142	256.167
60.512	236.067
58.842	216.467
57.042	195.967
55.022	174.967
53.012	154.567
51.022	135.667
49.012	117.067
47.012	99.967
44.952	84.177
42.882	69.397
40.922	55.597
38.932	42.207
36.842	28.857
34.862	17.437
32.822	5.757
30.792	-4.6266
28.782	-12.746
26.802	-20.713
24.772	-27.743
22.692	-35.543
20.612	-43.463
18.562	-50.413
16.492	-57.083
14.452	-63.273
12.412	-70.443
10.362	-77.193
8.292	-84.023
6.234	-91.213
4.229	-97.933
2.248	-104.373
0.233	-112.033
-1.8051	-119.233
-3.82	-125.933
-5.972	-134.533
-8.02	-140.833
-10.049	-148.233
-12.108	-155.733
-14.148	-162.433
-16.148	-167.933
-18.138	-174.733
-20.188	-183.733
-22.258	-190.533
-24.328	-198.333
-26.348	-206.133
-28.378	-214.933
-30.398	-223.433
-32.418	-232.833
-34.448	-241.733
-36.538	-252.933
-38.578	-262.533
-40.668	-273.033
-42.638	-281.433
-44.668	-289.533
-46.698	-292.233
-48.698	-299.733
-50.708	-307.633
-52.728	-316.733
-54.718	-326.833
-56.758	-336.833
-58.758	-347.533
-60.798	-355.433
-62.808	-363.733
-64.818	-375.433
-66.538	-380.333
-67.578	-383.833
-68.468	-387.733
-68.698	-385.333
-68.428	-365.333
-67.358	-345.233
-66.148	-323.833
-64.748	-303.333
-63.348	-282.933
-61.878	-262.733
-59.868	-247.333
-57.878	-237.133
-56.218	-217.033
-54.388	-195.833
-52.748	-176.033
-50.998	-155.933
-49.068	-135.733
-47.168	-115.733
-45.178	-96.433
-43.158	-77.253
-41.068	-60.343
-39.058	-44.843
-36.978	-30.473
-34.968	-17.193
-32.928	-5.4692
-30.888	3.906
-28.848	11.857
-26.858	19.027
-24.838	25.997
-22.808	32.237
-20.798	37.507
-18.748	45.037
-16.718	51.577
-14.708	57.327
-12.678	63.637
-10.716	69.087
-8.696	75.357
-6.625	81.607
-4.61	87.227
-2.6147	93.157
-0.605	99.367
1.414	105.867
3.438	111.467
5.482	118.267
7.525	124.167
9.542	130.067
11.642	136.967
13.592	141.667
15.642	149.167
17.762	155.667
19.752	160.867
21.862	168.767
23.882	174.867
25.972	181.567
28.032	186.567
30.082	194.467
32.102	201.867
34.102	208.367
36.192	217.067
38.212	224.367
40.262	235.067
42.332	243.067
44.372	251.667
46.362	259.767
48.422	270.067
50.402	278.667
52.442	287.767
54.502	298.567
56.532	306.267
58.562	315.867
60.582	323.667
62.622	332.767
64.672	341.067
66.672	348.867
68.672	354.967
70.702	362.867
72.722	367.767
74.732	372.767
76.782	378.767
78.792	382.167
80.832	385.767
82.872	390.567
84.962	391.667
86.932	395.167
89.092	399.767
91.092	401.767
93.082	401.967
95.112	405.967
97.102	406.867
99.152	406.767
100.552	407.167
102.552	409.667
102.852	406.867
102.852	404.967
103.052	385.467
101.952	364.467
100.952	349.267
99.452	329.067
97.882	309.367
96.212	288.967
94.492	268.267
92.692	247.567
90.862	227.067
88.942	206.567
87.002	186.567
84.942	167.167
82.942	149.767
80.862	132.667
78.822	115.167
76.792	99.967
74.772	85.237
72.772	71.437
70.762	58.277
68.702	44.637
66.672	32.597
64.672	20.937
62.672	9.927
60.592	-0.322
58.592	-8.931
56.572	-17.683
