"Sritharan 1996, Specimen No. IC1"	
3176	
0	0
0.143	-1.532
0.143	-1.67
0.0239999	-0.95
0.0239999	-1.088
0.0239999	-1.364
0.0189998	-1.501
0.0239999	-1.532
0.0279999	-2.022
0.033	-1.992
0.0469999	-2.145
0.0519998	-2.267
0.043	-2.666
0.0569999	-2.834
0.0899999	-2.712
0.086	-2.513
0.0809999	-2.497
0.076	-2.405
0.552	24.087
1.005	44.427
1.462	64.437
1.633	71.617
1.205	50.127
0.743	28.207
0.367	8.317
-0.0620002	-12.7
-0.443	-32.173
-0.872	-52.333
-1.205	-66.743
-0.838	-46.053
-0.443	-24.863
-0.029	-5.3926
0.376	14.387
0.8	34.727
1.243	54.977
1.752	74.877
2.353	95.027
3.391	115.167
4.429	132.267
4.534	133.567
4.158	113.067
3.41	92.127
2.705	71.707
2.038	51.717
1.462	31.157
0.91	10.907
0.438	-10.034
-0.0670002	-29.733
-0.481	-49.833
-0.924	-70.053
-1.5432	-90.313
-2.2671	-110.433
-3.067	-130.233
-3.105	-130.133
-3.443	-136.733
-3.105	-116.133
-2.5814	-96.053
-2.0242	-75.373
-1.4384	-55.393
-0.905	-35.033
-0.391	-14.875
0.138	6.277
0.652	26.637
1.291	47.077
2.033	67.037
2.795	86.847
3.605	106.767
4.415	126.967
5.353	147.167
6.591	167.167
8.122	187.167
9.192	201.167
8.812	180.667
7.982	160.567
7.029	140.067
6.086	119.967
5.096	99.367
4.138	79.367
3.272	59.287
2.481	38.867
1.738	17.897
1.11	-1.854
0.481	-22.183
-0.143	-42.433
-0.881	-62.983
-1.5289	-83.353
-2.1813	-103.593
-2.8624	-123.433
-3.562	-143.433
-4.553	-163.933
-5.687	-183.733
-6.625	-199.333
-6.634	-199.333
-6.368	-178.533
-5.72	-158.533
-4.991	-138.133
-4.263	-117.933
-3.486	-97.213
-2.7195	-77.073
-2.0004	-56.833
-1.2479	-34.483
-0.557	-14.492
0.0999999	5.577
0.762	25.587
1.529	45.727
2.438	65.887
3.4	85.867
4.405	105.767
5.562	127.367
6.629	147.467
7.634	167.367
8.682	187.467
9.782	207.667
11.612	227.567
13.132	244.167
13.772	252.067
13.792	252.267
13.462	231.967
12.582	211.367
11.532	190.967
10.412	170.567
9.292	150.367
8.162	129.767
6.996	109.367
5.815	88.527
4.71	68.157
3.686	47.487
2.762	25.937
1.972	6.507
1.2	-13.604
0.438	-34.253
-0.419	-53.973
-1.3003	-74.483
-2.2052	-95.283
-3.0386	-115.233
-3.91	-135.433
-4.753	-156.033
-5.601	-176.233
-6.449	-196.033
-7.496	-216.533
-8.801	-236.533
-9.463	-246.433
-9.82	-249.933
-9.863	-248.333
-9.463	-228.033
-8.763	-207.933
-8.006	-187.033
-7.172	-167.033
-6.291	-146.833
-5.401	-126.333
-4.544	-106.633
-3.615	-86.083
-2.7147	-65.233
-1.8385	-44.963
-1.034	-24.803
-0.248	-4.3815
0.552	15.407
1.438	35.377
2.481	55.887
3.619	75.847
4.82	95.967
6.082	115.967
7.396	136.367
8.672	156.967
9.912	177.267
11.142	197.267
12.302	217.467
13.452	237.967
14.692	258.167
16.312	278.367
16.962	283.967
16.602	263.667
15.622	242.967
14.522	221.867
13.392	202.367
12.232	182.267
10.982	161.467
9.752	141.267
8.532	121.067
7.244	100.367
5.972	79.857
4.739	59.317
3.643	38.777
2.638	17.567
1.733	-2.819
0.771	-24.403
-0.176	-44.903
-1.1622	-65.043
-2.1575	-85.253
-3.196	-105.733
-4.22	-126.233
-5.225	-146.533
-6.163	-167.433
-7.106	-187.833
-8.058	-208.033
-9.001	-228.033
-10.001	-248.533
-11.287	-268.933
-13.278	-285.333
-15.178	-292.233
-16.488	-289.133
-15.658	-268.833
-13.688	-250.133
-11.954	-229.133
-10.93	-208.433
-9.887	-187.933
-8.787	-166.033
-7.744	-146.133
-6.677	-125.133
-5.61	-104.773
-4.615	-85.113
-3.562	-65.073
-2.4719	-43.493
-1.5765	-24.023
-0.643	-3.646
0.214	13.847
0.252	14.417
1.291	34.617
2.372	54.617
3.596	74.837
4.977	95.567
6.367	115.367
7.739	135.867
9.122	156.167
10.512	176.367
11.832	196.467
13.122	217.067
14.452	237.167
15.672	257.467
16.892	273.467
15.902	253.167
14.882	232.667
13.772	212.867
12.592	192.267
11.392	171.967
10.142	151.667
8.842	131.467
7.587	111.567
6.282	90.687
5.062	71.377
3.881	51.087
2.824	30.177
1.848	9.897
0.914	-10.555
-0.0760001	-31.723
-1.1574	-52.853
-2.1956	-73.303
-3.262	-93.193
-4.377	-113.533
-5.41	-133.333
-6.515	-154.233
-7.611	-174.733
-8.701	-194.933
-9.735	-215.033
-10.868	-235.233
-11.949	-255.533
-13.078	-275.933
-14.768	-296.133
-16.708	-291.633
-15.148	-271.633
-13.228	-254.633
-12.198	-234.533
-11.154	-213.833
-10.13	-194.033
-9.006	-173.033
-7.958	-152.733
-6.877	-131.933
-5.834	-111.433
-4.701	-90.123
-3.615	-69.813
-2.5623	-48.583
-1.6099	-28.863
-0.6	-7.844
0.39	12.597
1.395	32.477
2.624	53.757
3.91	74.407
5.301	94.717
6.782	115.567
8.162	135.667
9.592	156.967
10.942	176.567
12.272	196.867
13.522	216.967
14.752	237.067
16.002	257.567
16.922	270.467
16.202	249.767
15.192	229.667
14.092	209.567
12.882	189.567
11.642	169.167
10.252	147.067
8.862	125.567
