SPECIMEN A9	
DISP(mm)	SHEAR(kN)
-1.20617E-05	-2.42552E-06
-0.004616018	-0.001320958
0.036817249	0.555175038
1.238396482	13.88661225
2.476805029	24.46355272
3.742836482	32.86995364
5.013471126	38.42888579
6.270295079	42.87352583
7.522515079	46.8770683
6.454444978	35.84644258
5.216036075	28.26496376
3.940797833	20.69372196
2.688577452	13.23388287
1.427149952	4.975370426
0.174930333	-4.265025684
-0.4235577	-5.483831287
0.828662681	7.045234883
2.094694134	16.37335877
3.342309825	23.83188122
4.603737325	30.62404531
5.860561279	37.31015095
6.523501152	38.61050385
5.234451101	28.79397111
3.986835029	21.69158294
2.711596431	14.0784201
1.473187884	6.035965966
0.193345359	-3.694167194
-0.511028899	-6.765737712
0.768813652	6.546332853
2.021034033	15.66107299
3.282461533	23.20741914
4.543888677	29.95766271
5.782297605	36.55490258
6.532708652	38.78096413
5.29430013	29.06268348
4.014457198	21.76237582
2.766841533	14.5341932
1.486998982	6.291318867
0.243986482	-3.323549047
-0.561670022	-7.450569246
0.699757478	5.960985754
1.961185003	15.2878409
3.227216456	22.79356289
4.456417122	29.38801478
5.736260029	36.18550028
6.610972351	39.59951116
5.308111202	29.08753787
4.069702275	22.09241499
2.803671583	14.75424489
1.546847249	6.748360564
0.280816558	-2.998786467
-0.985214921	-12.5364645
-0.20257737	-1.252028306
1.045039058	8.950624865
2.288051558	17.45529357
3.572497275	24.65202312
4.80630263	31.10119705
6.081541228	37.93925733
5.367959851	29.7540519
4.097325206	22.28885529
2.854312706	15.18767449
1.579074109	7.197487836
0.317646609	-2.611184589
-0.943780917	-12.147532
-0.26702959	-1.815121812
0.96217105	8.361325126
2.242013601	17.2116409
3.485026101	24.12422798
4.760265079	30.83659611
6.003277554	37.51866878
5.390978829	30.0120153
4.143362402	22.55341287
2.891142783	15.47048796
1.620507351	7.544485951
0.363683804	-2.220945336
-0.902347675	-11.75859202
-2.13615303	-20.30253746
-3.296297497	-25.20115624
-2.057888975	-11.90103843
-0.773442471	-2.965646425
0.464966075	6.061280268
1.730997529	14.76096954
2.978613956	21.94717751
4.180192452	27.82158108
2.92336888	16.79937352
1.661941355	8.875990672
0.405117783	-0.76372498
-0.828687548	-9.412338941
-2.11313329	-17.67744873
-3.346937883	-25.5301214
-2.246641684	-12.87672587
-0.999025993	-4.349924909
0.26700546	4.642990708
1.519225079	13.50626715
2.776048652	20.88360345
4.04208013	27.55132911
2.969406075	17.25234495
1.70797855	9.349988447
0.474173956	-0.052680649
-0.810272522	-9.009041988
-2.048681069	-16.90486346
-3.323919667	-25.04158369
-4.571536094	-30.71968204
-5.842170764	-35.16842043
-6.436054082	-33.68317728
-5.170023366	-23.91530157
-3.908596602	-16.97656734
-2.656376247	-10.18709743
-1.399552675	-3.228731107
-0.161143366	4.478466247
1.114095232	12.69894433
2.347899825	19.54600385
1.800053702	12.12041052
0.557041202	2.673245691
-0.718197395	-6.510861966
-1.970417014	-13.55178389
-3.236449229	-19.90535734
-4.49327204	-26.25634977
-3.968444895	-18.69036486
-2.716224514	-11.50292022
-1.477815967	-4.654615778
-0.20257737	3.419236403
1.045039058	11.96696748
2.315673728	19.39012072
1.86450666	12.59971291
0.584664134	2.974415524
-0.6721602	-6.0787287
-1.933586963	-13.1850742
-3.185807344	-19.49282048
-4.456441989	-25.91055985
-4.023689209	-19.08323778
-2.794488569	-11.92335874
-1.510042065	-4.998974427
-0.276237471	2.811613644
1.003605054	11.68276628
2.246617554	19.01419605
3.508045079	25.53399631
4.769472579	31.90714442
6.030900105	38.48981723
7.283119724	44.75546242
6.316332275	34.61264532
5.059508702	27.31915143
3.830307681	20.72469602
2.541257249	13.65237571
1.302848702	6.364115414
0.032214058	-2.399710798
-1.224609514	-9.756146705
-2.495244184	-16.19478834
-3.733654229	-22.37293387
-5.008892827	-28.85474955
