"Arakawa et al. 1987, Spec. 16"	
-2.014	-74.57
-2.7634	-87.634
-3.3255	-99.066
-3.747	-109.95
-4.1685	-121.38
-4.7306	-133.9
-5.3863	-148.6
-5.8547	-160.57
-6.1825	-166.56
-6.5573	-169.28
-6.9319	-174.73
-7.0724	-174.73
-7.0256	-166.56
-6.9319	-154.04
-6.604	-140.43
-6.3231	-123.56
-5.9483	-108.86
-5.5268	-93.079
-5.1053	-79.467
-4.8242	-65.318
-4.4027	-51.711
-4.0748	-40.824
-3.6064	-27.76
-3.0913	-15.24
-2.5292	-4.3545
-2.014	5.9873
-1.2646	16.873
-0.51521	26.671
0	36.469
0.51521	44.633
0.93674	52.8
1.452	61.506
1.7798	69.673
2.9507	90.357
3.5597	102.33
4.2622	118.11
5.0115	133.36
5.6672	146.96
6.2762	159.48
6.7446	166.56
6.9788	169.28
7.4472	170.37
7.6813	172.55
7.9624	173.64
7.8687	169.28
7.7282	161.11
7.6813	153.49
7.4472	142.07
7.1192	128.46
6.7915	113.76
6.3698	98.519
5.9952	82.19
5.5736	69.125
5.1989	56.065
4.6838	39.191
4.0748	25.583
3.4191	10.342
2.8571	0
2.295	-8.1647
1.452	-19.595
0.60889	-31.026
-0.093674	-44.089
-0.65573	-52.8
-1.3114	-61.506
-2.0608	-74.57
-2.7634	-88.177
-3.3722	-98.519
-3.7939	-106.14
-4.59	-120.29
-5.1521	-130.64
-5.8547	-142.61
-6.3698	-153.49
-6.9319	-164.38
-7.1661	-166.56
-7.3534	-166.56
-7.6345	-169.82
-7.7749	-170.37
-8.1497	-172
-8.1497	-168.19
-8.056	-156.76
-7.8687	-145.33
-7.5408	-132.27
-7.213	-115.4
-6.7446	-98.519
-6.2762	-80.015
-5.8547	-63.685
-5.3395	-48.988
-4.8242	-35.38
-4.2622	-20.684
-3.7001	-7.0762
-2.9507	3.8102
-1.9671	15.24
-1.1241	26.671
-0.28103	39.191
0.51521	51.711
1.1709	60.42
1.8735	71.848
2.9976	90.899
4.0281	105.05
4.7306	118.66
5.5268	132.27
6.3231	145.87
7.1192	158.94
7.494	163.84
7.9155	164.93
8.3839	167.65
8.6648	169.82
8.9459	172
9.2269	172.55
9.3674	173.09
9.3674	167.65
9.2738	161.11
9.0865	149.14
8.8523	139.35
8.5712	128.46
8.2433	115.4
7.8218	99.609
7.4003	86.002
7.1192	74.57
6.6977	60.963
6.1825	45.176
5.5736	32.114
5.0584	18.506
4.4496	7.6202
4.0281	0
3.5128	-5.9873
2.6697	-15.785
1.8735	-24.494
0.79624	-38.102
0	-50.078
-1.3114	-68.583
-2.1077	-82.19
-3.0444	-93.622
-3.7001	-102.33
-4.4027	-113.22
-5.1989	-125.19
-5.9483	-136.62
-6.7446	-147.51
-7.3534	-156.22
-7.8687	-162.2
-8.1966	-164.93
-8.4775	-164.38
-8.8054	-169.28
-9.1332	-169.82
-9.4143	-172.55
-9.6016	-173.64
-9.5548	-164.38
-9.4611	-154.58
-9.2269	-142.07
-8.8523	-127.37
-8.5244	-109.95
-8.056	-91.442
-7.6345	-77.292
-7.0724	-62.053
-6.6977	-50.078
-6.2762	-38.646
-5.8078	-27.216
-5.2457	-16.329
-4.6838	-6.5318
-4.1685	1.6329
-3.3722	9.2532
-2.5292	18.506
-1.5456	28.849
-0.79624	37.558
0.093674	50.078
0.84308	59.873
1.5925	70.762
2.7165	85.455
4.0281	103.42
5.0584	115.94
6.1825	131.18
7.3066	145.33
8.0091	151.86
8.7586	161.11
9.2738	163.84
9.8358	167.1
10.257	167.65
10.632	170.37
10.913	172
10.96	167.1
10.819	161.11
10.679	150.77
10.351	139.35
10.07	126.82
9.8358	113.76
9.3207	96.887
8.9459	85.455
8.5712	71.305
8.056	55.518
7.494	43.545
7.0724	33.203
6.4167	19.051
6.042	11.975
5.3395	2.1772
4.6838	-3.8102
3.747	-13.064
2.8103	-20.139
2.1077	-27.76
1.1709	-38.646
0.32786	-50.078
-0.51521	-60.42
-1.3114	-69.125
-2.1077	-79.467
-2.9976	-91.442
-3.5597	-97.977
-4.3558	-106.69
-5.1989	-117.57
-6.042	-126.82
-6.8382	-137.17
-7.5408	-146.42
-8.2433	-151.86
-8.9927	-160.03
-9.9764	-168.19
-10.445	-169.82
-10.866	-172
-11.147	-173.09
-11.147	-167.1
-11.007	-158.4
-10.773	-143.15
-10.398	-129.55
-10.023	-115.94
-9.789	-106.69
-9.4611	-93.622
-9.1332	-84.912
-8.8523	-71.305
-8.3839	-60.42
-7.9155	-48.446
-7.5408	-37.558
-7.0256	-26.127
-6.5573	-16.873
-5.9952	-8.1647
-5.3395	-0.54433
-4.7306	3.8102
-3.747	12.519
-2.8571	20.139
-1.9204	28.849
-1.0304	39.191
-0.046838	48.988
1.4989	68.04
2.4823	81.647
3.3722	90.899
4.2154	101.78
5.4799	113.22
6.5573	124.1
7.5408	135.53
8.4775	145.87
9.5548	156.22
10.538	163.84
11.007	164.93
11.569	167.65
12.037	169.82
12.318	170.91
12.506	170.91
12.412	164.93
12.225	154.58
12.084	145.87
11.803	132.81
11.335	118.66
11.007	103.96
10.679	91.989
10.211	79.467
9.6953	64.775
9.1801	51.163
8.6181	37.558
8.1966	27.216
7.6345	18.506
6.7915	8.1647
6.1825	-0.54433
5.1989	-8.7092
