"Ng 1978, Spec. 3"	
1741	
0	0
0.072072	0.53143
0.14414	1.7715
0.21621	3.3657
0.36035	4.6057
0.43243	6.1999
0.50449	7.2631
0.64864	8.3257
0.72072	9.7429
0.79278	10.983
0.93693	12.577
1.009	13.817
1.0811	15.234
1.1532	16.297
1.2252	17.715
1.3694	18.954
1.3694	20.372
1.4414	21.612
1.5856	22.674
1.6577	24.8
1.6577	26.04
1.7297	27.812
1.9459	29.406
2.0901	30.469
2.2342	32.24
2.3063	33.835
2.3784	34.898
2.5225	36.492
2.7386	37.555
2.8108	39.149
2.955	40.389
3.1712	41.806
3.2433	43.4
3.4595	44.642
3.6035	46.413
3.9639	48.005
3.9639	49.068
4.3243	50.665
4.3965	51.728
4.7567	53.321
4.9009	54.562
5.3332	56.332
5.6215	57.573
5.9098	58.81
6.2702	60.229
6.5585	61.292
6.7747	62.177
7.3513	63.418
7.9278	64.833
8.2161	65.545
8.5766	66.074
9.0091	66.43
9.2974	66.786
9.6576	66.786
9.7297	66.959
10.162	67.315
10.162	66.608
10.162	65.896
10.018	65.011
9.9459	63.418
9.7297	62.177
9.6576	60.585
9.5136	58.988
9.4414	57.573
9.2253	56.154
9.0091	54.206
8.8649	52.436
8.7208	51.017
8.5766	49.246
8.3604	47.298
8.2161	45.701
8.0721	43.754
7.7117	41.629
7.5677	40.034
7.3513	38.44
6.8468	35.075
6.5585	33.126
6.4145	31.178
6.1262	29.229
5.8379	27.458
5.6937	26.04
5.4054	24.092
5.1171	22.497
4.9009	20.726
4.6848	19.663
4.4684	17.715
4.1801	15.589
3.8199	13.817
3.6035	12.4
3.6756	10.629
3.5316	9.2114
3.2433	8.1487
3.0991	6.5545
2.8829	5.4913
2.5946	3.5429
2.3784	2.1257
2.2342	0.70856
2.0901	-0.17715
2.018	-1.4172
1.7297	-2.6571
1.4414	-4.0743
1.3694	-5.4913
1.1532	-7.0856
0.93693	-8.3257
0.79278	-9.7429
0.50449	-11.16
0.28829	-12.931
0.21621	-14.703
-0.072072	-16.474
-0.28829	-18.777
-0.43243	-20.549
-0.64864	-22.143
-0.93693	-24.269
-1.2973	-26.217
-1.3694	-28.343
-1.7297	-30.469
-1.9459	-32.24
-2.1622	-34.72
-2.3784	-36.846
-2.5946	-38.263
-2.8829	-40.034
-3.0269	-41.806
-3.3152	-43.932
-3.6035	-46.591
-3.8199	-48.183
-3.9639	-49.776
-4.1801	-51.55
-4.5405	-53.677
-4.8288	-55.269
-5.1171	-56.862
-5.4775	-58.103
-5.8379	-59.522
-6.1262	-60.585
-6.6307	-61.999
-6.9911	-62.533
-7.5677	-63.774
-8.0721	-64.659
-8.5766	-65.722
-8.937	-66.43
-9.3693	-66.959
-9.6576	-67.493
-9.9459	-67.671
-10.09	-68.2
-10.018	-67.315
-9.9459	-66.074
-9.7297	-64.833
-9.7297	-63.418
-9.5857	-62.177
-9.4414	-60.407
-9.3693	-58.459
-9.2974	-56.688
-9.0091	-54.913
-8.937	-53.499
-8.7927	-52.258
-8.6487	-50.665
-8.3604	-48.361
-8.1443	-46.235
-7.9278	-44.286
-7.5677	-42.16
-7.4234	-40.743
-7.2072	-38.972
-6.919	-36.846
-6.7028	-35.075
-6.4864	-33.835
-6.2702	-32.24
-6.0541	-31
-5.9098	-29.76
-5.6215	-27.812
-5.2614	-26.571
-4.9731	-24.446
-4.6126	-22.674
-4.3243	-21.257
-4.0361	-18.954
-3.6756	-17.715
-3.4595	-15.589
-3.0269	-14.172
-2.8829	-12.046
-2.5225	-9.7429
-2.2342	-7.9717
-1.8018	-6.3774
-1.6577	-4.7827
-1.4414	-2.8343
-1.2973	-1.9486
-1.1532	-0.17715
-1.009	0.88573
-0.79278	2.3029
-0.64864	3.72
-0.50449	4.9602
-0.21621	6.7315
0	8.3257
0.21621	10.806
0.50449	12.4
0.72072	14.703
1.009	17.183
1.3694	19.486
1.6577	22.143
1.9459	24.446
2.018	26.749
2.3063	29.406
2.5225	31.886
2.7386	34.012
3.0269	35.96
3.3152	38.972
3.6035	41.275
4.0361	43.754
4.1082	45.35
4.5405	47.827
4.9731	49.776
5.4054	51.373
5.6937	52.787
6.1262	54.562
6.4864	56.154
6.9911	58.103
7.5677	60.229
8.2161	61.47
8.4325	62.177
9.081	63.418
9.5857	64.303
9.874	64.833
10.018	65.011
9.874	64.303
9.8019	63.418
9.874	63.062
9.6576	61.999
9.4414	60.585
9.4414	58.988
9.2974	57.751
9.1531	55.976
8.937	54.206
8.7208	52.787
8.3604	50.839
8.2161	49.246
8	47.12
7.7838	44.994
7.4955	43.046
7.2072	41.275
6.919	39.149
6.6307	37.378
6.4145	35.606
6.1262	33.835
5.8379	32.24
5.6215	30.292
5.3332	28.52
5.0449	25.863
4.6126	24.092
4.4684	22.143
4.1082	20.017
3.9639	18.246
3.8199	17.183
3.6035	15.412
3.3152	13.64
3.1712	12.046
2.8829	10.629
2.7386	9.2114
2.5225	7.4401
2.2342	5.4913
2.018	3.8972
1.7297	2.6571
1.5856	1.24
1.4414	0.53143
1.2973	-0.35429
1.009	-2.1257
0.79278	-3.72
0.72072	-5.4913
0.36035	-7.4401
0.14414	-9.0343
-0.072072	-10.806
-0.21621	-12.754
-0.57658	-14.703
-0.86487	-17.006
-1.0811	-18.954
-1.4414	-22.143
-1.7297	-24.092
-2.2342	-27.103
-2.8108	-29.406
-3.1712	-31.886
-3.5316	-34.189
-3.6035	-36.492
-3.9639	-39.149
-4.3243	-41.806
-4.6126	-43.046
-4.7567	-44.463
-5.1171	-46.413
-5.3332	-48.183
-5.9098	-50.131
-6.1981	-51.728
-6.6307	-53.499
-7.1351	-55.269
-7.6396	-57.573
-8.1443	-59.522
-8.7208	-61.114
-9.2253	-62.885
-9.5136	-63.418
-9.7297	-63.948
-9.5857	-62.177
-9.5857	-60.763
-9.3693	-59.522
-9.2974	-58.103
-9.081	-56.154
-8.937	-54.562
-8.7927	-52.614
-8.4325	-50.665
-8.2883	-48.717
-7.9278	-46.413
-7.7838	-44.642
-7.3513	-42.692
