SPECIMEN A12	
DISP(mm)	SHEAR(kN)
4.82044E-07	-5.55902E-06
0.004604436	-0.103557566
0.004604436	-0.229241407
4.82044E-07	-0.314215318
-0.013811352	-0.359664293
-0.004603471	-0.462031214
0.607695635	7.886034834
1.846104182	19.13949714
3.130550686	28.624359
4.37356316	34.91467137
5.644197805	39.74587736
6.882606352	44.19188735
6.93785219	38.59192205
5.671819975	29.86592352
4.40118533	22.22801119
3.153568902	14.88927337
1.924368237	6.905861451
0.653733592	-1.989075909
0.013812317	-4.31158814
1.30286125	9.531809241
2.541269797	18.4605283
3.825716275	25.62060698
5.073332703	32.28966027
6.330157037	39.14933946
6.974682241	40.02733159
5.694839715	29.91518719
4.456431168	22.62029921
3.208814741	15.57451318
1.933576143	7.557962888
0.699770025	-1.516244702
-0.041433521	-5.100889921
1.229201123	8.59134165
2.481421504	17.67041473
3.733641885	24.69675731
5.004276555	31.41357353
6.251892983	38.16639792
7.006908364	40.22514983
5.736272195	29.86351384
4.493259721	22.83981539
3.218021123	15.59813771
1.975008623	7.987798918
0.695166072	-1.475459624
-0.142715793	-6.17440063
1.169352856	8.052304161
2.412365356	17.08726879
3.673793618	24.19973258
4.930616428	30.7873708
6.196648643	37.50306659
7.052944797	40.67711901
5.80072594	30.13189153
4.507071555	22.80161226
3.277870889	15.96980509
2.002632291	8.078771954
0.759619817	-1.081740754
-0.170337963	-6.600477739
1.104900635	7.38633389
2.384743186	16.66123639
3.613943826	23.74445878
4.884578496	30.29383595
6.136798852	37.08984854
7.103586682	41.52840838
5.81453625	30.07266758
4.576127703	23.04985244
3.300889106	16.01764053
2.057876631	8.470099147
0.77803408	-0.825635287
-0.234790183	-7.413115734
1.049656321	6.911253005
2.315687012	16.24543329
3.572509822	23.35674555
4.824730203	29.92232749
6.06313875	36.52614542
7.135812805	41.78802737
5.874386041	30.38132033
4.599147444	23.03484596
3.356134944	16.2413703
2.080894848	8.62269022
0.828675991	-0.456477348
-0.276224187	-8.198856304
0.989806529	6.372092461
2.251234791	15.87260769
3.498851245	22.96064741
4.732655838	29.39586941
6.021704746	36.15923451
7.191058643	42.55611815
5.902008211	30.36749961
4.64978783	23.25734167
3.379153186	16.35207753
2.122328852	8.842816216
0.856298135	-0.323657884
-0.400526174	-9.801965989
0.437357215	1.516345098
1.694180025	12.0001858
2.92338219	19.79566659
4.203224715	26.55679576
5.437029309	32.97101378
6.71687186	40.02526449
5.952648598	31.07166347
4.682013928	23.47504313
3.425191118	16.67807116
2.159158902	9.208324393
0.911542475	0.130449681
-0.363696123	-9.436347101
0.372904995	0.95506956
1.620519898	11.43652887
2.881948186	19.51252115
4.120356733	26.07456651
5.400199258	32.7099358
6.647815686	39.60925878
5.975668313	31.34975127
4.732655838	23.73934393
3.462021168	16.85512006
2.209800787	9.535579268
0.952976479	0.497226143
-0.317658191	-9.005512847
0.285433033	0.136498085
1.574483465	11.15230272
2.808288059	19.15840827
4.08813061	25.85673692
5.326539156	32.37661623
6.597173801	39.34469718
6.030912652	31.65709334
4.760277983	23.9139613
3.508057602	17.07634077
2.246630864	9.733565321
0.985202576	0.861635402
-0.239394111	-8.524479795
0.26701877	-0.308152347
1.487011529	10.58506955
2.771458008	18.91840479
4.014470508	25.48151008
5.285105152	32.09346351
6.53272158	38.97208516
6.06313875	31.91688933
4.810919893	24.13649704
3.549491606	17.29643718
2.292667297	10.05965132
1.05425875	1.277469448
-0.225583801	-8.395230798
0.179546809	-1.147669428
1.454785406	10.26253038
2.702401834	18.46066501
3.963828598	25.27976574
5.220652932	31.69997412
6.482079695	38.68657899
6.122988541	32.35110524
4.843145991	24.33324666
3.600133516	17.51897463
2.366327398	10.43471401
1.086484848	1.474269032
-0.170337963	-7.857291769
0.142716758	-1.618019341
1.376521352	9.844323092
2.651759949	18.19625467
3.894772449	24.92686397
5.174614975	31.39463652
6.413023521	38.29164567
6.146006758	32.69214149
4.907598211	24.60123945
3.659981783	17.84855424
2.384743186	10.5651269
1.127918852	2.050534396
-0.13811184	-7.723293118
0.073660584	-2.452780914
1.348899182	9.41818626
2.601119563	17.86887975
3.853339944	24.64382049
5.11937066	31.17086193
6.362383135	37.98525642
6.205855025	33.04279367
4.958238598	24.92855811
3.692207881	18.00353265
2.458403287	10.96115665
1.173956809	2.167125515
-0.082867525	-7.311043092
0.036830533	-3.006914044
1.279843033	9.023354478
2.545873725	17.58233307
3.798094106	24.29433769
5.06872875	30.82259134
6.316345203	37.65916806
6.265704817	33.70760216
4.990464695	25.02056695
3.752056174	18.29121442
2.467611194	11.11016201
1.233805076	2.622456573
-0.041433521	-7.048985721
-0.027621687	-3.631015166
1.233805076	8.592518053
2.499837291	17.23527479
3.752056174	24.07298533
5.004276555	30.57553893
6.238081148	37.21985571
6.297930914	33.94627445
5.064124822	25.39562466
3.784282271	18.48815982
2.545873725	11.50737739
1.266031199	2.882160454
0.027622652	-6.633174169
-0.078263572	-4.125867327
1.187768643	8.161705078
2.449195406	16.97083891
3.706019741	23.76787908
4.939824334	30.16077198
6.205855025	37.0441376
6.371591041	34.61446167
5.077936656	25.52482423
3.844132063	18.71289062
2.578099848	11.6832688
1.330484918	3.296748842
0.05984875	-6.289704897
-0.13811184	-4.811622301
1.141730686	7.751752098
2.393951067	16.66329968
3.632359614	23.43462916
4.902994258	29.9627913
6.146006758	36.65152639
6.390005305	34.91253355
5.170011047	25.84183528
3.880962114	18.9318996
2.637949639	11.95004866
1.376521352	3.664752952
0.115094588	-5.940299628
-0.179545844	-5.262200382
1.077278465	7.358125012
2.324894918	16.18455467
3.595529563	23.21558537
4.824730203	29.62847787
6.109176707	36.45344194
6.463665406	35.49692993
5.183822881	25.99207542
3.9316025	19.17534473
2.665571783	12.18759349
1.417955356	3.96867719
0.156528592	-5.636348879
-0.23018623	-5.966529194
1.022032627	6.757356889
2.292667297	15.94588481
3.517265508	22.83935607
4.80631594	29.43511197
6.04932844	36.1030149
6.500495483	36.0302918
5.234464766	26.25655593
3.977640432	19.45964629
2.730024004	12.53940022
1.45938936	4.335468393
0.21637686	-5.327643352
-0.308450285	-6.698931381
0.980598623	6.411500113
2.219008694	15.48703039
3.498851245	22.62509854
4.737259766	29.04033241
6.007894436	35.79894879
6.555739797	36.65195159
5.289709106	26.60586286
4.046696606	19.64499923
2.771458008	12.78048196
1.519237627	4.686076883
0.28082908	-4.787339495
-0.340676408	-7.147138905
0.906940045	5.847874809
2.186781072	15.33200181
3.443605381	22.38042413
4.709636098	28.92829297
5.952648598	35.53338132
6.597173801	37.01880717
5.344954944	26.85058258
