"Davey 1975, Spec. 3"	
437	
0	0
0.50381	9.8715
1.3435	23.38
2.3512	36.367
3.1907	45.203
4.1984	54.033
5.3741	63.383
7.2215	73.258
8.9007	81.047
10.076	85.726
8.9007	73.258
7.5573	54.553
5.8778	41.563
3.5268	19.223
2.0153	3.1173
0	-12.469
-1.6794	-27.016
-3.6947	-47.28
-6.2139	-62.867
-7.7252	-73.774
-8.9007	-82.608
-10.076	-86.242
-9.7404	-83.644
-8.7328	-75.335
-7.5573	-59.749
-5.7099	-41.044
-3.8626	-23.899
-3.1907	-20.262
-1.6794	-7.2737
0	3.1173
1.6794	18.703
3.5268	34.29
5.3741	49.357
7.2215	64.424
8.5649	73.774
9.7404	81.567
10.58	86.242
10.244	78.449
9.5725	68.062
8.5649	57.671
7.2215	46.76
6.0457	36.367
4.1984	24.419
2.5191	10.91
1.0076	0
-0.67175	-10.91
-1.6794	-20.262
-3.1907	-31.692
-4.1984	-40.005
-5.542	-49.357
-6.5496	-59.228
-8.0609	-68.578
-9.5725	-81.047
-10.244	-86.242
-9.4046	-75.335
-8.5649	-68.062
-7.0533	-55.073
-5.7099	-40.005
-3.6947	-23.899
-3.3589	-19.223
-1.0076	-2.0782
1.1756	9.8715
2.855	23.899
4.7023	38.446
6.2139	48.837
7.7252	60.785
9.7404	75.856
12.595	93.519
14.443	103.91
16.29	111.18
20.153	124.17
21.496	128.33
25.023	137.16
28.885	143.4
32.245	146
36.274	148.58
40.137	149.1
42.154	149.1
41.816	141.32
41.481	130.92
39.969	114.82
37.785	97.154
36.106	85.206
33.924	72.737
30.902	54.033
27.879	38.446
23.847	17.664
19.145	0
12.595	-24.938
8.9007	-37.407
4.3665	-50.914
0.33589	-63.383
-3.3589	-75.335
-5.7099	-83.644
-8.0609	-91.438
-11.084	-104.43
-14.107	-116.38
-16.122	-123.13
-18.641	-129.88
-23.008	-138.72
-27.709	-147.54
-32.245	-151.71
-35.938	-153.78
-35.436	-146.52
-33.589	-130.4
-32.245	-118.98
-31.572	-111.18
-29.22	-96.117
-27.374	-80.531
-23.847	-58.187
-20.657	-40.005
-17.969	-25.458
-14.275	-8.3128
-9.7404	6.7542
-5.8778	18.703
-1.3435	31.173
2.3512	39.485
7.3894	51.955
11.924	63.383
16.122	73.258
20.488	83.128
24.015	92.999
27.206	101.83
30.396	111.18
33.251	119.49
36.947	125.73
39.969	129.88
44	133
48.367	136.12
51.725	137.68
55.756	138.72
60.963	140.8
66.672	141.32
78.26	143.4
84.978	143.92
86.825	143.92
86.152	131.97
85.146	120.53
82.794	101.83
80.442	85.726
78.26	76.372
73.558	54.553
65.161	20.262
60.122	4.676
55.588	-9.3519
52.565	-18.184
49.543	-24.419
45.847	-31.692
41.313	-39.485
36.779	-46.76
33.251	-50.394
24.351	-62.346
15.786	-70.66
8.7328	-76.372
2.1832	-81.567
-4.1984	-86.763
-13.435	-95.597
-12.26	-88.84
-10.748	-78.969
-8.0609	-65.464
-5.542	-52.992
-3.0229	-42.083
-1.0076	-33.771
1.1756	-23.899
4.1984	-12.988
8.397	-1.0391
4.5344	-14.548
1.0076	-27.535
-1.3435	-38.965
-4.1984	-51.435
-6.3818	-62.346
-8.2291	-70.66
-10.58	-80.531
-12.763	-88.84
-15.282	-96.117
-20.321	-107.02
-25.191	-116.38
-29.726	-124.69
-33.757	-130.92
-40.472	-137.16
-46.015	-142.36
-50.719	-144.96
-61.465	-149.1
-67.343	-150.67
-74.061	-151.71
-80.947	-151.71
-84.978	-151.71
-83.802	-140.8
-80.947	-116.89
-76.916	-94.035
-72.55	-70.66
-68.519	-51.435
-65.161	-36.887
-60.289	-18.184
-55.085	-0.51955
-48.367	11.949
-42.657	21.821
-37.617	29.094
-30.564	36.887
-22.336	44.682
-15.115	50.914
1.0076	68.062
7.3894	74.815
14.275	81.047
20.824	86.242
21.328	85.206
19.817	75.335
17.969	63.383
16.122	54.553
14.275	45.203
12.595	40.005
10.748	31.692
9.4046	25.978
6.8854	18.184
3.6947	7.7933
0.67175	0
5.8778	15.067
8.5649	28.055
11.42	39.485
13.603	49.878
15.786	59.228
18.977	68.578
21.832	74.815
26.198	81.047
30.061	85.206
34.427	89.36
39.467	92.999
47.023	99.751
55.085	107.02
63.65	112.22
71.374	118.98
78.428	124.17
84.305	126.77
86.657	127.81
85.314	112.74
83.635	101.83
82.123	90.401
79.436	77.412
76.076	62.867
72.885	49.357
68.519	34.29
65.496	25.978
59.451	7.2737
54.58	-5.7151
48.199	-19.223
43.833	-25.978
33.924	-40.005
26.871	-47.28
23.679	-50.394
15.282	-58.187
6.5496	-63.903
-1.0076	-68.578
-7.2215	-71.176
-13.603	-75.335
-12.595	-67.021
-10.58	-57.151
-8.397	-47.801
-6.2139	-39.485
-3.6947	-31.173
-1.0076	-22.86
2.3512	-12.988
6.8854	0
-0.67175	-22.86
-3.5268	-33.251
-5.542	-42.603
-7.5573	-51.955
-9.2367	-59.228
-11.084	-64.944
-12.931	-69.619
-15.45	-75.856
-18.977	-80.01
-24.519	-82.608
-31.405	-87.803
-38.291	-94.035
-43.495	-101.83
-51.557	-111.7
-54.915	-114.82
-60.625	-120.01
