Displacement	Force
-1.0469196	-1.88657472
-1.0467367	-1.83604544
-1.0465538	-2.08869184
-1.046188	-2.10554976
-1.0458222	-2.0718784
-1.0456393	-1.90343264
-1.0454564	-2.03816256
-1.0450906	-2.0718784
-1.0449077	-1.92024608
-1.0447248	-2.03816256
-1.044359	-1.76865824
-1.0441761	-1.8697168
-1.0439932	-1.88657472
-1.0436274	-1.85290336
-1.0434445	-1.63392832
-1.0432616	-2.12240768
-1.0430787	-2.12240768
-1.0428958	-1.83604544
-1.04253	-1.98763328
-1.0421642	-2.08869184
-1.0419813	-1.85290336
-1.0417984	-2.17293696
-1.0416155	-2.10554976
-1.0414326	-1.66759968
-1.0410668	-2.0718784
-1.040701	-2.0044912
-1.0405181	-1.85290336
-1.0403352	-2.0718784
-1.0401523	-2.10554976
-1.0396036	-2.12240768
-1.0392378	-2.10554976
-1.0390549	-2.12240768
-1.038872	-2.12240768
-1.0385062	-2.0718784
-1.0383233	-1.8697168
-1.0381404	-2.12240768
-1.0375917	-2.0718784
-1.0372259	-2.05502048
-1.037043	-2.0718784
-1.0368601	-1.8697168
-1.0364943	-1.937104
-1.0361285	-2.13922112
-1.0355798	-1.98763328
-1.0353969	-2.10554976
-1.035214	-2.02134912
-1.0350311	-2.10554976
-1.0346653	-2.03816256
-1.0344824	-2.10554976
-1.0342995	-2.08869184
-1.0341166	-2.13922112
-1.0335679	-1.90343264
-1.033385	-2.10554976
-1.0332021	-2.0718784
-1.0330192	-1.71812896
-1.0328363	-2.10554976
-1.0326534	-1.90343264
-1.0324705	-2.10554976
-1.0319218	-1.8023296
-1.0317389	-2.10554976
-1.031556	-2.0718784
-1.0311902	-2.10554976
-1.0310073	-2.10554976
-1.0308244	-2.13922112
-1.0306415	-2.0718784
-1.0304586	-2.08869184
-1.0302757	-2.0718784
-1.0300928	-2.08869184
-1.0299099	-2.10554976
-1.0293612	-2.0718784
-1.0291783	-1.90343264
-1.0288125	-2.05502048
-1.0286296	-1.90343264
-1.0284467	-2.10554976
-1.0282638	-1.98763328
-1.0273493	-2.12240768
-1.0271664	-2.08869184
-1.0268006	-2.17293696
-1.0266177	-2.17293696
-1.0264348	-2.0718784
-1.0262519	-1.90343264
-1.0258861	-1.937104
-1.0253374	-2.15607904
-1.0251545	-1.78551616
-1.0247887	-2.12240768
-1.0246058	-1.90343264
-1.02424	-1.83604544
-1.0240571	-2.10554976
-1.0235084	-1.937104
-1.0233255	-1.70127104
-1.022411	-2.08869184
-1.0218623	-1.85290336
-1.0214965	-1.90343264
-1.0211307	-2.0718784
-1.0209478	-1.71812896
-1.0203991	-2.12240768
-1.0202162	-1.8023296
-1.0200333	-2.03816256
-1.0191188	-2.1897504
-1.016924	-2.12240768
-1.0167411	-2.10554976
-1.0152779	-2.08869184
-1.015095	-2.0718784
-1.0108883	-2.0718784
-1.0101567	-2.0718784
-1.0086935	-2.0718784
-1.007779	-2.08869184
-1.0074132	-2.0718784
-0.9971708	-2.05502048
-0.9357164	0.21897504
-0.4221332	10.14033245
-0.231033793	-73.91323443
-0.2052138	12.75121059
0.01406501	15.32840403
0.26365035	18.64675437
0.37009815	24.94655907
0.45090337	25.08131568
0.45940822	23.12736266
0.45973744	25.28344614
0.46121893	25.51927021
0.47285137	25.14869398
0.47453405	26.07513232
0.4802954	25.68771152
0.4819415	25.3845136
0.57501931	27.64166454
2.17288858	53.95263872
2.50274873	59.4270592
3.4928413	77.98958624
3.5435046	79.21923584
4.32938932	91.34719712
4.99854726	104.704808
5.48504297	112.4363661
5.72467855	117.4223072
7.14786003	139.7916995
7.62852123	142.9584531
8.69437098	156.2655347
9.62701466	165.2941296
11.31911401	182.1385277
11.92786008	183.0480992
13.99969641	203.935151
14.83589692	209.2916995
17.24843937	229.7744726
17.3866569	231.4420723
20.02348962	249.970928
20.78685935	252.1775363
23.73343322	272.8456131
24.29250365	272.2897466
27.79013693	292.8567648
28.73807105	295.0297018
32.16684248	314.8387363
32.82515445	314.6365747
36.9511041	337.1912262
37.57336648	336.3153261
41.55654439	358.6847184
41.68569008	357.8256317
48.00287318	345.1754752
49.39088299	379.521241
57.30236918	388.3813589
58.75766753	377.4662205
62.20172044	340.6443465
71.71545671	344.6027863
72.10755719	333.5023175
79.09860424	334.6140417
81.23130512	323.8673223
84.99979739	310.7960425
87.57269613	241.4139679
93.09082297	279.2296452
